<video_id>HlzvgVkyTN0</video_id>	JJ	<video_id>HlzvgVkyTN0</video_id>
<video_title>Netanyahu	NN	<video_title>Netanyahu
says	VVZ	say
Gaza	NP	Gaza
will	MD	will
be	VB	be
demilitarised	VVN	demilitarise
after	IN	after
war	NN	war
and	CC	and
Israel	NP	Israel
will	MD	will
continue	VV	continue
controlling	VVG	control
the	DT	the
strip</video_title>	JJ	strip</video_title>
<thumbnail_path>data/en_AJ\Netanyahu	NN	<thumbnail_path>data/en_AJ\Netanyahu
says	VVZ	say
Gaza	NP	Gaza
will	MD	will
be	VB	be
demilitarised	VVN	demilitarise
after	IN	after
war	NN	war
and	CC	and
Israel	NP	Israel
will	MD	will
continue	VV	continue
controlling	VVG	control
the	DT	the
strip.jpg</thumbnail_path>	JJ	strip.jpg</thumbnail_path>
<publish_date>20231112</publish_date>	NN	<publish_date>20231112</publish_date>
<doc>	NN	<doc>
so	IN	so
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
has	VHZ	have
again	RB	again
rejected	VVD	reject
uh	UH	uh
growing	VVG	grow
calls	NNS	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
says	VVZ	say
that	IN/that	that
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
will	MD	will
remain	VV	remain
inside	IN	inside
the	DT	the
strip	NN	strip
when	WRB	when
the	DT	the
fighting	NN	fighting
has	VHZ	have
stopped	VVN	stop
listen	VV	listen
to	TO	to
this	DT	this
as	RB	as
far	RB	far
as	IN	as
the	DT	the
day	NN	day
after	RB	after
goes	VVZ	go
that	IN/that	that
day	NN	day
will	MD	will
only	RB	only
arrive	VV	arrive
after	IN	after
destroying	VVG	destroy
Hamas	NP	Hamas
Gaza	NP	Gaza
will	MD	will
be	VB	be
demilitarized	VVN	demilitarize
there	EX	there
will	MD	will
no	RB	no
longer	RBR	longer
be	VB	be
a	DT	a
threat	NN	threat
from	IN	from
Gaza	NP	Gaza
on	IN	on
Israel	NP	Israel
and	CC	and
to	TO	to
ensure	VV	ensure
there	RB	there
won't	NN	won't
be	VB	be
such	PDT	such
a	DT	a
threat	NN	threat
as	IN	as
long	RB	long
as	RB	as
necessary	JJ	necessary
the	DT	the
Israeli	JJ	Israeli
military	NN	military
will	MD	will
maintain	VV	maintain
control	NN	control
of	IN	of
Gaza	NP	Gaza
to	TO	to
prevent	VV	prevent
Terror	NN	terror
from	IN	from
inside	IN	inside
it	PP	it
Sarah	NP	Sarah
kyat	NN	kyat
joins	VVZ	join
us	PP	us
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Sarah	NP	Sarah
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
talking	VVG	talk
about	IN	about
what	WP	what
he	PP	he
sees	VVZ	see
as	IN	as
a	DT	a
post-war	JJ	post-war
Gaza	NP	Gaza
what	WP	what
more	RBR	more
has	VHZ	have
he	PP	he
been	VBN	be
saying	VVG	say
good	JJ	good
morning	NN	morning
sirel	NN	sirel
well	RB	well
he	PP	he
talked	VVD	talk
about	RB	about
as	IN	as
you	PP	you
heard	VVD	hear
there	EX	there
uh	UH	uh
having	VHG	have
Gaza	NP	Gaza
as	IN	as
a	DT	a
demilitarized	VVN	demilitarize
zone	NN	zone
um	NNS	um
he	PP	he
said	VVD	say
that	IN/that	that
currently	RB	currently
they've	NN	they've
managed	VVN	manage
to	TO	to
take	VV	take
control	NN	control
of	IN	of
hamas's	JJ	hamas's
stronghold	NN	stronghold
hold	NN	hold
which	WDT	which
is	VBZ	be
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
uh	UH	uh
but	CC	but
he	PP	he
also	RB	also
said	VVD	say
that	IN/that	that
they	PP	they
don't	VVD	don't
plan	NN	plan
to	TO	to
occupy	VV	occupy
Gaza	NP	Gaza
of	IN	of
course	NN	course
it	PP	it
had	VHD	have
previously	RB	previously
occupied	VVD	occupy
uh	UH	uh
Gaza	NP	Gaza
and	CC	and
then	RB	then
pulled	VVD	pull
out	RP	out
its	PP$	its
troops	NNS	troop
and	CC	and
the	DT	the
illegal	JJ	illegal
Israeli	JJ	Israeli
settlements	NNS	settlement
in	IN	in
2005	CD	@card@
so	IN	so
he	PP	he
says	VVZ	say
they	PP	they
don't	VVD	don't
have	VH	have
a	DT	a
plan	VV	plan
uh	UH	uh
to	TO	to
do	VV	do
the	DT	the
same	JJ	same
um	NN	um
he	PP	he
also	RB	also
said	VVD	say
that	IN/that	that
they	PP	they
would	MD	would
be	VB	be
there	RB	there
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
even	RB	even
when	WRB	when
they	PP	they
get	VVP	get
rid	JJ	rid
of	IN	of
Hamas	JJ	Hamas
that's	NNS	that's
their	PP$	their
plan	NN	plan
that's	NNS	that's
their	PP$	their
main	JJ	main
goal	NN	goal
and	CC	and
it	PP	it
has	VHZ	have
been	VBN	be
since	IN	since
day	NN	day
one	CD	one
um	NNS	um
and	CC	and
then	RB	then
they	PP	they
will	MD	will
be	VB	be
there	RB	there
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
in	IN	in
control	NN	control
they	PP	they
said	VVD	say
the	DT	the
security	NN	security
situation	NN	situation
uh	UH	uh
there	RB	there
until	IN	until
uh	UH	uh
they	PP	they
can	MD	can
look	VV	look
at	IN	at
the	DT	the
next	JJ	next
step	NN	step
they	PP	they
didn't	VVD	didn't
detail	VV	detail
what	WP	what
that	DT	that
next	JJ	next
step	NN	step
is	VBZ	be
um	JJ	um
but	CC	but
he	PP	he
did	VVD	do
say	VV	say
that	IN/that	that
the	DT	the
possibility	NN	possibility
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
regning	NN	regning
Gaza	NP	Gaza
uh	UH	uh
what	WP	what
he	PP	he
wasn't	VVD	wasn't
in	IN	in
favor	NN	favor
of	IN	of
that	WDT	that
and	CC	and
that	IN/that	that
that's	NNS	that's
not	RB	not
an	DT	an
option	NN	option
for	IN	for
them	PP	them
that's	NNS	that's
despite	IN	despite
the	DT	the
International	NP	International
Community	NP	Community
especially	RB	especially
the	DT	the
US	NP	US
um	NNS	um
pushing	VVG	push
for	IN	for
the	DT	the
possible	JJ	possible
Return	NN	return
of	IN	of
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
taking	VVG	take
control	NN	control
of	IN	of
uh	UH	uh
that	DT	that
situation	NN	situation
once	IN	once
uh	UH	uh
Hamas	NNS	Hamas
had	VHD	have
has	VHZ	have
been	VBN	be
in	IN	in
the	DT	the
words	NNS	word
of	IN	of
the	DT	the
Israelis	NPS	Israelis
eliminated	VVD	eliminate
in	IN	in
this	DT	this
statement	NN	statement
that	DT	that
we've	NN	we've
been	VBN	be
seeing	VVG	see
the	DT	the
the	DT	the
kind	NN	kind
of	IN	of
tone	NN	tone
that	IN/that	that
we're	NN	we're
seeing	VVG	see
is	VBZ	be
very	RB	very
different	JJ	different
it's	NNS	it's
very	RB	very
defiant	JJ	defiant
uh	UH	uh
towards	IN	towards
uh	UH	uh
what	WP	what
the	DT	the
International	NP	International
Community	NP	Community
is	VBZ	be
saying	VVG	say
and	CC	and
all	RB	all
of	IN	of
those	DT	those
diplomatic	JJ	diplomatic
conversations	NNS	conversation
that	WDT	that
are	VBP	be
happening	VVG	happen
in	IN	in
the	DT	the
background	NN	background
really	RB	really
effectively	RB	effectively
what	WP	what
he's	NN	he's
saying	VVG	say
is	VBZ	be
that	IN/that	that
that's	NNS	that's
their	PP$	their
goal	NN	goal
and	CC	and
regardless	RB	regardless
of	IN	of
what	WP	what
the	DT	the
International	NP	International
Community	NP	Community
says	VVZ	say
they're	NN	they're
still	RB	still
going	VVG	go
to	TO	to
go	VV	go
ahead	RB	ahead
with	IN	with
it	PP	it
um	VVZ	um
when	WRB	when
they	PP	they
talk	VVP	talk
about	RB	about
taking	VVG	take
control	NN	control
of	IN	of
security	NN	security
like	IN	like
I	PP	I
said	VVD	say
it's	NNS	it's
not	RB	not
clear	JJ	clear
but	CC	but
we	PP	we
already	RB	already
know	VVP	know
that	IN/that	that
Israel	NP	Israel
was	VBD	be
under	IN	under
a	DT	a
17-year	JJ	17-year
blockade	NN	blockade
before	IN	before
any	DT	any
of	IN	of
this	DT	this
which	WDT	which
meant	VVD	mean
that	IN/that	that
it	PP	it
was	VBD	be
an	DT	an
gazans	NNS	Gazan
could	MD	could
not	RB	not
leave	VV	leave
they	PP	they
could	MD	could
not	RB	not
enter	VV	enter
unless	IN	unless
they	PP	they
were	VBD	be
given	VVN	give
permits	NNS	permit
by	IN	by
Israel	NP	Israel
uh	UH	uh
those	DT	those
borders	NNS	border
are	VBP	be
controlled	VVN	control
by	IN	by
Israel	NP	Israel
as	IN	as
well	RB	well
including	VVG	include
those	DT	those
Crossings	NNS	crossing
um	NNS	um
so	RB	so
really	RB	really
effectively	RB	effectively
um	JJ	um
even	RB	even
though	IN	though
they're	NN	they're
saying	VVG	say
it's	NNS	it's
not	RB	not
an	DT	an
occupation	NN	occupation
for	IN	for
many	JJ	many
Palestinians	NNS	Palestinian
they're	NN	they're
viewing	VVG	view
it	PP	it
as	IN	as
a	DT	a
potential	JJ	potential
occupation	NN	occupation
of	IN	of
Gaza	NP	Gaza
Sara	NP	Sara
hyat	NN	hyat
reporting	NN	reporting
from	IN	from
occupied	JJ	occupied
East	NP	East
jus	NN	jus
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
Sara	NP	Sara
</doc>	NN	</doc>
