okay	JJ	okay
let	NN	let
'	POS	'
s	NNS	s
discuss	VVP	discuss
this	DT	this
with	IN	with
Hassan	NP	Hassan
barar	NN	barar
who	WP	who
'	POS	'
s	NNS	s
a	DT	a
professor	NN	professor
of	IN	of
international	JJ	international
Affairs	NPS	Affairs
at	IN	at
Qatar	NP	Qatar
University	NP	University
joining	VVG	join
us	PP	us
from	IN	from
Aman	NP	Aman
welcome	VVP	welcome
back	RB	back
to	TO	to
Al	NP	Al
jazer	NN	jazer
so	RB	so
there	RB	there
'	''	'
s	RB	s
been	VBN	be
some	DT	some
Furious	JJ	furious
reaction	NN	reaction
out	IN	out
of	IN	of
Israel	NP	Israel
to	TO	to
Harris	NP	Harris
'	POS	'
s	NN	S
comments	NNS	comment
accusing	VVG	accuse
her	PP	her
of	IN	of
showing	VVG	show
gaps	NNS	gap
between	IN	between
the	DT	the
positions	NNS	position
of	IN	of
the	DT	the
US	NP	US
and	CC	and
Israel	NP	Israel
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
but	CC	but
is	VBZ	be
there	RB	there
any	DT	any
reason	NN	reason
to	TO	to
believe	VV	believe
that	DT	that
policy	NN	policy
towards	IN	towards
Israel	NP	Israel
under	IN	under
a	DT	a
Harris	NP	Harris
presidency	NN	presidency
will	MD	will
change	VV	change
well	RB	well
this	DT	this
is	VBZ	be
thank	VV	thank
you	PP	you
Darren	NP	Darren
I	PP	I
think	VVP	think
this	DT	this
remains	VVZ	remain
to	TO	to
be	VB	be
seen	VVN	see
we	PP	we
know	VVP	know
that	IN/that	that
this	DT	this
rhetoric	NN	rhetoric
is	VBZ	be
very	RB	very
important	JJ	important
and	CC	and
this	DT	this
it	PP	it
'	POS	'
s	NNS	s
no	DT	no
beating	NN	beating
around	IN	around
the	DT	the
bush	JJ	bush
Harris	NP	Harris
made	VVD	make
it	PP	it
perfectly	RB	perfectly
clear	JJ	clear
that	IN/that	that
netanyahu	NP	netanyahu
'	POS	'
s	JJ	s
speech	NN	speech
at	IN	at
the	DT	the
Congress	NP	Congress
would	MD	would
fool	VV	fool
no	DT	no
one	CD	one
it	PP	it
'	POS	'
s	NNS	s
the	DT	the
responsibility	NN	responsibility
of	IN	of
Israel	NP	Israel
to	TO	to
a	DT	a
um	JJ	um
breach	NN	breach
a	DT	a
ceas	NNS	ceas
fa	NN	fa
and	CC	and
secondly	RB	secondly
which	WDT	which
is	VBZ	be
more	RBR	more
important	JJ	important
even	RB	even
is	VBZ	be
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
a	DT	a
day	NN	day
after	IN	after
which	WDT	which
is	VBZ	be
um	NN	um
which	WDT	which
is	VBZ	be
self	JJ	self
-	NN	-
determination	NN	determination
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
so	IN	so
she	PP	she
has	VHZ	have
not	RB	not
really	RB	really
taken	VVN	take
back	RB	back
by	IN	by
the	DT	the
the	DT	the
the	DT	the
speech	NN	speech
of	IN	of
netan	NN	netan
which	WDT	which
