<video_id>qAmSDhaPpKE</video_id>	JJ	<video_id>qAmSDhaPpKE</video_id>
<video_title>Netanyahu	NN	<video_title>Netanyahu
‘has	NNS	‘has
a	DT	a
vested	JJ	vested
interest	NN	interest
in	IN	in
making	VVG	make
this	DT	this
a	DT	a
long	JJ	long
war’:	NN	war’:
Analyst</video_title>	NP	Analyst</video_title>
<thumbnail_path>data/en_AJ\Netanyahu	NP	<thumbnail_path>data/en_AJ\Netanyahu
‘has	NNS	‘has
a	DT	a
vested	JJ	vested
interest	NN	interest
in	IN	in
making	VVG	make
this	DT	this
a	DT	a
long	JJ	long
war’	JJ	war’
Analyst.jpg</thumbnail_path>	NP	Analyst.jpg</thumbnail_path>
<publish_date>20240509</publish_date>	NN	<publish_date>20240509</publish_date>
<doc>	NN	<doc>
well	RB	well
joining	VVG	join
us	PP	us
now	RB	now
on	IN	on
set	NN	set
is	VBZ	be
Muhammad	NP	Muhammad
Elm	NP	Elm
he's	NNS	he's
a	DT	a
political	JJ	political
analyst	NN	analyst
and	CC	and
professor	NN	professor
of	IN	of
media	NNS	medium
studies	NNS	study
at	IN	at
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
for	IN	for
Graduate	NP	Graduate
Studies	NPS	Studies
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
on	IN	on
the	DT	the
program	NN	program
the	DT	the
the	DT	the
big	JJ	big
question	NN	question
mark	NN	mark
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
what	WP	what
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
talking	VVG	talk
about	RB	about
is	VBZ	be
this	DT	this
operation	NN	operation
in	IN	in
Rafer	NP	Rafer
and	CC	and
how	WRB	how
it's	NNS	it's
actually	RB	actually
going	VVG	go
to	TO	to
physically	RB	physically
manifest	VV	manifest
itself	PP	itself
self	JJ	self
militarily	RB	militarily
that's	JJ	that's
the	DT	the
question	NN	question
isn't	VVD	isn't
it	PP	it
at	IN	at
the	DT	the
moment	NN	moment
I	PP	I
think	VVP	think
so	IN	so
I	PP	I
I	PP	I
think	VVP	think
that	IN/that	that
uh	UH	uh
the	DT	the
Netanyahu	NP	Netanyahu
uh	UH	uh
government	NN	government
is	VBZ	be
is	VBZ	be
still	RB	still
preparing	VVG	prepare
uh	UH	uh
to	TO	to
to	TO	to
go	VV	go
into	IN	into
to	TO	to
I	PP	I
think	VVP	think
that's	NNS	that's
still	RB	still
the	DT	the
most	RBS	most
likely	JJ	likely
scenario	NN	scenario
uh	UH	uh
there	EX	there
are	VBP	be
some	DT	some
analysts	NNS	analyst
who	WP	who
think	VVP	think
that	IN/that	that
this	DT	this
is	VBZ	be
more	JJR	more
sort	NN	sort
of	IN	of
just	RB	just
political	JJ	political
uh	UH	uh
posturing	NN	posturing
but	CC	but
I	PP	I
happen	VVP	happen
to	TO	to
think	VV	think
that	DT	that
it's	NN	it's
more	RBR	more
likely	JJ	likely
than	IN	than
not	RB	not
that	IN/that	that
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
go	VV	go
in	IN	in
with	IN	with
some	DT	some
sort	NN	sort
of	IN	of
a	DT	a
major	JJ	major
operation	NN	operation
um	NNS	um
into	IN	into
Rafa	NP	Rafa
uh	UH	uh
it	PP	it
remains	VVZ	remain
to	TO	to
be	VB	be
seen	VVN	see
how	WRB	how
they'll	JJ	they'll
Faire	NP	Faire
if	IN	if
they	PP	they
do	VV	do
uh	UH	uh
Hamas	NN	Hamas
has	VHZ	have
According	VVG	accord
to	TO	to
some	DT	some
recent	JJ	recent
reports	NNS	report
been	VBN	be
able	JJ	able
to	TO	to
uh	UH	uh
be	VB	be
quite	RB	quite
successful	JJ	successful
on	IN	on
the	DT	the
recruitment	NN	recruitment
front	VV	front
uh	UH	uh
as	IN	as
the	DT	the
war	NN	war
has	VHZ	have
has	VHZ	have
gone	VVN	go
on	IN	on
Palestinians	NPS	Palestinians
many	JJ	many
some	DT	some
Palestinian	JJ	Palestinian
men	NNS	man
have	VHP	have
have	VHP	have
seen	VVN	see
that	IN/that	that
they	PP	they
just	RB	just
don't	JJ	don't
have	VHP	have
anything	NN	anything
to	TO	to
lose	VV	lose
and	CC	and
they've	NN	they've
they've	NN	they've
now	IN	now
uh	UH	uh
joined	VVN	join
in	IN	in
the	DT	the
fighting	VVG	fight
um	NN	um
and	CC	and
also	RB	also
