<video_id>9L2DdEUva3Y</video_id>	JJ	<video_id>9L2DdEUva3Y</video_id>
<video_title>No	NN	<video_title>No
‘concrete	NN	‘concrete
approvals’	NN	approvals’
yet	RB	yet
on	IN	on
current	JJ	current
ceasefire	NN	ceasefire
proposal:	NN	proposal:
Mediator	NN	mediator
Qatar</video_title>	NP	Qatar</video_title>
<thumbnail_path>data/en_AJ\No	NP	<thumbnail_path>data/en_AJ\No
‘concrete	NN	‘concrete
approvals’	NN	approvals’
yet	RB	yet
on	IN	on
current	JJ	current
ceasefire	NN	ceasefire
proposal	NN	proposal
Mediator	NN	mediator
Qatar.jpg</thumbnail_path>	NP	Qatar.jpg</thumbnail_path>
<publish_date>20240604</publish_date>	JJ	<publish_date>20240604</publish_date>
<doc>	NN	<doc>
katar's	NNS	katar's
foreign	JJ	foreign
Ministry	NP	Ministry
says	VVZ	say
it	PP	it
has	VHZ	have
not	RB	not
received	VVN	receive
any	DT	any
firm	NN	firm
agreements	NNS	agreement
from	IN	from
either	DT	either
Israel	NP	Israel
or	CC	or
Hamas	NP	Hamas
on	IN	on
the	DT	the
Gaza	NP	Gaza
ceasefire	NN	ceasefire
plan	NN	plan
put	VVD	put
forward	RB	forward
by	IN	by
the	DT	the
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
however	RB	however
Ministry	NP	Ministry
spokesman	NN	spokesman
Majid	NP	Majid
alansari	NP	alansari
says	VVZ	say
he's	NNS	he's
positive	JJ	positive
it	PP	it
is	VBZ	be
moving	VVG	move
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
we	PP	we
haven't	VVD	haven't
had	VHD	have
concrete	JJ	concrete
approvals	NNS	approval
to	TO	to
the	DT	the
suggestions	NNS	suggestion
on	IN	on
the	DT	the
table	NN	table
by	IN	by
both	DT	both
sides	NNS	side
and	CC	and
uh	UH	uh
we	PP	we
have	VHP	have
all	RB	all
read	VVN	read
and	CC	and
uh	UH	uh
seen	VVN	see
the	DT	the
contradictory	JJ	contradictory
statements	NNS	statement
coming	VVG	come
in	IN	in
uh	UH	uh
from	IN	from
uh	UH	uh
Israeli	JJ	Israeli
ministers	NNS	minister
