<video_id>8-dRkdl_ZqQ</video_id>	JJ	<video_id>8-dRkdl_ZqQ</video_id>
<video_title>No	NN	<video_title>No
‘positive	JJ	‘positive
signals’	NN	signals’
yet	RB	yet
from	IN	from
ceasefire	NN	ceasefire
talks:	NN	talks:
Hamas	NP	Hamas
spokesman</video_title>	NP	spokesman</video_title>
<thumbnail_path>data/en_AJ\No	NP	<thumbnail_path>data/en_AJ\No
‘positive	JJ	‘positive
signals’	NN	signals’
yet	RB	yet
from	IN	from
ceasefire	NN	ceasefire
talks	NNS	talk
Hamas	JJ	Hamas
spokesman.jpg</thumbnail_path>	NP	spokesman.jpg</thumbnail_path>
<publish_date>20240816</publish_date>	NN	<publish_date>20240816</publish_date>
<doc>	NN	<doc>
well	NN	well
let's	NNS	let's
take	VVP	take
a	DT	a
closer	JJR	close
look	NN	look
at	IN	at
the	DT	the
ceasefire	NN	ceasefire
proposal	NN	proposal
that's	NNS	that's
actually	RB	actually
being	VBG	be
discussed	VVN	discuss
the	DT	the
first	JJ	first
phase	NN	phase
would	MD	would
be	VB	be
a	DT	a
temporary	JJ	temporary
truce	NN	truce
during	IN	during
which	WDT	which
Hamas	NP	Hamas
would	MD	would
release	VV	release
women	NNS	woman
the	DT	the
elderly	JJ	elderly
and	CC	and
wounded	JJ	wounded
captives	NNS	captive
in	IN	in
exchange	NN	exchange
for	IN	for
Palestinians	NNS	Palestinian
held	VVN	hold
in	IN	in
Israeli	JJ	Israeli
prisons	NNS	prison
the	DT	the
second	JJ	second
phase	NN	phase
would	MD	would
include	VV	include
a	DT	a
permanent	JJ	permanent
end	NN	end
to	TO	to
the	DT	the
hostilities	NNS	hostility
and	CC	and
the	DT	the
release	NN	release
of	IN	of
all	DT	all
remaining	VVG	remain
Israeli	JJ	Israeli
captives	NNS	captive
and	CC	and
the	DT	the
third	JJ	third
phase	NN	phase
would	MD	would
be	VB	be
the	DT	the
Reconstruction	NN	reconstruction
of	IN	of
Gaza	NP	Gaza
and	CC	and
the	DT	the
return	NN	return
of	IN	of
the	DT	the
remains	VVZ	remain
of	IN	of
any	DT	any
deceased	JJ	deceased
captives	NNS	captive
to	TO	to
Israel	NP	Israel
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
with	IN	with
the	DT	the
Hamas	NP	Hamas
spokesman	NN	spokesman
Osama	NP	Osama
ham	NN	ham
