now	RB	now
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
vulnerable	JJ	vulnerable
victims	NNS	victim
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
Gaza	NP	Gaza
are	VBP	be
pregnant	JJ	pregnant
women	NNS	woman
and	CC	and
the	DT	the
continuing	JJ	continuing
attacks	NNS	attack
are	VBP	be
causing	VVG	cause
an	DT	an
increasing	VVG	increase
number	NN	number
of	IN	of
miscarriages	NNS	miscarriage
and	CC	and
premature	JJ	premature
births	NNS	birth
the	DT	the
UN	NP	UN
estimates	VVZ	estimate
that	IN/that	that
around	IN	around
50	CD	@card@
,	,	,
000	CD	@card@
women	NNS	woman
in	IN	in
Gaza	NP	Gaza
are	VBP	be
pregnant	JJ	pregnant
and	CC	and
around	RB	around
180	CD	@card@
of	IN	of
them	PP	them
are	VBP	be
reaching	VVG	reach
their	PP$	their
due	JJ	due
dates	NNS	date
every	DT	every
day	NN	day
the	DT	the
Palestinian	JJ	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
says	VVZ	say
it	PP	it
'	''	'
s	NNS	s
documented	VVD	document
hundreds	NNS	hundred
of	IN	of
miscarriages	NNS	miscarriage
and	CC	and
premature	JJ	premature
births	NNS	birth
often	RB	often
in	IN	in
unsanitary	JJ	unsanitary
conditions	NNS	condition
Palestinian	JJ	Palestinian
doctors	NNS	doctor
say	VVP	say
malnutrition	NN	malnutrition
is	VBZ	be
also	RB	also
contributing	VVG	contribute
to	TO	to
the	DT	the
miscarriages	NNS	miscarriage
with	IN	with
mothers	NNS	mother
facing	VVG	face
complications	NNS	complication
because	IN	because
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
enough	RB	enough
to	TO	to
eat	VV	eat
and	CC	and
are	VBP	be
unable	JJ	unable
to	TO	to
reach	VV	reach
Emergency	NP	Emergency
Care	NP	Care
let	NN	let
'	POS	'
s	NNS	s
speak	VVP	speak
to	TO	to
Dr	NP	Dr
Tanya	NP	Tanya
Hajj	NN	hajj
Hassan	NP	Hassan
about	IN	about
this	DT	this
she	PP	she
'	POS	'
s	NN	S
a	DT	a
Pediatric	JJ	pediatric
Intensive	JJ	intensive
Care	NP	Care
doctor	NN	doctor
working	VVG	work
with	IN	with
msf	NN	msf
Doctors	NNS	doctor
Without	IN	without
Borders	NP	Borders
and	CC	and
she	PP	she
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
from	IN	from
Aman	NP	Aman
Dr	NP	Dr
Tanya	NP	Tanya
very	RB	very
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
again	RB	again
on	IN	on
Al	NP	Al
jazer	NN	jazer
so	IN	so
a	DT	a
sharp	JJ	sharp
increase	NN	increase
in	IN	in
the	DT	the
number	NN	number
of	IN	of
miscarriages	NNS	miscarriage
among	IN	among
pregnant	JJ	pregnant
women	NNS	woman
in	IN	in
Gaza	NP	Gaza
an	DT	an
increase	NN	increase
in	IN	in
the	DT	the
premature	JJ	premature
births	NNS	birth
why	WRB	why
is	VBZ	be
this	DT	this
happening	NN	happening
what	WP	what
is	VBZ	be
it	PP	it
like	VVP	like
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
pregnant	JJ	pregnant
woman	NN	woman
today	NN	today
in	IN	in
Gaza	NP	Gaza
yeah	RB	yeah
thank	VVP	thank
you	PP	you
fully	RB	fully
um	VVZ	um
so	RB	so
there	RB	there
'	''	'
s	NNS	s
clear	JJ	clear
evidence	NN	evidence
that	IN/that	that
you	PP	you
end	VV	end
up	RP	up
with	IN	with
an	DT	an
increased	VVN	increase
race	NN	race
rate	NN	rate
of	IN	of
miscarriage	NN	miscarriage
still	RB	still
birth	NN	birth
pre	NN	pre
-	NN	-
term	NN	term
birth	NN	birth
and	CC	and
small	JJ	small
for	IN	for
gestation	NN	gestation
or	CC	or
small	JJ	small
for	IN	for
the	DT	the
age	VV	age
uh	UH	uh
of	IN	of
the	DT	the
baby	JJ	baby
uh	UH	uh
so	RB	so
baby	NN	baby
'	POS	'
s	NNS	s
born	VVN	bear
too	RB	too
small	JJ	small
for	IN	for
for	IN	for
their	PP$	their
age	NN	age
in	IN	in
settings	NNS	setting
in	IN	in
humanitarian	JJ	humanitarian
settings	NNS	setting
particularly	RB	particularly
conflict	VV	conflict
uh	UH	uh
whether	IN	whether
are	VBP	be
under	IN	under
an	DT	an
enormous	JJ	enormous
amount	NN	amount
of	IN	of
stress	NN	stress
and	CC	and
I	PP	I
can	MD	can
talk	VV	talk
about	RB	about
that	IN/that	that
in	IN	in
a	DT	a
second	JJ	second
and	CC	and
that	WDT	that
compromises	VVZ	compromise
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
including	VVG	include
the	DT	the
blood	NN	blood
supply	NN	supply
to	TO	to
the	DT	the
baby	NN	baby
the	DT	the
mother	NN	mother
'	POS	'
s	NNS	s
health	NN	health
uh	UH	uh
