live	VV	live
for	IN	for
us	PP	us
now	RB	now
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
good	JJ	good
morning	NN	morning
Hanny	NP	Hanny
uh	UH	uh
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
these	DT	these
ongoing	JJ	ongoing
or	CC	or
recent	JJ	recent
strikes	NNS	strike
certainly	RB	certainly
and	CC	and
the	DT	the
aftermath	NN	aftermath
yes	RB	yes
well	RB	well
so	RB	so
far	RB	far
the	DT	the
reports	NNS	report
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
getting	VVG	get
from	IN	from
a	DT	a
nsat	NN	nsat
refugee	NN	refugee
camp	NN	camp
particularly	RB	particularly
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
that	RB	that
'	POS	'
s	NNS	s
an	DT	an
area	NN	area
between	IN	between
waza	NN	waza
and	CC	and
aat	NN	aat
refugee	NN	refugee
camp	NN	camp
this	DT	this
is	VBZ	be
a	DT	a
new	JJ	new
camp	NN	camp
as	IN	as
it	PP	it
is	VBZ	be
expanding	VVG	expand
as	IN	as
people	NNS	people
numb	NN	numb
is	VBZ	be
in	RB	in
has	VHZ	have
increased	VVN	increase
within	IN	within
the	DT	the
past	JJ	past
years	NNS	year
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
new	JJ	new
block	NN	block
of	IN	of
a	DT	a
n	NN	n
refugee	NN	refugee
camp	VV	camp
uh	UH	uh
ongoing	JJ	ongoing
artillery	NN	artillery
shelling	VVG	shell
air	NN	air
strikes	NNS	strike
and	CC	and
and	CC	and
and	CC	and
and	CC	and
constant	JJ	constant
uh	UH	uh
sh	NN	sh
shots	NNS	shot
heard	VVN	hear
by	IN	by
the	DT	the
quadcopter	NN	quadcopter
these	DT	these
are	VBP	be
attack	NN	attack
drones	NNS	drone
in	IN	in
the	DT	the
area	NN	area
and	CC	and
most	JJS	most
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
injured	VVD	injure
uh	UH	uh
in	IN	in
these	DT	these
attacks	NNS	attack
are	VBP	be
transferred	VVN	transfer
to	TO	to
Ala	NP	Ala
hospital	NN	hospital
that	RB	that
'	POS	'
s	NN	S
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
refugee	NN	refugee
camp	NN	camp
and	CC	and
nor	CC	nor
refugee	NN	refugee
camp	VVP	camp
it	PP	it
'	''	'
s	VVG	s
a	DT	a
small	JJ	small
health	NN	health
facilities	NNS	facility
and	CC	and
the	DT	the
reason	NN	reason
when	WRB	when
we	PP	we
did	VVD	do
ask	VV	ask
about	RB	about
why	WRB	why
people	NNS	people
are	VBP	be
being	VBG	be
transferred	VVN	transfer
to	TO	to
this	DT	this
small	JJ	small
health	NN	health
facility	NN	facility
is	VBZ	be
because	IN	because
the	DT	the
road	NN	road
all	RB	all
the	DT	the
way	NN	way
to	TO	to
alaka	NN	alaka
hospital	NN	hospital
in	IN	in
D	NP	D
B	NP	B
city	NN	city
is	VBZ	be
quite	RB	quite
dangerous	JJ	dangerous
there	RB	there
'	''	'
s	VVG	s
a	DT	a
risk	NN	risk
for	IN	for
thei	NN	thei
the	DT	the
civil	JJ	civil
defense	NN	defense
crew	NN	crew
members	NNS	member
and	CC	and
the	DT	the
paramedics	NN	paramedics
to	TO	to
drive	VV	drive
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
this	DT	this
