<video_id>goH5F7pHvCg</video_id>	JJ	<video_id>goH5F7pHvCg</video_id>
<video_title>Optimism	NN	<video_title>Optimism
in	IN	in
Gaza	NP	Gaza
over	IN	over
potential	JJ	potential
ceasefire</video_title>	JJ	ceasefire</video_title>
<thumbnail_path>data/en_AJ\Optimism	NN	<thumbnail_path>data/en_AJ\Optimism
in	IN	in
Gaza	NP	Gaza
over	IN	over
potential	JJ	potential
ceasefire.jpg</thumbnail_path>	JJ	ceasefire.jpg</thumbnail_path>
<publish_date>20240201</publish_date>	NN	<publish_date>20240201</publish_date>
<doc>	NN	<doc>
we	PP	we
begin	VVP	begin
in	IN	in
Gaza	NP	Gaza
where	WRB	where
homeless	JJ	homeless
grieving	VVG	grieve
and	CC	and
terrified	VVN	terrify
Palestinians	NPS	Palestinians
are	VBP	be
hoping	VVG	hope
that	IN/that	that
the	DT	the
latest	JJS	late
International	NP	International
efforts	NNS	effort
will	MD	will
bring	VV	bring
about	IN	about
a	DT	a
ceasefire	NN	ceasefire
the	DT	the
political	JJ	political
leader	NN	leader
of	IN	of
Hamas	JJ	Hamas
ishah	NN	ishah
is	VBZ	be
expected	VVN	expect
in	IN	in
the	DT	the
Egyptian	JJ	Egyptian
Capital	NP	Capital
KIRO	NP	KIRO
to	TO	to
review	VV	review
a	DT	a
proposal	NN	proposal
that	WDT	that
was	VBD	be
put	VVN	put
forward	RB	forward
in	IN	in
Paris	NP	Paris
over	IN	over
the	DT	the
weekend	NN	weekend
a	DT	a
temporary	JJ	temporary
halt	NN	halt
in	IN	in
fighting	VVG	fight
could	MD	could
allow	VV	allow
for	IN	for
more	JJR	more
Aid	NN	aid
deliveries	NNS	delivery
into	IN	into
Gaza	NP	Gaza
while	IN	while
more	JJR	more
Israeli	JJ	Israeli
captives	NNS	captive
could	MD	could
be	VB	be
released	VVN	release
in	IN	in
exchange	NN	exchange
for	IN	for
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
on	IN	on
the	DT	the
ground	NN	ground
though	RB	though
there's	RB	there's
been	VBN	be
no	DT	no
letup	NN	letup
in	IN	in
fighting	VVG	fight
rescue	NN	rescue
efforts	NNS	effort
are	VBP	be
on	RB	on
going	VVG	go
after	IN	after
another	DT	another
night	NN	night
of	IN	of
Israeli	JJ	Israeli
bombardments	NNS	bombardment
across	IN	across
the	DT	the
strip	NN	strip
in	IN	in
a	DT	a
moment	NN	moment
we'll	NN	we'll
go	VV	go
to	TO	to
Rory	NP	Rory
Chalin	NP	Chalin
he's	NNS	he's
an	DT	an
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
for	IN	for
us	PP	us
to	TO	to
get	VV	get
Israeli	JJ	Israeli
reaction	NN	reaction
on	IN	on
proposals	NNS	proposal
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
first	JJ	first
let's	NNS	let's
go	VVP	go
live	VV	live
to	TO	to
hany	NP	hany
Mahmud	NP	Mahmud
he's	NNS	he's
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
hany	NN	hany
has	VHZ	have
news	NN	news
of	IN	of
possible	JJ	possible
ceasefire	NN	ceasefire
agreement	NN	agreement
reached	VVN	reach
where	WRB	where
you	PP	you
are	VBP	be
what	WP	what
are	VBP	be
people	NNS	people
saying	VVG	say
about	RB	about
yes	RB	yes
melan	JJ	melan
well	NN	well
people	NNS	people
are	VBP	be
uh	UH	uh
looking	VVG	look
forward	RB	forward
to	TO	to
hearing	VVG	hear
more	JJR	more
constructive	JJ	constructive
reports	NNS	report
about	IN	about
The	DT	the
a	DT	a
possible	JJ	possible
ceasefire	NN	ceasefire
and	CC	and
a	DT	a
possible	JJ	possible
end	NN	end
to	TO	to
the	DT	the
ongoing	JJ	ongoing
war	NN	war
on	IN	on
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they're	NN	they're
looking	VVG	look
into	IN	into
an	DT	an
end	NN	end
all	DT	all
hostilities	NNS	hostility
and	CC	and
and	CC	and
into	IN	into
the	DT	the
masing	NN	masing
of	IN	of
Palestinians	NNS	Palestinian
as	IN	as
it's	NNS	it's
happening	VVG	happen
right	RB	right
now	RB	now
now	RB	now
despite	IN	despite
the	DT	the
ongoing	JJ	ongoing
bombing	NN	bombing
campaigns	NNS	campaign
within	IN	within
the	DT	the
past	JJ	past
two	CD	two
days	NNS	day
that	WDT	that
has	VHZ	have
intensified	VVN	intensify
across	IN	across
the	DT	the
G	NP	G
STP	NP	STP
mainly	RB	mainly
in	IN	in
KH	NP	KH
Unis	NNS	uni
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
people	NNS	people
are	VBP	be
still	RB	still
hopeful	JJ	hopeful
that	IN/that	that
