<video_id>SlCV96q2wiQ</video_id>	JJ	<video_id>SlCV96q2wiQ</video_id>
<video_title>Palestinian	JJ	<video_title>Palestinian
artist	NN	artist
in	IN	in
Bethlehem	NP	Bethlehem
integrates	VVZ	integrate
historic	JJ	historic
Palestinian	JJ	Palestinian
map	NN	map
into	IN	into
artworks</video_title>	JJ	artworks</video_title>
<thumbnail_path>data/en_AJ\Palestinian	JJ	<thumbnail_path>data/en_AJ\Palestinian
artist	NN	artist
in	IN	in
Bethlehem	NP	Bethlehem
integrates	VVZ	integrate
historic	JJ	historic
Palestinian	JJ	Palestinian
map	NN	map
into	IN	into
artworks.jpg</thumbnail_path>	JJ	artworks.jpg</thumbnail_path>
<publish_date>20240528</publish_date>	JJ	<publish_date>20240528</publish_date>
<doc>	NN	<doc>
[Music]	NN	[Music]
I	PP	I
learned	VVD	learn
about	RB	about
natural	JJ	natural
dyeing	NN	dyeing
and	CC	and
the	DT	the
trees	NNS	tree
that	WDT	that
can	MD	can
give	VV	give
me	PP	me
colors	NNS	color
from	IN	from
it.	NN	it.
I	PP	I
discovered	VVD	discover
that	IN/that	that
the	DT	the
leaves	NNS	leaf
of	IN	of
the	DT	the
trees	NNS	tree
give	VVP	give
me	PP	me
colors	NNS	color
on	IN	on
the	DT	the
ground.	NN	ground.
As	IN	as
for	IN	for
us,	NP	us,
I	PP	I
have	VHP	have
to	TO	to
be	VB	be
present	JJ	present
and	CC	and
guard	VV	guard
it.	JJ	it.
Google	NP	Google
search	NN	search
engine	NN	engine
removes	VVZ	remove
the	DT	the
map	NN	map
of	IN	of
Palestine	NP	Palestine
from	IN	from
the	DT	the
maps	NNS	map
that	IN/that	that
we	PP	we
are	VBP	be
not	RB	not
recognized	VVN	recognize
for.	NP	for.
I,	NP	I,
as	IN	as
a	DT	a
person,	NNS	person,
am	VBP	be
not	RB	not
recognized	VVN	recognize
for	IN	for
the	DT	the
idea.	NN	idea.
I	PP	I
would	MD	would
like	VV	like
to	TO	to
see	VV	see
the	DT	the
design	NN	design
of	IN	of
the	DT	the
white	JJ	white
ones.	NN	ones.
This	DT	this
one,	NP	one,
for	IN	for
me,	NP	me,
is	VBZ	be
supposed	VVN	suppose
to	TO	to
be	VB	be
this	DT	this
slit	NN	slit
to	TO	to
see	VV	see
the	DT	the
map	NN	map
of	IN	of
Palestine	NP	Palestine
and	CC	and
the	DT	the
olive	JJ	olive
trees.	NN	trees.
It	PP	it
is	VBZ	be
the	DT	the
correct	JJ	correct
map	NN	map
of	IN	of
Palestine,	NP	Palestine,
but	CC	but
not	RB	not
for	IN	for
the	DT	the
Palestinians.	NP	Palestinians.
In	IN	in
order	NN	order
to	TO	to
live	VV	live
in	IN	in
Palestine	NP	Palestine
in	IN	in
every	DT	every
corner	NN	corner
of	IN	of
the	DT	the
map,	NP	map,
it	PP	it
is	VBZ	be
a	DT	a
circle	NN	circle
that	WDT	that
is	VBZ	be
shrinking	VVG	shrink
more	RBR	more
and	CC	and
more,	NP	more,
and	CC	and
we	PP	we
do	VVP	do
not	RB	not
realize	VV	realize
that	IN/that	that
it	PP	it
is.	VVZ	is.
It	PP	it
is	VBZ	be
a	DT	a
circle	NN	circle
and	CC	and
not	RB	not
a	DT	a
map,	NN	map,
so	IN	so
the	DT	the
task	NN	task
of	IN	of
the	DT	the
map	NN	map
is	VBZ	be
to	TO	to
recognize	VV	recognize
the	DT	the
countries	NNS	country
in	IN	in
it	PP	it
and	CC	and
the	DT	the
cities	NNS	city
in	IN	in
it.	NN	it.
I	PP	I
do	VVP	do
not	RB	not
know	VV	know
which	WDT	which
country	NN	country
I	PP	I
am	VBP	be
deprived	VVN	deprive
of	IN	of
movement	NN	movement
from,	NNS	from,
and	CC	and
it	PP	it
is	VBZ	be
what	WP	what
always	RB	always
affects	VVZ	affect
my	PP$	my
psyche.	NN	psyche.
It	PP	it
is	VBZ	be
a	DT	a
joyful	JJ	joyful
thing	NN	thing
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
to	TO	to
acknowledge	VV	acknowledge
that	IN/that	that
in	IN	in
countries	NNS	country
that	WDT	that
did	VVD	do
not	RB	not
understand	VV	understand
the	DT	the
story,	NN	story,
I	PP	I
understand	VVP	understand
the	DT	the
story.	NN	story.
Any	DT	any
small	JJ	small
support	NN	support
for	IN	for
the	DT	the
Palestinians.	NP	Palestinians.
This	NP	This
is	VBZ	be
in	IN	in
the	DT	the
form	NN	form
of	IN	of
great	JJ	great
awareness	NN	awareness
for	IN	for
the	DT	the
purpose	NN	purpose
of	IN	of
any	DT	any
small	JJ	small
movement,	NN	movement,
whether	IN	whether
it	PP	it
is	VBZ	be
a	DT	a
design	NN	design
or	CC	or
movement,	VVG	movement,
this	DT	this
will	MD	will
help	VV	help
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
be	VB	be
</doc>	JJ	</doc>
