respectfully	RB	respectfully
I	PP	I
have	VHP	have
to	TO	to
interrupt	VV	interrupt
you	PP	you
because	IN	because
we	PP	we
'	POS	'
re	NN	re
always	RB	always
trying	VVG	try
to	TO	to
bring	VV	bring
Live	JJ	live
Events	NNS	event
to	TO	to
our	PP$	our
viewers	NNS	viewer
this	DT	this
is	VBZ	be
a	DT	a
press	NN	press
conference	NN	conference
from	IN	from
the	DT	the
health	NN	health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
let	NN	let
'	POS	'
s	NNS	s
listen	VVP	listen
in	IN	in
for	IN	for
the	DT	the
36th	JJ	36th
day	NN	day
the	DT	the
total	JJ	total
number	NN	number
of	IN	of
deaths	NNS	death
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
exceeded	VVD	exceed
11	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
more	JJR	more
than	IN	than
4	CD	@card@
,	,	,
500	CD	@card@
children	NNS	child
3	CD	@card@
,	,	,
000	CD	@card@
women	NNS	woman
700	CD	@card@
Elders	NPS	Elders
the	DT	the
total	JJ	total
number	NN	number
of	IN	of
injuries	NNS	injury
have	VHP	have
exceeded	VVN	exceed
27	CD	@card@
,	,	,
000	CD	@card@
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
the	DT	the
situation	NN	situation
across	IN	across
old	JJ	old
hospitals	NNS	hospital
has	VHZ	have
reached	VVN	reach
unprecedented	JJ	unprecedented
point	NN	point
in	IN	in
the	DT	the
old	JJ	old
history	NN	history
or	CC	or
even	RB	even
modern	JJ	modern
history	NN	history
even	RB	even
in	IN	in
the	DT	the
prehistoric	JJ	prehistoric
area	NN	area
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continue	VVP	continue
to	TO	to
bombard	VV	bombard
hospitals	NNS	hospital
ambulances	NNS	ambulance
medical	JJ	medical
Crews	NP	Crews
failing	VVG	fail
or	CC	or
turning	VVG	turn
a	DT	a
blind	JJ	blind
eye	NN	eye
to	TO	to
the	DT	the
international	JJ	international
laws	NNS	law
ethics	NNS	ethic
moralities	NNS	morality
or	CC	or
any	DT	any
practice	NN	practice
it	PP	it
is	VBZ	be
nothing	NN	nothing
but	CC	but
a	DT	a
genocide	NN	genocide
War	NP	War
indiscriminate	JJ	indiscriminate
direct	JJ	direct
Shilling	NP	Shilling
as	IN	as
we	PP	we
speak	VVP	speak
ala	NN	ala
Hospital	NN	hospital
according	VVG	accord
to	TO	to
the	DT	the
latest	JJS	late
reports	NNS	report
the	DT	the
electric	JJ	electric
power	NN	power
was	VBD	be
cut	VVN	cut
off	RP	off
of	IN	of
most	JJS	most
of	IN	of
the	DT	the
hospital	NN	hospital
the	DT	the
fourth	JJ	fourth
story	NN	story
of	IN	of
the	DT	the
delivery	NN	delivery
unit	NN	unit
was	VBD	be
shill	NN	shill
the	DT	the
Outpatient	NN	outpatient
Clinic	NP	Clinic
was	VBD	be
also	RB	also
shilled	VVN	shilled
the	DT	the
outer	JJ	outer
gate	NN	gate
and	CC	and
the	DT	the
main	JJ	main
yard	NN	yard
and	CC	and
the	DT	the
walls	NNS	wall
were	VBD	be
also	RB	also
shilled	VVN	shilled
as	IN	as
a	DT	a
result	NN	result
fire	NN	fire
broke	VVD	break
out	RP	out
in	IN	in
the	DT	the
ambulance	NN	ambulance
within	IN	within
the	DT	the
hospital	NN	hospital
compound	NN	compound
and	CC	and
as	IN	as
we	PP	we
speak	VVP	speak
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continue	VVP	continue
to	TO	to
besiege	VV	besiege
and	CC	and
shell	VV	shell
the	DT	the
hospital	NN	hospital
the	DT	the
baby	NN	baby
born	VVN	bear
incubate	VVP	incubate
is	VBZ	be
now	RB	now
without	IN	without
power	NN	power
the	DT	the
oxygen	NN	oxygen
suppliers	NNS	supplier
are	VBP	be
also	RB	also
out	RB	out
now	RB	now
there	EX	there
is	VBZ	be
nothing	NN	nothing
but	CC	but
inevitable	JJ	inevitable
death	NN	death
this	DT	this
is	VBZ	be
what	WP	what
is	VBZ	be
waiting	VVG	wait
for	IN	for
the	DT	the
patients	NNS	patient
and	CC	and
victims	NNS	victim
and	CC	and
as	IN	as
we	PP	we
speak	VVP	speak
I	PP	I
receive	VV	receive
the	DT	the
latest	JJS	late
number	NN	number
39	CD	@card@
baby	NN	baby
born	VVN	bear
were	VBD	be
killed	VVN	kill
this	DT	this
is	VBZ	be
the	DT	the
number	NN	number
I	PP	I
just	RB	just
received	VVD	receive
39	CD	@card@
baby	NN	baby
born	VVN	bear
were	VBD	be
killed	VVN	kill
and	CC	and
the	DT	the
blood	NN	blood
of	IN	of
those	DT	those
children	NNS	child
are	VBP	be
on	IN	on
the	DT	the
hands	NNS	hand
of	IN	of
Israel	NP	Israel
and	CC	and
the	DT	the
International	NP	International
commun	NN	Commun
Community	NP	Community
39	CD	@card@
baby	NN	baby
born	VVN	bear
were	VBD	be
killed	VVN	kill
because	IN	because
of	IN	of
lack	NN	lack
of	IN	of
oxygen	NN	oxygen
the	DT	the
electric	JJ	electric
power	NN	power
is	VBZ	be
of	IN	of
those	DT	those
children	NNS	child
'	POS	'
s	NN	S
those	DT	those
babies	NNS	baby
their	PP$	their
blood	NN	blood
is	VBZ	be
on	IN	on
the	DT	the
hands	NNS	hand
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
and	CC	and
all	PDT	all
the	DT	the
people	NNS	people
of	IN	of
conscience	NN	conscience
yes	NN	yes
yesterday	NN	yesterday
the	DT	the
hospital	NN	hospital
was	VBD	be
shed	VVN	shed
by	IN	by
white	JJ	white
phosphorus	NN	phosphorus
this	DT	this
is	VBZ	be
internationally	RB	internationally
banned	VVN	ban
weapon	NN	weapon
and	CC	and
we	PP	we
are	VBP	be
wondering	VVG	wonder
who	WP	who
is	VBZ	be
responsible	JJ	responsible
and	CC	and
who	WP	who
is	VBZ	be
responsible	JJ	responsible
for	IN	for
holding	VVG	hold
Israel	NP	Israel
to	TO	to
account	VV	account
for	IN	for
Shilling	NP	Shilling
alifa	NP	alifa
hospital	NN	hospital
with	IN	with
white	JJ	white
phosphorus	NN	phosphorus
pediatric	JJ	pediatric
Children	NP	Children
Hospital	NP	Hospital
