welcome	JJ	welcome
to	TO	to
the	DT	the
program	NN	program
it	PP	it
'	POS	'
s	NN	S
19	CD	@card@
GMT	NN	GMT
that	RB	that
'	POS	'
s	NN	S
10	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
in	IN	in
Gaza	NP	Gaza
at	IN	at
least	JJS	least
500	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
in	IN	in
The	DT	the
besieged	JJ	besieged
Enclave	NN	enclave
that	RB	that
'	POS	'
s	NNS	s
according	VVG	accord
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
Ministry	NP	Ministry
hundreds	NNS	hundred
of	IN	of
families	NNS	family
were	VBD	be
Sheltering	VVG	shelter
in	IN	in
and	CC	and
around	IN	around
the	DT	the
Baptist	NP	Baptist
Hospital	NP	Hospital
Palestinian	NP	Palestinian
Authority	NP	Authority
president	NN	president
Mahmud	NP	Mahmud
abas	NNS	aba
called	VVD	call
the	DT	the
attack	NN	attack
a	DT	a
massacre	NN	massacre
and	CC	and
genocide	NN	genocide
in	IN	in
a	DT	a
statement	NN	statement
he	PP	he
went	VVD	go
on	IN	on
and	CC	and
said	VVD	say
that	IN/that	that
he	PP	he
will	MD	will
not	RB	not
be	VB	be
meeting	VVG	meet
with	IN	with
the	DT	the
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
when	WRB	when
he	PP	he
visits	VVZ	visit
the	DT	the
region	NN	region
the	DT	the
Palestinian	JJ	Palestinian
Liberation	NP	Liberation
Organization	NP	Organization
has	VHZ	have
released	VVN	release
a	DT	a
statement	NN	statement
in	IN	in
response	NN	response
to	TO	to
the	DT	the
attack	NN	attack
it	PP	it
says	VVZ	say
we	PP	we
call	VV	call
on	IN	on
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
intervene	VV	intervene
immediately	RB	immediately
to	TO	to
stop	VV	stop
this	DT	this
massacre	NN	massacre
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
our	PP$	our
correspondent	NN	correspondent
now	RB	now
T	NN	T
Abu	NP	Abu
AUM	NP	AUM
who	WP	who
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
KH	NP	KH
Unis	NNS	uni
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
T	NN	T
any	DT	any
further	JJR	further
information	NN	information
about	IN	about
what	WP	what
un	NNS	un
folded	VVN	fold
at	IN	at
the	DT	the
Baptist	JJ	Baptist
hospital	NN	hospital
this	DT	this
evening	NN	evening
well	RB	well
firstly	RB	firstly
I	NP	I
'	POS	'
d	NN	d
like	VVP	like
to	TO	to
start	VV	start
with	IN	with
the	DT	the
latest	JJS	late
update	NN	update
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
an	DT	an
official	JJ	official
Source	NN	source
in	IN	in
Hamas	JJ	Hamas
movement	NN	movement
had	VHD	have
told	VVN	tell
us	PP	us
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
ready	JJ	ready
to	TO	to
release	VV	release
uh	UH	uh
civilian	JJ	civilian
and	CC	and
foreign	JJ	foreign
captives	NNS	captive
if	IN	if
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
stop	VV	stop
its	PP$	its
aggression	NN	aggression
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
latest	JJS	late
updates	NNS	update
that	IN/that	that
we	PP	we
have	VHP	have
got	VVN	get
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
according	VVG	accord
to	TO	to
official	JJ	official
sources	NNS	source
that	WDT	that
had	VHD	have
told	VVN	tell
us	PP	us
during	IN	during
the	DT	the
last	JJ	last
hour	NN	hour
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
was	VBD	be
happening	VVG	happen
in	IN	in
al	NP	al
-	NN	-
madani	NNS	madani
and	CC	and
in	IN	in
Arab	NP	Arab
a	DT	a
hospital	NN	hospital
according	VVG	accord
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
death	NN	death
to	TO	to
still	RB	still
really	RB	really
spiking	VVG	spike
according	VVG	accord
to	TO	to
the	DT	the
latest	JJS	late
updates	NNS	update
that	IN/that	that
we	PP	we
had	VHN	have
uh	UH	uh
reached	VVN	reach
from	IN	from
the	DT	the
Palestinian	NP	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
that	IN/that	that
the	DT	the
number	NN	number
of	IN	of
people	NNS	people
vict	JJ	vict
of	IN	of
the	DT	the
victims	NNS	victim
uh	UH	uh
killed	VVN	kill
by	IN	by
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
uh	UH	uh
air	NN	air
strikes	NNS	strike
has	VHZ	have
reached	VVN	reach
around	RP	around
approximately	RB	approximately
from	IN	from
200	CD	@card@
up	RB	up
to	TO	to
500	CD	@card@
uh	UH	uh
Palestinians	NPS	Palestinians
who	WP	who
were	VBD	be
killed	VVN	kill
uh	UH	uh
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
that	WDT	that
hospital	NN	hospital
uh	UH	uh
this	DT	this
Hospital	NN	hospital
was	VBD	be
densely	RB	densely
populated	VVN	populate
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
who	WP	who
were	VBD	be
really	RB	really
displaced	VVN	displace
from	IN	from
the	DT	the
houses	NNS	house
after	IN	after
receiving	VVG	receive
different	JJ	different
warnings	NNS	warning
from	IN	from
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
to	TO	to
to	TO	to
evacuate	VV	evacuate
the	DT	the
houses	VVZ	house
uh	UH	uh
this	DT	this
uh	UH	uh
densely	RB	densely
populated	VVN	populate
Hospital	NN	hospital
also	RB	also
was	VBD	be
a	DT	a
shelter	NN	shelter
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
who	WP	who
really	RB	really
uh	UH	uh
run	VV	run
away	RB	away
from	IN	from
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
compartment	NN	compartment
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
till	IN	till
this	DT	this
current	JJ	current
moment	NN	moment
Medical	JJ	medical
Teams	NNS	team
are	VBP	be
trying	VVG	try
to	TO	to
identify	VV	identify
the	DT	the
number	NN	number
of	IN	of
victims	NNS	victim
and	CC	and
even	RB	even
are	VBP	be
providing	VVG	provide
a	DT	a
treatment	NN	treatment
for	IN	for
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
are	VBP	be
being	VBG	be
victim	NN	victim
and	CC	and
the	DT	the
new	JJ	new
victims	NNS	victim
that	WDT	that
had	VHD	have
who	WP	who
have	VHP	have
been	VBN	be
injured	VVN	injure
and	CC	and
the	DT	the
new	JJ	new
injuries	NNS	injury
that	WDT	that
have	VHP	have
turned	VVN	turn
up	RP	up
to	TO	to
the	DT	the
hospital	NN	hospital
it	PP	it
'	POS	'
s	NN	S
also	RB	also
important	JJ	important
to	TO	to
mention	VV	mention
that	IN/that	that
the	DT	the
director	NN	director
of	IN	of
a	DT	a
shifat	NN	shifat
hospital	NN	hospital
said	VVD	say
that	IN/that	that
we	PP	we
are	VBP	be
conducting	VVG	conduct
and	CC	and
carrying	VVG	carry
out	RP	out
operations	NNS	operation
on	IN	on
the	DT	the
on	IN	on
on	IN	on
the	DT	the
ground	NN	ground
it	PP	it
seems	VVZ	seem
that	IN/that	that
even	RB	even
medical	JJ	medical
uh	UH	uh
facilities	NNS	facility
are	VBP	be
not	RB	not
yet	RB	yet
enough	JJ	enough
uh	UH	uh
to	TO	to
keep	VV	keep
providing	VVG	provide
medical	JJ	medical
treatment	NN	treatment
for	IN	for
the	DT	the
great	JJ	great
number	NN	number
of	IN	of
people	NNS	people
wounded	VVN	wound
in	IN	in
this	DT	this
air	NN	air
strike	NN	strike
TK	NP	TK
how	WRB	how
does	VVZ	do
the	DT	the
intensification	NN	intensification
of	IN	of
this	DT	this
evening	NN	evening
'	POS	'
s	NN	S
bombardment	NN	bombardment
compared	VVN	compare
to	TO	to
the	DT	the
previous	JJ	previous
11	CD	@card@
days	NNS	day
well	RB	well
this	DT	this
is	VBZ	be
the	DT	the
uh	UH	uh
bloodiest	JJS	bloody
attack	NN	attack
that	WDT	that
had	VHD	have
been	VBN	be
carried	VVN	carry
out	RP	out
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
on	IN	on
the	DT	the
Gaza	NP	Gaza
trp	NP	trp
since	IN	since
the	DT	the
early	JJ	early
outbreak	NN	outbreak
of	IN	of
this	DT	this
round	NN	round
of	IN	of
fighting	VVG	fight
between	IN	between
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	VVZ	force
uh	UH	uh
you	PP	you
are	VBP	be
talking	VVG	talk
about	IN	about
a	DT	a
huge	JJ	huge
number	NN	number
of	IN	of
victims	NNS	victim
in	IN	in
comparison	NN	comparison
with	IN	with
