fire	NN	fire
on	IN	on
their	PP$	their
way	NN	way
to	TO	to
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
it	PP	it
was	VBD	be
clear	JJ	clear
what	WP	what
they	PP	they
wanted	VVD	want
to	TO	to
hear	VV	hear
to	TO	to
these	DT	these
protesters	NNS	protester
the	DT	the
world	NN	world
'	POS	'
s	JJ	s
highest	JJS	high
court	NN	court
was	VBD	be
their	PP$	their
last	JJ	last
hope	NN	hope
to	TO	to
stop	VV	stop
Israel	NP	Israel
'	POS	'
s	JJ	s
military	JJ	military
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
among	IN	among
them	PP	them
Palestinians	NNS	Palestinian
living	VVG	live
in	IN	in
Europe	NP	Europe
Keen	NP	Keen
to	TO	to
relay	VV	relay
some	DT	some
good	JJ	good
news	NN	news
to	TO	to
their	PP$	their
relatives	NNS	relative
back	RB	back
home	RB	home
actually	RB	actually
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
big	JJ	big
day	NN	day
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
historic	JJ	historic
moment	NN	moment
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
day	NN	day
that	IN/that	that
we	PP	we
hope	VVP	hope
that	IN/that	that
our	PP$	our
hope	NN	hope
and	CC	and
the	DT	the
International	NP	International
Community	NP	Community
will	MD	will
be	VB	be
born	VVN	bear
again	RB	again
relief	NN	relief
when	WRB	when
the	DT	the
Court	NP	Court
'	POS	'
s	NN	S
president	NN	president
Joan	NP	Joan
donu	NP	donu
acknowledged	VVD	acknowledge
the	DT	the
suffering	NN	suffering
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
and	CC	and
ordered	VVD	order
Israel	NP	Israel
to	TO	to
take	VV	take
all	DT	all
measures	NNS	measure
to	TO	to
prevent	VV	prevent
genocide	NN	genocide
but	CC	but
the	DT	the
mood	NN	mood
changed	VVD	change
when	WRB	when
it	PP	it
became	VVD	become
clear	VV	clear
the	DT	the
court	NN	court
did	VVD	do
not	RB	not
order	VV	order
Israel	NP	Israel
to	TO	to
stop	VV	stop
the	DT	the
war	NN	war
the	DT	the
ruling	NN	ruling
is	VBZ	be
is	VBZ	be
is	VBZ	be
not	RB	not
good	JJ	good
enough	NN	enough
I	PP	I
mean	VVP	mean
we	PP	we
'	''	'
ve	NNS	ve
made	VVD	make
some	DT	some
good	JJ	good
wins	NNS	win
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
you	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
order	VV	order
