<video_id>Ulij6owJ7Wo</video_id>	JJ	<video_id>Ulij6owJ7Wo</video_id>
<video_title>Palestinians	NNS	<video_title>Palestinians
return	NN	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
to	TO	to
find	VV	find
widespread	JJ	widespread
destruction</video_title>	NN	destruction</video_title>
<thumbnail_path>data/en_AJ\Palestinians	NNS	<thumbnail_path>data/en_AJ\Palestinians
return	NN	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
to	TO	to
find	VV	find
widespread	JJ	widespread
destruction.jpg</thumbnail_path>	JJ	destruction.jpg</thumbnail_path>
<publish_date>20240407</publish_date>	NN	<publish_date>20240407</publish_date>
<doc>	NN	<doc>
some	DT	some
displaced	VVN	displace
Palestinians	NNS	Palestinian
are	VBP	be
venturing	VVG	venture
out	RP	out
of	IN	of
camps	NNS	camp
to	TO	to
visit	VV	visit
what	WP	what
is	VBZ	be
left	VVN	leave
of	IN	of
their	PP$	their
homes	NNS	home
after	IN	after
the	DT	the
Israeli	JJ	Israeli
troop	NN	troop
withdrawal	NN	withdrawal
many	JJ	many
areas	NNS	area
have	VHP	have
been	VBN	be
raised	VVN	raise
to	TO	to
the	DT	the
ground	NN	ground
during	IN	during
bombing	NN	bombing
hoder	NN	hoder
visited	VVD	visit
some	DT	some
of	IN	of
the	DT	the
streets	NNS	street
and	CC	and
homes	NNS	home
destroyed	VVN	destroy
by	IN	by
Israel's	NP	Israel's
military	JJ	military
I'm	NN	I'm
currently	RB	currently
in	IN	in
the	DT	the
heart	NN	heart
of	IN	of
kanun	NN	kanun
after	IN	after
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
withdrew	VVD	withdraw
from	IN	from
the	DT	the
area	NN	area
after	IN	after
four	CD	four
months	NNS	month
of	IN	of
endless	JJ	endless
violence	NN	violence
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
were	VBD	be
stationed	VVN	station
here	RB	here
we	PP	we
can	MD	can
see	VV	see
in	IN	in
the	DT	the
houses	NNS	house
writings	NNS	writing
in	IN	in
Hebrew	NP	Hebrew
and	CC	and
leftovers	NNS	leftover
from	IN	from
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
the	DT	the
destruction	NN	destruction
is	VBZ	be
massive	JJ	massive
these	DT	these
are	VBP	be
Israeli	JJ	Israeli
writings	NNS	writing
and	CC	and
they	PP	they
are	VBP	be
all	RB	all
over	IN	over
this	DT	this
building	NN	building
and	CC	and
we	PP	we
witnessed	VVD	witness
that	IN/that	that
a	DT	a
couple	NN	couple
of	IN	of
houses	NNS	house
have	VHP	have
been	VBN	be
also	RB	also
having	VHG	have
the	DT	the
same	JJ	same
words	NNS	word
and	CC	and
the	DT	the
same	JJ	same
drawings	NNS	drawing
they	PP	they
literally	RB	literally
left	VVD	leave
their	PP$	their
writings	NNS	writing
on	IN	on
every	DT	every
house	NN	house
they	PP	they
invaded	VVD	invade
and	CC	and
stormed	VVD	storm
inun	NN	inun
we	PP	we
don't	VVD	don't
really	RB	really
understand	VV	understand
what	WP	what
these	DT	these
are	VBP	be
written	VVN	write
some	DT	some
people	NNS	people
use	VV	use
Google	NP	Google
Translate	VV	translate
to	TO	to
understand	VV	understand
the	DT	the
messages	NNS	message
that	IN/that	that
Israeli	JJ	Israeli
forces	NNS	force
left	VVN	leave
in	IN	in
their	PP$	their
houses	NNS	house
and	CC	and
on	IN	on
their	PP$	their
walls	NNS	wall
and	CC	and
we're	NN	we're
also	RB	also
talking	VVG	talk
to	TO	to
some	DT	some
people	NNS	people
they're	NN	they're
saying	VVG	say
that	IN/that	that
they	PP	they
told	VVD	tell
like	IN	like
they	PP	they
told	VVD	tell
us	PP	us
that	IN/that	that
they	PP	they
do	VVP	do
not	RB	not
even	RB	even
recognize	VV	recognize
their	PP$	their
house	NN	house
and	CC	and
their	PP$	their
neighborhood	NN	neighborhood
from	IN	from
the	DT	the
amount	NN	amount
of	IN	of
Destruction	NN	destruction
all	RB	all
of	IN	of
the	DT	the
streets	NNS	street
are	VBP	be
completely	RB	completely
demolished	VVN	demolish
there	EX	there
are	VBP	be
no	DT	no
streets	NNS	street
anymore	RB	anymore
it	PP	it
is	VBZ	be
converted	VVN	convert
into	IN	into
a	DT	a
pile	NN	pile
of	IN	of
sand	NN	sand
even	RB	even
the	DT	the
houses	NNS	house
that	WDT	that
are	VBP	be
still	RB	still
standing	VVG	stand
they	PP	they
are	VBP	be
unsuitable	JJ	unsuitable
for	IN	for
living	VVG	live
where	WRB	where
it's	NN	it's
obvious	JJ	obvious
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
a	DT	a
lot	NN	lot
of	IN	of
battling	VVG	battle
between	IN	between
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
resistance	NN	resistance
the	DT	the
infrastructure	NN	infrastructure
the	DT	the
infrastructure	NN	infrastructure
has	VHZ	have
been	VBN	be
also	RB	also
deeply	RB	deeply
damaged	VVN	damage
in	IN	in
this	DT	this
area	NN	area
residents	NNS	resident
of	IN	of
kanun	NN	kanun
were	VBD	be
forced	VVN	force
to	TO	to
flee	VV	flee
from	IN	from
hunis	NNS	hunis
under	IN	under
gunfire	NN	gunfire
air	NN	air
strikes	NNS	strike
live	VVP	live
ammunition	NN	ammunition
and	CC	and
they	PP	they
evacuated	VVN	evacuate
to	TO	to
the	DT	the
and	CC	and
but	CC	but
the	DT	the
question	NN	question
is	VBZ	be
are	VBP	be
these	DT	these
people	NNS	people
going	VVG	go
back	RB	back
and	CC	and
if	IN	if
they're	NN	they're
going	VVG	go
back	RB	back
going	VVG	go
back	RB	back
