<video_id>7irE4vYsiWw</video_id>	NN	<video_id>7irE4vYsiWw</video_id>
<video_title>Palestinians	NNS	<video_title>Palestinians
were	VBD	be
‘running	VVG	‘running
for	IN	for
their	PP$	their
lives’	NN	lives’
as	IN	as
world	NN	world
celebrated	JJ	celebrated
arrival	NN	arrival
of	IN	of
2024</video_title>	JJ	2024</video_title>
<thumbnail_path>data/en_AJ\Palestinians	NNS	<thumbnail_path>data/en_AJ\Palestinians
were	VBD	be
‘running	VVG	‘running
for	IN	for
their	PP$	their
lives’	NN	lives’
as	IN	as
world	NN	world
celebrated	JJ	celebrated
arrival	NN	arrival
of	IN	of
2024.jpg</thumbnail_path>	JJ	2024.jpg</thumbnail_path>
<publish_date>20240101</publish_date>	NN	<publish_date>20240101</publish_date>
<doc>	NN	<doc>
well	RB	well
hany	NP	hany
Mahmud	NP	Mahmud
is	VBZ	be
joining	VVG	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
uh	UH	uh
hany	NN	hany
can	MD	can
you	PP	you
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
on	IN	on
the	DT	the
latest	JJS	late
on	IN	on
the	DT	the
strikes	NNS	strike
overnight	RB	overnight
and	CC	and
the	DT	the
current	JJ	current
state	NN	state
of	IN	of
the	DT	the
fighting	VVG	fight
yes	UH	yes
Harry	NP	Harry
it	PP	it
just	RB	just
uh	UH	uh
as	IN	as
the	DT	the
world	NN	world
celebrating	VVG	celebrate
a	DT	a
new	JJ	new
year	NN	year
uh	UH	uh
and	CC	and
with	IN	with
fireworks	NNS	firework
and	CC	and
and	CC	and
festivities	NNS	festivity
everywhere	RB	everywhere
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
are	VBP	be
running	VVG	run
for	IN	for
their	PP$	their
life	NN	life
are	VBP	be
looking	VVG	look
for	IN	for
places	NNS	place
to	TO	to
shelter	VV	shelter
in	RP	in
and	CC	and
take	VV	take
them	PP	them
as	IN	as
a	DT	a
refuge	NN	refuge
from	IN	from
the	DT	the
unpredictable	JJ	unpredictable
bombs	NNS	bomb
that	IN/that	that
overnight	JJ	overnight
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
been	VBN	be
pounded	VVN	pound
repeatedly	RB	repeatedly
but	CC	but
overnight	JJ	overnight
we're	NN	we're
looking	VVG	look
at	IN	at
an	DT	an
area	NN	area
that	WDT	that
was	VBD	be
designated	VVN	designate
as	IN	as
a	DT	a
safe	JJ	safe
zone	NN	zone
for	IN	for
Palestinian	NP	Palestinian
to	TO	to
evacuate	VV	evacuate
to	TO	to
namely	RB	namely
we're	VV	we're
talking	VVG	talk
in	IN	in
particular	JJ	particular
about	IN	about
der	NP	der
bah	NP	Bah
City	NP	City
where	WRB	where
a	DT	a
residential	JJ	residential
homes	NNS	home
was	VBD	be
targeted	VVN	target
a	DT	a
residen	NN	residen
full	JJ	full
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
and	CC	and
evacuates	VVZ	evacuate
from	IN	from
different	JJ	different
parts	NNS	part
of	IN	of
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
today	NN	today
the	DT	the
reports	NNS	report
of	IN	of
five	CD	five
Palestinian	NN	Palestinian
were	VBD	be
killed	VVN	kill
in	IN	in
that	DT	that
residential	JJ	residential
H	NP	H
Zone	NP	Zone
a	DT	a
different	JJ	different
air	NN	air
strikes	NNS	strike
and	CC	and
artillery	NN	artillery
shellings	NNS	shellings
at	IN	at
the	DT	the
Eastern	NP	Eastern
side	VV	side
uh	UH	uh
of	IN	of
the	DT	the
of	IN	of
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
in	IN	in
the	DT	the
central	JJ	central
part	NN	part
particularly	RB	particularly
we	PP	we
look	VVP	look
at	IN	at
more	JJR	more
refugee	NN	refugee
camps	NNS	camp
being	VBG	be
being	VBG	be
targeted	VVN	target
so	RB	so
far	RB	far
within	IN	within
the	DT	the
past	JJ	past
uh	UH	uh
few	JJ	few
weeks	NNS	week
we're	NN	we're
looking	VVG	look
at	IN	at
cities	NNS	city
we're	NN	we're
looking	VVG	look
at	IN	at
tows	NNS	tow
refugee	NN	refugee
camps	NNS	camp
being	VBG	be
uh	UH	uh
targeted	VVN	target
and	CC	and
more	RBR	more
residential	JJ	residential
homes	NNS	home
being	VBG	be
destroyed	VVN	destroy
more	JJR	more
displacement	NN	displacement
of	IN	of
Palestinians	NNS	Palestinian
in	IN	in
fact	NN	fact
as	RB	as
of	IN	of
now	RB	now
we're	NN	we're
looking	VVG	look
at	IN	at
a	DT	a
large	JJ	large
large	JJ	large
segments	NNS	segment
of	IN	of
the	DT	the
population	NN	population
more	JJR	more
than	IN	than
85%	CD	@card@
of	IN	of
the	DT	the
population	NN	population
is	VBZ	be
displaced	VVN	displace
and	CC	and
and	CC	and
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
them	PP	them
lives	VVZ	live
in	IN	in
tense	JJ	tense
in	IN	in
an	DT	an
open	JJ	open
largely	RB	largely
sand	NN	sand
area	NN	area
here	RB	here
in	IN	in
in	IN	in
in	IN	in
Rafa	NP	Rafa
City	NP	City
on	IN	on
this	DT	this
particular	JJ	particular
New	NP	New
Year	NP	Year
Eve	NP	Eve
Gins	NP	Gins
are	VBP	be
looking	VVG	look
for	IN	for
a	DT	a
safer	JJR	safe
one	CD	one
one	CD	one
in	IN	in
which	WDT	which
their	PP$	their
families	NNS	family
will	MD	will
prosper	VV	prosper
not	RB	not
buried	VVN	bury
under	IN	under
the	DT	the
rubbles	NNS	rubble
and	CC	and
not	RB	not
wrapped	VVN	wrap
in	IN	in
white	JJ	white
sheet	NN	sheet
and	CC	and
