well	RB	well
let	VV	let
'	''	'
s	NNS	s
now	RB	now
take	VVP	take
you	PP	you
to	TO	to
a	DT	a
live	JJ	live
press	NN	press
conference	NN	conference
that	IN/that	that
we	PP	we
are	VBP	be
hearing	VVG	hear
from	IN	from
Khan	NP	Khan
yunes	NNS	yunes
that	WDT	that
'	POS	'
s	NN	S
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
you	PP	you
'	POS	'
re	NN	re
listening	VVG	listen
now	RB	now
to	TO	to
representatives	NNS	representative
from	IN	from
the	DT	the
it	PP	it
'	POS	'
s	NN	S
an	DT	an
independent	JJ	independent
commission	NN	commission
for	IN	for
human	JJ	human
rights	NNS	right
I	PP	I
'	POS	'
ll	NNS	ll
get	VVP	get
you	PP	you
the	DT	the
name	NN	name
of	IN	of
that	DT	that
organization	NN	organization
presently	RB	presently
but	CC	but
let	VV	let
'	''	'
s	NNS	s
listen	VVP	listen
in	RP	in
and	CC	and
to	TO	to
terrorize	VV	terrorize
people	NNS	people
to	TO	to
cause	VV	cause
as	IN	as
much	JJ	much
unfairness	NN	unfairness
and	CC	and
torture	VVP	torture
to	TO	to
civilians	NNS	civilian
part	NN	part
or	CC	or
totally	RB	totally
this	DT	this
is	VBZ	be
the	DT	the
second	JJ	second
item	NN	item
that	WDT	that
says	VVZ	say
and	CC	and
explains	VVZ	explain
actions	NNS	action
that	WDT	that
can	MD	can
be	VB	be
considered	VVN	consider
genocide	NN	genocide
these	DT	these
three	CD	three
things	NNS	thing
mentioned	VVN	mention
in	IN	in
the	DT	the
second	JJ	second
item	NN	item
is	VBZ	be
quite	RB	quite
clear	JJ	clear
and	CC	and
is	VBZ	be
definitely	RB	definitely
apply	VV	apply
to	TO	to
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
here	RB	here
and	CC	and
what	WP	what
has	VHZ	have
been	VBN	be
done	VVN	do
by	IN	by
the	DT	the
occupation	NN	occupation
against	IN	against
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
we	PP	we
urge	VVP	urge
everyone	NN	everyone
to	TO	to
call	VV	call
these	DT	these
crimes	NNS	crime
the	DT	the
right	NN	right
names	VVZ	name
Collective	JJ	collective
crimes	NNS	crime
they	PP	they
are	VBP	be
collective	JJ	collective
crimes	NNS	crime
and	CC	and
we	PP	we
urge	VVP	urge
the	DT	the
national	JJ	national
Community	NN	community
to	TO	to
respect	VV	respect
the	DT	the
pal	NN	pal
the	DT	the
rights	NNS	right
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
to	TO	to
depend	VV	depend
on	IN	on
the	DT	the
agreement	NN	agreement
of	IN	of
stopping	VVG	stop
genocide	NN	genocide
responsibilities	NNS	responsibility
we	PP	we
say	VVP	say
that	IN/that	that
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
responsibility	NN	responsibility
of	IN	of
the	DT	the
occupation	NN	occupation
forces	VVZ	force
we	PP	we
see	VVP	see
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
is	VBZ	be
to	TO	to
be	VB	be
fully	RB	fully
responsible	JJ	responsible
not	RB	not
only	RB	only
by	IN	by
giving	VVG	give
a	DT	a
red	JJ	red
light	NN	light
to	TO	to
the	DT	the
occupation	NN	occupation
but	CC	but
this	DT	this
direct	JJ	direct
responsibility	NN	responsibility
is	VBZ	be
based	VVN	base
on	IN	on
being	VBG	be
partner	NN	partner
in	IN	in
the	DT	the
decision	NN	decision
maker	NN	maker
and	CC	and
we	PP	we
all	RB	all
know	VVP	know
that	IN/that	that
the	DT	the
US	NP	US
defense	NN	defense
secretary	NN	secretary
and	CC	and
the	DT	the
uh	UH	uh
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
have	VHP	have
played	VVN	play
their	PP$	their
part	NN	part
and	CC	and
their	PP$	their
role	NN	role
in	IN	in
the	DT	the
Council	NP	Council
of	IN	of
War	NP	War
meetings	NNS	meeting
and	CC	and
they	PP	they
were	VBD	be
playing	VVG	play
and	CC	and
acting	VVG	act
and	CC	and
supporting	VVG	support
actions	NNS	action
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
we	PP	we
all	RB	all
know	VVP	know
the	DT	the
centers	NNS	center
of	IN	of
weapons	NNS	weapon
given	VVN	give
to	TO	to
Israel	NP	Israel
and	CC	and
we	PP	we
all	RB	all
know	VVP	know
the	DT	the
security	NN	security
control	NN	control
practiced	VVD	practice
and	CC	and
the	DT	the
Marine	NP	Marine
forces	NNS	force
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
have	VHP	have
moved	VVN	move
to	TO	to
the	DT	the
to	TO	to
the	DT	the
area	NN	area
in	IN	in
addition	NN	addition
to	TO	to
that	WDT	that
the	DT	the
US	NP	US
as	IN	as
a	DT	a
us	PP	us
has	VHZ	have
veted	VVN	veted
any	DT	any
decision	NN	decision
against	IN	against
the	DT	the
victims	NNS	victim
of	IN	of
this	DT	this
Geno	NP	Geno
side	NN	side
we	PP	we
are	VBP	be
directly	RB	directly
talking	VVG	talk
to	TO	to
the	DT	the
American	JJ	American
people	NNS	people
and	CC	and
we	PP	we
say	VVP	say
clearly	RB	clearly
we	PP	we
as	IN	as
a	DT	a
human	JJ	human
right	NN	right
Independent	NP	Independent
Community	NP	Community
we	PP	we
carry	VVP	carry
the	DT	the
category	NN	category
a	DT	a
and	CC	and
we	PP	we
tell	VVP	tell
you	PP	you
that	IN/that	that
your	PP$	your
president	NN	president
and	CC	and
your	PP$	your
army	NN	army
are	VBP	be
taking	VVG	take
part	NN	part
in	IN	in
these	DT	these
genocides	NNS	genocide
in	IN	in
Gaza	NP	Gaza
another	DT	another
important	JJ	important
matter	NN	matter
which	WDT	which
is	VBZ	be
the	DT	the
goals	NNS	goal
according	VVG	accord
to	TO	to
what	WP	what
have	VHP	have
been	VBN	be
documented	VVN	document
by	IN	by
us	PP	us
and	CC	and
our	PP$	our
field	NN	field
follow	VV	follow
-	NN	-
ups	NNS	up
we	PP	we
have	VHP	have
seen	VVN	see
that	IN/that	that
there	EX	there
are	VBP	be
announced	JJ	announced
goals	NNS	goal
but	CC	but
the	DT	the
real	JJ	real
goal	NN	goal
is	VBZ	be
different	JJ	different
we	PP	we
need	VVP	need
to	TO	to
concentrate	VV	concentrate
on	IN	on
these	DT	these
goals	NNS	goal
first	JJ	first
of	IN	of
all	PDT	all
the	DT	the
collective	JJ	collective
punishment	NN	punishment
and	CC	and
killing	NN	killing
and	CC	and
the	DT	the
big	JJ	big
numbers	NNS	number
the	DT	the
massive	JJ	massive
numbers	NNS	number
of	IN	of
motives	NNS	motive
and	CC	and
of	IN	of
wounded	JJ	wounded
people	NNS	people
is	VBZ	be
a	DT	a
clear	JJ	clear
indication	NN	indication
also	RB	also
the	DT	the
massive	JJ	massive
destruction	NN	destruction
is	VBZ	be
another	DT	another
clear	JJ	clear
indication	NN	indication
they	PP	they
have	VHP	have
destroyed	VVN	destroy
us	PP	us
and	CC	and
this	DT	this
is	VBZ	be
another	DT	another
evidence	NN	evidence
to	TO	to
say	VV	say
that	IN/that	that
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
goals	NNS	goal
and	CC	and
other	JJ	other
thing	NN	thing
we	PP	we
have	VHP	have
documented	VVN	document
that	IN/that	that
the	DT	the
arrogance	NN	arrogance
of	IN	of
the	DT	the
occupation	NN	occupation
the	DT	the
they	PP	they
behave	VVP	behave
in	IN	in
a	DT	a
very	RB	very
arrogant	JJ	arrogant
way	NN	way
against	IN	against
our	PP$	our
victims	NNS	victim
they	PP	they
behave	VVP	behave
in	IN	in
an	DT	an
arrogant	JJ	arrogant
way	NN	way
against	IN	against
our	PP$	our
Palestinian	JJ	Palestinian
people	NNS	people
they	PP	they
are	VBP	be
very	RB	very
arrogant	JJ	arrogant
and	CC	and
they	PP	they
want	VVP	want
to	TO	to
say	VV	say
that	IN/that	that
we	PP	we
are	VBP	be
the	DT	the
able	JJ	able
and	CC	and
we	PP	we
are	VBP	be
the	DT	the
capable	JJ	capable
to	TO	to
do	VV	do
anything	NN	anything
in	IN	in
Gaza	NP	Gaza
and	CC	and
then	RB	then
another	DT	another
goal	NN	goal
and	CC	and
I	PP	I
want	VVP	want
the	DT	the
mass	JJ	mass
media	NNS	medium
Outlet	NN	outlet
to	TO	to
concentrate	VV	concentrate
on	IN	on
this	DT	this
we	PP	we
are	VBP	be
trying	VVG	try
to	TO	to
prevent	VV	prevent
what	WP	what
will	MD	will
happen	VV	happen
we	PP	we
have	VHP	have
seen	VVN	see
people	NNS	people
being	VBG	be
forced	VVN	force
to	TO	to
uh	UH	uh
be	VB	be
displaced	VVN	displace
and	CC	and
if	IN	if
you	PP	you
seen	VVN	see
the	DT	the
bombardment	NN	bombardment
of	IN	of
the	DT	the
Eastern	JJ	eastern
parts	NNS	part
of	IN	of
Khan	NP	Khan
Unice	NP	Unice
Khan	NP	Khan
Unice	NP	Unice
now	RB	now
is	VBZ	be
an	DT	an
operation	NN	operation
area	NN	area
and	CC	and
they	PP	they
have	VHP	have
