thank	VV	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
it	PP	it
'	POS	'
s	NN	S
10	CD	@card@
GMT	NN	GMT
1	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
in	IN	in
Gaza	NP	Gaza
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
begin	VVP	begin
this	DT	this
newsour	NN	newsour
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
unrelenting	JJ	unrelenting
in	IN	in
its	PP$	its
attacks	NNS	attack
targeting	VVG	target
refugee	NN	refugee
camps	NNS	camp
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
forcibly	RB	forcibly
displaced	VVN	displace
Palestinians	NPS	Palestinians
are	VBP	be
Sheltering	VVG	shelter
in	IN	in
those	DT	those
camps	NNS	camp
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
strip	NN	strip
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
have	VHP	have
intensified	VVN	intensify
on	IN	on
the	DT	the
bour	NN	bour
nerit	NN	nerit
and	CC	and
magazi	NN	magazi
camps	NNS	camp
strikes	NNS	strike
across	IN	across
central	JJ	central
Gaza	NP	Gaza
have	VHP	have
killed	VVN	kill
at	IN	at
least	JJS	least
15	CD	@card@
Palestinians	NNS	Palestinian
in	IN	in
just	RB	just
the	DT	the
past	JJ	past
few	JJ	few
hours	NNS	hour
and	CC	and
overnight	JJ	overnight
into	IN	into
Friday	NP	Friday
at	IN	at
least	JJS	least
five	CD	five
people	NNS	people
were	VBD	be
killed	VVN	kill
by	IN	by
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
in	IN	in
the	DT	the
nerat	NN	nerat
camp	NN	camp
the	DT	the
mayor	NN	mayor
of	IN	of
the	DT	the
camp	NN	camp
and	CC	and
two	CD	two
members	NNS	member
of	IN	of
his	PP$	his
family	NN	family
were	VBD	be
among	IN	among
the	DT	the
victims	NNS	victim
let	VVD	let
'	''	'
s	NNS	s
get	VVP	get
an	DT	an
update	NN	update
on	IN	on
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
speak	VV	speak
to	TO	to
aler	NP	Aler
Tark	NP	Tark
abum	NN	abum
who	WP	who
'	POS	'
s	NN	S
outside	IN	outside
ala	NN	ala
Hospital	NN	hospital
in	IN	in
darl	NN	darl
Bara	NP	Bara
Central	NP	Central
Gaza	NP	Gaza
more	RBR	more
deadly	JJ	deadly
strikes	NNS	strike
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
strip	NN	strip
tar	NN	tar
why	WRB	why
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
military	NN	military
focusing	VVG	focus
on	IN	on
these	DT	these
