well	RB	well
joining	VVG	join
us	PP	us
now	RB	now
from	IN	from
inside	IN	inside
the	DT	the
University	NP	University
campus	NN	campus
is	VBZ	be
todak	NP	todak
Kenny	NP	Kenny
shawa	VVZ	shawa
he	PP	he
'	''	'
s	VVG	s
a	DT	a
former	JJ	former
Columbia	NP	Columbia
University	NP	University
graduate	NN	graduate
student	NN	student
and	CC	and
he	PP	he
'	POS	'
s	NN	S
now	RB	now
a	DT	a
policy	NN	policy
fellow	NN	fellow
at	IN	at
Al	NP	Al
Shabaka	NP	Shabaka
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
Palestinian	JJ	Palestinian
policy	NN	policy
Think	VV	think
Tank	NP	Tank
welcome	VV	welcome
to	TO	to
Al	NP	Al
jazer	NN	jazer
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
what	WP	what
you	PP	you
saw	VVD	see
while	IN	while
you	PP	you
were	VBD	be
on	IN	on
the	DT	the
grounds	NNS	ground
of	IN	of
Columbia	NP	Columbia
University	NP	University
yes	RB	yes
of	IN	of
course	VV	course
uh	UH	uh
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
on	IN	on
first	JJ	first
of	IN	of
all	DT	all
um	NN	um
so	IN	so
I	PP	I
was	VBD	be
just	RB	just
at	IN	at
the	DT	the
the	DT	the
encampment	NN	encampment
in	IN	in
front	NN	front
of	IN	of
Butler	NP	Butler
Library	NP	Library
and	CC	and
after	IN	after
um	NNS	um
warning	VVG	warn
students	NNS	student
that	IN/that	that
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
move	VV	move
in	IN	in
they	PP	they
finally	RB	finally
did	VVD	do
and	CC	and
they	PP	they
carried	VVD	carry
out	RP	out
at	IN	at
least	JJS	least
30	CD	@card@
arrests	NNS	arrest
I	PP	I
believe	VVP	believe
um	NNS	um
and	CC	and
and	CC	and
since	IN	since
they	PP	they
'	POS	'
ve	NN	ve
carried	VVD	carry
out	RP	out
the	DT	the
arrests	NNS	arrest
um	JJ	um
additional	JJ	additional
hundreds	NNS	hundred
of	IN	of
additional	JJ	additional
students	NNS	student
have	VHP	have
come	VVN	come
to	TO	to
the	DT	the
have	VHP	have
come	VVN	come
to	TO	to
the	DT	the
um	NN	um
the	DT	the
west	JJ	west
lawn	NN	lawn
in	IN	in
front	NN	front
of	IN	of
Butler	NP	Butler
Library	NP	Library
and	CC	and
have	VHP	have
taken	VVN	take
it	PP	it
over	IN	over
instead	RB	instead
um	JJ	um
so	IN	so
it	PP	it
looks	VVZ	look
like	IN	like
this	DT	this
this	DT	this
arrest	NN	arrest
campaign	NN	campaign
is	VBZ	be
actually	RB	actually
galvanized	JJ	galvanized
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
other	JJ	other
Columbia	NP	Columbia
students	NNS	student
to	TO	to
come	VV	come
out	RP	out
and	CC	and
support	NN	support
of	IN	of
uh	UH	uh
students	NNS	student
who	WP	who
have	VHP	have
been	VBN	be
arrested	VVN	arrest
by	IN	by
the	DT	the
NYPD	NN	NYPD
and	CC	and
are	VBP	be
currently	RB	currently
being	VBG	be
taken	VVN	take
how	WRB	how
many	JJ	many
students	NNS	student
would	MD	would
you	PP	you
say	VVP	say
are	VBP	be
out	RB	out
