<video_id>R2smUZwCra0</video_id>	JJ	<video_id>R2smUZwCra0</video_id>
<video_title>Pressure	NN	<video_title>Pressure
growing	VVG	grow
for	IN	for
Gaza	NP	Gaza
ceasefire:	JJ	ceasefire:
Israeli	JJ	Israeli
war	NN	war
cabinet	NN	cabinet
meets	VVZ	meet
as	IN	as
attacks	NNS	attack
continue</video_title>	JJ	continue</video_title>
<thumbnail_path>data/en_AJ\Pressure	NN	<thumbnail_path>data/en_AJ\Pressure
growing	VVG	grow
for	IN	for
Gaza	NP	Gaza
ceasefire	NN	ceasefire
Israeli	JJ	Israeli
war	NN	war
cabinet	NN	cabinet
meets	VVZ	meet
as	IN	as
attacks	NNS	attack
continue.jpg</thumbnail_path>	JJ	continue.jpg</thumbnail_path>
<publish_date>20240602</publish_date>	NN	<publish_date>20240602</publish_date>
<doc>	NN	<doc>
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
we	PP	we
begin	VVP	begin
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
Israeli	JJ	Israeli
attacks	NNS	attack
continue	VVP	continue
even	RB	even
as	IN	as
talks	NNS	talk
ramp	VVP	ramp
up	RP	up
inside	IN	inside
Israel	NP	Israel
and	CC	and
internationally	RB	internationally
around	IN	around
the	DT	the
latest	JJS	late
plan	NN	plan
to	TO	to
end	VV	end
the	DT	the
war	NN	war
a	DT	a
divided	VVN	divide
Israeli	JJ	Israeli
War	NP	War
cabinet	NN	cabinet
is	VBZ	be
meeting	VVG	meet
to	TO	to
discuss	VV	discuss
the	DT	the
latest	JJS	late
plan	NN	plan
the	DT	the
US	NP	US
president	NN	president
has	VHZ	have
said	VVN	say
it	PP	it
was	VBD	be
proposed	VVN	propose
by	IN	by
Israel	NP	Israel
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
netanyahu's	NP	netanyahu's
far-right	JJ	far-right
ministers	NNS	minister
have	VHP	have
threatened	VVN	threaten
to	TO	to
topple	VV	topple
the	DT	the
government	NN	government
if	IN	if
he	PP	he
agrees	VVZ	agree
to	TO	to
the	DT	the
deal	NN	deal
in	IN	in
Cairo	NP	Cairo
Egypt	NP	Egypt
has	VHZ	have
told	VVN	tell
Israel	NP	Israel
that	IN/that	that
it	PP	it
must	MD	must
withdraw	VV	withdraw
from	IN	from
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
to	TO	to
allow	VV	allow
it	PP	it
to	TO	to
operate	VV	operate
again	RB	again
Israel	NP	Israel
took	VVD	take
military	JJ	military
control	NN	control
of	IN	of
the	DT	the
Crossing	NN	crossing
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
just	RB	just
over	IN	over
3	CD	@card@
weeks	NNS	week
ago	RB	ago
while	IN	while
Israel	NP	Israel
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jaer	NP	jaer
from	IN	from
reporting	VVG	report
from	IN	from
there	EX	there
so	RB	so
we	PP	we
are	VBP	be
joining	VVG	join
Sarah	NP	Sarah
hirat	NN	hirat
who	WP	who
is	VBZ	be
in	IN	in
Aman	NP	Aman
Jordan	NP	Jordan
so	IN	so
some	DT	some
mixed	JJ	mixed
messages	NNS	message
from	IN	from
the	DT	the
Israeli	JJ	Israeli
cabinet	NN	cabinet
about	IN	about
the	DT	the
plan	NN	plan
to	TO	to
end	VV	end
the	DT	the
war	NN	war
Sarah	NP	Sarah
are	VBP	be
we	PP	we
likely	JJ	likely
to	TO	to
hear	VV	hear
a	DT	a
definitive	JJ	definitive
response	NN	response
after	IN	after
this	DT	this
cabinet	NN	cabinet
meeting	NN	meeting
today	NN	today
certainly	RB	certainly
Folly	NN	folly
we	PP	we
know	VVP	know
that	IN/that	that
they're	NN	they're
discussing	VVG	discuss
this	DT	this
deal	NN	deal
at	IN	at
the	DT	the
moment	NN	moment
that's	NNS	that's
certainly	RB	certainly
what	WP	what
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
saying	VVG	say
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
hearing	NN	hearing
from	IN	from
uh	UH	uh
people	NNS	people
in	IN	in
the	DT	the
government	NN	government
in	IN	in
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
days	NNS	day
since	IN	since
Joe	NP	Joe
Biden	NP	Biden
put	VVD	put
that	DT	that
proposal	NN	proposal
forward	VV	forward
uh	UH	uh
first	RB	first
of	IN	of
all	DT	all
saying	NN	saying
that	IN/that	that
it	PP	it
was	VBD	be
an	DT	an
Israeli	JJ	Israeli
plan	NN	plan
because	IN	because
there	EX	there
was	VBD	be
some	DT	some
confusion	NN	confusion
as	IN	as
to	TO	to
whether	IN	whether
this	DT	this
something	NN	something
was	VBD	be
that	IN/that	that
the	DT	the
US	NP	US
had	VHD	have
pushed	VVN	push
or	CC	or
whether	IN	whether
the	DT	the
Israelis	NPS	Israelis
had	VHD	have
pushed	VVN	push
this	DT	this
forward	RB	forward
but	CC	but
also	RB	also
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
saying	VVG	say
the	DT	the
Israeli	JJ	Israeli
government	NN	government
of	IN	of
course	NN	course
and	CC	and
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
uh	UH	uh
that	IN/that	that
they	PP	they
will	MD	will
there	RB	there
will	MD	will
be	VB	be
no	DT	no
permanent	JJ	permanent
ceasefire	NN	ceasefire
at	IN	at
all	DT	all
until	IN	until
they	PP	they
get	VVP	get
rid	JJ	rid
of	IN	of
Hamas	NNS	Hamas
however	RB	however
they	PP	they
have	VHP	have
also	RB	also
said	VVN	say
that	IN/that	that
they	PP	they
have	VHP	have
agreed	VVN	agree
to	TO	to
this	DT	this
three-part	JJ	three-part
phase	NN	phase
plan	NN	plan
which	WDT	which
was	VBD	be
they're	RB	they're
saying	VVG	say
was	VBD	be
one	CD	one
of	IN	of
their	PP$	their
ideas	NNS	idea
um	NNS	um
and	CC	and
also	RB	also
they're	NN	they're
saying	VVG	say
that	IN/that	that
in	IN	in
those	DT	those
first	JJ	first
six	CD	six
weeks	NNS	week
of	IN	of
this	DT	this
uh	UH	uh
ceasefire	NN	ceasefire
deal	NN	deal
if	IN	if
it	PP	it
was	VBD	be
to	TO	to
happen	VV	happen
of	IN	of
course	NN	course
um	NNS	um
they	PP	they
would	MD	would
negotiate	VV	negotiate
with	IN	with
Hamas	NN	Hamas
and	CC	and
then	RB	then
potentially	RB	potentially
go	VV	go
on	IN	on
to	TO	to
the	DT	the
second	JJ	second
deal	NN	deal
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
they're	NN	they're
saying	VVG	say
that	IN/that	that
they	PP	they
have	VHP	have
to	TO	to
get	VV	get
rid	JJ	rid
of	IN	of
them	PP	them
completely	RB	completely
not	RB	not
just	RB	just
militarily	RB	militarily
but	CC	but
as	IN	as
a	DT	a
governing	VVG	govern
body	NN	body
in	IN	in
the	DT	the
Gaza	NP	Gaza
strips	NNS	strip
I'm	NN	I'm
not	RB	not
sure	JJ	sure
how	WRB	how
they	PP	they
expect	VVP	expect
to	TO	to
do	VV	do
that	IN/that	that
in	IN	in
6	CD	@card@
weeks	NNS	week
however	RB	however
we	PP	we
have	VHP	have
heard	VVN	hear
from	IN	from
the	DT	the
defense	NN	defense
minister	NN	minister
y	NP	y
Galan	NP	Galan
who's	NN	who's
been	VBN	be
saying	VVG	say
uh	UH	uh
that	IN/that	that
they	PP	they
are	VBP	be
much	RB	much
weaker	JJR	weak
Hamas	NN	Hamas
and	CC	and
that	IN/that	that
they	PP	they
continue	VVP	continue
their	PP$	their
operations	NNS	operation
in	IN	in
ra	NNS	ra
but	CC	but
take	VV	take
a	DT	a
listen	NN	listen
to	TO	to
what	WP	what
he	PP	he
had	VHD	have
to	TO	to
say	VV	say
because	IN	because
this	DT	this
is	VBZ	be
crucial	JJ	crucial
the	DT	the
security	NN	security
establishment	NN	establishment
under	IN	under
my	PP$	my
instructions	NNS	instruction
is	VBZ	be
