<video_id>j4QVunI7CWc</video_id>	JJ	<video_id>j4QVunI7CWc</video_id>
<video_title>Protesters	NNS	<video_title>Protesters
in	IN	in
Ramallah	NP	Ramallah
gather	VVP	gather
to	TO	to
demand	VV	demand
better	JJR	good
treatment	NN	treatment
of	IN	of
Palestinians	NNS	Palestinian
held	VVN	hold
in	IN	in
Israeli	JJ	Israeli
jails</video_title>	JJ	jails</video_title>
<thumbnail_path>data/en_AJ\Protesters	NNS	<thumbnail_path>data/en_AJ\Protesters
in	IN	in
Ramallah	NP	Ramallah
gather	VVP	gather
to	TO	to
demand	VV	demand
better	JJR	good
treatment	NN	treatment
of	IN	of
Palestinians	NNS	Palestinian
held	VVN	hold
in	IN	in
Israeli	JJ	Israeli
jails.jpg</thumbnail_path>	JJ	jails.jpg</thumbnail_path>
<publish_date>20240221</publish_date>	NN	<publish_date>20240221</publish_date>
<doc>	NN	<doc>
we're	NN	we're
not	RB	not
going	VVG	go
to	TO	to
get	VV	get
used	VVN	use
to	TO	to
the	DT	the
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
chants	NNS	chant
we're	NN	we're
hearing	NN	hearing
here	RB	here
in	IN	in
ramala	NN	ramala
protesters	NNS	protester
who	WP	who
are	VBP	be
saying	VVG	say
that	IN/that	that
the	DT	the
world	NN	world
is	VBZ	be
normalizing	VVG	normalize
the	DT	the
Israeli	JJ	Israeli
aggression	NN	aggression
against	IN	against
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
you	PP	you
can	MD	can
see	VV	see
these	DT	these
are	VBP	be
the	DT	the
names	NNS	name
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
also	RB	also
protesters	NNS	protester
here	RB	here
are	VBP	be
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
using	VVG	use
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
to	TO	to
escalate	VV	escalate
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
with	IN	with
continued	JJ	continued
Israeli	JJ	Israeli
WS	NN	WS
intimidation	NN	intimidation
checkpoints	NNS	checkpoint
what	WP	what
we	PP	we
need	VVP	need
is	VBZ	be
more	JJR	more
pressure	NN	pressure
from	IN	from
around	IN	around
the	DT	the
world	NN	world
to	TO	to
end	VV	end
all	PDT	all
the	DT	the
support	NN	support
that	WDT	that
is	VBZ	be
coming	VVG	come
to	TO	to
Israel	NP	Israel
this	DT	this
is	VBZ	be
what	WP	what
would	MD	would
make	VV	make
an	DT	an
effect	NN	effect
is	VBZ	be
and	CC	and
the	DT	the
complicity	NN	complicity
State	NN	state
organizations	NNS	organization
institutions	NNS	institution
complicity	NN	complicity
stop	NN	stop
arming	VVG	arm
Israel	NP	Israel
uh	UH	uh
implement	VV	implement
the	DT	the
icj	NN	icj
decision	NN	decision
of	IN	of
provisional	JJ	provisional
measures	NNS	measure
also	RB	also
amongst	IN	amongst
the	DT	the
demands	NNS	demand
of	IN	of
those	DT	those
protesters	NNS	protester
is	VBZ	be
the	DT	the
situation	NN	situation
of	IN	of
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
whom	WP	whom
they	PP	they
say	VVP	say
are	VBP	be
being	VBG	be
sub	NN	sub
objected	VVD	object
to	TO	to
torture	VV	torture
we've	NN	we've
just	RB	just
heard	VVD	hear
the	DT	the
news	NN	news
of	IN	of
a	DT	a
another	DT	another
Palestinian	JJ	Palestinian
prisoner	NN	prisoner
who	WP	who
has	VHZ	have
been	VBN	be
declared	VVN	declare
dead	RB	dead
by	IN	by
the	DT	the
Israeli	JJ	Israeli
prison	NN	prison
service	NN	service
he's	NNS	he's
the	DT	the
ninth	JJ	ninth
prisoner	NN	prisoner
to	TO	to
die	VV	die
in	IN	in
Israeli	JJ	Israeli
custody	NN	custody
and	CC	and
Palestinians	NNS	Palestinian
say	VVP	say
that	IN/that	that
they	PP	they
are	VBP	be
very	RB	very
skeptical	JJ	skeptical
about	IN	about
the	DT	the
conditions	NNS	condition
under	IN	under
which	WDT	which
those	DT	those
prisoners	NNS	prisoner
live	VVP	live
in	IN	in
they	PP	they
say	VVP	say
that	IN/that	that
there's	RB	there's
medical	JJ	medical
negligence	NN	negligence
against	IN	against
Palestinian	JJ	Palestinian
feeling	NN	feeling
that	IN/that	that
your	PP$	your
son	NN	son
is	VBZ	be
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
those	DT	those
cruel	JJ	cruel
teachers	NNS	teacher
we	PP	we
we	PP	we
we	PP	we
see	VVP	see
what's	NNS	what's
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
we	PP	we
see	VVP	see
what	WP	what
eyewitnesses	NNS	eyewitness
and	CC	and
the	DT	the
free	JJ	free
the	DT	the
prisoners	NNS	prisoner
are	VBP	be
telling	VVG	tell
stories	NNS	story
about	IN	about
what	WP	what
our	PP$	our
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
are	VBP	be
facing	VVG	face
many	JJ	many
of	IN	of
those	DT	those
whom	WP	whom
we've	VVP	we've
been	VBN	be
speaking	VVG	speak
to	TO	to
say	VV	say
that	IN/that	that
they	PP	they
feel	VVP	feel
helpless	JJ	helpless
there	EX	there
is	VBZ	be
not	RB	not
much	JJ	much
they	PP	they
can	MD	can
do	VV	do
to	TO	to
support	VV	support
their	PP$	their
fellow	JJ	fellow
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
they	PP	they
say	VVP	say
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
least	JJS	least
they	PP	they
could	MD	could
do	VV	do
to	TO	to
show	VV	show
support	NN	support
to	TO	to
show	VV	show
anger	NN	anger
to	TO	to
show	VV	show
that	IN/that	that
they	PP	they
are	VBP	be
with	IN	with
their	PP$	their
fellow	JJ	fellow
Palestinian	NN	Palestinian
in	IN	in
the	DT	the
besed	JJ	besed
Gaza	NP	Gaza
Strip	NP	Strip
IIM	NP	IIM
Al	NP	Al
R	NP	R
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
