live	VV	live
for	IN	for
us	PP	us
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
cross	VV	cross
to	TO	to
Zod	NN	Zod
who	WP	who
is	VBZ	be
in	IN	in
Beirut	NP	Beirut
where	WRB	where
protests	NNS	protest
have	VHP	have
been	VBN	be
taking	VVG	take
place	NN	place
in	IN	in
support	NN	support
of	IN	of
Palestinians	NPS	Palestinians
Zena	NP	Zena
if	IN	if
you	PP	you
can	MD	can
hear	VV	hear
me	PP	me
can	MD	can
you	PP	you
just	RB	just
tell	VV	tell
me	PP	me
what	WP	what
'	POS	'
s	NNS	s
unfolding	VVG	unfold
where	WRB	where
you	PP	you
are	VBP	be
yes	RB	yes
you	PP	you
I	PP	I
can	MD	can
hear	VV	hear
you	PP	you
we	PP	we
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
move	VV	move
away	RB	away
because	IN	because
of	IN	of
tear	NN	tear
gas	VV	gas
uh	UH	uh
are	VBP	be
you	PP	you
in	IN	in
a	DT	a
safe	JJ	safe
position	NN	position
to	TO	to
talk	VV	talk
to	TO	to
us	PP	us
or	CC	or
shall	MD	shall
we	PP	we
cross	VV	cross
back	RB	back
to	TO	to
you	PP	you
outside	JJ	outside
yes	UH	yes
yes	UH	yes
yes	UH	yes
yes	UH	yes
there	EX	there
'	''	'
s	JJ	s
chaotic	JJ	chaotic
scenes	NNS	scene
outside	IN	outside
the	DT	the
US	NP	US
Embassy	NP	Embassy
in	IN	in
Beirut	NP	Beirut
angry	JJ	angry
protesters	NNS	protester
Lebanese	JJ	Lebanese
as	RB	as
well	RB	well
as	IN	as
Palestinians	NPS	Palestinians
uh	UH	uh
they	PP	they
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
break	VV	break
through	IN	through
the	DT	the
security	NN	security
barrier	NN	barrier
outside	IN	outside
the	DT	the
US	NP	US
Embassy	NP	Embassy
Lebanese	JJ	Lebanese
Army	NN	army
as	RB	as
well	RB	well
as	IN	as
security	NN	security
forces	NNS	force
are	VBP	be
using	VVG	use
water	NN	water
cannons	NNS	cannon
tear	VVP	tear
gas	NN	gas
to	TO	to
push	VV	push
to	TO	to
disperse	VV	disperse
the	DT	the
crowd	NN	crowd
I	PP	I
'	POS	'
m	NN	m
sorry	RB	sorry
it	PP	it
'	POS	'
s	NN	S
very	RB	very
difficult	JJ	difficult
to	TO	to
breathe	VV	breathe
with	IN	with
the	DT	the
smell	NN	smell
of	IN	of
tear	NN	tear
Gaz	NP	Gaz
there	RB	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
anger	NN	anger
people	NNS	people
are	VBP	be
blaming	VVG	blame
the	DT	the
US	NP	US
Administration	NP	Administration
anger	NN	anger
is	VBZ	be
not	RB	not
just	RB	just
toward	IN	toward
Israel	NP	Israel
but	CC	but
the	DT	the
us	PP	us
as	RB	as
well	RB	well
they	PP	they
believe	VVP	believe
it	PP	it
'	''	'
s	VVG	s
the	DT	the
unconditional	JJ	unconditional
support	NN	support
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
gives	VVZ	give
to	TO	to
Israel	NP	Israel
that	WDT	that
allows	VVZ	allow
it	PP	it
to	TO	to
operate	VV	operate
above	IN	above
international	JJ	international
law	NN	law
and	CC	and
commit	VV	commit
what	WP	what
they	PP	they
call	VVP	call
massacres	NNS	massacre
many	JJ	many
of	IN	of
the	DT	the
people	NNS	people
here	RB	here
at	IN	at
Palestinian	JJ	Palestinian
we	PP	we
'	''	'
re	IN	re
going	VVG	go
to	TO	to
let	VV	let
you	PP	you
just	RB	just
get	VVP	get
to	TO	to
a	DT	a
better	RBR	well
safe	JJ	safe
a	DT	a
better	RBR	well
safer	JJR	safe
place	NN	place
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
cross	VV	cross
back	RB	back
to	TO	to
you	PP	you
in	IN	in
a	DT	a
short	JJ	short
while	NN	while
in	IN	in
the	DT	the
meantime	NN	meantime
okay	RB	okay
now	RB	now
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
president	NN	president
Mahmud	NP	Mahmud
abas	NNS	aba
is	VBZ	be
speaking	VVG	speak
