<video_id>iccoZW8JWtI</video_id>	JJ	<video_id>iccoZW8JWtI</video_id>
<video_title>Qatar	NN	<video_title>Qatar
says	VVZ	say
deal	NN	deal
reached	VVN	reach
to	TO	to
extend	VV	extend
Gaza	NP	Gaza
truce	NN	truce
by	IN	by
two	CD	two
days</video_title>	NN	days</video_title>
<thumbnail_path>data/en_AJ\Qatar	NN	<thumbnail_path>data/en_AJ\Qatar
says	VVZ	say
deal	NN	deal
reached	VVN	reach
to	TO	to
extend	VV	extend
Gaza	NP	Gaza
truce	NN	truce
by	IN	by
two	CD	two
days.jpg</thumbnail_path>	NN	days.jpg</thumbnail_path>
<publish_date>20231127</publish_date>	NN	<publish_date>20231127</publish_date>
<doc>	NN	<doc>
all	DT	all
right	JJ	right
well	NN	well
I'm	NN	I'm
here	RB	here
with	IN	with
James	NP	James
baz	NP	Baz
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
uh	UH	uh
and	CC	and
James	NP	James
we	PP	we
have	VHP	have
now	RB	now
I	PP	I
understand	VVP	understand
had	VHD	have
confirmation	NN	confirmation
from	IN	from
both	DT	both
katar	NN	katar
and	CC	and
Hamas	NN	Hamas
that	IN/that	that
there	EX	there
has	VHZ	have
indeed	RB	indeed
been	VBN	be
an	DT	an
extension	NN	extension
for	IN	for
two	CD	two
days	NNS	day
in	IN	in
the	DT	the
ceasefire	NN	ceasefire
of	IN	of
course	NN	course
all	RB	all
of	IN	of
this	DT	this
was	VBD	be
hypothetical	JJ	hypothetical
now	RB	now
this	DT	this
seems	VVZ	seem
to	TO	to
be	VB	be
the	DT	the
nearest	JJS	near
confirmation	NN	confirmation
we've	NN	we've
had	VHD	have
so	RB	so
far	RB	far
that	IN/that	that
this	DT	this
will	MD	will
indeed	RB	indeed
happen	VV	happen
this	DT	this
is	VBZ	be
important	JJ	important
news	NN	news
and	CC	and
as	IN	as
we	PP	we
were	VBD	be
hearing	VVG	hear
earlier	RBR	earlier
on	IN	on
it's	NNS	it's
come	VVN	come
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
as	IN	as
I	PP	I
think	VVP	think
they've	NN	they've
nailed	VVN	nail
down	RP	down
the	DT	the
exact	JJ	exact
um	NN	um
numbers	NNS	number
and	CC	and
names	NNS	name
of	IN	of
those	DT	those
that	WDT	that
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
exchanged	VVN	exchange
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
that	WDT	that
was	VBD	be
taking	VVG	take
some	DT	some
time	NN	time
but	CC	but
it	PP	it
seems	VVZ	seem
that	IN/that	that
both	DT	both
of	IN	of
these	DT	these
things	NNS	thing
have	VHP	have
been	VBN	be
done	VVN	do
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
the	DT	the
Israeli	JJ	Israeli
um	JJ	um
prime	JJ	prime
minister's	NN	minister's
office	NN	office
informing	VVG	inform
the	DT	the
Israeli	JJ	Israeli
families	NNS	family
uh	UH	uh
some	DT	some
13	CD	@card@
um	JJ	um
captives	NNS	captive
to	TO	to
be	VB	be
released	VVN	release
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
we	PP	we
think	VVP	think
33	CD	@card@
Palestinians	NNS	Palestinian
so	IN	so
that's	NNS	that's
the	DT	the
completion	NN	completion
of	IN	of
the	DT	the
4day	JJ	4day
agreement	NN	agreement
and	CC	and
now	RB	now
we	PP	we
have	VHP	have
two	CD	two
more	JJR	more
days	NNS	day
so	IN	so
we	PP	we
potentially	RB	potentially
I	PP	I
think	VVP	think
we	PP	we
don't	VVD	don't
know	VV	know
