<	SYM	<
doc	NN	doc
>	SYM	>
well	RB	well
hany	NP	hany
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
RAF	NN	RAF
so	IN	so
hany	NN	hany
take	VV	take
us	PP	us
through	IN	through
the	DT	the
strikes	NNS	strike
on	IN	on
civilian	JJ	civilian
buildings	NNS	building
including	VVG	include
that	IN/that	that
of	IN	of
a	DT	a
famous	JJ	famous
comedian	NN	comedian
who	WP	who
is	VBZ	be
trying	VVG	try
to	TO	to
entertain	VV	entertain
and	CC	and
cheer	VV	cheer
up	RP	up
children	NNS	child
there	RB	there
yes	RB	yes
Sammy	NP	Sammy
and	CC	and
just	JJ	just
uh	UH	uh
give	VV	give
you	PP	you
the	DT	the
latest	JJS	late
of	IN	of
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
here	RB	here
in	IN	in
overcrowded	VVN	overcrowd
ra	NNS	ra
just	RB	just
within	IN	within
the	DT	the
past	JJ	past
hour	NN	hour
massive	JJ	massive
air	NN	air
strikes	NNS	strike
in	IN	in
central	JJ	central
part	NN	part
of	IN	of
Rafa	NP	Rafa
City	NP	City
on	IN	on
a	DT	a
road	NN	road
a	DT	a
very	RB	very
busy	JJ	busy
road	NN	road
leading	VVG	lead
to	TO	to
a	DT	a
market	NN	market
and	CC	and
at	IN	at
this	DT	this
particular	JJ	particular
hour	NN	hour
of	IN	of
the	DT	the
day	NN	day
the	DT	the
market	NN	market
is	VBZ	be
stretching	VVG	stretch
to	TO	to
the	DT	the
vicinity	NN	vicinity
of	IN	of
its	PP$	its
area	NN	area
including	VVG	include
this	DT	this
very	JJ	very
Road	NP	Road
where	WRB	where
an	DT	an
air	NN	air
strike	NN	strike
took	VVD	take
place	NN	place
targeting	VVG	target
a	DT	a
twostory	JJ	twostory
residential	JJ	residential
buildings	NNS	building
the	DT	the
area	NN	area
felt	VVD	feel
like	IN	like
an	DT	an
earthquake	NN	earthquake
just	RB	just
hit	VVD	hit
it	PP	it
complete	JJ	complete
destruction	NN	destruction
fire	NN	fire
everywhere	RB	everywhere
it	PP	it
caused	VVD	cause
by	IN	by
the	DT	the
bombs	NNS	bomb
Park	NP	Park
cars	NNS	car
are	VBP	be
incinerated	VVN	incinerate
people	NNS	people
on	IN	on
the	DT	the
sidewalk	NN	sidewalk
are	VBP	be
in	IN	in
critical	JJ	critical
injuries	NNS	injury
and	CC	and
people	NNS	people
were	VBD	be
pulled	VVN	pull
it	PP	it
from	IN	from
inside	IN	inside
the	DT	the
house	NN	house
from	IN	from
under	IN	under
the	DT	the
rubbles	NNS	rubble
and	CC	and
the	DT	the
furniture	NN	furniture
that	WDT	that
was	VBD	be
Burning	VVG	burn
uh	UH	uh
seven	CD	seven
people	NNS	people
have	VHP	have
been	VBN	be
reported	VVN	report
killed	VVN	kill
five	CD	five
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
identified	VVN	identify
two	CD	two
others	NNS	other
medical	JJ	medical
staff	NN	staff
and	CC	and
other	JJ	other
people	NNS	people
were	VBD	be
not	RB	not
able	JJ	able
to	TO	to
identify	VV	identify
them	PP	them
as	IN	as
they	PP	they
were	VBD	be
completely	RB	completely
incinerated	VVN	incinerate
beyond	IN	beyond
recognition	NN	recognition
they	PP	they
'	''	'
re	IN	re
all	DT	all
in	IN	in
a	DT	a
Nar	NP	Nar
Hospital	NP	Hospital
some	DT	some
of	IN	of
the	DT	the
injuries	NNS	injury
here	RB	here
were	VBD	be
reported	VVN	report
to	TO	to
Kuwait	NP	Kuwait
Kuwait	NP	Kuwait
hospital	NN	hospital
here	RB	here
where	WRB	where
the	DT	the
point	NN	point
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
reporting	NN	reporting
from	IN	from
this	DT	this
is	VBZ	be
a	DT	a
f	NN	f
family	NN	family
that	WDT	that
has	VHZ	have
been	VBN	be
displaced	VVN	displace
from	IN	from
Khan	NP	Khan
Unice	NP	Unice
and	CC	and
has	VHZ	have
been	VBN	be
Sheltering	VVG	shelter
this	DT	this
residential	JJ	residential
home	NN	home
within	IN	within
the	DT	the
past	NN	past
for	IN	for
the	DT	the
past	JJ	past
few	JJ	few
weeks	NNS	week
only	RB	only
to	TO	to
get	VV	get
bombed	VVN	bomb
and	CC	and
killed	VVN	kill
here	RB	here
she	PP	she
sheer	JJ	sheer
level	NN	level
of	IN	of
destructions	NNS	destruction
and	CC	and
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
trauma	NN	trauma
and	CC	and
Terror	NN	terror
in	IN	in
the	DT	the
area	NN	area
as	IN	as
people	NNS	people
are	VBP	be
caused	VVN	cause
to	TO	to
be	VB	be
internally	RB	internally
displaced	VVN	displace
right	RB	right
now	RB	now
as	IN	as
this	DT	this
is	VBZ	be
the	DT	the
aftermath	NN	aftermath
of	IN	of
every	DT	every
aist	NN	aist
Tri	NP	Tri
not	RB	not
only	RB	only
caused	VVN	cause
destruction	NN	destruction
to	TO	to
the	DT	the
targeted	JJ	targeted
residential	JJ	residential
home	NN	home
but	CC	but
also	RB	also
its	PP$	its
vicinity	NN	vicinity
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	RB	about
five	CD	five
more	JJR	more
residential	JJ	residential
buildings	NNS	building
are	VBP	be
severely	RB	severely
damaged	VVN	damage
to	TO	to
the	DT	the
point	NN	point
they	PP	they
are	VBP	be
not	RB	not
livable	JJ	livable
just	RB	just
further	RBR	further
the	DT	the
uh	UH	uh
the	DT	the
suffering	NN	suffering
and	CC	and
the	DT	the
misery	NN	misery
of	IN	of
this	DT	this
place	NN	place
Palestinians	NNS	Palestinian
at	IN	at
earlier	JJR	early
hours	NNS	hour
today	RB	today
there	EX	there
was	VBD	be
an	DT	an
an	DT	an
air	NN	air
strike	NN	strike
at	IN	at
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
the	DT	the
central	JJ	central
area	NN	area
where	WRB	where
a	DT	a
residential	JJ	residential
home	NN	home
was	VBD	be
also	RB	also
targeted	VVN	target
a	DT	a
number	NN	number
of	IN	of
people	NNS	people
were	VBD	be
reported	VVN	report
and	CC	and
killed	VVN	kill
the	DT	the
worst	JJS	bad
of	IN	of
what	WP	what
happened	VVN	happen
is	VBZ	be
in	IN	in
overnight	JJ	overnight
attacks	NNS	attack
in	IN	in
Dar	NP	Dar
bah	NP	Bah
City	NP	City
an	DT	an
area	NN	area
where	WRB	where
people	NNS	people
were	VBD	be
literally	RB	literally
directed	VVN	direct
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
go	VV	go
there	RB	there
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
safe	JJ	safe
area	NN	area
where	WRB	where
targeted	VVN	target
and	CC	and
killed	VVN	kill
inside	IN	inside
a	DT	a
residential	JJ	residential
home	NN	home
25	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
more	JJR	more
than	IN	than
75	CD	@card@
people	NNS	people
were	VBD	be
reported	VVN	report
in	IN	in
a	DT	a
critical	JJ	critical
injuries	NNS	injury
all	RB	all
reported	VVD	report
to	TO	to
alaka	NN	alaka
hospital	NN	hospital
the	DT	the
residential	JJ	residential
homes	VVZ	home
uh	UH	uh
was	VBD	be
full	JJ	full
of	IN	of
evacu	NN	evacu
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
city	NN	city
that	RB	that
'	POS	'
s	NNS	s
a	DT	a
family	NN	family
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
comedian	NN	comedian
here	RB	here
all	RB	all
of	IN	of
his	PP$	his
family	NN	family
and	CC	and
his	PP$	his
in	IN	in
-	NN	-
laws	NNS	law
were	VBD	be
Sheltering	VVG	shelter
inside	IN	inside
this	DT	this
residential	JJ	residential
homes	NNS	home
unfortunately	RB	unfortunately
the	DT	the
bombing	NN	bombing
continues	VVZ	continue
and	CC	and
the	DT	the
drama	NN	drama
continues	VVZ	continue
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
sheer	JJ	sheer
level	NN	level
of	IN	of
Terror	NN	terror
going	VVG	go
on	IN	on
right	RB	right
now	RB	now
as	IN	as
there	EX	there
are	VBP	be
more	JJR	more
attack	NN	attack
drones	NNS	drone
and	CC	and
surveillance	NN	surveillance
drone	NN	drone
in	IN	in
the	DT	the
area	NN	area
of	IN	of
causing	VVG	cause
great	JJ	great
deal	NN	deal
of	IN	of
intimidation	NN	intimidation
to	TO	to
people	NNS	people
all	DT	all
right	NN	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
hany	NP	hany
Mahmud	NP	Mahmud
there	RB	there
<	SYM	<
/	SYM	/
doc	NN	doc
>	SYM	>
