<video_id>DUD7IPcHKnk</video_id>	JJ	<video_id>DUD7IPcHKnk</video_id>
<video_title>Red	JJ	<video_title>Red
Crescent	NP	Crescent
ambulance	NN	ambulance
centre	NN	centre
under	IN	under
siege	NN	siege
in	IN	in
Jabalia,	NP	Jabalia,
southern	JJ	southern
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Red	JJ	<thumbnail_path>data/en_AJ\Red
Crescent	NP	Crescent
ambulance	NN	ambulance
centre	NN	centre
under	IN	under
siege	NN	siege
in	IN	in
Jabalia,	NP	Jabalia,
southern	JJ	southern
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231221</publish_date>	NN	<publish_date>20231221</publish_date>
<doc>	NN	<doc>
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
red	JJ	red
cresant	NN	cresant
are	VBP	be
sounding	VVG	sound
the	DT	the
alarm	NN	alarm
about	IN	about
the	DT	the
state	NN	state
of	IN	of
hospitals	NNS	hospital
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
wh	NP	wh
says	VVZ	say
there	EX	there
are	VBP	be
no	DT	no
functional	JJ	functional
hospitals	NNS	hospital
left	VVN	leave
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
leaving	VVG	leave
800,000	CD	@card@
Palestinians	NPS	Palestinians
deprived	VVN	deprive
of	IN	of
Medical	NP	Medical
Services	NPS	Services
on	IN	on
nebal	JJ	nebal
farak	NN	farak
is	VBZ	be
the	DT	the
Palestine	NP	Palestine
red	JJ	red
cresant	NN	cresant
media	NNS	medium
and	CC	and
communication	NN	communication
officer	NN	officer
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
rala	NN	rala
let's	NNS	let's
start	VVP	start
first	JJ	first
of	IN	of
all	DT	all
with	IN	with
what's	NNS	what's
happening	VVG	happen
to	TO	to
your	PP$	your
facilities	NNS	facility
and	CC	and
offices	NNS	office
