<video_id>T5XvWdoQvB8</video_id>	JJ	<video_id>T5XvWdoQvB8</video_id>
<video_title>Relentless	JJ	<video_title>Relentless
Israeli	JJ	Israeli
bombardment	NN	bombardment
continues	VVZ	continue
across	IN	across
all	DT	all
areas	NNS	area
of	IN	of
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Relentless	JJ	<thumbnail_path>data/en_AJ\Relentless
Israeli	JJ	Israeli
bombardment	NN	bombardment
continues	VVZ	continue
across	IN	across
all	DT	all
areas	NNS	area
of	IN	of
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240116</publish_date>	NN	<publish_date>20240116</publish_date>
<doc>	NN	<doc>
well	RB	well
there's	RB	there's
been	VBN	be
Relentless	JJ	relentless
shelling	VVG	shell
across	IN	across
Gaza	NP	Gaza
with	IN	with
four	CD	four
people	NNS	people
killed	VVN	kill
in	IN	in
the	DT	the
ALU	NP	alu
refugee	NN	refugee
camp	NN	camp
and	CC	and
three	CD	three
also	RB	also
killed	VVN	kill
in	IN	in
a	DT	a
strike	NN	strike
on	IN	on
the	DT	the
alaraj	NP	alaraj
school	NN	school
that	IN/that	that
school	NN	school
has	VHZ	have
been	VBN	be
housing	VVG	house
displaced	VVN	displace
Palestinians	NNS	Palestinian
in	IN	in
Gaza	NP	Gaza
City	NP	City
Southern	NP	Southern
areas	NNS	area
have	VHP	have
also	RB	also
been	VBN	be
targeted	VVN	target
12	CD	@card@
people	NNS	people
killed	VVN	kill
in	IN	in
Rafa	NP	Rafa
another	DT	another
seven	CD	seven
people	NNS	people
have	VHP	have
died	VVN	die
in	IN	in
Kan	NP	Kan
Yunis	NP	Yunis
near	IN	near
the	DT	the
NASA	NP	NASA
Hospital	NP	Hospital
there	RB	there
let's	NNS	let's
speak	VVP	speak
to	TO	to
hanim	VV	hanim
mahmuda	NN	mahmuda
correspondent	NN	correspondent
who	WP	who
live	VVP	live
for	IN	for
us	PP	us
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
H	NP	H
we've	NN	we've
been	VBN	be
reporting	VVG	report
dozens	NNS	dozen
more	RBR	more
killed	VVD	kill
overnight	RB	overnight
talk	VV	talk
us	PP	us
through	IN	through
where	WRB	where
the	DT	the
these	DT	these
strikes	NNS	strike
have	VHP	have
been	VBN	be
focusing	VVG	focus
the	DT	the
most	RBS	most
yes	RB	yes
well	RB	well
within	IN	within
the	DT	the
past	JJ	past
hour	NN	hour
or	CC	or
so	RB	so
many	JJ	many
reports	NNS	report
are	VBP	be
emerging	VVG	emerge
from	IN	from
Gaza	NP	Gaza
as	IN	as
the	DT	the
there	RB	there
seems	VVZ	seem
to	TO	to
be	VB	be
a	DT	a
surge	NN	surge
in	IN	in
the	DT	the
artillery	NN	artillery
shelling	VVG	shell
and	CC	and
the	DT	the
air	NN	air
strikes	NNS	strike
on	IN	on
Gaza	NP	Gaza
right	RB	right
now	RB	now
and	CC	and
it's	NNS	it's
continuing	VVG	continue
while	IN	while
