<video_id>mM_7dDGg-cU</video_id>	JJ	<video_id>mM_7dDGg-cU</video_id>
<video_title>Rescuers	NNS	<video_title>Rescuers
unable	JJ	unable
to	TO	to
reach	VV	reach
all	DT	all
Palestinians	NNS	Palestinian
trapped	VVN	trap
under	IN	under
debris</video_title>	JJ	debris</video_title>
<thumbnail_path>data/en_AJ\Rescuers	NNS	<thumbnail_path>data/en_AJ\Rescuers
unable	JJ	unable
to	TO	to
reach	VV	reach
all	DT	all
Palestinians	NNS	Palestinian
trapped	VVN	trap
under	IN	under
debris.jpg</thumbnail_path>	JJ	debris.jpg</thumbnail_path>
<publish_date>20231203</publish_date>	NN	<publish_date>20231203</publish_date>
<doc>	NN	<doc>
now	RB	now
with	IN	with
Mahmud	NP	Mahmud
basal	JJ	basal
Mahmud	NP	Mahmud
is	VBZ	be
head	NN	head
of	IN	of
communications	NNS	communication
at	IN	at
the	DT	the
Palestinian	JJ	Palestinian
civil	JJ	civil
defense	NN	defense
in	IN	in
Gaza	NP	Gaza
and	CC	and
um	JJ	um
he	PP	he
is	VBZ	be
joining	VVG	join
us	PP	us
from	IN	from
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
tell	VV	tell
us	PP	us
sir	NN	sir
what	WP	what
your	PP$	your
teams	NNS	team
have	VHP	have
been	VBN	be
doing	VVG	do
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
and	CC	and
how	WRB	how
they've	NN	they've
been	VBN	be
[Music]	NN	[Music]
operating	VVG	operate
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
strip	NN	strip
all	RB	all
across	IN	across
the	DT	the
strip	NN	strip
as	IN	as
we	PP	we
speak	VVP	speak
is	VBZ	be
more	JJR	more
than	IN	than
dire	JJ	dire
amid	IN	amid
the	DT	the
Relentless	JJ	relentless
bombardment	NN	bombardment
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continue	VVP	continue
to	TO	to
commit	VV	commit
massacres	NNS	massacre
against	IN	against
Palestinians	NPS	Palestinians
innocent	JJ	innocent
Palestinian	JJ	Palestinian
civilians	NNS	civilian
namely	RB	namely
targeting	VVG	target
residential	JJ	residential
areas	NNS	area
uh	UH	uh
uh	UH	uh
since	IN	since
the	DT	the
truce	NN	truce
came	VVD	come
to	TO	to
an	DT	an
end	NN	end
the	DT	the
shelling	VVG	shell
of	IN	of
missiles	NNS	missile
by	IN	by
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
had	VHD	have
has	VHZ	have
intensified	VVN	intensify
now	RB	now
residential	JJ	residential
areas	NNS	area
are	VBP	be
targeted	VVN	target
by	IN	by
a	DT	a
number	NN	number
of	IN	of
missiles	NNS	missile
it	PP	it
means	VVZ	mean
that	IN/that	that
missiles	NNS	missile
are	VBP	be
fired	VVN	fire
from	IN	from
different	JJ	different
directions	NNS	direction
on	IN	on
one	CD	one
residential	JJ	residential
quarter	NN	quarter
this	DT	this
causes	VVZ	cause
more	JJR	more
destruction	NN	destruction
and	CC	and
higher	JJR	high
number	NN	number
of	IN	of
victims	NNS	victim
as	IN	as
civil	JJ	civil
defense	NN	defense
teams	NNS	team
within	IN	within
the	DT	the
areas	NNS	area
we	PP	we
can	MD	can
document	VV	document
dozens	NNS	dozen
of	IN	of
innocent	JJ	innocent
civilians	NNS	civilian
being	VBG	be
killed	VVN	kill
on	IN	on
each	DT	each
and	CC	and
every	DT	every
air	NN	air
strikes	VVZ	strike
hundreds	NNS	hundred
also	RB	also
are	VBP	be
being	VBG	be
wounded	VVN	wound
we	PP	we
are	VBP	be
doing	VVG	do
all	DT	all
what	WP	what
we	PP	we
can	MD	can
with	IN	with
the	DT	the
little	JJ	little
resources	NNS	resource
at	IN	at
hand	NN	hand
we	PP	we
start	VVP	start
by	IN	by
digging	VVG	dig
H	NN	H
in	IN	in
order	NN	order
to	TO	to
recover	VV	recover
those	DT	those
killed	VVN	kill
under	IN	under
the	DT	the
debris	NN	debris
however	RB	however
no	RB	no
matter	VV	matter
what	WP	what
we	PP	we
do	VVP	do
we	PP	we
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
salvage	VV	salvage
all	PDT	all
those	DT	those
who	WP	who
fall	VV	fall
uh	UH	uh
many	JJ	many
remain	VVP	remain
killed	VVN	kill
and	CC	and
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
at	IN	at
the	DT	the
same	JJ	same
time	VV	time
uh	UH	uh
we	PP	we
can	MD	can
speak	VV	speak
for	IN	for
days	NNS	day
on	IN	on
this	DT	this
particular	JJ	particular
issue	NN	issue
we	PP	we
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
require	VVP	require
heavy	JJ	heavy
equipment	NN	equipment
bulldozers	NNS	bulldozer
and	CC	and
lifts	NNS	lift
in	IN	in
order	NN	order
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
remove	VV	remove
this	DT	this
heavy	JJ	heavy
concrete	JJ	concrete
debris	NN	debris
we	PP	we
also	RB	also
require	VVP	require
diggers	NNS	digger
bulldozers	NNS	bulldozer
tractors	NNS	tractor
uh	UH	uh
LIF	NP	LIF
in	IN	in
order	NN	order
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
recover	VV	recover
those	DT	those
victims	NNS	victim
I	PP	I
regret	VVP	regret
to	TO	to
say	VV	say
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
in	IN	in
the	DT	the
north	JJ	north
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
there	EX	there
is	VBZ	be
not	RB	not
a	DT	a
single	JJ	single
piece	NN	piece
of	IN	of
equipment	NN	equipment
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
have	VHP	have
destroyed	VVN	destroy
all	PDT	all
the	DT	the
equipment	NN	equipment
within	IN	within
this	DT	this
area	NN	area
as	IN	as
we	PP	we
speak	VVP	speak
hundreds	NNS	hundred
remain	VVP	remain
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
and	CC	and
we	PP	we
are	VBP	be
standing	VVG	stand
helpless	JJ	helpless
we	PP	we
cannot	MD	can
do	VV	do
anything	NN	anything
we're	NN	we're
using	VVG	use
our	PP$	our
bare	JJ	bare
hands	NNS	hand
and	CC	and
this	DT	this
will	MD	will
have	VH	have
a	DT	a
very	RB	very
heavy	JJ	heavy
mental	JJ	mental
toll	NN	toll
not	RB	not
only	RB	only
on	IN	on
the	DT	the
families	NNS	family
but	CC	but
also	RB	also
on	IN	on
us	PP	us
as	IN	as
civil	JJ	civil
defense	NN	defense
and	CC	and
rescue	NN	rescue
teams	NNS	team
I	PP	I
also	RB	also
regret	VVP	regret
to	TO	to
say	VV	say
that	IN/that	that
the	DT	the
numbers	NNS	number
of	IN	of
victims	NNS	victim
in	IN	in
thousands	NNS	thousand
who	WP	who
are	VBP	be
still	RB	still
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
day	NN	day
after	IN	after
day	NN	day
this	DT	this
will	MD	will
pave	VV	pave
the	DT	the
way	NN	way
for	IN	for
an	DT	an
environmental	JJ	environmental
issue	NN	issue
many	JJ	many
of	IN	of
dead	JJ	dead
bodies	NNS	body
remain	VVP	remain
bloated	JJ	bloated
and	CC	and
wreaking	VVG	wreak
this	DT	this
is	VBZ	be
a	DT	a
source	NN	source
of	IN	of
contamination	NN	contamination
however	RB	however
this	DT	this
has	VHZ	have
not	RB	not
deterred	VVN	deter
the	DT	the
Israelis	NPS	Israelis
from	IN	from
continuing	VVG	continue
to	TO	to
bombard	VV	bombard
and	CC	and
pound	VV	pound
all	PDT	all
the	DT	the
residential	JJ	residential
areas	NNS	area
more	JJR	more
than	IN	than
50	CD	@card@
residential	JJ	residential
houses	NNS	house
within	IN	within
one	CD	one
single	JJ	single
quarters	NNS	quarter
were	VBD	be
sheld	JJ	sheld
and	CC	and
level	NN	level
To	TO	to
The	DT	the
Ground	NN	ground
by	IN	by
war	NN	war
planes	NNS	plane
as	IN	as
a	DT	a
result	NN	result
in	IN	in
this	DT	this
particular	JJ	particular
program	NN	program
more	JJR	more
than	IN	than
300	CD	@card@
civilians	NNS	civilian
with	IN	with
from	IN	from
the	DT	the
single	JJ	single
quarter	NN	quarter
were	VBD	be
killed	VVN	kill
according	VVG	accord
to	TO	to
the	DT	the
eyewitnesses	NNS	eyewitness
hundreds	NNS	hundred
more	RBR	more
were	VBD	be
injured	VVN	injure
and	CC	and
again	RB	again
we	PP	we
are	VBP	be
helpless	JJ	helpless
this	DT	this
particular	JJ	particular
quarter	NN	quarter
were	VBD	be
was	VBD	be
once	RB	once
home	RB	home
to	TO	to
more	JJR	more
than	IN	than
1,000	CD	@card@
Palestinians	NNS	Palestinian
many	JJ	many
of	IN	of
them	PP	them
have	VHP	have
even	RB	even
taken	VVN	take
shelter	NN	shelter
in	IN	in
this	DT	this
area	NN	area
from	IN	from
the	DT	the
Relentless	JJ	relentless
shelling	VVG	shell
by	IN	by
the	DT	the
Israeli	JJ	Israeli
War	NP	War
plan	NN	plan
they	PP	they
were	VBD	be
C	NP	C
killed	VVN	kill
in	IN	in
Cold	NP	Cold
Blood	NP	Blood
we	PP	we
also	RB	also
again	RB	again
repeat	VV	repeat
the	DT	the
same	JJ	same
thing	NN	thing
that	IN/that	that
dozens	NNS	dozen
hundreds	NNS	hundred
thousands	NNS	thousand
remain	VVP	remain
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
from	IN	from
the	DT	the
morning	NN	morning
till	IN	till
now	RB	now
the	DT	the
air	NN	air
strikes	NNS	strike
have	VHP	have
not	RB	not
come	VVN	come
to	TO	to
a	DT	a
stop	NN	stop
the	DT	the
targeting	VVG	target
of	IN	of
residential	JJ	residential
areas	NNS	area
has	VHZ	have
not	RB	not
come	VVN	come
to	TO	to
a	DT	a
stop	NN	stop
from	IN	from
the	DT	the
morning	NN	morning
only	RB	only
more	JJR	more
than	IN	than
30	CD	@card@
were	VBD	be
killed	VVN	kill
and	CC	and
unknown	JJ	unknown
number	NN	number
remain	VVP	remain
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
another	DT	another
residential	JJ	residential
area	NN	area
in	IN	in
for	IN	for
example	NN	example
more	JJR	more
than	IN	than
20	CD	@card@
were	VBD	be
killed	VVN	kill
as	IN	as
a	DT	a
result	NN	result
of	IN	of
one	CD	one
single	JJ	single
air	NN	air
strike	NN	strike
from	IN	from
the	DT	the
sunrise	NN	sunrise
this	DT	this
morning	NN	morning
the	DT	the
Baptist	NP	Baptist
Hospital	NP	Hospital
received	VVD	receive
more	JJR	more
than	IN	than
86	CD	@card@
dead	JJ	dead
bodies	NNS	body
by	IN	by
900	CD	@card@
a.m.	NN	a.m.
more	JJR	more
than	IN	than
86	CD	@card@
killed	VVN	kill
Palestinians	NNS	Palestinian
arrived	VVN	arrive
at	IN	at
the	DT	the
hospital	NN	hospital
uh	UH	uh
double	VV	double
higher	JJR	high
numbers	NNS	number
remain	VVP	remain
buried	VVN	bury
and	CC	and
we	PP	we
are	VBP	be
helpless	JJ	helpless
we	PP	we
cannot	MD	can
do	VV	do
anything	NN	anything
especially	RB	especially
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
continue	VVP	continue
to	TO	to
pound	VV	pound
the	DT	the
areas	NNS	area
speaking	VVG	speak
of	IN	of
the	DT	the
same	JJ	same
issue	NN	issue
again	RB	again
the	DT	the
equipment	NN	equipment
I	PP	I
again	RB	again
regret	VVP	regret
to	TO	to
say	VV	say
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
destroyed	VVD	destroy
more	JJR	more
than	IN	than
2/3	CD	@card@
of	IN	of
the	DT	the
civil	JJ	civil
defense	NN	defense
Vehicles	NNS	vehicle
they	PP	they
are	VBP	be
totally	RB	totally
destroyed	VVN	destroy
and	CC	and
out	RB	out
of	IN	of
service	NN	service
we	PP	we
are	VBP	be
short	JJ	short
of	IN	of
heavy	JJ	heavy
equipment	NN	equipment
that	WDT	that
will	MD	will
will	MD	will
enable	VV	enable
us	PP	us
to	TO	to
remove	VV	remove
the	DT	the
heavy	JJ	heavy
con	NN	con
concrete	NN	concrete
these	DT	these
are	VBP	be
very	RB	very
critical	JJ	critical
for	IN	for
the	DT	the
rescue	NN	rescue
and	CC	and
Salvage	NP	Salvage
these	DT	these
are	VBP	be
targeted	VVN	target
directly	RB	directly
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
what	WP	what
adds	VVZ	add
insult	NN	insult
to	TO	to
injury	NN	injury
is	VBZ	be
that	IN/that	that
we	PP	we
are	VBP	be
short	JJ	short
as	IN	as
a	DT	a
team	NN	team
more	JJR	more
than	IN	than
120	CD	@card@
from	IN	from
among	IN	among
our	PP$	our
own	JJ	own
team	NN	team
members	NNS	member
were	VBD	be
killed	VVN	kill
hundreds	NNS	hundred
of	IN	of
others	NNS	other
were	VBD	be
also	RB	also
