<video_id>4bEihJLdbWs</video_id>	JJ	<video_id>4bEihJLdbWs</video_id>
<video_title>Senior	NN	<video_title>Senior
member	NN	member
of	IN	of
Hamas'	NP	Hamas'
political	JJ	political
wing	NN	wing
says	VVZ	say
the	DT	the
group's	NNS	group's
conditions	NNS	condition
must	MD	must
be	VB	be
met	VVN	meet
for	IN	for
a	DT	a
deal	NN	deal
to	TO	to
work</video_title>	JJ	work</video_title>
<thumbnail_path>data/en_AJ\Senior	NN	<thumbnail_path>data/en_AJ\Senior
member	NN	member
of	IN	of
Hamas'	NP	Hamas'
political	JJ	political
wing	NN	wing
says	VVZ	say
the	DT	the
group's	NNS	group's
conditions	NNS	condition
must	MD	must
be	VB	be
met	VVN	meet
for	IN	for
a	DT	a
deal	NN	deal
to	TO	to
work.jpg</thumbnail_path>	JJ	work.jpg</thumbnail_path>
<publish_date>20240229</publish_date>	JJ	<publish_date>20240229</publish_date>
<doc>	NN	<doc>
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
desperate	JJ	desperate
to	TO	to
hear	VV	hear
anything	NN	anything
about	IN	about
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
especially	RB	especially
before	IN	before
Ramadan	NP	Ramadan
today	NN	today
we're	NN	we're
in	IN	in
downtown	NN	downtown
and	CC	and
we're	NN	we're
going	VVG	go
to	TO	to
talk	VV	talk
to	TO	to
people	NNS	people
about	IN	about
what	WP	what
they	PP	they
think	VVP	think
about	IN	about
this	DT	this
ceasefire	NN	ceasefire
agreement	NN	agreement
I	PP	I
hope	VVP	hope
and	CC	and
I	PP	I
wish	VVP	wish
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
we've	NN	we've
heard	VVD	hear
things	NNS	thing
during	IN	during
previous	JJ	previous
talks	NNS	talk
and	CC	and
negotiations	NNS	negotiation
that	IN/that	that
one	PP	one
might	MD	might
come	VV	come
but	CC	but
we've	NN	we've
been	VBN	be
disappointed	VVN	disappoint
every	DT	every
time	NN	time
the	DT	the
people	NNS	people
will	MD	will
always	RB	always
be	VB	be
the	DT	the
victims	NNS	victim
the	DT	the
people	NNS	people
are	VBP	be
really	RB	really
suffering	VVG	suffer
the	DT	the
people	NNS	people
have	VHP	have
no	DT	no
more	JJR	more
energy	NN	energy
Ramadan	NN	Ramadan
is	VBZ	be
approaching	VVG	approach
we	PP	we
ask	VV	ask
God	NP	God
to	TO	to
make	VV	make
our	PP$	our
life	NN	life
easier	RBR	easier
and	CC	and
better	RBR	well
enough	JJ	enough
is	VBZ	be
enough	RB	enough
every	DT	every
time	NN	time
they	PP	they
talk	VVP	talk
about	IN	about
a	DT	a
ceasefire	NN	ceasefire
it	PP	it
never	RB	never
happened	VVD	happen
but	CC	but
this	DT	this
time	NN	time
I	PP	I
have	VHP	have
a	DT	a
feeling	NN	feeling
there	EX	there
will	MD	will
be	VB	be
a	DT	a
ceasefire	NN	ceasefire
my	PP$	my
son	NN	son
my	PP$	my
son-in-law	NN	son-in-law
and	CC	and
my	PP$	my
brother-in-law	NN	brother-in-law
are	VBP	be
prisoners	NNS	prisoner
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
and	CC	and
I	PP	I
hope	VVP	hope
they	PP	they
will	MD	will
be	VB	be
released	VVN	release
we	PP	we
ask	VV	ask
God	NP	God
to	TO	to
have	VH	have
this	DT	this
ceas	NNS	ceas
far	RB	far
and	CC	and
to	TO	to
go	VV	go
back	RB	back
to	TO	to
our	PP$	our
homes	NNS	home
to	TO	to
our	PP$	our
kids	NNS	kid
to	TO	to
our	PP$	our
neighborhoods	NNS	neighborhood
we	PP	we
left	VVD	leave
our	PP$	our
lives	NNS	life
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
came	VVD	come
here	RB	here
we	PP	we
pray	VVP	pray
for	IN	for
a	DT	a
truth	NN	truth
so	IN	so
we	PP	we
can	MD	can
go	VV	go
back	RB	back
to	TO	to
our	PP$	our
normal	JJ	normal
lives	NNS	life
prices	NNS	price
here	RB	here
are	VBP	be
scary	JJ	scary
we	PP	we
can't	VVD	can't
afford	VV	afford
to	TO	to
buy	VV	buy
food	NN	food
for	IN	for
our	PP$	our
kids	NNS	kid
I	PP	I
haven't	VVD	haven't
seen	VVN	see
my	PP$	my
daughter	NN	daughter
for	IN	for
100	CD	@card@
days	NNS	day
they	PP	they
are	VBP	be
eating	VVG	eat
sand	NN	sand
there	EX	there
we	PP	we
pray	VVP	pray
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
so	IN	so
we	PP	we
come	VVP	come
back	RB	back
to	TO	to
our	PP$	our
homes	NNS	home
some	DT	some
Palestinians	NPS	Palestinians
are	VBP	be
optimistic	JJ	optimistic
and	CC	and
others	NNS	other
are	VBP	be
pessimistic	JJ	pessimistic
all	DT	all
they	PP	they
want	VVP	want
and	CC	and
all	RB	all
they	PP	they
wish	VVP	wish
for	IN	for
is	VBZ	be
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
especially	RB	especially
before	IN	before
Ramadan	NN	Ramadan
this	DT	this
Al	NP	Al
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
