<video_id>oSMlGOGcfZc</video_id>	JJ	<video_id>oSMlGOGcfZc</video_id>
<video_title>Significant	JJ	<video_title>Significant
number	NN	number
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
are	VBP	be
seeking	VVG	seek
refuge	NN	refuge
in	IN	in
courtyard	NN	courtyard
of	IN	of
hospital</video_title>	JJ	hospital</video_title>
<thumbnail_path>data/en_AJ\Significant	JJ	<thumbnail_path>data/en_AJ\Significant
number	NN	number
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
are	VBP	be
seeking	VVG	seek
refuge	NN	refuge
in	IN	in
courtyard	NN	courtyard
of	IN	of
hospital.jpg</thumbnail_path>	JJ	hospital.jpg</thumbnail_path>
<publish_date>20231029</publish_date>	JJ	<publish_date>20231029</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
get	VVP	get
a	DT	a
a	DT	a
closeup	NN	closeup
look	NN	look
at	IN	at
just	RB	just
how	WRB	how
bad	JJ	bad
it	PP	it
is	VBZ	be
in	IN	in
hospitals	NNS	hospital
we	PP	we
can	MD	can
speak	VV	speak
now	RB	now
to	TO	to
Dr	NP	Dr
Hassan	NP	Hassan
Abu	NP	Abu
sit	VVP	sit
who's	NNS	who's
a	DT	a
plastic	NN	plastic
and	CC	and
reconstructive	JJ	reconstructive
surgeon	NN	surgeon
who's	NNS	who's
treating	VVG	treat
the	DT	the
wounded	NN	wounded
at	IN	at
Al	NP	Al
shiffer	NP	Shiffer
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
joins	VVZ	join
me	PP	me
live	VV	live
from	IN	from
there	EX	there
now	RB	now
doctor	VV	doctor
thanks	NNS	thanks
for	IN	for
joining	VVG	join
us	PP	us
and	CC	and
taking	VVG	take
the	DT	the
time	NN	time
out	RP	out
to	TO	to
speak	VV	speak
to	TO	to
us	PP	us
uh	UH	uh
you're	NN	you're
at	IN	at
Al	NP	Al
shiffer	NN	shiffer
as	IN	as
I	PP	I
say	VVP	say
tell	VV	tell
us	PP	us
how	WRB	how
big	JJ	big
that	DT	that
hospital	NN	hospital
is	VBZ	be
how	WRB	how
many	JJ	many
patients	NNS	patient
there	EX	there
are	VBP	be
there	RB	there
and	CC	and
and	CC	and
just	RB	just
what	WP	what
you're	NN	you're
seeing	VVG	see
the	DT	the
hospital's	JJ	hospital's
uh	UH	uh
pre-war	JJ	pre-war
bed	NN	bed
