Your	PP$	your
name	NN	name
is	VBZ	be
Suleiman	NP	Suleiman
Zarb	NP	Zarb
.	SENT	.
Zarb	NP	Zarb
is	VBZ	be
from	IN	from
Khan	NP	Khan
Yunis	NP	Yunis
.	SENT	.
He	PP	he
came	VVD	come
as	IN	as
a	DT	a
displaced	VVN	displace
person	NN	person
,	,	,
of	IN	of
course	NN	course
,	,	,
from	IN	from
Khan	NP	Khan
Yunis	NP	Yunis
.	SENT	.
After	IN	after
the	DT	the
bombing	NN	bombing
,	,	,
he	PP	he
fled	VVD	flee
from	IN	from
Khan	NP	Khan
Yunis	NP	Yunis
to	TO	to
Rafah	NP	Rafah
and	CC	and
carried	VVD	carry
his	PP$	his
belongings	NNS	belonging
on	IN	on
his	PP$	his
bed	NN	bed
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
there	EX	there
is	VBZ	be
no	RB	no
one	CD	one
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
transportation	NN	transportation
.	SENT	.
I	PP	I
hear	VVP	hear
the	DT	the
bombing	NN	bombing
and	CC	and
drink	NN	drink
as	IN	as
a	DT	a
displaced	VVN	displace
person	NN	person
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
he	PP	he
held	VVD	hold
the	DT	the
white	JJ	white
flag	NN	flag
and	CC	and
sat	VVD	sit
waving	VVG	wave
it	PP	it
,	,	,
and	CC	and
the	DT	the
seat	NN	seat
of	IN	of
the	DT	the
passer	NN	passer
-	NN	-
by	IN	by
is	VBZ	be
safe	JJ	safe
until	IN	until
I	PP	I
tell	VVP	tell
you	PP	you
.	SENT	.
Is	VBZ	be
there	RB	there
any	DT	any
flour	NN	flour
in	IN	in
Rafah	NP	Rafah
or	CC	or
any	DT	any
water	NN	water
?	SENT	?
I	PP	I
suffer	VVP	suffer
from	IN	from
it	PP	it
a	DT	a
lot	NN	lot
.	SENT	.
I	PP	I
have	VHP	have
to	TO	to
walk	VV	walk
a	DT	a
long	JJ	long
distance	NN	distance
when	WRB	when
he	PP	he
comes	VVZ	come
to	TO	to
bring	VV	bring
water	NN	water
to	TO	to
the	DT	the
house	NN	house
.	SENT	.
There	EX	there
are	VBP	be
six	CD	six
young	JJ	young
children	NNS	child
sitting	VVG	sit
there	RB	there
.	SENT	.
There	EX	there
is	VBZ	be
nothing	NN	nothing
to	TO	to
eat	VV	eat
,	,	,
drink	NN	drink
or	CC	or
anything	NN	anything
.	SENT	.
Praise	NN	praise
be	VB	be
to	TO	to
God	NP	God
for	IN	for
every	DT	every
need	NN	need
from	IN	from
the	DT	the
Lord	NP	Lord
of	IN	of
His	PP$	his
servants	NNS	servant
,	,	,
and	CC	and
God	NP	God
willing	VVG	will
,	,	,
oh	UH	oh
our	PP$	our
Lord	NP	Lord
,	,	,
this	DT	this
will	MD	will
be	VB	be
the	DT	the
case	NN	case
and	CC	and
we	PP	we
will	MD	will
go	VV	go
.	SENT	.
On	IN	on
our	PP$	our
homes	NNS	home
,	,	,
on	IN	on
our	PP$	our
families	NNS	family
,	,	,
and	CC	and
we	PP	we
see	VVP	see
our	PP$	our
families	NNS	family
.	SENT	.
Funus	NP	Funus
now	RB	now
.	SENT	.
Where	WRB	where
are	VBP	be
you	PP	you
now	RB	now
?	SENT	?
Where	WRB	where
are	VBP	be
you	PP	you
located	VVN	locate
?	SENT	?
A	DT	a
tent	NN	tent
.	SENT	.
It	PP	it
is	VBZ	be
there	RB	there
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
suffocating	VVG	suffocate
,	,	,
but	CC	but
there	EX	there
is	VBZ	be
no	DT	no
food	NN	food
or	CC	or
drink	NN	drink
for	IN	for
it	PP	it
.	SENT	.
What	WP	what
does	VVZ	do
a	DT	a
tent	NN	tent
mean	VV	mean
to	TO	to
you	PP	you
?	SENT	?
Why	WRB	why
do	VVP	do
you	PP	you
remember	VV	remember
?	SENT	?
What	WP	what
does	VVZ	do
this	DT	this
mean	NN	mean
?	SENT	?
It	PP	it
reminds	VVZ	remind
you	PP	you
of	IN	of
what	WP	what
does	VVZ	do
the	DT	the
tent	NN	tent
