Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
fired	VVN	fire
tear	NN	tear
gas	NN	gas
on	IN	on
young	JJ	young
Palestinians	NPS	Palestinians
who	WP	who
are	VBP	be
trying	VVG	try
to	TO	to
get	VV	get
into	IN	into
AA	NN	aa
mosque	NN	mosque
for	IN	for
Friday	NP	Friday
prayers	NNS	prayer
we	PP	we
have	VH	have
Laura	NP	Laura
Khan	NP	Khan
joining	VVG	join
us	PP	us
now	RB	now
from	IN	from
occupi	NP	occupi
Jerusalem	NP	Jerusalem
so	IN	so
allur	NN	allur
tell	VV	tell
us	PP	us
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
going	VVG	go
on	IN	on
uh	UH	uh
around	IN	around
the	DT	the
compounds	NNS	compound
of	IN	of
OA	JJ	OA
mosque	NN	mosque
absolutely	RB	absolutely
now	RB	now
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
place	NN	place
called	VVD	call
wedy	JJ	wedy
Jaws	NNS	jaw
which	WDT	which
is	VBZ	be
around	RB	around
less	JJR	less
than	IN	than
100	CD	@card@
met	VVD	meet
away	RB	away
from	IN	from
the	DT	the
alaxa	NN	alaxa
mosque	NN	mosque
compound	NN	compound
that	RB	that
'	POS	'
s	NN	S
just	RB	just
up	IN	up
the	DT	the
road	NN	road
now	RB	now
just	RB	just
behind	IN	behind
me	PP	me
there	EX	there
have	VHP	have
been	VBN	be
some	DT	some
young	JJ	young
um	NN	um
Palestinians	NNS	Palestinian
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
show	VV	show
you	PP	you
this	DT	this
there	RB	there
'	''	'
s	VVG	s
a	DT	a
tear	NN	tear
gas	NN	gas
canister	NN	canister
actually	RB	actually
rolling	VVG	roll
its	PP$	its
way	NN	way
down	IN	down
the	DT	the
hill	NN	hill
um	NN	um
so	IN	so
a	DT	a
number	NN	number
of	IN	of
young	JJ	young
uh	UH	uh
Muslim	JJ	Muslim
worshippers	NNS	worshipper
and	CC	and
now	RB	now
we	PP	we
have	VHP	have
a	DT	a
sorry	JJ	sorry
a	DT	a
water	NN	water
skunk	NN	skunk
truck	NN	truck
which	WDT	which
is	VBZ	be
spraying	VVG	spray
has	VHZ	have
been	VBN	be
spraying	VVG	spray
water	NN	water
towards	IN	towards
Palestinians	NPS	Palestinians
and	CC	and
Muslim	NP	Muslim
worshippers	NNS	worshipper
um	VVD	um
this	DT	this
actually	RB	actually
produces	VVZ	produce
an	DT	an
awful	JJ	awful
smell	NN	smell
which	WDT	which
has	VHZ	have
been	VBN	be
drifting	VVG	drift
in	IN	in
the	DT	the
air	NN	air
so	IN	so
they	PP	they
have	VHP	have
been	VBN	be
um	RB	um
attacked	VVN	attack
by	IN	by
tear	NN	tear
gas	NN	gas
grenades	NNS	grenade
we	PP	we
H	NP	H
actually	RB	actually
got	VVD	get
it	PP	it
pretty	RB	pretty
bad	JJ	bad
um	NNS	um
when	WRB	when
they	PP	they
first	RB	first
started	VVD	start
shooting	VVG	shoot
and	CC	and
you	PP	you
can	MD	can
smell	VV	smell
the	DT	the
skunk	NN	skunk
water	VV	water
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
nasty	JJ	nasty
uh	UH	uh
now	RB	now
the	DT	the
reason	NN	reason
why	WRB	why
there	EX	there
are	VBP	be
these	DT	these
confrontations	NNS	confrontation
is	VBZ	be
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
there	EX	there
has	VHZ	have
been	VBN	be
vast	JJ	vast
restrictions	NNS	restriction
on	IN	on
Muslims	NPS	Muslims
entering	VVG	enter
the	DT	the
place	NN	place
they	PP	they
rever	VVP	rever
as	IN	as
the	DT	the
third	JJ	third
holiest	JJS	holy
place	NN	place
in	IN	in
Islam	NP	Islam
the	DT	the
al	NP	al
-	NN	-
axam	NN	axam
mosque	NN	mosque
compound	NN	compound
so	RB	so
um	JJ	um
they	PP	they
'	''	'
re	IN	re
only	RB	only
allowing	VVG	allow
anyone	NN	anyone
over	IN	over
45	CD	@card@
but	CC	but
even	RB	even
then	RB	then
they	PP	they
can	MD	can
restrict	VV	restrict
them	PP	them
in	IN	in
the	DT	the
last	JJ	last
weeks	NNS	week
we	PP	we
'	POS	'
ve	NN	ve
only	RB	only
seen	VVN	see
around	IN	around
3	CD	@card@
to	TO	to
4	CD	@card@
,	,	,
000	CD	@card@
where	WRB	where
usually	RB	usually
you	PP	you
'	''	'
d	SYM	d
have	VHP	have
between	IN	between
50	CD	@card@
and	CC	and
60	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
praying	VVG	pray
in	IN	in
the	DT	the
mosque	NN	mosque
so	RB	so
there	RB	there
'	''	'
s	RB	s
been	VBN	be
real	JJ	real
tension	NN	tension
here	RB	here
there	RB	there
has	VHZ	have
been	VBN	be
condemnations	NNS	condemnation
by	IN	by
the	DT	the
Palestinian	NP	Palestinian
Ministry	NP	Ministry
of	IN	of
Foreign	NP	Foreign
Affairs	NPS	Affairs
um	NN	um
and	CC	and
they	PP	they
also	RB	also
condemned	VVD	condemn
attacks	NNS	attack
on	IN	on
journalists	NNS	journalist
specifically	RB	specifically
here	RB	here
in	IN	in
Wy	NP	Wy
Jaws	NNS	jaw
but	CC	but
people	NNS	people
I	PP	I
'	POS	'
ve	RB	ve
been	VBN	be
speaking	VVG	speak
to	TO	to
say	VV	say
what	WP	what
are	VBP	be
these	DT	these
condemnations	NNS	condemnation
and	CC	and
what	WP	what
does	VVZ	do
it	PP	it
actually	RB	actually
mean	VVP	mean
to	TO	to
them	PP	them
on	IN	on
