<video_id>5RoHPL4yNVg</video_id>	JJ	<video_id>5RoHPL4yNVg</video_id>
<video_title>Solidarity	NN	<video_title>Solidarity
with	IN	with
Palestine:	NP	Palestine:
Thousands	NNS	thousand
gather	VVP	gather
in	IN	in
central	JJ	central
Baghdad</video_title>	NP	Baghdad</video_title>
<thumbnail_path>data/en_AJ\Solidarity	NN	<thumbnail_path>data/en_AJ\Solidarity
with	IN	with
Palestine	NP	Palestine
Thousands	NNS	thousand
gather	VVP	gather
in	IN	in
central	JJ	central
Baghdad.jpg</thumbnail_path>	NP	Baghdad.jpg</thumbnail_path>
<publish_date>20231013</publish_date>	NN	<publish_date>20231013</publish_date>
<doc>	NN	<doc>
in	IN	in
Iraq	NP	Iraq
people	NNS	people
have	VHP	have
gathered	VVN	gather
in	IN	in
huge	JJ	huge
numbers	NNS	number
in	IN	in
central	JJ	central
Baghdad	NP	Baghdad
in	IN	in
a	DT	a
show	NN	show
of	IN	of
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
they've	NN	they've
come	VVN	come
to	TO	to
the	DT	the
Liberty	NP	Liberty
Monument	NN	monument
in	IN	in
t	NN	t
Square	NP	Square
Al's	NP	Al's
Mahmud	NP	Mahmud
AB	NP	AB
had	VHD	have
sent	VVN	send
up	RP	up
this	DT	this
update	NN	update
from	IN	from
Central	NP	Central
bdad	NP	bdad
Million	NP	Million
Man	NP	Man
Marsh	NP	Marsh
has	VHZ	have
been	VBN	be
staged	VVN	stage
in	IN	in
the	DT	the
main	JJ	main
Square	NP	Square
in	IN	in
the	DT	the
Iraqi	JJ	Iraqi
Capital	NP	Capital
Bagdad	NP	Bagdad
this	DT	this
is	VBZ	be
T	NN	T
square	NN	square
and	CC	and
these	DT	these
are	VBP	be
supporters	NNS	supporter
of	IN	of
sh	JJ	sh
leader	NN	leader
M	NN	M
along	IN	along
with	IN	with
other	JJ	other
protesters	NNS	protester
belonging	VVG	belong
to	TO	to
several	JJ	several
other	JJ	other
political	JJ	political
Iraqi	JJ	Iraqi
factions	NNS	faction
they're	NN	they're
here	RB	here
today	NN	today
to	TO	to
show	VV	show
support	NN	support
and	CC	and
solidarity	NN	solidarity
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Palestine	NP	Palestine
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
not	RB	not
only	RB	only
that	DT	that
they're	NN	they're
here	RB	here
today	NN	today
also	RB	also
to	TO	to
show	VV	show
Force	NP	Force
as	IN	as
you	PP	you
can	MD	can
see	VV	see
almost	RB	almost
everyone	NN	everyone
wears	VVZ	wear
a	DT	a
white	JJ	white
sheet	NN	sheet
a	DT	a
white	JJ	white
sheet	NN	sheet
and	CC	and
this	DT	this
is	VBZ	be
an	DT	an
indication	NN	indication
of	IN	of
sacrifice	NN	sacrifice
an	DT	an
indication	NN	indication
of	IN	of
death	NN	death
Readiness	NN	readiness
to	TO	to
sacrifice	VV	sacrifice
themselves	PP	themselves
for	IN	for
a	DT	a
cause	NN	cause
in	IN	in
this	DT	this
case	NN	case
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
case	NN	case
every	DT	every
free	JJ	free
person	NN	person
who	WP	who
stands	VVZ	stand
for	IN	for
justice	NN	justice
not	RB	not
only	RB	only
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
should	MD	should
stand	VV	stand
with	IN	with
Palestine	NP	Palestine
we	PP	we
stand	VVP	stand
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
their	PP$	their
struggle	NN	struggle
to	TO	to
free	VV	free
their	PP$	their
occupied	JJ	occupied
lands	NNS	land
they	PP	they
also	RB	also
blame	VVP	blame
several	JJ	several
Arab	JJ	Arab
regimes	NNS	regime
for	IN	for
silence	NN	silence
for	IN	for
not	RB	not
doing	VVG	do
enough	RB	enough
to	TO	to
support	VV	support
Gaza	NP	Gaza
and	CC	and
Palestine	NP	Palestine
they	PP	they
also	RB	also
blame	VVP	blame
some	DT	some
Arab	JJ	Arab
regimes	NNS	regime
for	IN	for
normalizing	VVG	normalize
relations	NN	relations
with	IN	with
uh	UH	uh
Israel	NP	Israel
Iraq	NP	Iraq
has	VHZ	have
been	VBN	be
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
Arab	JJ	Arab
countries	NNS	country
in	IN	in
fact	NN	fact
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
countries	NNS	country
in	IN	in
the	DT	the
world	NN	world
to	TO	to
support	VV	support
Palestine	NP	Palestine
and	CC	and
to	TO	to
stand	VV	stand
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
unfortunately	RB	unfortunately
some	DT	some
Arabs	NNS	Arab
states	NNS	state
have	VHP	have
let	VVN	let
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
down	IN	down
Israel	NP	Israel
receives	VVZ	receive
unconditional	JJ	unconditional
support	NN	support
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Europe	NP	Europe
but	CC	but
Palestine	NP	Palestine
does	VVZ	do
not	RB	not
receive	VV	receive
similar	JJ	similar
support	NN	support
from	IN	from
its	PP$	its
Arab	JJ	Arab
neighbors	NNS	neighbor
this	DT	this
is	VBZ	be
hypocrisy	NN	hypocrisy
those	DT	those
passive	JJ	passive
regimes	NNS	regime
have	VHP	have
now	RB	now
been	VBN	be
exposed	VVN	expose
these	DT	these
protesters	NNS	protester
denounce	VVP	denounce
the	DT	the
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
of	IN	of
civilians	NNS	civilian
of	IN	of
women	NNS	woman
and	CC	and
children	NNS	child
in	IN	in
Gaza	NP	Gaza
by	IN	by
the	DT	the
Israeli	JJ	Israeli
