welcome	JJ	welcome
to	TO	to
the	DT	the
news	NN	news
hour	NN	hour
we	PP	we
start	VVP	start
with	IN	with
breaking	VVG	break
news	NN	news
coming	VVG	come
out	RP	out
of	IN	of
Gaza	NP	Gaza
where	WRB	where
alzer	NP	alzer
'	POS	'
s	JJ	s
Gaza	NP	Gaza
bureau	NN	bureau
chief	JJ	chief
wild	JJ	wild
dudan	NN	dudan
Hamza	NP	Hamza
has	VHZ	have
been	VBN	be
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
directly	RB	directly
hitting	VVG	hit
the	DT	the
car	NN	car
that	IN/that	that
he	PP	he
was	VBD	be
traveling	VVG	travel
in	IN	in
while	IN	while
alad	NN	alad
'	POS	'
s	JJ	s
wife	NN	wife
son	NN	son
daughter	NN	daughter
and	CC	and
Grandson	NN	grandson
were	VBD	be
all	RB	all
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
that	WDT	that
hit	VVD	hit
the	DT	the
house	NN	house
back	RB	back
in	IN	in
October	NP	October
also	RB	also
killed	VVD	kill
in	IN	in
the	DT	the
strike	NN	strike
Mustafa	NP	Mustafa
tra	VVZ	tra
who	WP	who
'	POS	'
d	NN	d
worked	VVD	work
for	IN	for
AFP	NP	AFP
news	NN	news
agency	NN	agency
Let	VVD	let
'	''	'
s	NNS	s
cross	VVP	cross
over	RP	over
to	TO	to
Han	NP	Han
Mahmud	NP	Mahmud
who	WP	who
joined	VVD	join
is	VBZ	be
now	RB	now
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
hany	NN	hany
what	WP	what
more	RBR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
attack	NN	attack
on	IN	on
Hamza	NP	Hamza
[	SYM	[
Music	NN	music
]	SYM	]
alud	VV	alud
yes	UH	yes
uh	UH	uh
very	RB	very
very	RB	very
very	RB	very
devastating	JJ	devastating
news	NN	news
indeed	RB	indeed
fe	NP	fe
uh	UH	uh
we	PP	we
were	VBD	be
just	JJ	just
uh	UH	uh
earlier	JJR	early
hours	NNS	hour
this	DT	this
morning	NN	morning
uh	UH	uh
we	PP	we
were	VBD	be
in	IN	in
in	IN	in
the	DT	the
tent	NN	tent
and	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
hard	JJ	hard
to	TO	to
imagine	VV	imagine
that	IN/that	that
he	PP	he
'	''	'
s	VVG	s
he	PP	he
'	POS	'
s	VVG	s
he	PP	he
'	POS	'
s	NNS	s
gone	VVN	go
now	RB	now
but	CC	but
uh	UH	uh
Hamza	NP	Hamza
with	IN	with
his	PP$	his
colleague	NN	colleague
Mustafa	NP	Mustafa
abua	NP	abua
worked	VVD	work
for	IN	for
AFP	NP	AFP
and	CC	and
the	DT	the
another	DT	another
journalist	NN	journalist
that	IN/that	that
colleague	NN	colleague
of	IN	of
Hamza	NP	Hamza
and	CC	and
Mustafa	NP	Mustafa
were	VBD	be
out	RB	out
documenting	VVG	document
the	DT	the
overnight	JJ	overnight
attacks	NNS	attack
in	IN	in
uh	UH	uh
on	IN	on
the	DT	the
road	NN	road
that	WDT	that
connects	VVZ	connect
hanun	NN	hanun
and	CC	and
ra	NN	ra
when	WRB	when
they	PP	they
were	VBD	be
targeted	VVN	target
by	IN	by
an	DT	an
air	NN	air
strikes	VVZ	strike
and	CC	and
uh	UH	uh
there	EX	there
was	VBD	be
just	RB	just
a	DT	a
video	NN	video
circulating	VVG	circulate
we	PP	we
we	PP	we
we	PP	we
just	RB	just
looked	VVD	look
at	IN	at
the	DT	the
video	NN	video
we	PP	we
we	PP	we
could	MD	could
not	RB	not
believe	VV	believe
that	IN/that	that
we	PP	we
were	VBD	be
looking	VVG	look
at	IN	at
the	DT	the
at	IN	at
Hamza	NP	Hamza
and	CC	and
his	PP$	his
colleague	NN	colleague
because	IN	because
uh	UH	uh
in	IN	in
the	DT	the
earlier	RBR	earlier
reports	VVZ	report
uh	UH	uh
we	PP	we
reported	VVD	report
about	RB	about
if	IN	if
people	NNS	people
in	IN	in
a	DT	a
car	NN	car
were	VBD	be
targeted	VVN	target
and	CC	and
uh	UH	uh
speculated	VVN	speculate
that	WDT	that
could	MD	could
be	VB	be
a	DT	a
family	NN	family
displaced	VVN	displace
family	NN	family
coming	VVG	come
from	IN	from
hanun	NN	hanun
or	CC	or
to	TO	to
our	PP$	our
shock	NN	shock
it	PP	it
was	VBD	be
was	VBD	be
our	PP$	our
colleague	NN	colleague
and	CC	and
um	NN	um
it	PP	it
just	RB	just
very	RB	very
devastating	JJ	devastating
to	TO	to
see	VV	see
that	IN/that	that
Hamza	NP	Hamza
is	VBZ	be
a	DT	a
a	DT	a
photo	JJ	photo
journalist	NN	journalist
and	CC	and
been	VBN	be
working	VVG	work
uh	UH	uh
with	IN	with
our	PP$	our
with	IN	with
the	DT	the
team	NN	team
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
of	IN	of
the	DT	the
war	NN	war
along	IN	along
with	IN	with
Mustafa	NP	Mustafa
have	VHP	have
been	VBN	be
documenting	VVG	document
all	PDT	all
the	DT	the
the	DT	the
tragedies	NNS	tragedy
and	CC	and
the	DT	the
destructions	NNS	destruction
that	WDT	that
caused	VVD	cause
by	IN	by
isra	NN	isra
Relentless	JJ	relentless
air	NN	air
strikes	NNS	strike
and	CC	and
and	CC	and
uh	UH	uh
but	CC	but
to	TO	to
this	DT	this
point	NN	point
just	RB	just
nothing	NN	nothing
seems	VVZ	seem
to	TO	to
be	VB	be
protecting	VVG	protect
anyone	NN	anyone
here	RB	here
not	RB	not
even	RB	even
the	DT	the
vest	NN	vest
not	RB	not
even	RB	even
the	DT	the
helmet	NN	helmet
not	RB	not
even	RB	even
the	DT	the
job	NN	job
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
doing	VVG	do
very	RB	very
very	RB	very
shocking	JJ	shocking
indeed	RB	indeed
we	PP	we
'	POS	'
re	NN	re
still	RB	still
absorbing	VVG	absorb
this	DT	this
we	PP	we
'	POS	'
re	NN	re
still	RB	still
absorbing	VVG	absorb
this	DT	this
of	IN	of
course	NN	course
honey	VVP	honey
I	PP	I
me	PP	me
we	PP	we
can	MD	can
hear	VV	hear
it	PP	it
in	IN	in
your	PP$	your
voice	NN	voice
it	PP	it
must	MD	must
be	VB	be
incredibly	RB	incredibly
difficult	JJ	difficult
when	WRB	when
you	PP	you
see	VVP	see
a	DT	a
friend	NN	friend
and	CC	and
a	DT	a
colleague	NN	colleague
earlier	RBR	earlier
in	IN	in
the	DT	the
day	NN	day
and	CC	and
then	RB	then
all	RB	all
of	IN	of
a	DT	a
sudden	JJ	sudden
you	PP	you
'	''	'
re	IN	re
confronted	VVN	confront
with	IN	with
the	DT	the
news	NN	news
that	IN/that	that
you	PP	you
have	VHP	have
been	VBN	be
obviously	RB	obviously
Hamza	NP	Hamza
had	VHD	have
been	VBN	be
dealing	VVG	deal
with	IN	with
the	DT	the
death	NN	death
of	IN	of
obviously	RB	obviously
very	RB	very
close	VV	close
members	NNS	member
of	IN	of
his	PP$	his
family	NN	family
for	IN	for
the	DT	the
past	JJ	past
several	JJ	several
weeks	NNS	week
H	NN	H
how	WRB	how
was	VBD	be
he	PP	he
coping	VVG	cope
with	IN	with
that	DT	that
in	IN	in
the	DT	the
conversations	NNS	conversation
he	PP	he
was	VBD	be
having	VHG	have
with	IN	with
you	PP	you
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
very	RB	very
difficult	JJ	difficult
with	IN	with
him	PP	him
Hamza	NP	Hamza
had	VHD	have
a	DT	a
great	JJ	great
bond	NN	bond
with	IN	with
his	PP$	his
mother	VV	mother
uh	UH	uh
particularly	RB	particularly
and	CC	and
every	DT	every
once	RB	once
in	IN	in
a	DT	a
while	IN	while
he	PP	he
would	MD	would
be	VB	be
telling	VVG	tell
us	PP	us
about	IN	about
how	WRB	how
much	JJ	much
he	PP	he
he	PP	he
he	PP	he
he	PP	he
misses	VVZ	miss
his	PP$	his
mom	NN	mom
and	CC	and
how	WRB	how
much	JJ	much
he	PP	he
he	PP	he
wished	VVD	wish
if	IN	if
she	PP	she
was	VBD	be
still	RB	still
alive	JJ	alive
because	IN	because
he	PP	he
has	VHZ	have
so	RB	so
much	RB	much
to	TO	to
tell	VV	tell
her	PP	her
to	TO	to
talk	VV	talk
to	TO	to
her	PP	her
about	IN	about
his	PP$	his
life	NN	life
his	PP$	his
uh	UH	uh
like	VV	like
his	PP$	his
father	NN	father
situations	NNS	situation
he	PP	he
he	PP	he
wanted	VVD	want
someone	NN	someone
to	TO	to
be	VB	be
next	JJ	next
to	TO	to
him	PP	him
every	DT	every
time	NN	time
whenever	WRB	whenever
possible	JJ	possible
for	IN	for
him	PP	him
uh	UH	uh
Hamza	NP	Hamza
was	VBD	be
a	DT	a
very	JJ	very
uh	UH	uh
very	RB	very
somehow	RB	somehow
discreet	JJ	discreet
person	NN	person
who	WP	who
wouldn	NP	wouldn
'	POS	'
t	NN	t
open	VV	open
up	RP	up
to	TO	to
anyone	NN	anyone
unless	IN	unless
he	PP	he
has	VHZ	have
he	PP	he
has	VHZ	have
built	VVN	build
a	DT	a
good	JJ	good
trust	NN	trust
because	IN	because
every	DT	every
time	NN	time
he	PP	he
would	MD	would
break	VV	break
in	IN	in
and	CC	and
crying	JJ	crying
crying	VVG	cry
his	PP$	his
heart	NN	heart
