<video_id>vuTbRF3bUNY</video_id>	JJ	<video_id>vuTbRF3bUNY</video_id>
<video_title>Student	JJ	<video_title>Student
protests	NNS	protest
could	MD	could
have	VH	have
economic	JJ	economic
impact</video_title>	JJ	impact</video_title>
<thumbnail_path>data/en_AJ\Student	NN	<thumbnail_path>data/en_AJ\Student
protests	NNS	protest
could	MD	could
have	VH	have
economic	JJ	economic
impact.jpg</thumbnail_path>	JJ	impact.jpg</thumbnail_path>
<publish_date>20240427</publish_date>	NN	<publish_date>20240427</publish_date>
<doc>	NN	<doc>
joining	VVG	join
us	PP	us
here	RB	here
in	IN	in
the	DT	the
studio	NN	studio
is	VBZ	be
Tamar	NP	Tamar
kmut	NP	kmut
he's	NNS	he's
an	DT	an
assistant	JJ	assistant
professor	NN	professor
of	IN	of
public	JJ	public
policy	NN	policy
at	IN	at
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
for	IN	for
Graduate	NP	Graduate
Studies	NPS	Studies
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
so	IN	so
what	WP	what
would	MD	would
the	DT	the
implications	NNS	implication
be	VB	be
of	IN	of
such	PDT	such
a	DT	a
a	DT	a
boycott	NN	boycott
movement	NN	movement
touching	VVG	touch
giants	NNS	giant
like	IN	like
Google	NP	Google
Amazon	NP	Amazon
Microsoft	NP	Microsoft
uh	UH	uh
Sammy	NP	Sammy
the	DT	the
implications	NNS	implication
would	MD	would
be	VB	be
significant	JJ	significant
uh	UH	uh
especially	RB	especially
on	IN	on
the	DT	the
long	JJ	long
run	NN	run
if	IN	if
the	DT	the
momentum	NN	momentum
uh	UH	uh
keeps	VVZ	keep
uh	UH	uh
uh	UH	uh
going	VVG	go
uh	UH	uh
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
this	DT	this
um	NN	um
but	CC	but
for	IN	for
me	PP	me
the	DT	the
human	JJ	human
factor	NN	factor
is	VBZ	be
the	DT	the
most	RBS	most
critical	JJ	critical
Factor	NP	Factor
let's	NNS	let's
see	VVP	see
who	WP	who
are	VBP	be
these	DT	these
students	NNS	student
these	DT	these
are	VBP	be
students	NNS	student
of	IN	of
IV	NP	IV
league	NN	league
universities	NNS	university
Elite	NP	Elite
universities	NNS	university
most	RBS	most
of	IN	of
them	PP	them
these	DT	these
are	VBP	be
the	DT	the
universities	NNS	university
that	WDT	that
that	RB	that
provide	VVP	provide
the	DT	the
pipeline	NN	pipeline
of	IN	of
employees	NNS	employee
for	IN	for
the	DT	the
same	JJ	same
companies	NNS	company
we're	NN	we're
talking	VVG	talk
about	IN	about
the	DT	the
future	JJ	future
leader	NN	leader
of	IN	of
these	DT	these
companies	NNS	company
so	IN	so
it's	NNS	it's
a	DT	a
critical	JJ	critical
juncture	NN	juncture
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
significant	JJ	significant
event	NN	event
to	TO	to
see	VV	see
these	DT	these
IV	NP	IV
league	NN	league
universities	NNS	university
rebelling	VVG	rebel
against	IN	against
the	DT	the
establishment	NN	establishment
against	IN	against
the	DT	the
corporates	NNS	corporate
so	IN	so
this	DT	this
might	MD	might
not	RB	not
be	VB	be
confined	VVN	confine
if	IN	if
these	DT	these
students	NNS	student
are	VBP	be
successful	JJ	successful
this	DT	this
kind	NN	kind
of	IN	of
boycott	NN	boycott
divestment	NN	divestment
effort	NN	effort
might	MD	might
not	RB	not
be	VB	be
confined	VVN	confine
entirely	RB	entirely
to	TO	to
classrooms	NNS	classroom
and	CC	and
universities	NNS	university
if	IN	if
they	PP	they
succeed	VVP	succeed
of	IN	of
course	NN	course
of	IN	of
course	NN	course
because	IN	because
they're	NN	they're
highly	RB	highly
correlated	VVN	correlate
with	IN	with
the	DT	the
workforce	NN	workforce
with	IN	with
the	DT	the
economy	NN	economy
so	RB	so
and	CC	and
and	CC	and
when	WRB	when
we	PP	we
see	VVP	see
students	NNS	student
who	WP	who
stand	VVP	stand
on	IN	on
principled	JJ	principled
values	NNS	value
on	IN	on
ideas	NNS	idea
you	PP	you
cannot	MD	can
buy	VV	buy
this	DT	this
buy	VV	buy
this	DT	this
with	IN	with
money	NN	money
you	PP	you
know	VVP	know
it's	NNS	it's
it's	NNS	it's
hard	JJ	hard
because	IN	because
this	DT	this
is	VBZ	be
a	DT	a
value	NN	value
system	NN	system
you	PP	you
are	VBP	be
in	IN	in
conflict	NN	conflict
with	IN	with
an	DT	an
entire	JJ	entire
value	NN	value
principle	NN	principle
system	NN	system
that	IN/that	that
this	DT	this
these	DT	these
students	NNS	student
represent	VVP	represent
but	CC	but
ham	VVP	ham
do	VV	do
you	PP	you
really	RB	really
think	VVP	think
they	PP	they
can	MD	can
succeed	VV	succeed
here	RB	here
given	VVN	give
the	DT	the
forces	NNS	force
they're	NN	they're
going	VVG	go
up	RP	up
against	IN	against
it's	NNS	it's
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
an	DT	an
easy	JJ	easy
battle	NN	battle
but	CC	but
the	DT	the
train	NN	train
has	VHZ	have
left	VVN	leave
the	DT	the
station	NN	station
Sammy	NP	Sammy
this	DT	this
is	VBZ	be
a	DT	a
snowball	NN	snowball
now	RB	now
it's	JJ	it's
a	DT	a
moving	VVG	move
snowball	NN	snowball
and	CC	and
all	DT	all
what	WP	what
we	PP	we
wish	VVP	wish
for	IN	for
is	VBZ	be
for	IN	for
it	PP	it
to	TO	to
grow	VV	grow
and	CC	and
grow	VV	grow
and	CC	and
then	RB	then
we	PP	we
see	VVP	see
a	DT	a
a	DT	a
huge	JJ	huge
shift	NN	shift
in	IN	in
public	JJ	public
opinion	NN	opinion
and	CC	and
a	DT	a
new	JJ	new
realities	NNS	reality
is	VBZ	be
forming	VVG	form
you	PP	you
know	VVP	know
against	IN	against
this	DT	this
oppression	NN	oppression
uh	UH	uh
talking	VVG	talk
about	IN	about
things	NNS	thing
spreading	VVG	spread
are	VBP	be
we	PP	we
already	RB	already
seeing	VVG	see
the	DT	the
protest	NN	protest
at	IN	at
least	JJS	least
spreading	VVG	spread
geographically	RB	geographically
now	RB	now
going	VVG	go
more	RBR	more
Global	JJ	global
so	IN	so
interestingly	RB	interestingly
um	VVG	um
uh	UH	uh
uh	UH	uh
I	PP	I
think	VVP	think
Europe	NP	Europe
uh	UH	uh
h	NN	h
the	DT	the
first	JJ	first
or	CC	or
early	JJ	early
demonstrations	NNS	demonstration
and	CC	and
protests	NNS	protest
and	CC	and
now	RB	now
we	PP	we
see	VVP	see
a	DT	a
huge	JJ	huge
shift	NN	shift
I	PP	I
mean	VVP	mean
that	IN/that	that
the	DT	the
momentum	NN	momentum
is	VBZ	be
going	VVG	go
to	TO	to
the	DT	the
US	NP	US
the	DT	the
US	NP	US
has	VHZ	have
become	VVN	become
a	DT	a
center	NN	center
and	CC	and
because	IN	because
of	IN	of
the	DT	the
US	NP	US
uh	UH	uh
symbolism	NN	symbolism
and	CC	and
it's	NN	it's
it's	NNS	it's
its	PP$	its
positioning	NN	positioning
on	IN	on
on	IN	on
the	DT	the
world	NN	world
mapping	NN	mapping
I	PP	I
think	VVP	think
now	RB	now
it's	JJ	it's
it's	NNS	it's
spreading	VVG	spread
all	DT	all
over	IN	over
the	DT	the
globe	NN	globe
you	PP	you
know	VVP	know
so	RB	so
we	PP	we
see	VVP	see
it	PP	it
in	IN	in
Europe	NP	Europe
we	PP	we
see	VVP	see
it	PP	it
in	IN	in
Australia	NP	Australia
and	CC	and
I	PP	I
think	VVP	think
we'll	RB	we'll
see	VV	see
more	RBR	more
and	CC	and
more	RBR	more
I	PP	I
mean	VVP	mean
of	IN	of
course	NN	course
there's	NNS	there's
so	IN	so
many	JJ	many
countries	NNS	country
who	WP	who
already	RB	already
took	VVD	take
a	DT	a
principal	JJ	principal
position	NN	position
to	TO	to
support	VV	support
Palestine	NP	Palestine
China	NP	China
Russia	NP	Russia
other	JJ	other
bricks	NNS	brick
country	NN	country
Latin	NP	Latin
American	NP	American
countries	NNS	country
we	PP	we
don't	VVD	don't
we	PP	we
don't	VVD	don't
see	VV	see
they're	NN	they're
demonstrating	VVG	demonstrate
because	IN	because
their	PP$	their
governments	NNS	government
have	VHP	have
took	VVD	take
the	DT	the
right	JJ	right
stand	NN	stand
so	RB	so
but	CC	but
the	DT	the
problem	NN	problem
is	VBZ	be
with	IN	with
the	DT	the
governments	NNS	government
and	CC	and
the	DT	the
politicians	NNS	politician
who	WP	who
took	VVD	take
the	DT	the
opposite	JJ	opposite
stand	NN	stand
or	CC	or
the	DT	the
wrong	JJ	wrong
stand	NN	stand
on	IN	on
this	DT	this
by	IN	by
