<video_id>-XaiugmNlkI</video_id>	JJ	<video_id>-XaiugmNlkI</video_id>
<video_title>Surge	NN	<video_title>Surge
in	IN	in
infectious	JJ	infectious
diseases	NNS	disease
as	IN	as
water	NN	water
supplies	NNS	supply
and	CC	and
sanitation	NN	sanitation
collapse	NN	collapse
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Surge	NN	<thumbnail_path>data/en_AJ\Surge
in	IN	in
infectious	JJ	infectious
diseases	NNS	disease
as	IN	as
water	NN	water
supplies	NNS	supply
and	CC	and
sanitation	NN	sanitation
collapse	NN	collapse
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231225</publish_date>	JJ	<publish_date>20231225</publish_date>
<doc>	NN	<doc>
the	DT	the
United	NP	United
Nations	NPS	Nations
says	VVZ	say
that	IN/that	that
nearly	RB	nearly
two	CD	two
million	CD	million
people	NNS	people
in	IN	in
Gaza	NP	Gaza
are	VBP	be
facing	VVG	face
severe	JJ	severe
food	NN	food
and	CC	and
water	NN	water
shortages	NNS	shortage
Nel	NP	Nel
Sharif	NP	Sharif
has	VHZ	have
gained	VVN	gain
access	NN	access
to	TO	to
Northern	NP	Northern
Gaza	NP	Gaza
and	CC	and
reports	NNS	report
on	IN	on
the	DT	the
Water	NP	Water
Crisis	NN	crisis
there	RB	there
the	DT	the
Water	NP	Water
Crisis	NN	crisis
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
hitting	VVG	hit
hard	RB	hard
the	DT	the
lifeline	NN	lifeline
of	IN	of
the	DT	the
displaced	VVN	displace
people	NNS	people
here	RB	here
in	IN	in
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
bombed	VVD	bomb
Wells	NP	Wells
and	CC	and
desalination	NN	desalination
plants	NNS	plant
here	RB	here
in	IN	in
North	NP	North
Gaza	NP	Gaza
we	PP	we
came	VVD	come
from	IN	from
a	DT	a
very	RB	very
far	RB	far
away	RB	away
place	VV	place
to	TO	to
fill	VV	fill
these	DT	these
barrels	NNS	barrel
with	IN	with
water	NN	water
we	PP	we
live	VVP	live
in	IN	in
Kamal	NP	Kamal
adwan	NP	adwan
we	PP	we
don't	VVD	don't
have	VH	have
any	DT	any
water	NN	water
there	RB	there
we	PP	we
have	VHP	have
to	TO	to
make	VV	make
a	DT	a
lot	NN	lot
of	IN	of
effort	NN	effort
to	TO	to
carry	VV	carry
these	DT	these
barrels	NNS	barrel
back	RB	back
to	TO	to
our	PP$	our
area	NN	area
we	PP	we
put	VVD	put
the	DT	the
hose	NN	hose
under	IN	under
the	DT	the
rubble	NN	rubble
to	TO	to
get	VV	get
some	DT	some
of	IN	of
the	DT	the
water	NN	water
that's	NNS	that's
not	RB	not
really	RB	really
suitable	JJ	suitable
for	IN	for
drinking	VVG	drink
the	DT	the
situation	NN	situation
is	VBZ	be
catastrophic	JJ	catastrophic
may	MD	may
Allah	NP	Allah
help	VV	help
us	PP	us
there	RB	there
are	VBP	be
70	CD	@card@
people	NNS	people
in	IN	in
our	PP$	our
building	NN	building
and	CC	and
we	PP	we
need	VVP	need
to	TO	to
bring	VV	bring
water	NN	water
twice	RB	twice
a	DT	a
day	NN	day
because	IN	because
these	DT	these
barrels	NNS	barrel
are	VBP	be
only	RB	only
enough	JJ	enough
for	IN	for
half	PDT	half
a	DT	a
day	NN	day
my	PP$	my
father	NN	father
sent	VVD	send
me	PP	me
from	IN	from
alwa	NN	alwa
area	NN	area
to	TO	to
get	VV	get
water	NN	water
from	IN	from
here	RB	here
I	PP	I
told	VVD	tell
my	PP$	my
father	NN	father
we	PP	we
have	VHP	have
to	TO	to
live	VV	live
we	PP	we
have	VHP	have
to	TO	to
face	VV	face
the	DT	the
dangerous	JJ	dangerous
circumstances	NNS	circumstance
out	RB	out
here	RB	here
in	IN	in
order	NN	order
to	TO	to
stay	VV	stay
alive	RB	alive
my	PP$	my
brothers	NNS	brother
are	VBP	be
with	IN	with
me	PP	me
the	DT	the
water	NN	water
is	VBZ	be
sometimes	RB	sometimes
enough	RB	enough
for	IN	for
a	DT	a
day	NN	day
and	CC	and
sometimes	RB	sometimes
it's	NNS	it's
not	RB	not
I	PP	I
do	VVP	do
my	PP$	my
best	JJS	good
to	TO	to
feed	VV	feed
my	PP$	my
donkey	NN	donkey
because	IN	because
I	PP	I
use	VVP	use
my	PP$	my
donkey	NN	donkey
to	TO	to
bring	VV	bring
water	NN	water
sometimes	RB	sometimes
we	PP	we
share	VVP	share
our	PP$	our
water	NN	water
with	IN	with
our	PP$	our
[Music]	JJ	[Music]
neighbors	NNS	neighbor
we	PP	we
put	VVD	put
too	RB	too
much	JJ	much
effort	NN	effort
and	CC	and
walk	VV	walk
long	JJ	long
distances	NNS	distance
to	TO	to
get	VV	get
water	NN	water
every	DT	every
family	NN	family
needs	VVZ	need
water	NN	water
God	NP	God
knows	VVZ	know
how	WRB	how
many	JJ	many
kilometers	NNS	kilometer
we	PP	we
walk	VVP	walk
every	DT	every
day	NN	day
to	TO	to
get	VV	get
some	DT	some
water	NN	water
God	NP	God
help	VVP	help
us	PP	us
the	DT	the
water	NN	water
is	VBZ	be
polluted	JJ	polluted
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
are	VBP	be
having	VHG	have
diarrhea	NN	diarrhea
and	CC	and
vomiting	VVG	vomit
there	EX	there
is	VBZ	be
no	DT	no
ambulance	NN	ambulance
Tak	NP	Tak
them	PP	them
to	TO	to
medical	JJ	medical
centers	NNS	center
the	DT	the
Israel	NP	Israel
forces	NNS	force
shell	VVP	shell
the	DT	the
wells	NNS	well
so	RB	so
as	RB	as
not	RB	not
to	TO	to
give	VV	give
the	DT	the
people	NNS	people
any	DT	any
chance	NN	chance
to	TO	to
drink	VV	drink
clean	JJ	clean
water	NN	water
