<video_id>jgGkQ56g-JI</video_id>	JJ	<video_id>jgGkQ56g-JI</video_id>
<video_title>Targeting	NN	<video_title>Targeting
of	IN	of
senior	JJ	senior
Hamas	JJ	Hamas
officials	NNS	official
does	VVZ	do
not	RB	not
‘justify	VV	‘justify
killing	VVG	kill
civilians’</video_title>	JJ	civilians’</video_title>
<thumbnail_path>data/en_AJ\Targeting	NN	<thumbnail_path>data/en_AJ\Targeting
of	IN	of
senior	JJ	senior
Hamas	JJ	Hamas
officials	NNS	official
does	VVZ	do
not	RB	not
‘justify	VV	‘justify
killing	VVG	kill
civilians’.jpg</thumbnail_path>	JJ	civilians’.jpg</thumbnail_path>
<publish_date>20240713</publish_date>	NN	<publish_date>20240713</publish_date>
<doc>	NN	<doc>
returned	VVD	return
to	TO	to
Hassan	NP	Hassan
barari	NP	barari
he's	NNS	he's
a	DT	a
professor	NN	professor
of	IN	of
international	JJ	international
Affairs	NPS	Affairs
at	IN	at
Qatar	NP	Qatar
University	NP	University
he	PP	he
in	IN	in
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
uh	UH	uh
Hassan	NP	Hassan
as	IN	as
you	PP	you
may	MD	may
have	VH	have
heard	VVN	hear
there	RB	there
multiple	JJ	multiple
reports	NNS	report
um	VVG	um
most	JJS	most
of	IN	of
them	PP	them
coming	VVG	come
of	IN	of
course	NN	course
from	IN	from
Israel	NP	Israel
specifically	RB	specifically
um	VVZ	um
an	DT	an
Israeli	JJ	Israeli
Army	NP	Army
Radio	NP	Radio
reporter	NN	reporter
claiming	VVG	claim
that	IN/that	that
the	DT	the
the	DT	the
Hamas	JJ	Hamas
military	JJ	military
Chief	NP	Chief
Muhammad	NP	Muhammad
de	NP	de
de	NP	de
was	VBD	be
the	DT	the
intended	VVN	intend
target	NN	target
of	IN	of
these	DT	these
strikes	NNS	strike
of	IN	of
course	NN	course
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
for	IN	for
certain	JJ	certain
is	VBZ	be
that	IN/that	that
the	DT	the
consequences	NNS	consequence
are	VBP	be
devast	RB	devast
stating	VVG	state
for	IN	for
civilians	NNS	civilian
in	IN	in
that	DT	that
particular	JJ	particular
part	NN	part
of	IN	of
western	JJ	western
Rafa	NP	Rafa
your	PP$	your
thoughts	NNS	thought
on	IN	on
what	WP	what
we're	NN	we're
hearing	NN	hearing
from	IN	from
Israel	NP	Israel
this	DT	this
a	DT	a
question	NN	question
to	TO	to
me	PP	me
yes	RB	yes
that's	JJ	that's
to	TO	to
you	PP	you
Hass	NP	Hass
there	EX	there
was	VBD	be
a	DT	a
little	JJ	little
disconnect	VV	disconnect
so	RB	so
sorry	JJ	sorry
yeah	RB	yeah
no	RB	no
sure	JJ	sure
what	WP	what
let	VVP	let
me	PP	me
let	VV	let
me	PP	me
repeat	VV	repeat
that	DT	that
Hass	NP	Hass
what	WP	what
what	WP	what
I	PP	I
was	VBD	be
saying	VVG	say
is	VBZ	be
I'm	NP	I'm
Sor	NP	Sor
what	WP	what
I	PP	I
was	VBD	be
saying	VVG	say
is	VBZ	be
that	IN/that	that
we	PP	we
there	RB	there
are	VBP	be
reports	NNS	report
coming	VVG	come
from	IN	from
Israel	NP	Israel
specifically	RB	specifically
from	IN	from
an	DT	an
Israeli	JJ	Israeli
Army	NP	Army
radio	NN	radio
reporter	NN	reporter
claiming	VVG	claim
that	IN/that	that
the	DT	the
intended	VVN	intend
target	NN	target
of	IN	of
these	DT	these
multiple	JJ	multiple
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
was	VBD	be
the	DT	the
Hamas	JJ	Hamas
military	JJ	military
Chief	NP	Chief
Muhammad	NP	Muhammad
div	NN	div
we	PP	we
have	VHP	have
no	DT	no
um	JJ	um
way	NN	way
of	IN	of
independently	RB	independently
verifying	VVG	verify
that	IN/that	that
of	IN	of
course	NN	course
but	CC	but
what	WP	what
we	PP	we
can	MD	can
clearly	RB	clearly
see	VV	see
on	IN	on
our	PP$	our
screens	NNS	screen
is	VBZ	be
how	WRB	how
devastating	JJ	devastating
these	DT	these
air	NN	air
strikes	NNS	strike
have	VHP	have
been	VBN	be
for	IN	for
the	DT	the
many	JJ	many
civilians	NNS	civilian
crowded	VVN	crowd
there	RB	there
in	IN	in
alasi	NNS	alasi
yeah	RB	yeah
you	PP	you
you're	VVP	you're
right	RB	right
you	PP	you
know	VVP	know
I	PP	I
know	VVP	know
Muhammad	NP	Muhammad
is	VBZ	be
a	DT	a
big	JJ	big
Target	NP	Target
for	IN	for
the	DT	the
Israelis	NPS	Israelis
they've	NN	they've
been	VBN	be
trying	VVG	try
to	TO	to
kill	VV	kill
him	PP	him
for	IN	for
like	JJ	like
ages	VVZ	age
uh	UH	uh
so	RB	so
there	EX	there
were	VBD	be
there	EX	there
were	VBD	be
several	JJ	several
attempts	NNS	attempt
in	IN	in
his	PP$	his
life	NN	life
but	CC	but
they	PP	they
all	RB	all
failed	VVD	fail
uh	UH	uh
we	PP	we
know	VVP	know
the	DT	the
importance	NN	importance
of	IN	of
Muhammad	NP	Muhammad
as	IN	as
a	DT	a
leader	NN	leader
but	CC	but
uh	UH	uh
the	DT	the
question	NN	question
here	RB	here
is	VBZ	be
this	DT	this
justifiable	JJ	justifiable
to	TO	to
kill	VV	kill
like	IN	like
50	CD	@card@
people	NNS	people
simply	RB	simply
because	IN	because
you	PP	you
want	VVP	want
to	TO	to
kill	VV	kill
a	DT	a
military	JJ	military
leader	NN	leader
uh	UH	uh
where	WRB	where
is	VBZ	be
the	DT	the
humanitarian	JJ	humanitarian
aspect	NN	aspect
of	IN	of
it	PP	it
how	WRB	how
the	DT	the
International	NP	International
Community	NP	Community
going	VVG	go
to	TO	to
respond	VV	respond
to	TO	to
that	DT	that
uh	UH	uh
because	IN	because
this	DT	this
is	VBZ	be
one	CD	one
more	JJR	more
time	NN	time
he	PP	he
was	VBD	be
targeted	VVN	target
in	IN	in
an	DT	an
area	NN	area
that	WDT	that
was	VBD	be
designated	VVN	designate
by	IN	by
Israel	NP	Israel
itself	PP	itself
to	TO	to
be	VB	be
safe	JJ	safe
one	CD	one
for	IN	for
a	DT	a
safe	JJ	safe
zone	NN	zone
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
uh	UH	uh
you	PP	you
know	VVP	know
even	RB	even
including	VVG	include
the	DT	the
the	DT	the
Hamas	JJ	Hamas
people	NNS	people
they	PP	they
can	MD	can
go	VV	go
in	RP	in
and	CC	and
out	RP	out
in	IN	in
this	DT	this
area	NN	area
because	IN	because
it	PP	it
was	VBD	be
designated	VVN	designate
as	RB	as
as	IN	as
a	DT	a
safe	JJ	safe
but	CC	but
I	PP	I
think	VVP	think
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
using	VVG	use
this	DT	this
as	IN	as
a	DT	a
trap	NN	trap
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
now	RB	now
in	IN	in
order	NN	order
to	TO	to
identify	VV	identify
the	DT	the
and	CC	and
track	VVP	track
down	RP	down
all	PDT	all
the	DT	the
Hamas	JJ	Hamas
leaders	NNS	leader
and	CC	and
try	VVP	try
to	TO	to
kill	VV	kill
them	PP	them
if	IN	if
the	DT	the
if	IN	if
the	DT	the
price	NN	price
is	VBZ	be
killing	VVG	kill
hundreds	NNS	hundred
of	IN	of
Palestinians	NPS	Palestinians
they	PP	they
don't	VVD	don't
care	VV	care
uh	UH	uh
we've	NN	we've
seen	VVN	see
this	DT	this
before	IN	before
we've	NN	we've
seen	VVN	see
this	DT	this
movie	NN	movie
before	IN	before
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
committing	VVG	commit
a	DT	a
lot	NN	lot
of	IN	of
atrocities	NNS	atrocity
uh	UH	uh
since	IN	since
2002	CD	@card@
they	PP	they
killed	VVD	kill
Shah	NP	Shah
Shada	NP	Shada
and	CC	and
they	PP	they
killed	VVD	kill
16	CD	@card@
people	NNS	people
and	CC	and
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
collateral	NN	collateral
damage	NN	damage
so	IN	so
one	CD	one
more	JJR	more
time	NN	time
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
they're	JJ	they're
very	JJ	very
uh	UH	uh
insensitive	JJ	insensitive
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
civilian	JJ	civilian
and	CC	and
innocent	JJ	innocent
people	NNS	people
uh	UH	uh
Hassan	NP	Hassan
also	RB	also
we	PP	we
know	VVP	know
according	VVG	accord
to	TO	to
what	WP	what
we've	NN	we've
heard	VVN	hear
from	IN	from
sources	NNS	source
in	IN	in
the	DT	the
United	NP	United
States	NP	States
that	IN/that	that
previously	RB	previously
us	PP	us
intelligence	NN	intelligence
has	VHZ	have
been	VBN	be
involved	VVN	involve
in	IN	in
at	IN	at
least	JJS	least
trying	VVG	try
to	TO	to
help	VV	help
the	DT	the
Israeli	JJ	Israeli
military	NN	military
locate	VV	locate
the	DT	the
leader	NN	leader
of	IN	of
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
Yaya	NP	Yaya
Sina	NP	Sina
it	PP	it
does	VVZ	do
beg	VV	beg
the	DT	the
question	NN	question
whether	IN	whether
or	CC	or
not	RB	not
any	DT	any
kind	NN	kind
of	IN	of
us	PP	us
intelligence	NN	intelligence
may	MD	may
have	VH	have
helped	VVN	help
support	VV	support
these	DT	these
apparent	JJ	apparent
strikes	NNS	strike
looking	VVG	look
for	IN	for
Muhammad	NP	Muhammad
Dev	NP	Dev
now	RB	now
we	PP	we
all	RB	all
we	PP	we
know	VVP	know
is	VBZ	be
that	IN/that	that
there's	RB	there's
an	DT	an
American	JJ	American
unit	NN	unit
working	VVG	work
for	IN	for
the	DT	the
with	IN	with
the	DT	the
Israelis	NPS	Israelis
and	CC	and
to	TO	to
provide	VV	provide
them	PP	them
with	IN	with
intelligence	NN	intelligence
I	PP	I
I	PP	I
can't	VVD	can't
really	RB	really
claim	VV	claim
that	DT	that
Americans	NPS	Americans
are	VBP	be
involved	VVN	involve
in	IN	in
this	DT	this
in	IN	in
this	DT	this
incident	NN	incident
but	CC	but
I	PP	I
don't	VVD	don't
all	PDT	all
this	DT	this
out	JJ	out
uh	UH	uh
so	RB	so
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
providing	VVG	provide
them	PP	them
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
information	NN	information
a	DT	a
lot	NN	lot
of	IN	of
intelligence	NN	intelligence
and	CC	and
also	RB	also
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
trying	VVG	try
uh	UH	uh
uh	UH	uh
by	IN	by
using	VVG	use
different	JJ	different
means	VVZ	mean
uh	UH	uh
to	TO	to
track	VV	track
down	RP	down
Hamas	JJ	Hamas
leaders	NNS	leader
and	CC	and
and	CC	and
high	JJ	high
ranking	JJ	ranking
military	JJ	military
leaders	NNS	leader
in	IN	in
order	NN	order
to	TO	to
kill	VV	kill
them	PP	them
and	CC	and
this	DT	this
helped	VVN	help
Netanyahu	NP	Netanyahu
in	IN	in
in	IN	in
Israel	NP	Israel
to	TO	to
be	VB	be
seen	VVN	see
as	IN	as
a	DT	a
Victorious	JJ	victorious
uh	UH	uh
leader	NN	leader
uh	UH	uh
because	IN	because
as	IN	as
