<video_id>vqZLGgMJjSc</video_id>	JJ	<video_id>vqZLGgMJjSc</video_id>
<video_title>Tens	NNS	<video_title>Tens
of	IN	of
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
are	VBP	be
sheltering	VVG	shelter
in	IN	in
schools	NNS	school
run	VVN	run
by	IN	by
UN	NP	UN
refugee	NN	refugee
agency</video_title>	NN	agency</video_title>
<thumbnail_path>data/en_AJ\Tens	NNS	<thumbnail_path>data/en_AJ\Tens
of	IN	of
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
are	VBP	be
sheltering	VVG	shelter
in	IN	in
schools	NNS	school
run	VVN	run
by	IN	by
UN	NP	UN
refugee	NN	refugee
agency.jpg</thumbnail_path>	NN	agency.jpg</thumbnail_path>
<publish_date>20231015</publish_date>	NN	<publish_date>20231015</publish_date>
<doc>	NN	<doc>
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
at	IN	at
schools	NNS	school
run	VVN	run
by	IN	by
the	DT	the
UN	NP	UN
Refugee	NN	refugee
agency	NN	agency
unra	NP	unra
El	NP	El
jazer	NN	jazer
spoke	VVD	speak
to	TO	to
some	DT	some
of	IN	of
them	PP	them
met	VVD	meet
a	DT	a
facility	NN	facility
in	IN	in
central	JJ	central
Gaza	NP	Gaza
I'm	NP	I'm
from	IN	from
Gaza	NP	Gaza
and	CC	and
we	PP	we
found	VVD	find
nothing	NN	nothing
here	RB	here
you	PP	you
need	VVP	need
to	TO	to
fight	VV	fight
to	TO	to
buy	VV	buy
some	DT	some
water	NN	water
food	NN	food
is	VBZ	be
not	RB	not
good	JJ	good
at	IN	at
all	DT	all
they	PP	they
shouldn't	VVD	shouldn't
have	VH	have
brought	VVN	bring
such	JJ	such
bad	JJ	bad
food	NN	food
we	PP	we
came	VVD	come
from	IN	from
Gaza	NP	Gaza
and	CC	and
we're	NN	we're
being	VBG	be
attacked	VVN	attack
here	RB	here
and	CC	and
there	RB	there
and	CC	and
everywhere	RB	everywhere
our	PP$	our
situation	NN	situation
is	VBZ	be
miserable	JJ	miserable
and	CC	and
our	PP$	our
wives	NNS	wife
and	CC	and
daers	NNS	daers
are	VBP	be
in	IN	in
the	DT	the
streets	NNS	street
no	DT	no
Arab	JJ	Arab
country	NN	country
wants	VVZ	want
to	TO	to
help	VV	help
why	WRB	why
are	VBP	be
we	PP	we
living	VVG	live
we	PP	we
escaped	VVD	escape
we	PP	we
scared	VVD	scare
shelling	VVG	shell
is	VBZ	be
everywhere	RB	everywhere
the	DT	the
world	NN	world
must	MD	must
understand	VV	understand
our	PP$	our
situation	NN	situation
we	PP	we
have	VHP	have
children	NNS	child
and	CC	and
we	PP	we
have	VHP	have
sick	JJ	sick
people	NNS	people
and	CC	and
also	RB	also
also	RB	also
they	PP	they
displace	VVP	displace
people	NNS	people
who	WP	who
are	VBP	be
suffering	VVG	suffer
from	IN	from
cancer	NN	cancer
we	PP	we
are	VBP	be
terrorized	VVN	terrorize
and	CC	and
someone	NN	someone
must	MD	must
understand	VV	understand
how	WRB	how
terrorized	VVN	terrorize
and	CC	and
horrified	VVN	horrify
we	PP	we
are	VBP	be
we	PP	we
have	VHP	have
no	DT	no
food	NN	food
we	PP	we
have	VHP	have
no	DT	no
water	NN	water
there	RB	there
no	DT	no
toilets	NNS	toilet
we're	NN	we're
left	VVD	leave
to	TO	to
stay	VV	stay
on	IN	on
the	DT	the
streets	NNS	street
they	PP	they
have	VHP	have
destroyed	VVN	destroy
my	PP$	my
house	NN	house
I	PP	I
have	VHP	have
no	DT	no
other	JJ	other
place	NN	place
to	TO	to
live	VV	live
I	PP	I
don't	NN	don't
know	VVP	know
where	WRB	where
to	TO	to
go	VV	go
our	PP$	our
life	NN	life
is	VBZ	be
hell	NN	hell
they	PP	they
told	VVD	tell
us	PP	us
to	TO	to
go	VV	go
to	TO	to
the	DT	the
South	JJ	South
and	CC	and
here	RB	here
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
South	NP	South
I'm	NP	I'm
sick	JJ	sick
and	CC	and
tired	JJ	tired
of	IN	of
everything	NN	everything
I	PP	I
don't	VVD	don't
need	NN	need
food	NN	food
I	PP	I
just	RB	just
need	VVP	need
to	TO	to
go	VV	go
back	RB	back
to	TO	to
my	PP$	my
house	NN	house
take	VV	take
me	PP	me
to	TO	to
my	PP$	my
place	NN	place
and	CC	and
I	PP	I
will	MD	will
live	VV	live
in	IN	in
a	DT	a
tent	NN	tent
there	RB	there
well	RB	well
our	PP$	our
correspondent	NN	correspondent
Muhammad	NP	Muhammad
Jim	NP	Jim
Jun	NP	Jun
is	VBZ	be
standing	VVG	stand
by	IN	by
for	IN	for
us	PP	us
he's	NNS	he's
an	DT	an
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Muhammad	NP	Muhammad
you've	NN	you've
spoken	VVN	speak
to	TO	to
unra	NNS	unra
what	WP	what
have	VHP	have
they	PP	they
told	VVD	tell
you	PP	you
about	IN	about
the	DT	the
situation	NN	situation
in	IN	in
G	NP	G
Tom	NP	Tom
we	PP	we
heard	VVD	hear
extremely	RB	extremely
Stark	NP	Stark
and	CC	and
dire	JJ	dire
warnings	NNS	warning
from	IN	from
the	DT	the
UN	NP	UN
Refugee	NN	refugee
Agency	NP	Agency
for	IN	for
Palestinians	NPS	Palestinians
from	IN	from
unra	NP	unra
they	PP	they
had	VHD	have
a	DT	a
press	NN	press
conference	NN	conference
a	DT	a
short	JJ	short
while	NN	while
ago	RB	ago
here	RB	here
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
let	VVD	let
me	PP	me
tell	VVP	tell
you	PP	you
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
we	PP	we
heard	VVD	hear
the	DT	the
UN	NP	UN
commissioner	NN	commissioner
uh	UH	uh
commissioner	NN	commissioner
General	NP	General
Philipe	NP	Philipe
lazarini	NP	Lazarini
he	PP	he
said	VVD	say
that	IN/that	that
they	PP	they
need	VVP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
bring	VV	bring
supplies	NNS	supply
into	IN	into
Gaza	NP	Gaza
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
humanitarian	JJ	humanitarian
Corridor	NP	Corridor
established	VVD	establish
that	IN/that	that
no	DT	no
place	NN	place
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
safe	JJ	safe
he	PP	he
said	VVD	say
that	IN/that	that
the	DT	the
situation	NN	situation
was	VBD	be
absolutely	RB	absolutely
unprecedented	JJ	unprecedented
he	PP	he
said	VVD	say
Wars	NP	Wars
all	DT	all
wars	NNS	war
even	RB	even
this	DT	this
war	NN	war
have	VHP	have
laws	NNS	law
and	CC	and
they	PP	they
need	VVP	need
to	TO	to
be	VB	be
followed	VVN	follow
um	NN	um
he	PP	he
went	VVD	go
on	RP	on
to	TO	to
say	VV	say
that	IN/that	that
Gaza	NP	Gaza
is	VBZ	be
running	VVG	run
out	RP	out
of	IN	of
water	NN	water
and	CC	and
electricity	NN	electricity
he	PP	he
said	VVD	say
Gaza	NP	Gaza
is	VBZ	be
being	VBG	be
strangled	VVN	strangle
and	CC	and
it	PP	it
seems	VVZ	seem
the	DT	the
world	NN	world
right	NN	right
now	RB	now
has	VHZ	have
lost	VVN	lose
its	PP$	its
Humanity	NN	humanity
if	IN	if
we	PP	we
look	VVP	look
at	IN	at
the	DT	the
issue	NN	issue
of	IN	of
water	NN	water
we	PP	we
all	RB	all
know	VVP	know
that	IN/that	that
water	NN	water
is	VBZ	be
life	NN	life
and	CC	and
Gaza	NP	Gaza
is	VBZ	be
running	VVG	run
out	RP	out
of	IN	of
water	NN	water
and	CC	and
Gaza	NP	Gaza
is	VBZ	be
running	VVG	run
out	RP	out
of	IN	of
life	NN	life
so	RB	so
extremely	RB	extremely
dire	JJ	dire
warnings	NNS	warning
about	IN	about
what	WP	what
is	VBZ	be
going	VVG	go
on	RP	on
from	IN	from
ANA	RB	ana
now	RB	now
I	PP	I
asked	VVD	ask
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
Ana	NP	Ana
Tamar	NP	Tamar
about	IN	about
those	DT	those
reports	NNS	report
that	DT	that
we've	NN	we've
been	VBN	be
hearing	VVG	hear
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
that	IN/that	that
perhaps	RB	perhaps
water	NN	water
had	VHD	have
been	VBN	be
restored	VVN	restore
by	IN	by
Israel	NP	Israel
to	TO	to
Southern	NP	Southern
Gaza	NP	Gaza
uh	UH	uh
she	PP	she
said	VVD	say
that	IN/that	that
they	PP	they
have	VHP	have
not	RB	not
yet	RB	yet
been	VBN	be
able	JJ	able
to	TO	to
confirm	VV	confirm
that	IN/that	that
that	WDT	that
has	VHZ	have
happened	VVN	happen
and	CC	and
explained	VVN	explain
