<video_id>ocaOkaNPhKo</video_id>	JJ	<video_id>ocaOkaNPhKo</video_id>
<video_title>Tens	NNS	<video_title>Tens
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
take	VVP	take
shelter	NN	shelter
in	IN	in
United	NP	United
Nations-run	NP	Nations-run
schools	NNS	school
as	IN	as
Israel	NP	Israel
bombs	NNS	bomb
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Tens	NNS	<thumbnail_path>data/en_AJ\Tens
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
take	VVP	take
shelter	NN	shelter
in	IN	in
United	NP	United
Nations-run	NP	Nations-run
schools	NNS	school
as	IN	as
Israel	NP	Israel
bombs	NNS	bomb
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231011</publish_date>	NN	<publish_date>20231011</publish_date>
<doc>	NN	<doc>
nowhere	RB	nowhere
in	IN	in
Gaza	NP	Gaza
seems	VVZ	seem
to	TO	to
be	VB	be
safe	JJ	safe
right	RB	right
now	RB	now
un	JJ	un
facilities	NNS	facility
schools	NNS	school
Sheltering	VVG	shelter
displaced	VVN	displace
Palestinians	NNS	Palestinian
have	VHP	have
also	RB	also
come	VVN	come
under	IN	under
attack	NN	attack
Al	NP	Al
just	RB	just
here	RB	here
spoke	VVD	speak
to	TO	to
some	DT	some
people	NNS	people
who	WP	who
fled	VVD	flee
to	TO	to
a	DT	a
primary	JJ	primary
school	NN	school
they	PP	they
described	VVD	describe
the	DT	the
conditions	NNS	condition
[Music]	NN	[Music]
there	RB	there
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
miserable	JJ	miserable
situation	NN	situation
even	JJ	even
animals	NNS	animal
have	VHP	have
a	DT	a
better	JJR	good
life	NN	life
than	IN	than
ours	PP	ours
we	PP	we
have	VHP	have
not	RB	not
seen	VVN	see
or	CC	or
touched	VVN	touch
water	NN	water
for	IN	for
5	CD	@card@
days	NNS	day
now	RB	now
in	IN	in
a	DT	a
few	JJ	few
days	NNS	day
time	NN	time
we	PP	we
all	RB	all
starting	VVG	start
with	IN	with
our	PP$	our
children	NNS	child
will	MD	will
die	VV	die
from	IN	from
thirst	NN	thirst
or	CC	or
infected	JJ	infected
diseases	NNS	disease
there	EX	there
is	VBZ	be
no	DT	no
water	NN	water
for	IN	for
us	PP	us
to	TO	to
drink	VV	drink
or	CC	or
wash	VV	wash
let's	NNS	let's
go	VV	go
now	RB	now
to	TO	to
he's	NNS	he's
actually	RB	actually
at	IN	at
a	DT	a
un	NN	un
run	VVN	run
School	NP	School
in	IN	in
Gaza	NP	Gaza
what	WP	what
are	VBP	be
conditions	NNS	condition
like	IN	like
there	RB	there
where	WRB	where
you're	NN	you're
at	IN	at
s	NNS	s
do	VVP	do
people	NNS	people
have	VHP	have
access	NN	access
to	TO	to
drinking	NN	drinking
water	NN	water
well	RB	well
as	RB	as
in	IN	in
the	DT	the
interview	VV	interview
uh	UH	uh
we	PP	we
talk	VVP	talk
to	TO	to
the	DT	the
people	NNS	people
here	RB	here
they	PP	they
say	VVP	say
they	PP	they
live	VVP	live
in	IN	in
a	DT	a
miserable	JJ	miserable
conditions	NNS	condition
that	WDT	that
even	VVP	even
they	PP	they
all	PDT	all
the	DT	the
say	VVP	say
say	VV	say
the	DT	the
same	JJ	same
thing	NN	thing
that	IN/that	that
even	JJ	even
animals	NNS	animal
would	MD	would
not	RB	not
accept	VV	accept
to	TO	to
live	VV	live
in	IN	in
these	DT	these
conditions	NNS	condition
we	PP	we
went	VVD	go
inside	RB	inside
before	RB	before
and	CC	and
we	PP	we
find	VVP	find
like	IN	like
50	CD	@card@
people	NNS	people
in	IN	in
one	CD	one
classroom	NN	classroom
these	DT	these
schools	NNS	school
are	VBP	be
made	VVN	make
for	IN	for
uh	UH	uh
for	IN	for
learning	NN	learning
for	IN	for
uh	UH	uh
uh	UH	uh
you	PP	you
know	VVP	know
for	IN	for
um	JJ	um
students	NNS	student
and	CC	and
not	RB	not
made	VVN	make
for	IN	for
to	TO	to
to	RB	to
to	TO	to
get	VV	get
or	CC	or
to	TO	to
have	VH	have
uh	UH	uh
50	CD	@card@
to	TO	to
70	CD	@card@
in	IN	in
some	DT	some
other	JJ	other
rooms	NNS	room
uh	UH	uh
people	NNS	people
in	IN	in
one	CD	one
in	IN	in
one	CD	one
classroom	NN	classroom
uh	UH	uh
they	PP	they
don't	VVD	don't
have	VH	have
the	DT	the
minimum	NN	minimum
of	IN	of
uh	UH	uh
of	IN	of
hygiene	NN	hygiene
uh	UH	uh
measures	NNS	measure
they	PP	they
don't	VVD	don't
have	VH	have
the	DT	the
minimum	NN	minimum
of	IN	of
food	NN	food
standards	NNS	standard
the	DT	the
food	NN	food
needs	VVZ	need
they	PP	they
don't	VVD	don't
have	VH	have
the	DT	the
minimum	NN	minimum
of	IN	of
of	IN	of
even	RB	even
drinkable	JJ	drinkable
drinkable	JJ	drinkable
water	NN	water
I	PP	I
saw	VVD	see
some	DT	some
of	IN	of
them	PP	them
even	RB	even
outside	IN	outside
carrying	VVG	carry
bottles	NNS	bottle
and	CC	and
looking	VVG	look
for	IN	for
uh	UH	uh
the	DT	the
trucks	NNS	truck
who	WP	who
sell	VV	sell
uh	UH	uh
putable	JJ	putable
or	CC	or
drinkable	JJ	drinkable
water	NN	water
because	IN	because
uh	UH	uh
for	IN	for
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
days	NNS	day
there	EX	there
is	VBZ	be
serious	JJ	serious
lack	NN	lack
of	IN	of
water	NN	water
so	IN	so
uh	UH	uh
in	IN	in
this	DT	this
at	IN	at
in	IN	in
this	DT	this
Place	NN	place
only	RB	only
there	EX	there
are	VBP	be
more	JJR	more
than	IN	than
one	CD	one
uh	UH	uh
100	CD	@card@
1,600	CD	@card@
people	NNS	people
in	IN	in
including	VVG	include
women	NNS	woman
and	CC	and
children	NNS	child
living	VVG	live
in	IN	in
this	DT	this
miserable	JJ	miserable
place	NN	place
next	IN	next
we	PP	we
have	VHP	have
we	PP	we
could	MD	could
see	VV	see
the	DT	the
the	DT	the
uh	UH	uh
you	PP	you
know	VVP	know
garbage	NN	garbage
burning	VVG	burn
garbage	NN	garbage
because	IN	because
the	DT	the
municipalities	NNS	municipality
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
to	TO	to
come	VV	come
and	CC	and
collect	VV	collect
the	DT	the
garbage	NN	garbage
from	IN	from
these	DT	these
areas	NNS	area
and	CC	and
Still	RB	still
Still	RB	still
They	PP	they
these	DT	these
people	NNS	people
they	PP	they
believe	VVP	believe
they	PP	they
are	VBP	be
lucky	JJ	lucky
because	IN	because
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
of	IN	of
the	DT	the
Tomb	NP	Tomb
million	CD	million
43	CD	@card@
people	NNS	people
they	PP	they
couldn't	NNS	couldn't
have	VHP	have
the	DT	the
chance	NN	chance
to	TO	to
move	VV	move
inside	IN	inside
United	NP	United
Nation	NP	Nation
schools	NNS	school
because	IN	because
these	DT	these
schools	NNS	school
are	VBP	be
already	RB	already
full	JJ	full
all	RB	all
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
some	DT	some
of	IN	of
our	PP$	our
colleagues	NNS	colleague
that	IN/that	that
he	PP	he
moved	VVD	move
his	PP$	his
children	NNS	child
into	IN	into
five	CD	five
or	CC	or
six	CD	six
different	JJ	different
places	NNS	place
because	IN	because
there's	RB	there's
no	DT	no
safe	JJ	safe
place	NN	place
so	RB	so
still	RB	still
with	IN	with
all	PDT	all
these	DT	these
back	JJ	back
life	NN	life
conditions	NNS	condition
here	RB	here
they	PP	they
believe	VVP	believe
that	IN/that	that
or	CC	or
it's	NNS	it's
believed	VVD	believe
that	IN/that	that
they	PP	they
are	VBP	be
lucky	JJ	lucky
people	NNS	people
that	IN/that	that
they	PP	they
found	VVD	find
a	DT	a
place	NN	place
to	TO	to
stay	VV	stay
with	IN	with
their	PP$	their
children	NNS	child
safety	NN	safety
even	RB	even
for	IN	for
the	DT	the
personal	JJ	personal
safety	NN	safety
while	IN	while
we	PP	we
are	VBP	be
standing	VVG	stand
here	RB	here
we	PP	we
could	MD	could
see	VV	see
we	PP	we
could	MD	could
hear	VV	hear
the	DT	the
uh	UH	uh
the	DT	the
heavy	JJ	heavy
uh	UH	uh
waret	NN	waret
explosions	NNS	explosion
or	CC	or
raids	VVZ	raid
uh	UH	uh
bombarding	VVG	bombard
just	RB	just
few	JJ	few
hundred	CD	hundred
meters	NNS	meter
from	IN	from
this	DT	this
place	NN	place
so	RB	so
even	RB	even
these	DT	these
shelters	NNS	shelter
are	VBP	be
not	RB	not
safe	JJ	safe
uh	UH	uh
for	IN	for
any	DT	any
either	CC	either
life	NN	life
measure	NN	measure
or	CC	or
safety	VV	safety
uh	UH	uh
measures	NNS	measure
and	CC	and
S	NP	S
now	RB	now
