H	NP	H
kudari	NP	kudari
is	VBZ	be
um	VVG	um
a	DT	a
local	JJ	local
journalist	NN	journalist
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
This	DT	this
is	VBZ	be
the	DT	the
scene	NN	scene
in	IN	in
the	DT	the
strip	NN	strip
as	IN	as
night	NN	night
falls	VVZ	fall
you	PP	you
can	MD	can
still	RB	still
see	VV	see
Heavy	JJ	heavy
clouds	NNS	cloud
of	IN	of
smoke	NN	smoke
hanging	VVG	hang
over	IN	over
the	DT	the
skyline	NN	skyline
and	CC	and
interest	NN	interest
interestingly	RB	interestingly
you	PP	you
can	MD	can
'	''	'
t	NN	t
see	VV	see
any	DT	any
lights	NNS	light
on	IN	on
you	PP	you
can	MD	can
see	VV	see
one	CD	one
small	JJ	small
light	NN	light
there	RB	there
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
night	NN	night
descends	VVZ	descend
there	EX	there
is	VBZ	be
no	DT	no
electricity	NN	electricity
there	RB	there
because	IN	because
Israel	NP	Israel
has	VHZ	have
cut	VVN	cut
it	PP	it
off	IN	off
hind	JJ	hind
kodari	NNS	kodari
you	PP	you
are	VBP	be
joining	VVG	join
us	PP	us
from	IN	from
there	RB	there
tell	VV	tell
us	PP	us
first	JJ	first
of	IN	of
all	DT	all
what	WP	what
the	DT	the
situation	NN	situation
is	VBZ	be
you	PP	you
'	POS	'
ve	NN	ve
had	VHD	have
to	TO	to
move	VV	move
to	TO	to
a	DT	a
hotel	NN	hotel
what	WP	what
happened	VVD	happen
there	RB	there
um	JJ	um
to	TO	to
be	VB	be
honest	JJ	honest
the	DT	the
situation	NN	situation
right	NN	right
now	RB	now
is	VBZ	be
literally	RB	literally
um	JJ	um
um	JJ	um
devastating	JJ	devastating
um	NNS	um
and	CC	and
during	IN	during
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
hours	NNS	hour
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
nonstop	JJ	nonstop
massive	JJ	massive
explosions	NNS	explosion
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
if	IN	if
you	PP	you
can	MD	can
hear	VV	hear
my	PP$	my
background	NN	background
but	CC	but
uh	UH	uh
there	EX	there
are	VBP	be
war	NN	war
planes	NNS	plane
in	IN	in
any	DT	any
second	NN	second
any	DT	any
Place	NN	place
surrounding	VVG	surround
me	PP	me
can	MD	can
be	VB	be
targeted	VVN	target
um	NNS	um
what	WP	what
happened	VVD	happen
today	NN	today
with	IN	with
us	PP	us
what	WP	what
we	PP	we
witnessed	VVD	witness
today	NN	today
was	VBD	be
something	NN	something
I	PP	I
never	RB	never
witnessed	VVD	witness
I	PP	I
saw	VVD	see
thousands	NNS	thousand
of	IN	of
Palestinian	JJ	Palestinian
refugees	NNS	refugee
in	IN	in
unwa	VVG	unwa
uh	UH	uh
schools	NNS	school
without	IN	without
electricity	NN	electricity
without	IN	without
water	VV	water
uh	UH	uh
without	IN	without
food	NN	food
everyone	NN	everyone
was	VBD	be
saying	VVG	say
that	IN/that	that
they	PP	they
they	PP	they
can	MD	can
'	''	'
t	NN	t
even	RB	even
afford	VV	afford
water	NN	water
they	PP	they
fed	VVD	feed
their	PP$	their
homes	NNS	home
after	IN	after
um	NNS	um
receiving	VVG	receive
those	DT	those
text	NN	text
messages	NNS	message
from	IN	from
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
that	IN/that	that
they	PP	they
need	VVP	need
to	TO	to
um	VVG	um
uh	UH	uh
leave	VV	leave
their	PP$	their
houses	NNS	house
but	CC	but
uh	UH	uh
but	CC	but
other	JJ	other
people	NNS	people
um	NNS	um
got	VVD	get
their	PP$	their
houses	NNS	house
flattened	VVN	flatten
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
um	NNS	um
there	EX	there
is	VBZ	be
no	DT	no
safe	JJ	safe
space	NN	space
for	IN	for
Palestinians	NPS	Palestinians
um	NN	um
to	TO	to
to	TO	to
go	VV	go
even	RB	even
the	DT	the
honor	NN	honor
was	VBD	be
supposed	VVN	suppose
today	NN	today
when	WRB	when
we	PP	we
were	VBD	be
in	IN	in
The	DT	the
Honorable	JJ	Honorable
school	NN	school
there	EX	there
was	VBD	be
um	RB	um
a	DT	a
house	NN	house
that	WDT	that
was	VBD	be
been	VBN	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
and	CC	and
I	PP	I
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
from	IN	from
where	WRB	where
to	TO	to
start	VV	start
there	RB	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
going	VVG	go
on	IN	on
right	NN	right
now	RB	now
but	CC	but
what	WP	what
I	PP	I
really	RB	really
see	VVP	see
is	VBZ	be
something	NN	something
I	PP	I
I	PP	I
never	RB	never
lived	VVD	live
something	NN	something
I	PP	I
never	RB	never
reported	VVD	report
before	RB	before
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
dangerous	JJ	dangerous
for	IN	for
everyone	NN	everyone
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
right	RB	right
now	RB	now
the	DT	the
the	DT	the
pictures	NNS	picture
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
much	RB	much
of	IN	of
the	DT	the
strip	NN	strip
seems	VVZ	seem
to	TO	to
be	VB	be
in	IN	in
darkness	NN	darkness
I	PP	I
can	MD	can
'	''	'
t	NN	t
see	VVP	see
many	JJ	many
lights	NNS	light
on	IN	on
in	IN	in
buildings	NNS	building
we	PP	we
know	VVP	know
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
cut	VVN	cut
off	RP	off
its	PP$	its
supply	NN	supply
of	IN	of
electricity	NN	electricity
there	EX	there
is	VBZ	be
another	DT	another
Supply	NN	supply
that	IN/that	that
gazans	NNS	Gazan
can	MD	can
access	VV	access
but	CC	but
how	WRB	how
do	VVP	do
you	PP	you
keep	VV	keep
getting	VVG	get
supplies	NNS	supply
or	CC	or
how	WRB	how
close	JJ	close
are	VBP	be
you	PP	you
to	TO	to
running	VVG	run
out	RP	out
to	TO	to
be	VB	be
hon	NN	Hon
we	PP	we
only	RB	only
had	VHD	have
3	CD	@card@
hours	NNS	hour
electricity	NN	electricity
per	IN	per
day	NN	day
so	RB	so
far	RB	far
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
attack	NN	attack
um	NN	um
at	IN	at
half	PDT	half
an	DT	an
hour	NN	hour
ago	RB	ago
the	DT	the
Israelis	NPS	Israelis
targeted	VVD	target
the	DT	the
Palestinian	JJ	Palestinian
telecommunication	NN	telecommunication
um	NN	um
office	NN	office
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	RB	so
now	RB	now
maybe	RB	maybe
we	PP	we
don	VV	don
'	''	'
t	NN	t
we	PP	we
won	VVD	win
'	''	'
t	NN	t
have	VHP	have
internet	NN	Internet
in	IN	in
the	DT	the
next	JJ	next
couple	NN	couple
of	IN	of
days	NNS	day
uh	UH	uh
so	RB	so
today	NN	today
we	PP	we
are	VBP	be
connected	VVN	connect
to	TO	to
zoom	VV	zoom
and	CC	and
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
to	TO	to
the	DT	the
world	NN	world
but	CC	but
maybe	RB	maybe
in	IN	in
an	DT	an
hour	NN	hour
we	PP	we
won	VVD	win
'	''	'
t	NN	t
have	VHP	have
any	DT	any
access	NN	access
to	TO	to
any	DT	any
anyone	NN	anyone
uh	UH	uh
sometime	RB	sometime
some	DT	some
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
have	VHP	have
solar	JJ	solar
panels	NNS	panel
where	WRB	where
they	PP	they
have	VHP	have
electricity	NN	electricity
when	WRB	when
there	EX	there
is	VBZ	be
Sun	NP	Sun
H	NP	H
but	CC	but
others	NNS	other
don	NN	don
'	POS	'
t	NN	t
have	VHP	have
any	DT	any
access	NN	access
to	TO	to
anything	NN	anything
they	PP	they
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
electricity	NN	electricity
for	IN	for
example	NN	example
my	PP$	my
family	NN	family
um	NN	um
doesn	NN	doesn
'	''	'
t	NN	t
have	VHP	have
uh	UH	uh
solar	JJ	solar
panels	NNS	panel
don	NN	don
'	POS	'
t	NN	t
have	VHP	have
a	DT	a
generator	NN	generator
that	WDT	that
was	VBD	be
a	DT	a
loud	JJ	loud
explosion	NN	explosion
and	CC	and
close	VV	close
I	PP	I
I	PP	I
believe	VVP	believe
you	PP	you
heard	VVD	hear
it	PP	it
we	PP	we
did	VVD	do
we	PP	we
did	VVD	do
hind	NNS	hind
are	VBP	be
you	PP	you
feeling	VVG	feel
safe	JJ	safe
carrying	NN	carrying
on	IN	on
talking	VVG	talk
to	TO	to
us	PP	us
we	PP	we
can	MD	can
actually	RB	actually
see	VV	see
live	JJ	live
pictures	NNS	picture
of	IN	of
an	DT	an
explosion	NN	explosion
which	WDT	which
may	MD	may
be	VB	be
the	DT	the
same	JJ	same
one	CD	one
that	IN/that	that
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
heard	VVN	hear
as	IN	as
well	RB	well
an	DT	an
enormous	JJ	enormous
explosion	NN	explosion
a	DT	a
huge	JJ	huge
flare	NN	flare
a	DT	a
number	NN	number
of	IN	of
them	PP	them
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
can	MD	can
[	SYM	[
Music	NN	music
]	SYM	]
see	VV	see
I	PP	I
also	RB	also
believe	VVP	believe
this	DT	this
is	VBZ	be
very	RB	very
close	JJ	close
it	PP	it
is	VBZ	be
do	VV	do
you	PP	you
need	VVP	need
to	TO	to
move	VV	move
somewhere	RB	somewhere
else	RB	else
to	TO	to
go	VV	go
to	TO	to
safety	NN	safety
um	NNS	um
I	PP	I
think	VVP	think
I	PP	I
'	''	'
m	NN	m
fine	NN	fine
I	PP	I
just	RB	just
need	VVP	need
to	TO	to
figure	VV	figure
out	RP	out
where	WRB	where
it	PP	it
this	DT	this
because	IN	because
my	PP$	my
family	NN	family
lives	VVZ	live
very	RB	very
close	VV	close
to	TO	to
here	RB	here
so	RB	so
maybe	RB	maybe
would	MD	would
this	DT	this
is	VBZ	be
also	RB	also
very	RB	very
close	VV	close
to	TO	to
the	DT	the
okay	JJ	okay
hind	NN	hind
would	MD	would
you	PP	you
like	VV	like
to	TO	to
go	VV	go
okay	JJ	okay
we	PP	we
will	MD	will
let	VV	let
you	PP	you
go	VV	go
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
and	CC	and
we	PP	we
wish	VVP	wish
you	PP	you
all	PDT	all
the	DT	the
best	JJS	good
luck	NN	luck
please	VVP	please
stay	NN	stay
[	SYM	[
Applause	NN	applause
]	SYM	]
safe	JJ	safe
one	PP	one
can	MD	can
only	RB	only
imagine	VV	imagine
what	WP	what
hind	JJ	hind
quari	NNS	quari
was	VBD	be
feeling	VVG	feel
there	RB	there
as	IN	as
we	PP	we
see	VVP	see
these	DT	these
pictures	NNS	picture
these	DT	these
extraordinary	JJ	extraordinary
pictures	NNS	picture
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
being	VBG	be
pummeled	VVN	pummel
by	IN	by
air	NN	air
strikes	NNS	strike
we	PP	we
were	VBD	be
talking	VVG	talk
to	TO	to
hind	NNS	hind
a	DT	a
journalist	NN	journalist
there	RB	there
in	IN	in
Gaza	NP	Gaza
they	PP	they
were	VBD	be
close	JJ	close
to	TO	to
where	WRB	where
she	PP	she
was	VBD	be
she	PP	she
needs	VVZ	need
to	TO	to
check	VV	check
in	IN	in
now	RB	now
with	IN	with
her	PP$	her
family	NN	family
to	TO	to
find	VV	find
out	RP	out
if	IN	if
they	PP	they
'	POS	'
re	NN	re
okay	NN	okay
it	PP	it
is	VBZ	be
difficult	JJ	difficult
for	IN	for
the	DT	the
