<video_id>s3D0t5QTtrI</video_id>	NN	<video_id>s3D0t5QTtrI</video_id>
<video_title>The	NNS	<video_title>The
UN	NP	UN
says	VVZ	say
it	PP	it
has	VHZ	have
been	VBN	be
forced	VVN	force
to	TO	to
shut	VV	shut
14	CD	@card@
food	NN	food
distribution	NN	distribution
centres	NNS	centre
in	IN	in
Gaza	NP	Gaza
due	JJ	due
to	TO	to
Israeli	JJ	Israeli
strikes</video_title>	NN	strikes</video_title>
<thumbnail_path>data/en_AJ\The	NN	<thumbnail_path>data/en_AJ\The
UN	NP	UN
says	VVZ	say
it	PP	it
has	VHZ	have
been	VBN	be
forced	VVN	force
to	TO	to
shut	VV	shut
14	CD	@card@
food	NN	food
distribution	NN	distribution
centres	NNS	centre
in	IN	in
Gaza	NP	Gaza
due	JJ	due
to	TO	to
Israeli	JJ	Israeli
strikes.jpg</thumbnail_path>	JJ	strikes.jpg</thumbnail_path>
<publish_date>20231012</publish_date>	NN	<publish_date>20231012</publish_date>
<doc>	NN	<doc>
well	RB	well
AB	NP	AB
Tia	NP	Tia
senior	JJ	senior
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Middle	NP	Middle
East	NP	East
at	IN	at
the	DT	the
world	NN	world
food	NN	food
program	NN	program
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Cairo	NP	Cairo
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
on	IN	on
eljer	NN	eljer
I	PP	I
know	VVP	know
you	PP	you
must	MD	must
be	VB	be
extremely	RB	extremely
busy	JJ	busy
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
first	JJ	first
of	IN	of
all	DT	all
can	MD	can
you	PP	you
just	RB	just
bring	VVP	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
with	IN	with
what	WP	what
the	DT	the
situation	NN	situation
is	VBZ	be
right	RB	right
now	RB	now
in	IN	in
terms	NNS	term
of	IN	of
food	NN	food
inside	IN	inside
Gaza	NP	Gaza
well	RB	well
the	DT	the
situation	NN	situation
is	VBZ	be
quite	RB	quite
severe	JJ	severe
the	DT	the
conflict	NN	conflict
has	VHZ	have
severely	RB	severely
disrupted	VVN	disrupt
food	NN	food
production	NN	production
and	CC	and
the	DT	the
distribution	NN	distribution
networks	NNS	network
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
with	IN	with
the	DT	the
borders	NNS	border
closed	VVD	close
Gaza	NP	Gaza
is	VBZ	be
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
running	VVG	run
out	RP	out
of	IN	of
food	NN	food
water	NN	water
and	CC	and
electricity	NN	electricity
half	NN	half
of	IN	of
the	DT	the
shops	NNS	shop
that	WDT	that
are	VBP	be
that	IN/that	that
we	PP	we
are	VBP	be
monitoring	VVG	monitor
uh	UH	uh
inside	IN	inside
Gaza	NP	Gaza
have	VHP	have
reported	VVN	report
that	IN/that	that
they	PP	they
might	MD	might
run	VV	run
out	RP	out
of	IN	of
food	NN	food
in	IN	in
two	CD	two
days	NNS	day
others	NNS	other
have	VHP	have
stocks	NNS	stock
for	IN	for
less	JJR	less
than	IN	than
a	DT	a
week	NN	week
out	RP	out
of	IN	of
five	CD	five
Mills	NP	Mills
um	NN	um
inside	IN	inside
uh	UH	uh
Gaza	NP	Gaza
only	RB	only
one	CD	one
is	VBZ	be
still	RB	still
operational	JJ	operational
which	WDT	which
means	VVZ	mean
