<video_id>OzFHYyyXLvc</video_id>	NN	<video_id>OzFHYyyXLvc</video_id>
<video_title>The	NNS	<video_title>The
United	NP	United
Nations	NPS	Nations
has	VHZ	have
warned	VVN	warn
at	IN	at
least	JJS	least
a	DT	a
quarter	NN	quarter
of	IN	of
Gaza's	NP	Gaza's
population	NN	population
is	VBZ	be
one	CD	one
step	NN	step
away	RB	away
from	IN	from
famine</video_title>	JJ	famine</video_title>
<thumbnail_path>data/en_AJ\The	NNS	<thumbnail_path>data/en_AJ\The
United	NP	United
Nations	NPS	Nations
has	VHZ	have
warned	VVN	warn
at	IN	at
least	JJS	least
a	DT	a
quarter	NN	quarter
of	IN	of
Gaza's	NP	Gaza's
population	NN	population
is	VBZ	be
one	CD	one
step	NN	step
away	RB	away
from	IN	from
famine.jpg</thumbnail_path>	JJ	famine.jpg</thumbnail_path>
<publish_date>20240307</publish_date>	NN	<publish_date>20240307</publish_date>
<doc>	NN	<doc>
is	VBZ	be
Jonathan	NP	Jonathan
kutab	NN	kutab
he's	NNS	he's
an	DT	an
international	JJ	international
human	JJ	human
rights	NNS	right
lawyer	NN	lawyer
he's	NNS	he's
also	RB	also
a	DT	a
co-founder	NN	co-founder
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
human	JJ	human
rights	NNS	right
groups	NNS	group
alhak	NP	alhak
Jonathan	NP	Jonathan
what	WP	what
is	VBZ	be
your	PP$	your
assessment	NN	assessment
of	IN	of
the	DT	the
legal	JJ	legal
grounds	NNS	ground
of	IN	of
South	JJ	South
Africa's	NNS	Africa's
request	VVP	request
as	IN	as
it	PP	it
stands	VVZ	stand
well	UH	well
uh	UH	uh
I	PP	I
think	VVP	think
the	DT	the
request	NN	request
is	VBZ	be
very	RB	very
proper	JJ	proper
under	IN	under
international	JJ	international
law	NN	law
uh	UH	uh
people	NNS	people
seem	VVP	seem
to	TO	to
forget	VV	forget
that	IN/that	that
it	PP	it
is	VBZ	be
the	DT	the
obligation	NN	obligation
of	IN	of
Israel	NP	Israel
under	IN	under
international	JJ	international
law	NN	law
to	TO	to
provide	VV	provide
food	NN	food
and	CC	and
basic	JJ	basic
services	NNS	service
to	TO	to
the	DT	the
people	NNS	people
under	IN	under
its	PP$	its
occupation	NN	occupation
not	RB	not
only	RB	only
has	VHZ	have
Israel	NP	Israel
failed	VVD	fail
to	TO	to
meet	VV	meet
that	DT	that
uh	UH	uh
obligation	NN	obligation
it	PP	it
has	VHZ	have
also	RB	also
obstructed	VVN	obstruct
and	CC	and
prevented	VVN	prevent
others	NNS	other
from	IN	from
bringing	VVG	bring
food	NN	food
in	IN	in
as	IN	as
part	NN	part
of	IN	of
a	DT	a
deliberate	JJ	deliberate
strategy	NN	strategy
to	TO	to
starve	VV	starve
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
fact	NN	fact
it	PP	it
was	VBD	be
announced	VVN	announce
we	PP	we
will	MD	will
cut	VV	cut
off	RP	off
food	NN	food
we	PP	we
will	MD	will
cut	VV	cut
off	RP	off
water	NN	water
we	PP	we
will	MD	will
not	RB	not
allow	VV	allow
fuel	NN	fuel
in	IN	in
we	PP	we
will	MD	will
