<video_id>8AHaHokTfBQ</video_id>	JJ	<video_id>8AHaHokTfBQ</video_id>
<video_title>The	NN	<video_title>The
war	NN	war
on	IN	on
Gaza	NP	Gaza
is	VBZ	be
wrongly	RB	wrongly
portrayed	VVN	portray
as	IN	as
a	DT	a
conflict,	NP	conflict,
but	CC	but
it's	JJ	it's
genocide	NN	genocide
against	IN	against
Palestinians	NNS	Palestinian
:	:	:
Analyst</video_title>	JJ	Analyst</video_title>
<thumbnail_path>data/en_AJ\The	NN	<thumbnail_path>data/en_AJ\The
war	NN	war
on	IN	on
Gaza	NP	Gaza
is	VBZ	be
wrongly	RB	wrongly
portrayed	VVN	portray
as	IN	as
a	DT	a
conflict,	NP	conflict,
but	CC	but
it's	JJ	it's
genocide	NN	genocide
against	IN	against
Palestinians	NPS	Palestinians
Analyst.jpg</thumbnail_path>	NP	Analyst.jpg</thumbnail_path>
<publish_date>20240811</publish_date>	NN	<publish_date>20240811</publish_date>
<doc>	NN	<doc>
well	RB	well
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
let's	NNS	let's
bring	VVP	bring
in	IN	in
Abdullah	NP	Abdullah
alaran	VVD	alaran
his	PP$	his
associate	NN	associate
professor	NN	professor
of	IN	of
history	NN	history
at	IN	at
Georgetown	NP	Georgetown
University	NP	University
here	RB	here
in	IN	in
qat	NN	qat
and	CC	and
a	DT	a
specialist	NN	specialist
on	IN	on
history	NN	history
of	IN	of
the	DT	the
US	NP	US
policy	NN	policy
towards	IN	towards
the	DT	the
Middle	NP	Middle
East	NP	East
thanks	NNS	thanks
again	RB	again
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
first	JJ	first
of	IN	of
all	DT	all
what	WP	what
do	VVP	do
why	WRB	why
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
we	PP	we
haven't	VVD	haven't
seen	VVN	see
another	DT	another
ceasefire	NN	ceasefire
deal	NN	deal
what	WP	what
does	VVZ	do
it	PP	it
come	VV	come
down	RP	down
to	TO	to
essentially	RB	essentially
yeah	RB	yeah
I	PP	I
mean	VVP	mean
it's	NNS	it's
it's	NNS	it's
an	DT	an
excellent	JJ	excellent
question	NN	question
because	IN	because
I	PP	I
do	VVP	do
think	VV	think
that	DT	that
we've	NN	we've
been	VBN	be
having	VHG	have
the	DT	the
same	JJ	same
discussion	NN	discussion
for	IN	for
months	NNS	month
now	RB	now
about	IN	about
you	PP	you
know	VVP	know
the	DT	the
failure	NN	failure
to	TO	to
reach	VV	reach
this	DT	this
agreement	NN	agreement
we	PP	we
know	VVP	know
what	WP	what
the	DT	the
parameters	NNS	parameter
would	MD	would
look	VV	look
like	IN	like
we	PP	we
know	VVP	know
exactly	RB	exactly
what	WP	what
the	DT	the
outcome	NN	outcome
is	VBZ	be
supposed	VVN	suppose
to	TO	to
be	VB	be
uh	UH	uh
the	DT	the
problem	NN	problem
I	PP	I
think	VVP	think
is	VBZ	be
that	IN/that	that
we	PP	we
we	PP	we
have	VHP	have
this	DT	this
false	JJ	false
framing	NN	framing
of	IN	of
this	DT	this
being	NN	being
a	DT	a
a	DT	a
conflict	NN	conflict
between	IN	between
two	CD	two
equal	JJ	equal
Waring	NP	Waring
parties	NNS	party
and	CC	and
in	IN	in
fact	NN	fact
what	WP	what
we're	VVP	we're
really	RB	really
witnessing	VVG	witness
is	VBZ	be
a	DT	a
genocide	NN	genocide
being	VBG	be
committed	VVN	commit
by	IN	by
one	CD	one
side	NN	side
against	IN	against
a	DT	a
defenseless	JJ	defenseless
essentially	RB	essentially
besieged	VVN	besiege
population	NN	population
and	CC	and
historically	RB	historically
we've	NN	we've
never	RB	never
seen	VVN	see
genocides	NNS	genocide
come	VVN	come
through	IN	through
these	DT	these
kinds	NNS	kind
of	IN	of
negotiated	VVN	negotiate
settlements	NNS	settlement
what	WP	what
really	RB	really
needs	VVZ	need
to	TO	to
be	VB	be
there	EX	there
is	VBZ	be
a	DT	a
political	JJ	political
will	NN	will
from	IN	from
International	NP	International
actors	NNS	actor
that	WDT	that
would	MD	would
essentially	RB	essentially
stop	VV	stop
Israel	NP	Israel
from	IN	from
what	WP	what
it's	NNS	it's
doing	VVG	do
and	CC	and
we	PP	we
haven't	VVD	haven't
seen	VVN	see
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
continues	VVZ	continue
to	TO	to
to	TO	to
say	VV	say
concerned	JJ	concerned
right	NN	right
that	WDT	that
speaks	VVZ	speak
in	IN	in
these	DT	these
kind	NN	kind
of	IN	of
very	RB	very
vague	JJ	vague
terms	NNS	term
and	CC	and
yet	RB	yet
it	PP	it
continues	VVZ	continue
to	TO	to
arm	VV	arm
Israel	NP	Israel
just	RB	just
the	DT	the
same	JJ	same
day	NN	day
as	IN	as
this	DT	this
massacre	NN	massacre
we	PP	we
saw	VVD	see
$3.5	JJ	$3.5
billion	NNS	billion
worth	JJ	worth
of	IN	of
weapons	NNS	weapon
approved	VVN	approve
yet	RB	yet
again	RB	again
to	TO	to
Israel	NP	Israel
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
continue	VV	continue
to	TO	to
commit	VV	commit
these	DT	these
crimes	NNS	crime
just	RB	just
on	IN	on
that	IN/that	that
I	PP	I
mean	VVP	mean
we	PP	we
saw	VV	saw
uh	UH	uh
President	NP	President
Biden	NP	Biden
the	DT	the
say	VVP	say
exactly	RB	exactly
the	DT	the
same	JJ	same
thing	NN	thing
that	IN/that	that
we've	NN	we've
heard	VVD	hear
time	NN	time
and	CC	and
time	NN	time
again	RB	again
we	PP	we
want	VVP	want
to	TO	to
bring	VV	bring
this	DT	this
war	NN	war
to	TO	to
a	DT	a
close	NN	close
we	PP	we
need	VVP	need
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
why	WRB	why
don't	JJ	don't
you	PP	you
think	VVP	think
that	IN/that	that
there	EX	there
is	VBZ	be
the	DT	the
political	JJ	political
will	NN	will
especially	RB	especially
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
because	IN	because
like	IN	like
you	PP	you
say	VVP	say
they	PP	they
do	VVP	do
have	VH	have
the	DT	the
power	NN	power
to	TO	to
get	VV	get
this	DT	this
done	VVN	do
if	IN	if
they	PP	they
really	RB	really
really	RB	really
wanted	VVD	want
to	TO	to
well	RB	well
I	PP	I
mean	VVP	mean
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
complex	JJ	complex
question	NN	question
because	IN	because
there	EX	there
are	VBP	be
domestic	JJ	domestic
political	JJ	political
factors	NNS	factor
of	IN	of
course	NN	course
that	IN/that	that
this	DT	this
in	IN	in
many	JJ	many
ways	NNS	way
is	VBZ	be
an	DT	an
extension	NN	extension
of	IN	of
us	PP	us
domestic	JJ	domestic
politics	NNS	politics
in	IN	in
which	WDT	which
of	IN	of
course	NN	course
support	NN	support
for	IN	for
Israel	NP	Israel
has	VHZ	have
always	RB	always
proven	VVN	prove
very	RB	very
beneficial	JJ	beneficial
for	IN	for
elected	JJ	elected
officials	NNS	official
um	NNS	um
and	CC	and
then	RB	then
of	IN	of
course	NN	course
there's	NNS	there's
the	DT	the
sense	NN	sense
that	WDT	that
uh	UH	uh
the	DT	the
United	NP	United
States	NPS	States
as	IN	as
a	DT	a
whole	NN	whole
tends	VVZ	tend
to	TO	to
see	VV	see
itself	PP	itself
very	RB	very
much	RB	much
in	IN	in
line	NN	line
with	IN	with
Israel	NP	Israel
being	VBG	be
a	DT	a
regional	JJ	regional
hedgemon	NN	hedgemon
it's	NNS	it's
of	IN	of
course	NN	course
supported	VVD	support
it	PP	it
ever	RB	ever
since	IN	since
its	PP$	its
foundations	NNS	foundation
has	VHZ	have
continued	VVN	continue
to	TO	to
arbit	NNS	arbit
has	VHZ	have
continued	VVN	continue
to	TO	to
protect	VV	protect
it	PP	it
using	VVG	use
its	PP$	its
un	NN	un
Security	NP	Security
Council	NP	Council
veto	NN	veto
over	IN	over
many	JJ	many
decades	NNS	decade
and	CC	and
sees	VVZ	see
it	PP	it
very	RB	very
much	RB	much
as	IN	as
a	DT	a
a	DT	a
strategic	JJ	strategic
asset	NN	asset
in	IN	in
the	DT	the
region	NN	region
despite	IN	despite
of	IN	of
course	NN	course
all	RB	all
of	IN	of
the	DT	the
horrific	JJ	horrific
crimes	NNS	crime
that	IN/that	that
it's	NNS	it's
committed	VVN	commit
over	RP	over
over	IN	over
many	JJ	many
decades	NNS	decade
we	PP	we
also	RB	also
heard	VVD	hear
that	IN/that	that
in	IN	in
that	DT	that
story	NN	story
there	RB	there
that	IN/that	that
it's	NNS	it's
in	IN	in
netanyahu's	JJ	netanyahu's
best	JJS	good
interest	NN	interest
to	TO	to
prolong	VV	prolong
this	DT	this
war	NN	war
but	CC	but
surely	RB	surely
it	PP	it
would	MD	would
also	RB	also
be	VB	be
a	DT	a
political	JJ	political
win	NN	win
if	IN	if
he	PP	he
was	VBD	be
able	JJ	able
to	TO	to
get	VV	get
uh	UH	uh
more	JJR	more
of	IN	of
the	DT	the
captives	NNS	captive
back	RB	back
to	TO	to
Israel	NP	Israel
like	IN	like
we	PP	we
saw	VVD	see
in	IN	in
November	NP	November
well	RB	well
I	PP	I
mean	VVP	mean
when	WRB	when
we	PP	we
actually	RB	actually
pull	VVP	pull
back	RB	back
a	DT	a
bit	NN	bit
and	CC	and
and	CC	and
we	PP	we
look	VVP	look
at	IN	at
essentially	RB	essentially
what	WP	what
is	VBZ	be
the	DT	the
um	NN	um
you	PP	you
know	VVP	know
desired	VVN	desire
outcome	NN	outcome
of	IN	of
this	DT	this
massive	JJ	massive
kind	NN	kind
of	IN	of
Total	JJ	total
War	NP	War
that's	NNS	that's
being	VBG	be
inflicted	VVN	inflict
on	IN	on
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
and	CC	and
of	IN	of
course	NN	course
even	RB	even
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
as	IN	as
well	RB	well
um	JJ	um
it	PP	it
is	VBZ	be
about	RB	about
uh	UH	uh
completing	VVG	complete
a	DT	a
job	NN	job
that	WDT	that
has	VHZ	have
been	VBN	be
uh	UH	uh
in	IN	in
progress	NN	progress
for	IN	for
let's	NNS	let's
say	VVP	say
76	CD	@card@
years	NNS	year
going	VVG	go
back	RB	back
to	TO	to
the	DT	the
original	JJ	original
neba	NN	neba
right	NN	right
that	IN/that	that
this	DT	this
is	VBZ	be
much	RB	much
more	JJR	more
about	IN	about
the	DT	the
mass	JJ	mass
displacement	NN	displacement
of	IN	of
millions	NNS	million
upon	IN	upon
millions	NNS	million
of	IN	of
Palestinians	NPS	Palestinians
this	DT	this
is	VBZ	be
about	RB	about
the	DT	the
killing	NN	killing
of	IN	of
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
and	CC	and
maming	VVG	maming
of	IN	of
probably	RB	probably
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
more	RBR	more
um	JJ	um
this	DT	this
is	VBZ	be
about	RB	about
accomplishing	VVG	accomplish
much	RB	much
more	RBR	more
broader	JJR	broad
goals	NNS	goal
than	IN	than
something	NN	something
like	IN	like
the	DT	the
return	NN	return
of	IN	of
of	IN	of
captives	NNS	captive
which	WDT	which
of	IN	of
course	NN	course
has	VHZ	have
has	VHZ	have
been	VBN	be
given	VVN	give
given	VVN	give
very	RB	very
much	RB	much
secondary	JJ	secondary
importance	NN	importance
to	TO	to
this	DT	this
uh	UH	uh
to	TO	to
this	DT	this
government	NN	government
right	RB	right
now	RB	now
talks	NNS	talk
are	VBP	be
meant	VVN	mean
to	TO	to
get	VV	get
underway	JJ	underway
later	RBR	later
this	DT	this
week	NN	week
between	IN	between
qat	NN	qat
Egypt	NP	Egypt
the	DT	the
US	NP	US
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
in	IN	in
some	DT	some
way	NN	way
shape	NN	shape
or	CC	or
form	VV	form
I	PP	I
mean	VV	mean
do	VV	do
you	PP	you
hold	VV	hold
out	RP	out
any	DT	any
hope	NN	hope
that	IN/that	that
anything	NN	anything
positive	JJ	positive
is	VBZ	be
going	VVG	go
to	TO	to
come	VV	come
out	RP	out
of	IN	of
those	DT	those
um	NN	um
so	RB	so
far	RB	far
it's	NNS	it's
been	VBN	be
unlikely	JJ	unlikely
right	NN	right
because	IN	because
the	DT	the
the	DT	the
Israelis	NPS	Israelis
of	IN	of
course	NN	course
have	VHP	have
uh	UH	uh
actually	RB	actually
undertaken	VVN	undertake
attacks	NNS	attack
against	IN	against
the	DT	the
people	NNS	people
they're	NN	they're
supposed	VVN	suppose
to	TO	to
be	VB	be
negotiating	VVG	negotiate
with	IN	with
and	CC	and
of	IN	of
course	NN	course
have	VHP	have
have	VHP	have
not	RB	not
faced	VVN	face
any	DT	any
significant	JJ	significant
pressure	NN	pressure
have	VHP	have
not	RB	not
faced	VVN	face
any	DT	any
real	JJ	real
backlash	NN	backlash
for	IN	for
any	DT	any
of	IN	of
the	DT	the
the	DT	the
um	JJ	um
actions	NNS	action
that	IN/that	that
they've	NN	they've
taken	VVN	take
and	CC	and
so	RB	so
it's	NNS	it's
unlikely	JJ	unlikely
to	TO	to
see	VV	see
any	DT	any
material	NN	material
outcomes	NNS	outcome
from	IN	from
these	DT	these
kinds	NNS	kind
of	IN	of
negotiations	NNS	negotiation
what	WP	what
there	RB	there
really	RB	really
needs	VVZ	need
to	TO	to
be	VB	be
is	VBZ	be
external	JJ	external
pressure	NN	pressure
um	NNS	um
exerted	VVN	exert
in	IN	in
a	DT	a
very	JJ	very
kind	NN	kind
of	IN	of
uh	UH	uh
emphatic	JJ	emphatic
way	NN	way
more	RBR	more
than	IN	than
anything	NN	anything
we've	NN	we've
seen	VVN	see
up	RP	up
to	TO	to
this	DT	this
point	NN	point
thank	VVP	thank
you	PP	you
as	RB	as
always	RB	always
for	IN	for
coming	VVG	come
in	IN	in
and	CC	and
really	RB	really
talking	VVG	talk
us	PP	us
through	IN	through
these	DT	these
main	JJ	main
points	NNS	point
it's	NNS	it's
Abdullah	NP	Abdullah
Al	NP	Al
Aran	NP	Aran
thanks	NNS	thanks
so	RB	so
much	RB	much
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
