<video_id>JG0iW0gbbyY</video_id>	JJ	<video_id>JG0iW0gbbyY</video_id>
<video_title>The	NN	<video_title>The
White	NP	White
House	NP	House
says	VVZ	say
it	PP	it
will	MD	will
soon	RB	soon
announce	VV	announce
a	DT	a
new	JJ	new
round	NN	round
of	IN	of
sanctions	NNS	sanction
against	IN	against
Iran</video_title>	JJ	Iran</video_title>
<thumbnail_path>data/en_AJ\The	NN	<thumbnail_path>data/en_AJ\The
White	NP	White
House	NP	House
says	VVZ	say
it	PP	it
will	MD	will
soon	RB	soon
announce	VV	announce
a	DT	a
new	JJ	new
round	NN	round
of	IN	of
sanctions	NNS	sanction
against	IN	against
Iran.jpg</thumbnail_path>	JJ	Iran.jpg</thumbnail_path>
<publish_date>20240418</publish_date>	NN	<publish_date>20240418</publish_date>
<doc>	NN	<doc>
David	NP	David
D	NP	D
Ro	NP	Ro
is	VBZ	be
professor	NN	professor
at	IN	at
the	DT	the
National	NP	National
Defense	NP	Defense
University	NP	University
joins	VVZ	join
us	PP	us
here	RB	here
in	IN	in
the	DT	the
studio	NN	studio
great	JJ	great
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
we	PP	we
just	RB	just
saw	VVD	see
the	DT	the
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
minister	NN	minister
addressing	VVG	address
the	DT	the
UN	NP	UN
we're	NN	we're
now	RB	now
hearing	VVG	hear
that	IN/that	that
there's	RB	there's
going	VVG	go
to	TO	to
be	VB	be
restrictions	NNS	restriction
placed	VVN	place
by	IN	by
the	DT	the
US	NP	US
on	IN	on
his	PP$	his
delegation	NN	delegation
in	IN	in
New	NP	New
York	NP	York
that	IN/that	that
with	IN	with
the	DT	the
other	JJ	other
sanctions	NNS	sanction
that	WDT	that
have	VHP	have
recently	RB	recently
just	RB	just
been	VBN	be
placed	VVN	place
on	IN	on
Iran	NP	Iran
what	WP	what
sort	NN	sort
of	IN	of
impact	NN	impact
are	VBP	be
they	PP	they
going	VVG	go
to	TO	to
have	VH	have
minimal	JJ	minimal
um	NN	um
these	DT	these
are	VBP	be
sort	NN	sort
of	IN	of
di	FW	di
Minimus	JJ	minimus
actions	NNS	action
that	IN/that	that
the	DT	the
government	NN	government
can	MD	can
take	VV	take
to	TO	to
show	VV	show
they're	NN	they're
doing	VVG	do
things	NNS	thing
I	PP	I
think	VVP	think
that	IN/that	that
when	WRB	when
you	PP	you
start	VVP	start
with	IN	with
the	DT	the
economic	JJ	economic
sanctions	NNS	sanction
those	DT	those
are	VBP	be
constantly	RB	constantly
being	VBG	be
uh	UH	uh
identified	VVN	identify
sanctionable	JJ	sanctionable
targets	NNS	target
and	CC	and
are	VBP	be
being	VBG	be
announced	VVN	announce
on	IN	on
an	DT	an
almost	RB	almost
daily	JJ	daily
basis	NN	basis
by	IN	by
the	DT	the
US	NP	US
government	NN	government
so	IN	so
the	DT	the
fact	NN	fact
that	DT	that
they're	NN	they're
being	VBG	be
publicized	VVN	publicize
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
I	PP	I
think	VVP	think
is	VBZ	be
is	VBZ	be
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
trying	VVG	try
to	TO	to
show	VV	show
people	NNS	people
and	CC	and
try	VVP	try
to	TO	to
show	VV	show
Israel's	NP	Israel's
leadership	NN	leadership
that	IN/that	that
they	PP	they
are	VBP	be
taking	VVG	take
an	DT	an
active	JJ	active
role	NN	role
the	DT	the
restrictions	NNS	restriction
on	IN	on
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
minister	NN	minister
um	NNS	um
refer	VVP	refer
to	TO	to
his	PP$	his
uh	UH	uh
ability	NN	ability
to	TO	to
wander	VV	wander
around	IN	around
New	NP	New
York	NP	York
when	WRB	when
he's	NNS	he's
there	RB	there
for	IN	for
un	JJ	un
business	NN	business
um	NN	um
there	RB	there
is	VBZ	be
uh	UH	uh
a	DT	a
case	NN	case
to	TO	to
be	VB	be
made	VVN	make
there	EX	there
have	VHP	have
been	VBN	be
instance	NN	instance
where	WRB	where
he	PP	he
was	VBD	be
speaking	VVG	speak
to	TO	to
reporters	NNS	reporter
threatening	VVG	threaten
them	PP	them
and	CC	and
their	PP$	their
family	NN	family
uh	UH	uh
in	IN	in
New	NP	New
York	NP	York
uh	UH	uh
saying	VVG	say
you	PP	you
know	VVP	know
you're	NN	you're
trembling	VVG	tremble
you	PP	you
should	MD	should
be	VB	be
trembling	VVG	tremble
I	PP	I
know	VVP	know
you	PP	you
have	VHP	have
family	NN	family
uh	UH	uh
but	CC	but
generally	RB	generally
this	DT	this
is	VBZ	be
viewed	VVN	view
as	IN	as
sort	NN	sort
of	IN	of
petty	JJ	petty
uh	UH	uh
there	EX	there
have	VHP	have
been	VBN	be
other	JJ	other
delegations	NNS	delegation
that	WDT	that
have	VHP	have
been	VBN	be
engaged	VVN	engage
in	IN	in
active	JJ	active
Espionage	NN	espionage
uh	UH	uh
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
more	RBR	more
just	RB	just
trying	VVG	try
to	TO	to
show	VV	show
that	DT	that
we're	NN	we're
doing	VVG	do
something	NN	something
short	JJ	short
of	IN	of
War	NP	War
absolutely	RB	absolutely
because	IN	because
we're	NN	we're
still	RB	still
waiting	VVG	wait
to	TO	to
see	VV	see
what	WP	what
Israel	NP	Israel
is	VBZ	be
going	VVG	go
to	TO	to
do	VV	do
it's	NNS	it's
vowed	VVN	vow
to	TO	to
respond	VV	respond
it's	NNS	it's
hold	VV	hold
numerous	JJ	numerous
War	NP	War
cabinets	NNS	cabinet
meetings	NNS	meeting
to	TO	to
try	VV	try
and	CC	and
decide	VV	decide
on	IN	on
that	DT	that
response	NN	response
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
it's	NNS	it's
going	VVG	go
to	TO	to
choose	VV	choose
what	WP	what
sort	NN	sort
of	IN	of
line	NN	line
of	IN	of
action	NN	action
is	VBZ	be
it	PP	it
going	VVG	go
to	TO	to
choose	VV	choose
well	RB	well
there's	RB	there's
there's	RB	there's
several	JJ	several
uh	UH	uh
I	PP	I
think	VVP	think
it	PP	it
does	VVZ	do
have	VHP	have
to	TO	to
respond	VV	respond
I	PP	I
think	VVP	think
that	IN/that	that
Israel	NP	Israel
cannot	MD	can
uh	UH	uh
allow	VV	allow
an	DT	an
attack	NN	attack
of	IN	of
this	DT	this
magnitude	NN	magnitude
which	WDT	which
I	PP	I
I	PP	I
would	MD	would
argue	VV	argue
is	VBZ	be
disproportionate	VV	disproportionate
uh	UH	uh
to	TO	to
to	TO	to
be	VB	be
unchallenged	JJ	unchallenged
it	PP	it
this	DT	this
can't	NN	can't
become	VV	become
a	DT	a
normal	JJ	normal
thing	NN	thing
for	IN	for
Israel	NP	Israel
any	DT	any
Israeli	JJ	Israeli
politician	NN	politician
who	WP	who
agrees	VVZ	agree
to	TO	to
that	DT	that
won't	NN	won't
have	VH	have
a	DT	a
future	NN	future
in	IN	in
Israeli	JJ	Israeli
politics	NNS	politics
so	IN	so
um	NNS	um
I	PP	I
think	VVP	think
that	IN/that	that
what	WP	what
they	PP	they
will	MD	will
try	VV	try
to	TO	to
do	VV	do
is	VBZ	be
identify	VV	identify
a	DT	a
Target	NP	Target
that	WDT	that
is	VBZ	be
closely	RB	closely
identified	VVN	identify
with	IN	with
the	DT	the
Revolutionary	JJ	Revolutionary
guard	NN	guard
or	CC	or
with	IN	with
the	DT	the
religious	JJ	religious
regime	NN	regime
that	WDT	that
will	MD	will
inflict	VV	inflict
maximum	JJ	maximum
embarrassment	NN	embarrassment
and	CC	and
damage	NN	damage
but	CC	but
is	VBZ	be
related	VVN	relate
somehow	RB	somehow
to	TO	to
this	DT	this
this	NN	this
is	VBZ	be
very	RB	very
hard	JJ	hard
but	CC	but
it	PP	it
could	MD	could
possibly	RB	possibly
be	VB	be
a	DT	a
drone	NN	drone
Factory	NP	Factory
or	CC	or
missile	NN	missile
Factory	NP	Factory
uh	UH	uh
the	DT	the
uh	UH	uh
Factory	NP	Factory
at	IN	at
B	NP	B
Air	NP	Air
Base	NP	Base
in	IN	in
Isfahan	NP	Isfahan
would	MD	would
be	VB	be
a	DT	a
good	JJ	good
Target	NP	Target
but	CC	but
it's	NNS	it's
very	RB	very
far	RB	far
inland	RB	inland
hard	JJ	hard
to	TO	to
strike	VV	strike
uh	UH	uh
and	CC	and
then	RB	then
maybe	RB	maybe
uh	UH	uh
some	DT	some
of	IN	of
the	DT	the
economic	JJ	economic
interests	NNS	interest
that	IN/that	that
the	DT	the
Revolutionary	JJ	Revolutionary
guard	NN	guard
increasingly	RB	increasingly
controls	VVZ	control
they	PP	they
control	NN	control
by	IN	by
some	DT	some
estimates	NNS	estimate
as	RB	as
much	RB	much
as	IN	as
45%	CD	@card@
of	IN	of
the	DT	the
Iranian	JJ	Iranian
economy	NN	economy
so	RB	so
if	IN	if
they	PP	they
could	MD	could
find	VV	find
a	DT	a
business	NN	business
that	WDT	that
is	VBZ	be
known	VVN	know
to	TO	to
be	VB	be
owned	VVN	own
by	IN	by
the	DT	the
Revolutionary	JJ	Revolutionary
guard	NN	guard
that	IN/that	that
doesn't	NNS	doesn't
do	VVP	do
a	DT	a
good	JJ	good
job	VV	job
uh	UH	uh
and	CC	and
Target	NP	Target
that	IN/that	that
that	WDT	that
would	MD	would
probably	RB	probably
not	RB	not
give	VV	give
the	DT	the
solidification	NN	solidification
of	IN	of
the	DT	the
Iranian	JJ	Iranian
populace	NN	populace
behind	IN	behind
the	DT	the
regime	NN	regime
effect	NN	effect
that	IN/that	that
Israel's	NP	Israel's
also	RB	also
trying	VVG	try
to	TO	to
avoid	VV	avoid
it's	NNS	it's
very	RB	very
tricky	JJ	tricky
it's	NNS	it's
very	RB	very
tricky	JJ	tricky
so	RB	so
do	VVP	do
you	PP	you
think	VVP	think
Israel	NP	Israel
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
respond	VV	respond
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
will	MD	will
not	RB	not
further	RBR	further
escalate	VV	escalate
will	MD	will
not	RB	not
warrant	VV	warrant
a	DT	a
response	NN	response
from	IN	from
Iran	NP	Iran
and	CC	and
further	JJR	further
escalation	NN	escalation
well	RB	well
we're	JJ	we're
we're	NN	we're
talking	VVG	talk
about	IN	about
Pride	NP	Pride
here	RB	here
so	RB	so
rationality	NN	rationality
and	CC	and
the	DT	the
things	NNS	thing
that	WDT	that
uh	UH	uh
your	PP$	your
viewers	NNS	viewer
engage	VVP	engage
in	IN	in
that's	NN	that's
that's	NNS	that's
not	RB	not
on	IN	on
the	DT	the
table	NN	table
so	IN	so
I	PP	I
I	PP	I
cannot	MD	can
predict	VV	predict
what's	NNS	what's
going	VVG	go
on	IN	on
I	PP	I
can	MD	can
predict	VV	predict
that	IN/that	that
when	WRB	when
Israel	NP	Israel
does	VVZ	do
respond	VV	respond
they	PP	they
will	MD	will
say	VV	say
this	DT	this
is	VBZ	be
a	DT	a
discreet	JJ	discreet
proportionate	JJ	proportionate
event	NN	event
and	CC	and
it's	NNS	it's
up	RP	up
for	IN	for
Iran	NP	Iran
to	TO	to
as	IN	as
to	TO	to
how	WRB	how
they	PP	they
take	VVP	take
that	IN/that	that
in	IN	in
the	DT	the
past	JJ	past
um	NN	um
they	PP	they
have	VHP	have
been	VBN	be
able	JJ	able
to	TO	to
uh	UH	uh
you	PP	you
know	VVP	know
they've	NN	they've
suffered	VVD	suffer
some	DT	some
embarrassment	NN	embarrassment
and	CC	and
have	VHP	have
been	VBN	be
able	JJ	able
to	TO	to
absorb	VV	absorb
that	IN/that	that
you	PP	you
know	VVP	know
by	IN	by
making	VVG	make
a	DT	a
promise	NN	promise
to	TO	to
respond	VV	respond
at	IN	at
some	DT	some
future	JJ	future
time	NN	time
but	CC	but
uh	UH	uh
you	PP	you
know	VVP	know
when	WRB	when
you	PP	you
when	WRB	when
you	PP	you
get	VVP	get
Pride	NP	Pride
involved	VVD	involve
you	PP	you
get	VV	get
irrationality	NN	irrationality
and	CC	and
that's	NNS	that's
when	WRB	when
analysts	NNS	analyst
like	VVP	like
me	PP	me
just	RB	just
enter	VVP	enter
into	IN	into
the	DT	the
Dark	NP	Dark
Ages	NPS	Ages
unfortunately	RB	unfortunately
so	IN	so
it's	NNS	it's
interesting	VVG	interest
another	DT	another
point	NN	point
of	IN	of
this	DT	this
is	VBZ	be
that	DT	that
we've	NN	we've
got	VVD	get
the	DT	the
US	NP	US
and	CC	and
Israel	NP	Israel
holding	NN	holding
meetings	NNS	meeting
on	IN	on
the	DT	the
Rafa	NP	Rafa
ground	NN	ground
Invasion	NN	invasion
the	DT	the
US	NP	US
has	VHZ	have
been	VBN	be
very	RB	very
clear	JJ	clear
that	IN/that	that
it	PP	it
does	VVZ	do
not	RB	not
support	VV	support
a	DT	a
grand	JJ	grand
invasion	NN	invasion
of	IN	of
Rafa	NP	Rafa
until	IN	until
perhaps	RB	perhaps
recently	RB	recently
do	VVP	do
you	PP	you
sense	VVP	sense
a	DT	a
change	NN	change
in	IN	in
tone	NN	tone
and	CC	and
is	VBZ	be
that	IN/that	that
connected	VVN	connect
to	TO	to
Israel	NP	Israel
holding	VVG	hold
off	RP	off
on	IN	on
escalating	VVG	escalate
the	DT	the
situation	NN	situation
with	IN	with
Iran	NP	Iran
yeah	RB	yeah
I	PP	I
look	VVP	look
prior	RB	prior
to	TO	to
the	DT	the
Iranian	JJ	Iranian
attack	NN	attack
on	IN	on
Israel	NP	Israel
Israel	NP	Israel
was	VBD	be
boxed	VVN	box
in	IN	in
an	DT	an
international	JJ	international
opinion	NN	opinion
uh	UH	uh
the	DT	the
narrative	NN	narrative
was	VBD	be
Israel	NP	Israel
and	CC	and
civilian	JJ	civilian
casualties	NNS	casualty
and	CC	and
suffering	NN	suffering
in	IN	in
Gaza	NP	Gaza
now	RB	now
the	DT	the
narrative	NN	narrative
in	IN	in
the	DT	the
west	NN	west
at	IN	at
least	JJS	least
has	VHZ	have
shifted	VVN	shift
to	TO	to
Israel	NP	Israel
Under	IN	under
Siege	NN	siege
by	IN	by
Iran	NP	Iran
uh	UH	uh
Iran	NP	Iran
in	IN	in
effect	NN	effect
has	VHZ	have
pushed	VVN	push
the	DT	the
suffering	NN	suffering
of	IN	of
Gaza	NP	Gaza
off	IN	off
the	DT	the
table	NN	table
in	IN	in
most	JJS	most
of	IN	of
the	DT	the
West	NP	West
and	CC	and
it's	NNS	it's
rehabilitated	VVN	rehabilitate
Israel	NP	Israel
uh	UH	uh
among	IN	among
people	NNS	people
in	IN	in
the	DT	the
west	NN	west
and	CC	and
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
who	WP	who
were	VBD	be
at	IN	at
the	DT	the
verge	NN	verge
of	IN	of
calling	VVG	call
for	IN	for
a	DT	a
halt	NN	halt
on	IN	on
it	PP	it
so	IN	so
I	PP	I
think	VVP	think
it's	NNS	it's
a	DT	a
very	RB	very
real	JJ	real
possibility	NN	possibility
that	IN/that	that
as	IN	as
a	DT	a
direct	JJ	direct
result	NN	result
of	IN	of
this	DT	this
Iranian	JJ	Iranian
action	NN	action
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
say	VV	say
okay	JJ	okay
we'll	NN	we'll
hold	VVP	hold
you	PP	you
know	VVP	know
Israel	NP	Israel
will	MD	will
say	VV	say
we'll	NN	we'll
hold	VV	hold
back	RB	back
on	IN	on
that	IN/that	that
but	CC	but
we	PP	we
have	VHP	have
to	TO	to
achieve	VV	achieve
our	PP$	our
security	NN	security
goals	NNS	goal
in	IN	in
Gaza	NP	Gaza
and	CC	and
those	DT	those
security	NN	security
goals	NNS	goal
can't	NN	can't
be	VB	be
achieved	VVN	achieve
without	IN	without
a	DT	a
military	JJ	military
occupation	NN	occupation
of	IN	of
Rafa	NP	Rafa
for	IN	for
some	DT	some
period	NN	period
of	IN	of
time	NN	time
David	NP	David
Ros	NP	Ros
very	RB	very
good	JJ	good
to	TO	to
speak	VV	speak
to	TO	to
you	PP	you
thanks	VVZ	thank
very	RB	very
much	RB	much
for	IN	for
taking	VVG	take
the	DT	the
time	NN	time
to	TO	to
join	VV	join
us	PP	us
here	RB	here
thank	VVP	thank
you	PP	you
make	VVP	make
