Shina	NP	Shina
low	JJ	low
she	PP	she
'	''	'
s	VVG	s
a	DT	a
communication	NN	communication
adviser	NN	adviser
at	IN	at
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NN	council
she	PP	she
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
so	IN	so
the	DT	the
wfp	NN	wfp
says	VVZ	say
it	PP	it
'	''	'
s	NNS	s
not	RB	not
taken	VVN	take
its	PP$	its
decision	NN	decision
lightly	RB	lightly
to	TO	to
pause	VV	pause
food	NN	food
deliveries	NNS	delivery
to	TO	to
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
a	DT	a
humanitarian	JJ	humanitarian
organization	NN	organization
yourself	PP	yourself
who	WP	who
has	VHZ	have
worked	VVN	work
in	IN	in
Gaza	NP	Gaza
can	MD	can
you	PP	you
understand	VV	understand
why	WRB	why
they	PP	they
'	POS	'
ve	NNS	ve
come	VVP	come
to	TO	to
this	DT	this
decision	NN	decision
you	PP	you
know	VVP	know
it	PP	it
'	''	'
s	VVG	s
a	DT	a
really	RB	really
tough	JJ	tough
decision	NN	decision
for	IN	for
all	DT	all
of	IN	of
us	PP	us
in	IN	in
terms	NNS	term
of	IN	of
of	IN	of
determining	VVG	determine
where	WRB	where
and	CC	and
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
to	TO	to
operate	VV	operate
but	CC	but
the	DT	the
conditions	NNS	condition
right	RB	right
now	RB	now
on	IN	on
the	DT	the
ground	NN	ground
for	IN	for
humanitarians	NNS	humanitarian
are	VBP	be
simply	RB	simply
unacceptable	JJ	unacceptable
in	IN	in
any	DT	any
other	JJ	other
context	NN	context
humanitarians	NNS	humanitarian
would	MD	would
be	VB	be
pulling	VVG	pull
out	RP	out
at	IN	at
this	DT	this
point	NN	point
because	IN	because
it	PP	it
is	VBZ	be
simply	RB	simply
so	RB	so
dangerous	JJ	dangerous
and	CC	and
there	EX	there
are	VBP	be
no	DT	no
guarantees	NNS	guarantee
of	IN	of
the	DT	the
safety	NN	safety
of	IN	of
humanitarian	JJ	humanitarian
staff	NN	staff
neither	CC	neither
uh	UH	uh
because	IN	because
of	IN	of
Israeli	JJ	Israeli
targeting	VVG	target
of	IN	of
convoys	NNS	convoy
Israeli	JJ	Israeli
targeting	VVG	target
of	IN	of
police	NNS	police
who	WP	who
are	VBP	be
there	RB	there
to	TO	to
protect	VV	protect
Aid	NN	aid
convoys	NNS	convoy
and	CC	and
then	RB	then
of	IN	of
course	NN	course
due	JJ	due
to	TO	to
the	DT	the
desperation	NN	desperation
because	IN	because
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
Aid	NP	Aid
that	WDT	that
'	POS	'
s	NNS	s
getting	VVG	get
in	IN	in
there	EX	there
'	''	'
s	RB	s
just	RB	just
been	VBN	be
a	DT	a
deterioration	NN	deterioration
of	IN	of
civil	JJ	civil
order	NN	order
in	IN	in
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NN	S
led	VVD	lead
to	TO	to
to	TO	to
the	DT	the
the	DT	the
charging	VVG	charge
and	CC	and
and	CC	and
looting	VVG	loot
of	IN	of
of	IN	of
aid	NN	aid
aid	NN	aid
convoys	NNS	convoy
as	IN	as
they	PP	they
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
make	VV	make
their	PP$	their
way	NN	way
I	NP	I
'	POS	'
m	NN	m
sure	RB	sure
the	DT	the
wfp	NN	wfp
did	VVD	do
not	RB	not
take	VV	take
this	DT	this
decision	NN	decision
lightly	RB	lightly
but	CC	but
it	PP	it
'	POS	'
s	NN	S
but	CC	but
they	PP	they
need	VVP	need
to	TO	to
they	PP	they
also	RB	also
have	VHP	have
a	DT	a
duty	NN	duty
of	IN	of
care	NN	care
to	TO	to
their	PP$	their
staff	NN	staff
and	CC	and
to	TO	to
the	DT	the
and	CC	and
to	TO	to
the	DT	the
people	NNS	people
seeking	VVG	seek
out	RP	out
Aid	NN	aid
not	RB	not
to	TO	to
not	RB	not
to	TO	to
be	VB	be
putting	VVG	put
them	PP	them
in	IN	in
in	IN	in
dangerous	JJ	dangerous
positions	NNS	position
right	RB	right
of	IN	of
course	NN	course
spell	VV	spell
it	PP	it
out	RP	out
for	IN	for
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
the	DT	the
challenges	NNS	challenge
that	IN/that	that
humanitarian	JJ	humanitarian
organizations	NNS	organization
like	IN	like
yourself	PP	yourself
face	VVP	face
when	WRB	when
you	PP	you
turn	VVP	turn
up	RP	up
with	IN	with
a	DT	a
truck	NN	truck
full	JJ	full
of	IN	of
Aid	NP	Aid
or	CC	or
several	JJ	several
trucks	NNS	truck
full	JJ	full
of	IN	of
Aid	NN	aid
and	CC	and
want	VVP	want
to	TO	to
get	VV	get
into	IN	into
Gaza	NP	Gaza
what	WP	what
what	WP	what
exactly	RB	exactly
is	VBZ	be
going	VVG	go
wrong	RB	wrong
well	RB	well
first	JJ	first
of	IN	of
all	PDT	all
there	EX	there
are	VBP	be
all	DT	all
sorts	NNS	sort
of	IN	of
logistical	JJ	logistical
hurdles	NNS	hurdle
still	RB	still
in	IN	in
terms	NNS	term
of	IN	of
getting	VVG	get
Aid	NN	aid
into	IN	into
into	IN	into
Gaza	NP	Gaza
including	VVG	include
uh	UH	uh
arbitrary	JJ	arbitrary
capricious	JJ	capricious
and	CC	and
extremely	RB	extremely
intensive	JJ	intensive
screenings	NNS	screenings
that	WDT	that
are	VBP	be
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
requiring	VVG	require
for	IN	for
any	DT	any
Aid	NN	aid
that	RB	that
'	POS	'
s	NN	S
entering	VVG	enter
Gaza	NP	Gaza
on	IN	on
top	NN	top
of	IN	of
that	WDT	that
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
uh	UH	uh
is	VBZ	be
Israeli	JJ	Israeli
protesters	NNS	protester
blocking	VVG	block
the	DT	the
delivery	NN	delivery
of	IN	of
Aid	NP	Aid
uh	UH	uh
now	RB	now
uh	UH	uh
the	DT	the
the	DT	the
UN	NP	UN
which	WDT	which
is	VBZ	be
handling	VVG	handle
all	DT	all
deliveries	NNS	delivery
from	IN	from
Rafa	NP	Rafa
into	IN	into
or	CC	or
from	IN	from
Rafa	NP	Rafa
Crossing	VVG	cross
into	IN	into
into	IN	into
Gaza	NP	Gaza
they	PP	they
uh	UH	uh
were	VBD	be
being	VBG	be
accompanied	VVN	accompany
by	IN	by
Palestinian	JJ	Palestinian
police	NN	police
officers	NNS	officer
but	CC	but
the	DT	the
repeated	VVD	repeat
targeting	VVG	target
of	IN	of
police	NN	police
officers	NNS	officer
accompanying	VVG	accompany
Aid	NP	Aid
convoys	NNS	convoy
has	VHZ	have
led	VVN	lead
to	TO	to
the	DT	the
police	NN	police
no	RB	no
longer	RBR	longer
providing	VVG	provide
that	DT	that
assistance	NN	assistance
that	WDT	that
means	VVZ	mean
that	IN/that	that
these	DT	these
truck	NN	truck
drivers	NNS	driver
are	VBP	be
and	CC	and
convoys	NNS	convoy
are	VBP	be
are	VBP	be
unprotected	JJ	unprotected
and	CC	and
that	IN/that	that
people	NNS	people
desperate	JJ	desperate
for	IN	for
Aid	NP	Aid
are	VBP	be
are	VBP	be
charging	VVG	charge
trucks	VVZ	truck
uh	UH	uh
in	IN	in
some	DT	some
cases	NNS	case
even	RB	even
beating	VVG	beat
the	DT	the
the	DT	the
truck	NN	truck
drivers	NNS	driver
uh	UH	uh
and	CC	and
damaging	VVG	damage
the	DT	the
vehicles	NNS	vehicle
this	DT	this
is	VBZ	be
the	DT	the
level	NN	level
of	IN	of
desperation	NN	desperation
just	RB	just
even	RB	even
in	IN	in
Rafa	NP	Rafa
