Al	NP	Al
ARA	NP	ARA
Damon	NP	Damon
is	VBZ	be
a	DT	a
founder	NN	founder
of	IN	of
inara	NN	inara
an	DT	an
international	JJ	international
Network	NN	network
for	IN	for
Aid	NP	Aid
relief	NN	relief
and	CC	and
assistance	NN	assistance
she	PP	she
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
Istanbul	NP	Istanbul
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
so	RB	so
first	JJ	first
of	IN	of
all	DT	all
ARA	NP	ARA
take	VV	take
us	PP	us
through	IN	through
the	DT	the
broad	JJ	broad
range	NN	range
of	IN	of
threat	NN	threat
to	TO	to
life	NN	life
facing	VVG	face
gazan	NN	gazan
children	NNS	child
right	RB	right
now	RB	now
from	IN	from
air	NN	air
strikes	NNS	strike
on	IN	on
their	PP$	their
homes	NNS	home
to	TO	to
dangerous	JJ	dangerous
tracks	NNS	track
across	IN	across
the	DT	the
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
from	IN	from
place	NN	place
to	TO	to
place	VV	place
well	RB	well
you	PP	you
have	VHP	have
what	WP	what
you	PP	you
mentioned	VVD	mention
right	RB	right
there	RB	there
and	CC	and
of	IN	of
course	NN	course
what	WP	what
was	VBD	be
just	RB	just
highlighted	VVN	highlight
in	IN	in
that	DT	that
report	NN	report
there	RB	there
'	POS	'
s	NN	S
the	DT	the
physical	JJ	physical
danger	NN	danger
coming	VVG	come
from	IN	from
the	DT	the
bombs	NNS	bomb
the	DT	the
gunshots	NNS	gunshot
uh	UH	uh
to	TO	to
children	NNS	child
but	CC	but
then	RB	then
there	EX	there
'	''	'
s	NNS	s
also	RB	also
the	DT	the
very	RB	very
real	JJ	real
fact	NN	fact
that	IN/that	that
illnesses	NNS	illness
that	WDT	that
normally	RB	normally
would	MD	would
not	RB	not
kill	VV	kill
children	NNS	child
are	VBP	be
at	IN	at
risk	NN	risk
of	IN	of
doing	VVG	do
so	RB	so
under	IN	under
the	DT	the
conditions	NNS	condition
that	IN/that	that
children	NNS	child
are	VBP	be
now	RB	now
being	VBG	be
forced	VVN	force
to	TO	to
live	VV	live
in	IN	in
in	IN	in
Gaza	NP	Gaza
in	IN	in
these	DT	these
overcrowded	VVN	overcrowd
unsanitary	JJ	unsanitary
shelters	NNS	shelter
