<video_id>hWKMzgi8uB4</video_id>	JJ	<video_id>hWKMzgi8uB4</video_id>
<video_title>Turkey	NN	<video_title>Turkey
submits	VVZ	submit
request	NN	request
to	TO	to
join	VV	join
South	NP	South
Africa's	NP	Africa's
ICJ	NP	ICJ
genocide	NN	genocide
case	NN	case
against	IN	against
Israel</video_title>	NP	Israel</video_title>
<thumbnail_path>data/en_AJ\Turkey	NP	<thumbnail_path>data/en_AJ\Turkey
submits	VVZ	submit
request	NN	request
to	TO	to
join	VV	join
South	NP	South
Africa's	NP	Africa's
ICJ	NP	ICJ
genocide	NN	genocide
case	NN	case
against	IN	against
Israel.jpg</thumbnail_path>	NP	Israel.jpg</thumbnail_path>
<publish_date>20240807</publish_date>	NP	<publish_date>20240807</publish_date>
<doc>	NP	<doc>
Tura	NP	Tura
has	VHZ	have
formally	RB	formally
submitted	VVN	submit
a	DT	a
request	NN	request
to	TO	to
join	VV	join
South	JJ	South
Africa's	NNS	Africa's
genocide	NN	genocide
case	NN	case
against	IN	against
Israel	NP	Israel
that'll	NN	that'll
make	VVP	make
turkia	NN	turkia
the	DT	the
seventh	JJ	seventh
country	NN	country
to	TO	to
file	VV	file
a	DT	a
request	NN	request
to	TO	to
intervene	VV	intervene
several	JJ	several
other	JJ	other
countries	NNS	country
have	VHP	have
also	RB	also
announced	VVN	announce
their	PP$	their
intention	NN	intention
to	TO	to
join	VV	join
let's	NNS	let's
get	VV	get
more	RBR	more
honest	JJ	honest
with	IN	with
Cam	NP	Cam
Koli	NP	Koli
she's	NNS	she's
in	IN	in
Istanbul	NP	Istanbul
s	NNS	s
tell	VVP	tell
us	PP	us
about	IN	about
the	DT	the
significance	NN	significance
of	IN	of
turkey	NN	turkey
joining	VVG	join
this	DT	this
case	NN	case
and	CC	and
what	WP	what
exactly	RB	exactly
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
doing	VVG	do
well	UH	well
uh	UH	uh
yes	UH	yes
Laur	NP	Laur
out	IN	out
tury	NN	tury
just	JJ	just
uh	UH	uh
was	VBD	be
was	VBD	be
scheduled	VVN	schedule
to	TO	to
submit	VV	submit
uh	UH	uh
this	DT	this
file	NN	file
this	DT	this
case	VV	case
uh	UH	uh
to	TO	to
the	DT	the
ha	NP	ha
uh	UH	uh
international	JJ	international
criminal	JJ	criminal
uh	UH	uh
International	NP	International
court	NN	court
of	IN	of
justice	NN	justice
at	IN	at
uh	UH	uh
4:30	CD	@card@
Turkish	JJ	Turkish
local	JJ	local
time	NN	time
which	WDT	which
was	VBD	be
like	IN	like
a	DT	a
couple	NN	couple
of	IN	of
minutes	NNS	minute
ago	RB	ago
and	CC	and
Turkish	JJ	Turkish
ambassador	NN	ambassador
to	TO	to
the	DT	the
h	NN	h
and	CC	and
a	DT	a
Turkish	JJ	Turkish
delegation	NN	delegation
from	IN	from
the	DT	the
parliament	NN	parliament
were	VBD	be
in	IN	in
front	NN	front
of	IN	of
the	DT	the
icj	NN	icj
building	VVG	build
uh	UH	uh
before	IN	before
the	DT	the
submission	NN	submission
and	CC	and
they	PP	they
also	RB	also
had	VHD	have
a	DT	a
press	NN	press
brief	VV	brief
uh	UH	uh
why	WRB	why
is	VBZ	be
it	PP	it
important	JJ	important
that	IN/that	that
turkey	NN	turkey
uh	UH	uh
is	VBZ	be
trying	VVG	try
to	TO	to
take	VV	take
part	NN	part
in	IN	in
this	DT	this
court	NN	court
procedure	NN	procedure
this	DT	this
genocide	NN	genocide
case	NN	case
that	IN/that	that
South	NP	South
Africa	NP	Africa
filed	VVD	file
against	IN	against
Israel	NP	Israel
uh	UH	uh
this	DT	this
is	VBZ	be
an	DT	an
intern	VVP	intern
this	DT	this
has	VHZ	have
become	VVN	become
an	DT	an
international	JJ	international
issue	NN	issue
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
the	DT	the
genocide	NN	genocide
that	WDT	that
has	VHZ	have
been	VBN	be
ongoing	JJ	ongoing
in	IN	in
Gaza	NP	Gaza
conducted	VVN	conduct
by	IN	by
the	DT	the
Israeli	NP	Israeli
after	IN	after
South	NP	South
Africa	NP	Africa
uh	UH	uh
opened	VVD	open
this	DT	this
case	NN	case
against	IN	against
Israel	NP	Israel
some	DT	some
other	JJ	other
six	CD	six
other	JJ	other
countries	NNS	country
wanted	VVD	want
to	TO	to
intervene	VV	intervene
in	IN	in
the	DT	the
case	NN	case
to	TO	to
become	VV	become
a	DT	a
part	NN	part
in	IN	in
the	DT	the
case	NN	case
based	VVN	base
on	IN	on
the	DT	the
genocide	NN	genocide
convention	NN	convention
uh	UH	uh
under	IN	under
the	DT	the
uh	UH	uh
Authority	NP	Authority
Under	IN	under
the	DT	the
rules	NNS	rule
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
the	DT	the
countries	NNS	country
that	WDT	that
are	VBP	be
uh	UH	uh
that	WDT	that
are	VBP	be
trying	VVG	try
to	TO	to
be	VB	be
a	DT	a
part	NN	part
of	IN	of
this	DT	this
case	NN	case
are	VBP	be
Colombia	NP	Colombia
Nicaragua	NP	Nicaragua
uh	UH	uh
Spain	NP	Spain
Libya	NP	Libya
Palestine	NP	Palestine
Mexico	NP	Mexico
and	CC	and
turkey	NN	turkey
today	NN	today
submits	VVZ	submit
its	PP$	its
official	JJ	official
