<video_id>JeN8u7PGHT8</video_id>	JJ	<video_id>JeN8u7PGHT8</video_id>
<video_title>Twenty	NN	<video_title>Twenty
killed	VVD	kill
overnight	RB	overnight
taken	VVN	take
to	TO	to
Al-Aqsa	NP	Al-Aqsa
Hospital</video_title>	NP	Hospital</video_title>
<thumbnail_path>data/en_AJ\Twenty	NN	<thumbnail_path>data/en_AJ\Twenty
killed	VVD	kill
overnight	RB	overnight
taken	VVN	take
to	TO	to
Al-Aqsa	NP	Al-Aqsa
Hospital.jpg</thumbnail_path>	NP	Hospital.jpg</thumbnail_path>
<publish_date>20240511</publish_date>	NN	<publish_date>20240511</publish_date>
<doc>	NN	<doc>
we	PP	we
have	VHP	have
our	PP$	our
correspondent	NN	correspondent
T	NN	T
abum	NN	abum
who's	NNS	who's
joining	VVG	join
us	PP	us
from	IN	from
so	IN	so
T	NN	T
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
have	VHP	have
announced	VVN	announce
more	JJR	more
evacuations	NNS	evacuation
there	EX	there
have	VHP	have
been	VBN	be
more	JJR	more
air	NN	air
strikes	NNS	strike
with	IN	with
more	JJR	more
casualties	NNS	casualty
tell	VVP	tell
us	PP	us
about	IN	about
the	DT	the
air	NN	air
strikes	VVZ	strike
and	CC	and
where	WRB	where
they've	NN	they've
been	VBN	be
focused	VVN	focus
yeah	RB	yeah
it	PP	it
was	VBD	be
really	RB	really
completely	RB	completely
a	DT	a
very	RB	very
difficult	JJ	difficult
night	NN	night
for	IN	for
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
areas	NNS	area
of	IN	of
the	DT	the
territory	NN	territory
where	WRB	where
in	IN	in
only	RB	only
in	IN	in
the	DT	the
middle	JJ	middle
area	NN	area
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
at	IN	at
least	JJS	least
20	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
reported	VVN	report
including	VVG	include
five	CD	five
children	NNS	child
till	IN	till
now	RB	now
and	CC	and
this	DT	this
number	NN	number
is	VBZ	be
expected	VVN	expect
to	TO	to
rise	VV	rise
as	IN	as
the	DT	the
process	NN	process
of	IN	of
emergency	NN	emergency
workers	NNS	worker
searching	VVG	search
is	VBZ	be
still	RB	still
ongoing	JJ	ongoing
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
that	DT	that
middle	JJ	middle
area	NN	area
and	CC	and
we	PP	we
need	VVP	need
to	TO	to
remember	VV	remember
clearly	RB	clearly
that	IN/that	that
this	DT	this
is	VBZ	be
where	WRB	where
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
told	VVN	tell
in	IN	in
order	NN	order
to	TO	to
seek	VV	seek
refuge	NN	refuge
and	CC	and
to	TO	to
be	VB	be
away	RB	away
from	IN	from
areas	NNS	area
of	IN	of
operations	NNS	operation
