<video_id>NTW04rwCFMI</video_id>	NP	<video_id>NTW04rwCFMI</video_id>
<video_title>Two	NP	<video_title>Two
Palestinians	NPS	Palestinians
killed	VVD	kill
in	IN	in
Israeli	JJ	Israeli
air	NN	air
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
car:	NP	car:
Medics</video_title>	NP	Medics</video_title>
<thumbnail_path>data/en_AJ\Two	NP	<thumbnail_path>data/en_AJ\Two
Palestinians	NPS	Palestinians
killed	VVD	kill
in	IN	in
Israeli	JJ	Israeli
air	NN	air
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
car	NN	car
Medics.jpg</thumbnail_path>	NP	Medics.jpg</thumbnail_path>
<publish_date>20230509</publish_date>	NN	<publish_date>20230509</publish_date>
<doc>	NN	<doc>
in	IN	in
with	IN	with
some	DT	some
breaking	VVG	break
news	NN	news
out	RP	out
of	IN	of
Gaza	NP	Gaza
there	EX	there
have	VHP	have
been	VBN	be
more	RBR	more
Israeli	JJ	Israeli
airstrikes	NNS	airstrikes
this	DT	this
time	NN	time
killing	VVG	kill
two	CD	two
Palestinians	NPS	Palestinians
in	IN	in
a	DT	a
car	NN	car
it	PP	it
comes	VVZ	come
just	RB	just
hours	NNS	hour
after	IN	after
funerals	NNS	funeral
were	VBD	be
held	VVN	hold
for	IN	for
three	CD	three
senior	JJ	senior
Islamic	NP	Islamic
Jihad	NP	Jihad
commanders	NNS	commander
who	WP	who
were	VBD	be
killed	VVN	kill
in	IN	in
overnight	JJ	overnight
Israeli	JJ	Israeli
attacks	NNS	attack
ten	CD	ten
others	NNS	other
were	VBD	be
also	RB	also
killed	VVN	kill
including	VVG	include
children	NNS	child
let's	NNS	let's
go	VVP	go
live	VV	live
to	TO	to
Gaza	NP	Gaza
we're	NN	we're
going	VVG	go
to	TO	to
speak	VV	speak
to	TO	to
yumna	NN	yumna
al-side	NN	al-side
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
these	DT	these
latest	JJS	late
airstrikes	NN	airstrikes
yes	NN	yes
Rob	NP	Rob
so	IN	so
the	DT	the
latest	JJS	late
airstrike	NN	airstrike
was	VBD	be
carried	VVN	carry
just	RB	just
about	IN	about
half	PDT	half
an	DT	an
hour	NN	hour
ago	RB	ago
even	RB	even
less	JJR	less
in	IN	in
on	IN	on
a	DT	a
car	NN	car
that	WDT	that
had	VHD	have
two	CD	two
people	NNS	people
the	DT	the
car	NN	car
was	VBD	be
directly	RB	directly
targeted	VVN	target
with	IN	with
a	DT	a
drone	NN	drone
missile	NN	missile
uh	UH	uh
where	WRB	where
it	PP	it
was	VBD	be
completely	RB	completely
burned	VVN	burn
and	CC	and
uh	UH	uh
this	DT	this
brings	VVZ	bring
the	DT	the
death	NN	death
toll	NN	toll
to	TO	to
15	CD	@card@
people	NNS	people
including	VVG	include
the	DT	the
assassination	NN	assassination
of	IN	of
the	DT	the
three	CD	three
Islamic	JJ	Islamic
Jihad	NP	Jihad
commanders	NNS	commander
and	CC	and
20	CD	@card@
others	NNS	other
who	WP	who
are	VBP	be
who	WP	who
have	VHP	have
been	VBN	be
heavily	RB	heavily
and	CC	and
critically	RB	critically
injured	VVN	injure
according	VVG	accord
to	TO	to
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
in	IN	in
Gaza	NP	Gaza
more	RBR	more
airstrikes	NNS	airstrikes
meanwhile	RB	meanwhile
have	VHP	have
been	VBN	be
taking	VVG	take
place	NN	place
in	IN	in
artillery	NN	artillery
shells	NNS	shell
have	VHP	have
been	VBN	be
taking	VVG	take
place	NN	place
in	IN	in
high	JJ	high
news	NN	news
that's	NNS	that's
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
in	IN	in
the	DT	the
same	JJ	same
part	NN	part
of	IN	of
in	IN	in
the	DT	the
same	JJ	same
part	NN	part
where	WRB	where
the	DT	the
last	JJ	last
direct	JJ	direct
assassination	NN	assassination
of	IN	of
that	DT	that
car	NN	car
or	CC	or
targeting	VVG	target
of	IN	of
that	DT	that
car	NN	car
took	VVD	take
place	NN	place
tell	VV	tell
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
the	DT	the
three	CD	three
leaders	NNS	leader
of	IN	of
Islamic	JJ	Islamic
jihads	NNS	jihad
that	WDT	that
were	VBD	be
killed	VVN	kill
in	IN	in
the	DT	the
earlier	RBR	earlier
strikes	VVZ	strike
yes	UH	yes
so	RB	so
the	DT	the
three	CD	three
leaders	NNS	leader
are	VBP	be
senior	JJ	senior
commanders	NNS	commander
in	IN	in
Islamic	JJ	Islamic
Jihad	NP	Jihad
uh	UH	uh
these	DT	these
also	RB	also
it's	JJ	it's
very	RB	very
uh	UH	uh
note	VV	note
uh	UH	uh
to	TO	to
to	TO	to
say	VV	say
that	DT	that
worth	NN	worth
noting	VVG	note
to	TO	to
say	VV	say
that	IN/that	that
these	DT	these
leaders	NNS	leader
were	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
uh	UH	uh
traveling	VVG	travel
uh	UH	uh
as	IN	as
uh	UH	uh
with	IN	with
another	DT	another
delegation	NN	delegation
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
Islamic	NP	Islamic
Jihad	NP	Jihad
to	TO	to
Cairo	NP	Cairo
this	DT	this
morning	NN	morning
to	TO	to
uh	UH	uh
to	TO	to
participate	VV	participate
in	IN	in
security	NN	security
meeting	VVG	meet
the	DT	the
three	CD	three
leaders	NNS	leader
where	WRB	where
uh	UH	uh
commanders	NNS	commander
High	JJ	high
Senior	NP	Senior
commanders	NNS	commander
in	IN	in
Islamic	JJ	Islamic
Jihad	NP	Jihad
uh	UH	uh
they're	NN	they're
they're	NN	they're
a	DT	a
specific	JJ	specific
uh	UH	uh
information	NN	information
and	CC	and
names	NNS	name
are	VBP	be
Khalil	NP	Khalil
al-bahtani	NP	al-bahtani
who	WP	who
is	VBZ	be
a	DT	a
member	NN	member
of	IN	of
the	DT	the
military	JJ	military
Council	NN	council
of	IN	of
alcott's	JJ	alcott's
Brigade	NN	brigade
that's	NNS	that's
the	DT	the
military	JJ	military
wing	NN	wing
of	IN	of
Islamic	NP	Islamic
Jihad	NP	Jihad
and	CC	and
also	RB	also
uh	UH	uh
he	PP	he
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
leaders	NNS	leader
of	IN	of
the	DT	the
military	JJ	military
action	NN	action
of	IN	of
the	DT	the
brigades	NNS	brigade
in	IN	in
the	DT	the
West	JJ	West
Bank	NP	Bank
uh	UH	uh
zidin	NN	zidin
was	VBD	be
also	RB	also
one	CD	one
of	IN	of
those	DT	those
prisoners	NNS	prisoner
who	WP	who
was	VBD	be
freed	VVN	free
in	IN	in
the	DT	the
Shalit	NP	Shalit
deal	NN	deal
and	CC	and
he	PP	he
was	VBD	be
brought	VVN	bring
here	RB	here
to	TO	to
Gaza	NP	Gaza
where	WRB	where
he	PP	he
is	VBZ	be
originally	RB	originally
from	IN	from
nablis	NNS	nablis
while	IN	while
the	DT	the
third	JJ	third
one	CD	one
is	VBZ	be
Jihad	NP	Jihad
al-qanim	NP	al-qanim
he	PP	he
is	VBZ	be
the	DT	the
secretary	NN	secretary
of	IN	of
the	DT	the
military	JJ	military
Council	NN	council
in	IN	in
alcott's	JJ	alcott's
brigades	NNS	brigade
it's	NNS	it's
also	RB	also
worth	JJ	worth
noting	VVG	note
that	IN/that	that
Khalil	NP	Khalil
al-bhatani	NP	al-bhatani
was	VBD	be
assigned	VVN	assign
after	IN	after
the	DT	the
assassination	NN	assassination
of	IN	of
the	DT	the
previous	JJ	previous
leader	NN	leader
in	IN	in
August	NP	August
2022	CD	@card@
in	IN	in
the	DT	the
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Islamic	NP	Islamic
Jihad	NP	Jihad
commanders	NNS	commander
as	IN	as
well	RB	well
here	RB	here
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
see	VV	see
I'm	NP	I'm
outside	IN	outside
talking	VVG	talk
to	TO	to
us	PP	us
from	IN	from
Gaza	NP	Gaza
all	DT	all
of	IN	of
that	WDT	that
is	VBZ	be
Raising	VVG	raise
tensions	NNS	tension
at	IN	at
the	DT	the
Gaza	NP	Gaza
Israel	NP	Israel
border	NN	border
and	CC	and
William	NP	William
Marx	NP	Marx
is	VBZ	be
in	IN	in
Ashkelon	NP	Ashkelon
in	IN	in
Israel	NP	Israel
for	IN	for
us	PP	us
um	VVZ	um
Islamic	NP	Islamic
Jihad	NP	Jihad
has	VHZ	have
been	VBN	be
promising	VVG	promise
our	PP$	our
response	NN	response
to	TO	to
what	WP	what
has	VHZ	have
been	VBN	be
happening	VVG	happen
people	NNS	people
there	RB	there
waiting	VVG	wait
to	TO	to
see	VV	see
what	WP	what
that	DT	that
reaction	NN	reaction
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
William	NP	William
yeah	RB	yeah
that's	NNS	that's
right	RB	right
and	CC	and
of	IN	of
course	NN	course
Israeli	JJ	Israeli
authorities	NNS	authority
since	IN	since
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
this	DT	this
morning	NN	morning
have	VHP	have
been	VBN	be
telling	VVG	tell
residents	NNS	resident
in	IN	in
this	DT	this
region	NN	region
here	RB	here
we're	JJ	we're
about	IN	about
four	CD	four
miles	NNS	mile
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
here	RB	here
to	TO	to
make	VV	make
sure	JJ	sure
they	PP	they
stay	VVP	stay
close	RB	close
to	TO	to
Rocket	NN	rocket
shelters	NNS	shelter
and	CC	and
indeed	RB	indeed
some	DT	some
local	JJ	local
authorities	NNS	authority
here	RB	here
have	VHP	have
said	VVN	say
that	IN/that	that
over	IN	over
the	DT	the
course	NN	course
of	IN	of
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
they've	NNS	they've
been	VBN	be
encouraging	VVG	encourage
residents	NNS	resident
to	TO	to
leave	VV	leave
dozens	NNS	dozen
of	IN	of
families	NNS	family
have	VHP	have
already	RB	already
made	VVN	make
the	DT	the
journey	NN	journey
further	RBR	further
north	RB	north
and	CC	and
east	RB	east
from	IN	from
here	RB	here
further	RBR	further
away	RB	away
from	IN	from
the	DT	the
potential	JJ	potential
rocket	NN	rocket
fire	NN	fire
that	IN/that	that
Israeli	JJ	Israeli
authorities	NNS	authority
clearly	RB	clearly
are	VBP	be
expecting	VVG	expect
we've	NN	we've
heard	VVN	hear
from	IN	from
jov	NP	Jov
Gallant	VVP	gallant
the	DT	the
defense	NN	defense
minister	NN	minister
speaking	VVG	speak
to	TO	to
local	JJ	local
politicians	NNS	politician
and	CC	and
leaders	NNS	leader
here	RB	here
over	IN	over
the	DT	the
course	NN	course
of	IN	of
today	NN	today
warning	VVG	warn
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
Conflict	NN	conflict
for	IN	for
several	JJ	several
days	NNS	day
he's	NNS	he's
concerned	VVD	concern
he	PP	he
said	VVD	say
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
a	DT	a
prolonged	JJ	prolonged
campaign	NN	campaign
with	IN	with
an	DT	an
extended	JJ	extended
range	NN	range
of	IN	of
fire	NN	fire
that	WDT	that
would	MD	would
mean	VV	mean
of	IN	of
course	NN	course
Rockets	NNS	rocket
traveling	VVG	travel
much	RB	much
further	JJR	further
into	IN	into
Israel	NP	Israel
than	IN	than
even	RB	even
where	WRB	where
we're	JJ	we're
standing	NN	standing
here	RB	here
Israeli	JJ	Israeli
media	NNS	medium
also	RB	also
quoting	VVG	quote
one	CD	one
senior	JJ	senior
Israeli	JJ	Israeli
official	NN	official
is	VBZ	be
saying	VVG	say
that	DT	that
everything	NN	everything
depends	VVZ	depend
now	RB	now
on	IN	on
how	WRB	how
Hamas	NNS	Hamas
will	MD	will
act	VV	act
its	PP$	its
engagement	NN	engagement
or	CC	or
lack	NN	lack
of	IN	of
Engagement	NN	engagement
in	IN	in
firing	VVG	fire
Rockets	NNS	rocket
as	IN	as
a	DT	a
response	NN	response
will	MD	will
determine	VV	determine
the	DT	the
level	NN	level
of	IN	of
escalation	NN	escalation
and	CC	and
Tall	NP	Tall
winners	NNS	winner
and	CC	and
very	RB	very
important	JJ	important
to	TO	to
note	VV	note
here	RB	here
the	DT	the
special	JJ	special
representative	NN	representative
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
here	RB	here
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
peace	NN	peace
process	NN	process
asking	VVG	ask
for	IN	for
quote	NN	quote
maximum	NN	maximum
restraint	NN	restraint
and	CC	and
really	RB	really
hoping	VVG	hope
they	PP	they
said	VVD	say
for	IN	for
an	DT	an
avoidance	NN	avoidance
of	IN	of
that	DT	that
further	JJR	further
escalation	NN	escalation
well	RB	well
then	RB	then
thanks	VVZ	thank
very	RB	very
much	RB	much
indeed	RB	indeed
desert	NN	desert
and	CC	and
Marx	NP	Marx
talking	VVG	talk
to	TO	to
us	PP	us
from	IN	from
Ashkelon	NP	Ashkelon
in	IN	in
Israel	NP	Israel
on	IN	on
the	DT	the
border	NN	border
with	IN	with
Gaza	NP	Gaza
where	WRB	where
Muhammad	NP	Muhammad
jams	NNS	jam
in	IN	in
West	NP	West
Jerusalem	NP	Jerusalem
for	IN	for
us	PP	us
what	WP	what
is	VBZ	be
Israel	NP	Israel
saying	VVG	say
about	RB	about
