<doc>	NN	<doc>
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
has	VHZ	have
said	VVN	say
it	PP	it
will	MD	will
provide	VV	provide
an	DT	an
additional	JJ	additional
$24.5	NN	$24.5
million	CD	million
in	IN	in
Aid	NP	Aid
to	TO	to
Gaza	NP	Gaza
the	DT	the
United	NP	United
Kingdom's	NP	Kingdom's
foreign	JJ	foreign
secretary	NN	secretary
James	NP	James
cleverly	RB	cleverly
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
Westminster	NP	Westminster
Mr	NP	Mr
cleverly	RB	cleverly
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
with	IN	with
us	PP	us
here	RB	here
on	IN	on
Al	NP	Al
jazer	NN	jazer
your	PP$	your
government	NN	government
is	VBZ	be
offering	VVG	offer
a	DT	a
substantial	JJ	substantial
Aid	NN	aid
package	NN	package
for	IN	for
Gaza	NP	Gaza
some	DT	some
20	CD	@card@
million	CD	million
pound	NN	pound
but	CC	but
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
would	MD	would
need	VV	need
much	RB	much
less	JJR	less
Aid	NN	aid
trucked	VVN	truck
across	IN	across
the	DT	the
border	NN	border
if	IN	if
Israel	NP	Israel
simply	RB	simply
turned	VVD	turn
on	IN	on
the	DT	the
water	NN	water
and	CC	and
electricity	NN	electricity
they	PP	they
have	VHP	have
the	DT	the
power	NN	power
to	TO	to
do	VV	do
that	IN/that	that
on	IN	on
a	DT	a
grid	NN	grid
that	IN/that	that
they	PP	they
designed	VVD	design
is	VBZ	be
prime	JJ	prime
minister	NN	minister
Rishi	NP	Rishi
sunak	NP	sunak
asking	VVG	ask
Netanyahu	NP	Netanyahu
to	TO	to
do	VV	do
that	DT	that
well	UH	well
uh	UH	uh
thank	VV	thank
you	PP	you
and	CC	and
as	IN	as
you	PP	you
say	VVP	say
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
just	RB	just
a	DT	a
few	JJ	few
minutes	NNS	minute
ago	RB	ago
announced	VVD	announce
an	DT	an
additional	JJ	additional
20	CD	@card@
million	CD	million
pound	NN	pound
in	IN	in
humanitarian	JJ	humanitarian
support	NN	support
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
that	WDT	that
is	VBZ	be
on	RB	on
top	JJ	top
of	IN	of
the	DT	the
10	CD	@card@
million	CD	million
uh	UH	uh
that	IN/that	that
we	PP	we
announced	VVD	announce
uh	UH	uh
uh	UH	uh
last	JJ	last
week	NN	week
and	CC	and
on	IN	on
top	NN	top
of	IN	of
the	DT	the
27	CD	@card@
million	CD	million
which	WDT	which
was	VBD	be
our	PP$	our
pre-existing	VVG	pre-exist
commitment	NN	commitment
to	TO	to
humanitarian	JJ	humanitarian
support	NN	support
in	IN	in
Gaza	NP	Gaza
we	PP	we
are	VBP	be
trying	VVG	try
to	TO	to
alleviate	VV	alleviate
the	DT	the
plight	NN	plight
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
and	CC	and
I	PP	I
recognize	VVP	recognize
the	DT	the
uh	UH	uh
the	DT	the
uh	UH	uh
the	DT	the
situation	NN	situation
for	IN	for
them	PP	them
is	VBZ	be
is	VBZ	be
difficult	JJ	difficult
and	CC	and
of	IN	of
course	NN	course
sadly	RB	sadly
we	PP	we
have	VHP	have
seen	VVN	see
uh	UH	uh
the	DT	the
water	NN	water
pipes	VVZ	pipe
that	IN/that	that
uh	UH	uh
have	VHP	have
been	VBN	be
previously	RB	previously
funded	VVN	fund
by	IN	by
the	DT	the
EU	NP	EU
videos	NNS	video
of	IN	of
those	DT	those
water	NN	water
pipes	NNS	pipe
being	VBG	be
torn	VVN	tear
up	RP	up
by	IN	by
Hamas	NNS	Hamas
and	CC	and
turned	VVN	turn
into	IN	into
Rockets	NNS	rocket
to	TO	to
fire	VV	fire
into	IN	into
Israel	NP	Israel
we	PP	we
have	VHP	have
seen	VVN	see
fuel	NN	fuel
that	WDT	that
could	MD	could
go	VV	go
to	TO	to
uh	UH	uh
electricity	NN	electricity
de	FW	de
generators	NNS	generator
and	CC	and
the	DT	the
desalination	NN	desalination
pants	NNS	pant
being	VBG	be
used	VVN	use
to	TO	to
facilitate	VV	facilitate
the	DT	the
attacks	NNS	attack
going	VVG	go
into	IN	into
Israel	NP	Israel
of	IN	of
course	NN	course
of	IN	of
course	NN	course
we	PP	we
want	VVP	want
the	DT	the
suffering	NN	suffering
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
Gaza	NP	Gaza
to	TO	to
stop	VV	stop
as	RB	as
quickly	RB	quickly
as	IN	as
possible	JJ	possible
and	CC	and
the	DT	the
quicker	JJR	quick
that	DT	that
Israel	NP	Israel
can	MD	can
be	VB	be
reassured	VVN	reassure
of	IN	of
its	PP$	its
self	JJ	self
uh	UH	uh
uh	UH	uh
defense	NN	defense
and	CC	and
its	PP$	its
security	NN	security
the	DT	the
quicker	RBR	quicker
the	DT	the
suffering	NN	suffering
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
can	MD	can
be	VB	be
brought	VVN	bring
to	TO	to
a	DT	a
Hal	NP	Hal
so	IN	so
foreign	JJ	foreign
secretary	NN	secretary
just	RB	just
for	IN	for
clarity	NN	clarity
there	RB	there
the	DT	the
British	JJ	British
government	NN	government
is	VBZ	be
not	RB	not
asking	VVG	ask
Israel	NP	Israel
to	TO	to
turn	VV	turn
the	DT	the
water	NN	water
or	CC	or
the	DT	the
electricity	NN	electricity
back	RB	back
on	IN	on
what	WP	what
we	PP	we
have	VHP	have
said	VVN	say
is	VBZ	be
that	IN/that	that
in	IN	in
all	PDT	all
the	DT	the
actions	NNS	action
that	WDT	that
Israel	NP	Israel
takes	VVZ	take
they	PP	they
should	MD	should
be	VB	be
conscious	JJ	conscious
of	IN	of
the	DT	the
plight	NN	plight
of	IN	of
civilians	NNS	civilian
they	PP	they
should	MD	should
do	VV	do
everything	NN	everything
they	PP	they
can	MD	can
to	TO	to
pre	NN	pre
to	TO	to
preserve	VV	preserve
a	DT	a
civilian	JJ	civilian
life	NN	life
we	PP	we
are	VBP	be
of	IN	of
course	NN	course
seeking	VVG	seek
to	TO	to
uh	UH	uh
ensure	VV	ensure
that	IN/that	that
that	DT	that
is	VBZ	be
the	DT	the
case	NN	case
we've	NN	we've
had	VHD	have
those	DT	those
conversations	NNS	conversation
uh	UH	uh
with	IN	with
Israel	NP	Israel
uh	UH	uh
Israel	NP	Israel
have	VHP	have
uh	UH	uh
made	VVD	make
the	DT	the
decisions	NNS	decision
about	IN	about
how	WRB	how
that	RB	that
they	PP	they
how	WRB	how
they	PP	they
will	MD	will
conduct	VV	conduct
the	DT	the
military	JJ	military
operations	NNS	operation
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
that's	NNS	that's
a	DT	a
decision	NN	decision
for	IN	for
them	PP	them
to	TO	to
