<video_id>SQRf1XTEODE</video_id>	JJ	<video_id>SQRf1XTEODE</video_id>
<video_title>UK’s	NNS	<video_title>UK’s
arms	NNS	arm
licences	VVZ	licence
decision	NN	decision
is	VBZ	be
‘more	RB	‘more
symbolic	JJ	symbolic
than	IN	than
practical’:	JJ	practical’:
Analysis</video_title>	NP	Analysis</video_title>
<thumbnail_path>data/en_AJ\UK’s	NNS	<thumbnail_path>data/en_AJ\UK’s
arms	NNS	arm
licences	VVZ	licence
decision	NN	decision
is	VBZ	be
‘more	RB	‘more
symbolic	JJ	symbolic
than	IN	than
practical’	JJ	practical’
Analysis.jpg</thumbnail_path>	NP	Analysis.jpg</thumbnail_path>
<publish_date>20240903</publish_date>	NN	<publish_date>20240903</publish_date>
<doc>	NN	<doc>
now	RB	now
the	DT	the
UK	NP	UK
government	NN	government
has	VHZ	have
announced	VVN	announce
it's	NNS	it's
suspending	VVG	suspend
30	CD	@card@
of	IN	of
its	PP$	its
350	CD	@card@
licenses	NNS	license
to	TO	to
export	VV	export
arms	NNS	arm
to	TO	to
Israel	NP	Israel
from	IN	from
2022	CD	@card@
to	TO	to
June	NP	June
last	JJ	last
year	NN	year
the	DT	the
UK	NP	UK
sent	VVD	send
nearly	RB	nearly
$75	JJ	$75
million	CD	million
worth	NN	worth
of	IN	of
weapons	NNS	weapon
to	TO	to
Israel	NP	Israel
roughly	RB	roughly
25	CD	@card@
million	CD	million
was	VBD	be
for	IN	for
aircraft	NN	aircraft
including	VVG	include
helicopters	NNS	helicopter
and	CC	and
drones	NNS	drone
and	CC	and
the	DT	the
licenses	NNS	license
being	VBG	be
suspended	VVN	suspend
include	VVP	include
components	NNS	component
for	IN	for
unmanned	JJ	unmanned
drones	NNS	drone
and	CC	and
F-16	NN	F-16
fighter	NN	fighter
jets	NNS	jet
sales	NNS	sale
of	IN	of
Naval	NP	Naval
systems	NNS	system
and	CC	and
targeting	VVG	target
equipment	NN	equipment
have	VHP	have
also	RB	also
been	VBN	be
halted	VVN	halt
but	CC	but
the	DT	the
UK	NP	UK
foreign	JJ	foreign
secretary	NN	secretary
David	NP	David
Lamy	NP	Lamy
says	VVZ	say
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
blanket	NN	blanket
ban	NN	ban
and	CC	and
only	RB	only
affects	VVZ	affect
weapons	NNS	weapon
that	WDT	that
could	MD	could
be	VB	be
used	VVN	use
in	IN	in
serious	JJ	serious
breach	NN	breach
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
we	PP	we
have	VHP	have
with	IN	with
us	PP	us
Luciano	NP	Luciano
zakara	NP	zakara
who's	NNS	who's
joining	VVG	join
us	PP	us
here	RB	here
in	IN	in
the	DT	the
studio	NN	studio
who's	NNS	who's
an	DT	an
associate	NN	associate
professor	NN	professor
of	IN	of
Gulf	NP	Gulf
politics	NNS	politics
at	IN	at
Qatar	NP	Qatar
University	NP	University
welcome	VVP	welcome
back	RB	back
to	TO	to
aljazera	NN	aljazera
so	IN	so
I've	NP	I've
been	VBN	be
digging	VVG	dig
into	IN	into
this	DT	this
and	CC	and
it	PP	it
looks	VVZ	look
like	IN	like
this	DT	this
is	VBZ	be
only	RB	only
10%	CD	@card@
of	IN	of
the	DT	the
UK's	NP	UK's
arms	NNS	arm
exports	NNS	export
to	TO	to
