Remo	NP	Remo
Salam	NP	Salam
is	VBZ	be
a	DT	a
un	JJ	un
special	JJ	special
reporter	NN	reporter
on	IN	on
violence	NN	violence
against	IN	against
women	NNS	woman
and	CC	and
children	NNS	child
she	PP	she
joins	VVZ	join
us	PP	us
from	IN	from
Aman	NP	Aman
an	DT	an
estimated	VVN	estimate
70	CD	@card@
%	NN	%
of	IN	of
Palestinians	NNS	Palestinian
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
women	NNS	woman
and	CC	and
children	NNS	child
does	VVZ	do
that	IN/that	that
set	VVN	set
this	DT	this
conflict	NN	conflict
apart	RB	apart
it	PP	it
'	POS	'
s	NNS	s
common	JJ	common
for	IN	for
at	IN	at
least	JJS	least
half	NN	half
of	IN	of
um	JJ	um
casualties	NNS	casualty
to	TO	to
be	VB	be
women	NNS	woman
and	CC	and
children	NNS	child
but	CC	but
certainly	RB	certainly
what	WP	what
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
here	RB	here
has	VHZ	have
surpassed	VVN	surpass
anything	NN	anything
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
in	IN	in
in	IN	in
recent	JJ	recent
conflicts	VVZ	conflict
uh	UH	uh
I	PP	I
think	VVP	think
you	PP	you
would	MD	would
agree	VV	agree
that	IN/that	that
actors	NNS	actor
on	IN	on
the	DT	the
ground	NN	ground
have	VHP	have
run	VVN	run
out	RP	out
of	IN	of
words	NNS	word
to	TO	to
describe	VV	describe
really	RB	really
the	DT	the
Unspeakable	JJ	unspeakable
level	NN	level
of	IN	of
suffering	NN	suffering
and	CC	and
Horrors	NNS	horror
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
um	NNS	um
the	DT	the
commissioner	NN	commissioner
for	IN	for
un	NN	un
lazarini	NNS	lazarini
had	VHD	have
described	VVN	describe
it	PP	it
as	IN	as
a	DT	a
living	VVG	live
hell	NN	hell
and	CC	and
I	PP	I
would	MD	would
say	VV	say
that	IN/that	that
within	IN	within
this	DT	this
hell	NN	hell
being	VBG	be
a	DT	a
Palestinian	JJ	Palestinian
woman	NN	woman
or	CC	or
a	DT	a
child	NN	child
has	VHZ	have
really	RB	really
meant	VVN	mean
being	VBG	be
stripped	VVN	strip
of	IN	of
any	DT	any
Humanity	NN	humanity
dignity	NN	dignity
safety	NN	safety
or	CC	or
any	DT	any
special	JJ	special
considerations	NNS	consideration
that	WDT	that
would	MD	would
be	VB	be
usually	RB	usually
given	VVN	give
to	TO	to
women	NNS	woman
and	CC	and
children	NNS	child
in	IN	in
times	NNS	time
of	IN	of
peace	NN	peace
or	CC	or
conflict	NN	conflict
i	FW	i
i	FW	i
in	IN	in
fact	NN	fact
cannot	MD	can
think	VV	think
of	IN	of
any	DT	any
protection	NN	protection
that	WDT	that
uh	UH	uh
Palestinians	NNS	Palestinian
