head	NN	head
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
an	DT	an
Antonio	NP	Antonio
GES	NP	GES
warned	VVD	warn
that	IN/that	that
any	DT	any
military	JJ	military
incursion	NN	incursion
into	IN	into
Rafa	NP	Rafa
would	MD	would
have	VH	have
devastating	JJ	devastating
consequences	NNS	consequence
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
who	WP	who
'	POS	'
d	NN	d
first	RB	first
fled	VVD	flee
there	RB	there
for	IN	for
safety	NN	safety
and	CC	and
under	IN	under
the	DT	the
instruction	NN	instruction
of	IN	of
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
a	DT	a
military	JJ	military
assault	NN	assault
on	IN	on
Rafa	NP	Rafa
would	MD	would
be	VB	be
an	DT	an
unbearable	JJ	unbearable
escalation	NN	escalation
killing	VVG	kill
thousands	NNS	thousand
more	JJR	more
civilians	NNS	civilian
and	CC	and
forcing	VVG	force
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
to	TO	to
flee	VV	flee
it	PP	it
would	MD	would
have	VH	have
a	DT	a
devastating	JJ	devastating
impact	NN	impact
on	IN	on
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
with	IN	with
serious	JJ	serious
repercussions	NNS	repercussion
on	IN	on
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
across	IN	across
the	DT	the
wider	JJR	wide
region	NN	region
all	DT	all
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Cil	NN	Cil
and	CC	and
many	JJ	many
other	JJ	other
governments	NNS	government
have	VHP	have
clearly	RB	clearly
expressed	VVN	express
their	PP$	their
opposition	NN	opposition
to	TO	to
such	JJ	such
an	DT	an
operation	NN	operation
I	PP	I
appeal	VVP	appeal
for	IN	for
all	PDT	all
those	DT	those
with	IN	with
influence	NN	influence
over	IN	over
Israel	NP	Israel
to	TO	to
do	VV	do
everything	NN	everything
in	IN	in
their	PP$	their
power	NN	power
to	TO	to
prevent	VV	prevent
it	PP	it
Gabriel	NP	Gabriel
alander	NP	alander
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
the	DT	the
UN	NP	UN
and	CC	and
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
with	IN	with
some	DT	some
clear	JJ	clear
and	CC	and
some	DT	some
might	MD	might
think	VV	think
strong	JJ	strong
words	NNS	word
about	IN	about
Rafa	NP	Rafa
yeah	RB	yeah
that	RB	that
'	''	'
s	NN	S
right	NN	right
of	IN	of
course	NN	course
he	PP	he
'	POS	'
s	NNS	s
saying	VVG	say
as	IN	as
you	PP	you
just	RB	just
heard	VVD	hear
there	RB	there
it	PP	it
would	MD	would
be	VB	be
could	MD	could
lead	VV	lead
to	TO	to
devastating	JJ	devastating
consequences	NNS	consequence
if	IN	if
Israel	NP	Israel
goes	VVZ	go
forward	RB	forward
with	IN	with
this	DT	this
military	JJ	military
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
he	PP	he
said	VVD	say
forcing	VVG	force
as	IN	as
you	PP	you
just	RB	just
heard	VVD	hear
there	RB	there
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
to	TO	to
flee	VV	flee
of	IN	of
course	NN	course
flee	VV	flee
where	WRB	where
that	DT	that
is	VBZ	be
the	DT	the
question	NN	question
I	PP	I
think	VVP	think
the	DT	the
Secretary	NP	Secretary
General	NP	General
knows	VVZ	know
the	DT	the
answer	NN	answer
to	TO	to
that	WDT	that
very	RB	very
well	RB	well
there	EX	there
is	VBZ	be
nowhere	RB	nowhere
uh	UH	uh
to	TO	to
flee	VV	flee
to	TO	to
and	CC	and
nowhere	RB	nowhere
safe	JJ	safe
in	IN	in
in	IN	in
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	JJ	s
something	NN	something
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
repeated	VVD	repeat
over	RP	over
and	CC	and
over	RP	over
and	CC	and
over	RP	over
again	RB	again
for	IN	for
months	NNS	month
now	RB	now
I	PP	I
think	VVP	think
the	DT	the
reason	NN	reason
that	IN/that	that
you	PP	you
heard	VVD	hear
the	DT	the
Secretary	NP	Secretary
General	NP	General
speak	VVP	speak
out	RP	out
uh	UH	uh
today	NN	today
is	VBZ	be
because	IN	because
he	PP	he
clearly	RB	clearly
sees	VVZ	see
this	DT	this
being	NN	being
a	DT	a
critical	JJ	critical
moment	NN	moment
as	IN	as
these	DT	these
talks	NNS	talk
continue	VVP	continue
for	IN	for
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
and	CC	and
a	DT	a
cessation	NN	cessation
of	IN	of
hostilities	NNS	hostility
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
critical	JJ	critical
moment	NN	moment
right	NN	right
now	RB	now
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
he	PP	he
wanted	VVD	want
to	TO	to
lend	VV	lend
his	PP$	his
voice	NN	voice
to	TO	to
this	DT	this
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
again	RB	again
The	DT	the
Wider	NP	Wider
context	NN	context
here	RB	here
the	DT	the
Secretary	NP	Secretary
General	NP	General
does	VVZ	do
not	RB	not
speak	VV	speak
to	TO	to
Benjamin	NP	Benjamin
n	NN	n
Yahoo	NN	yahoo
uh	UH	uh
the	DT	the
prime	JJ	prime
minister	NN	minister
of	IN	of
Israel	NP	Israel
will	MD	will
not	RB	not
accept	VV	accept
the	DT	the
secretary	NN	secretary
General	NP	General
'	POS	'
s	NN	S
phone	NN	phone
calls	VVZ	call
they	PP	they
have	VHP	have
not	RB	not
even	RB	even
spoken	VVN	speak
once	IN	once
uh	UH	uh
since	IN	since
October	NP	October
7th	JJ	7th
it	PP	it
'	''	'
s	NNS	s
not	RB	not
because	IN	because
the	DT	the
Secretary	NP	Secretary
General	NP	General
doesn	NP	doesn
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
speak	VV	speak
to	TO	to
Netanyahu	NP	Netanyahu
it	PP	it
'	POS	'
s	NN	S
just	RB	just
simply	RB	simply
that	IN/that	that
Netanyahu	NP	Netanyahu
doesn	NP	doesn
