<video_id>wo0a2CsPhjg</video_id>	JJ	<video_id>wo0a2CsPhjg</video_id>
<video_title>UNC	NN	<video_title>UNC
Chapel	NP	Chapel
Hill	NP	Hill
seniors	NNS	senior
suspended	VVN	suspend
for	IN	for
protesting	VVG	protest
celebrate	VV	celebrate
graduation	NN	graduation
alternatively</video_title>	NN	alternatively</video_title>
<thumbnail_path>data/en_AJ\UNC	NN	<thumbnail_path>data/en_AJ\UNC
Chapel	NP	Chapel
Hill	NP	Hill
seniors	NNS	senior
suspended	VVN	suspend
for	IN	for
protesting	VVG	protest
celebrate	VV	celebrate
graduation	NN	graduation
alternatively.jpg</thumbnail_path>	NN	alternatively.jpg</thumbnail_path>
<publish_date>20240512</publish_date>	NN	<publish_date>20240512</publish_date>
<doc>	NN	<doc>
my	PP$	my
name	NN	name
is	VBZ	be
Gabe	NP	Gabe
I'm	NP	I'm
a	DT	a
senior	JJ	senior
at	IN	at
UNCC	NP	UNCC
Chapel	NP	Chapel
Hill	NP	Hill
and	CC	and
right	RB	right
now	RB	now
I'm	NN	I'm
on	IN	on
my	PP$	my
way	NN	way
to	TO	to
the	DT	the
people's	NN	people's
graduation	NN	graduation
an	DT	an
alternative	JJ	alternative
graduation	NN	graduation
ceremony	NN	ceremony
for	IN	for
me	PP	me
and	CC	and
other	JJ	other
seniors	NNS	senior
who	WP	who
have	VHP	have
been	VBN	be
suspended	VVN	suspend
from	IN	from
the	DT	the
University	NP	University
for	IN	for
protesting	VVG	protest
the	DT	the
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
and	CC	and
cannot	MD	can
attend	VV	attend
our	PP$	our
real	JJ	real
graduation	NN	graduation
I'm	NN	I'm
here	RB	here
at	IN	at
the	DT	the
peace	NN	peace
and	CC	and
Justice	NP	Justice
Plaza	NP	Plaza
in	IN	in
Chapel	NP	Chapel
Hill	NP	Hill
I'm	NP	I'm
really	RB	really
happy	JJ	happy
to	TO	to
have	VH	have
been	VBN	be
able	JJ	able
to	TO	to
have	VH	have
this	DT	this
graduation	NN	graduation
do	VVP	do
this	DT	this
ceremony	NN	ceremony
with	IN	with
uh	UH	uh
my	PP$	my
comrades	NNS	comrade
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
people	NNS	people
I	PP	I
really	RB	really
trust	VVP	trust
the	DT	the
people	NNS	people
I	PP	I
was	VBD	be
arrested	VVN	arrest
next	JJ	next
to	TO	to
um	NN	um
we've	NN	we've
been	VBN	be
suspended	VVN	suspend
by	IN	by
the	DT	the
university	NN	university
we've	NN	we've
been	VBN	be
barred	VVN	bar
from	IN	from
taking	VVG	take
our	PP$	our
exams	NNS	exam
from	IN	from
graduating	NN	graduating
barred	VVN	bar
from	IN	from
campus	NN	campus
and	CC	and
so	RB	so
this	DT	this
was	VBD	be
our	PP$	our
way	NN	way
