<video_id>Mv-MpcbOrzc</video_id>	NN	<video_id>Mv-MpcbOrzc</video_id>
<video_title>United	VVD	<video_title>United
Nations	NP	Nations
General	NP	General
Assembly	NP	Assembly
is	VBZ	be
holding	VVG	hold
an	DT	an
emergency	NN	emergency
special	JJ	special
session	NN	session
on	IN	on
the	DT	the
war	NN	war
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\United	NP	<thumbnail_path>data/en_AJ\United
Nations	NPS	Nations
General	NP	General
Assembly	NP	Assembly
is	VBZ	be
holding	VVG	hold
an	DT	an
emergency	NN	emergency
special	JJ	special
session	NN	session
on	IN	on
the	DT	the
war	NN	war
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231026</publish_date>	NN	<publish_date>20231026</publish_date>
<doc>	NN	<doc>
well	RB	well
since	IN	since
the	DT	the
War	NP	War
Began	NP	Began
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
Israel's	NP	Israel's
bombing	NN	bombing
campaign	NN	campaign
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
killed	VVN	kill
7,028	CD	@card@
Palestinians	NNS	Palestinian
that's	NNS	that's
according	VVG	accord
to	TO	to
the	DT	the
health	NN	health
Ministry	NP	Ministry
It	PP	it
also	RB	also
says	VVZ	say
that	IN/that	that
more	JJR	more
than	IN	than
100	CD	@card@
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
just	RB	just
over	IN	over
two	CD	two
weeks	NNS	week
meanwhile	RB	meanwhile
the	DT	the
Israeli	JJ	Israeli
government	NN	government
says	VVZ	say
more	JJR	more
than	IN	than
1,400	CD	@card@
Israelis	NPS	Israelis
were	VBD	be
killed	VVN	kill
in	IN	in
hamus	JJ	hamus
military	JJ	military
operation	NN	operation
the	DT	the
Palestinian	JJ	Palestinian
ambassador	NN	ambassador
to	TO	to
the	DT	the
UN	NP	UN
has	VHZ	have
addressed	VVN	address
an	DT	an
emergency	NN	emergency
sitting	VVG	sit
of	IN	of
the	DT	the
general	JJ	general
assembly	NN	assembly
in	IN	in
New	NP	New
York	NP	York
it	PP	it
follows	VVZ	follow
two	CD	two
failed	JJ	failed
security	NN	security
Council	NN	council
resolutions	NNS	resolution
tabled	VVN	table
by	IN	by
the	DT	the
US	NP	US
and	CC	and
Russia	NP	Russia
he	PP	he
called	VVD	call
on	IN	on
countries	NNS	country
not	RB	not
to	TO	to
allow	VV	allow
Israel	NP	Israel
to	TO	to
violate	VV	violate
international	JJ	international
law	NN	law
the	DT	the
answer	NN	answer
to	TO	to
the	DT	the
killing	NN	killing
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
is	VBZ	be
not	RB	not
the	DT	the
killing	NN	killing
of	IN	of
Israeli	JJ	Israeli
civilians	NNS	civilian
and	CC	and
the	DT	the
answer	NN	answer
to	TO	to
the	DT	the
killing	NN	killing
of	IN	of
Israeli	JJ	Israeli
civilians	NNS	civilian
is	VBZ	be
not	RB	not
the	DT	the
killing	NN	killing
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
vengeance	NN	vengeance
is	VBZ	be
a	DT	a
dead	JJ	dead
end	NN	end
the	DT	the
only	JJ	only
path	NN	path
forward	RB	forward
is	VBZ	be
justice	NN	justice
the	DT	the
only	JJ	only
path	NN	path
forward	RB	forward
is	VBZ	be
justice	NN	justice
justice	NN	justice
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
don't	NN	don't
distort	VVP	distort
the	DT	the
law	NN	law
don't	NN	don't
bend	VV	bend
it	PP	it
don't	JJ	don't
break	NN	break
it	PP	it
don't	VVD	don't
betray	VV	betray
it	PP	it
to	TO	to
accommodate	VV	accommodate
Israel	NP	Israel
Israel's	NP	Israel's
ambassador	NN	ambassador
to	TO	to
the	DT	the
UN	NP	UN
says	VVZ	say
the	DT	the
current	JJ	current
conflict	NN	conflict
can't	NN	can't
be	VB	be
seen	VVN	see
in	IN	in
the	DT	the
context	NN	context
of	IN	of
previous	JJ	previous
history	NN	history
the	DT	the
October	NP	October
7th	JJ	7th
Massacre	NN	massacre
and	CC	and
what	WP	what
ensued	VVD	ensue
has	VHZ	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
nothing	NN	nothing
it	PP	it
has	VHZ	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
the	DT	the
Arab	JJ	Arab
Israeli	JJ	Israeli
conflict	NN	conflict
or	CC	or
the	DT	the
Palestinian	JJ	Palestinian
question	NN	question
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
war	NN	war
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
Israel	NP	Israel
is	VBZ	be
at	IN	at
war	NN	war
with	IN	with
the	DT	the
genocidal	JJ	genocidal
jihadist	NN	jihadist
Hamas	NN	Hamas
Terror	NN	terror
organization	NN	organization
only	RB	only
it	PP	it
is	VBZ	be
the	DT	the
law	NN	law
abiding	VVG	abide
democracy	NN	democracy
of	IN	of
Israel	NP	Israel
against	IN	against
modernday	NP	modernday
Nazis	NPS	Nazis
Iran's	NP	Iran's
foreign	JJ	foreign
ministers	NNS	minister
say	VVP	say
Western	NP	Western
Powers	NP	Powers
have	VHP	have
double	JJ	double
standards	NNS	standard
in	IN	in
their	PP$	their
attitude	NN	attitude
to	TO	to
the	DT	the
war	NN	war
it	PP	it
has	VHZ	have
been	VBN	be
three	CD	three
weeks	NNS	week
that	IN/that	that
we	PP	we
have	VHP	have
been	VBN	be
witness	NN	witness
to	TO	to
the	DT	the
war	NN	war
crimes	NNS	crime
and	CC	and
genoside	NN	genoside
of	IN	of
the	DT	the
occupying	JJ	occupying
Israeli	JJ	Israeli
regime	NN	regime
in	IN	in
Kaza	NP	Kaza
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
of	IN	of
Palestine	NP	Palestine
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
several	JJ	several
European	JJ	European
countries	NNS	country
have	VHP	have
sided	VVN	side
with	IN	with
the	DT	the
occupying	JJ	occupying
regime	NN	regime
of	IN	of
Israel	NP	Israel
without	IN	without
observing	VVG	observe
the	DT	the
UN	NP	UN
Charter	NP	Charter
and	CC	and
international	JJ	international
law	NN	law
ad	NN	ad
is	VBZ	be
joining	VVG	join
us	PP	us
now	RB	now
he's	JJ	he's
professor	NN	professor
of	IN	of
political	JJ	political
science	NN	science
and	CC	and
Middle	JJ	middle
East	JJ	East
studies	NNS	study
at	IN	at
wford	NP	wford
University	NP	University
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
uh	UH	uh
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
you	PP	you
were	VBD	be
sitting	VVG	sit
with	IN	with
us	PP	us
as	IN	as
those	DT	those
speeches	NNS	speech
were	VBD	be
were	VBD	be
going	VVG	go
to	TO	to
air	VV	air
um	NNS	um
they	PP	they
were	VBD	be
very	RB	very
powerful	JJ	powerful
they	PP	they
were	VBD	be
very	RB	very
emotive	JJ	emotive
the	DT	the
Israeli	JJ	Israeli
ambassador	NN	ambassador
was	VBD	be
holding	VVG	hold
up	RP	up
pictures	NNS	picture
of	IN	of
those	DT	those
who'	NN	who'
been	VBN	be
uh	UH	uh
killed	VVN	kill
and	CC	and
injured	VVN	injure
in	IN	in
the	DT	the
events	NNS	event
of	IN	of
October	NP	October
the	DT	the
7th	JJ	7th
what's	NNS	what's
your	PP$	your
assessment	NN	assessment
of	IN	of
what	WDT	what
you've	NN	you've
been	VBN	be
hearing	VVG	hear
so	RB	so
far	RB	far
yeah	RB	yeah
I	PP	I
think	VVP	think
the	DT	the
speech	NN	speech
of	IN	of
Riyad	NP	Riyad
was	VBD	be
very	RB	very
well	RB	well
written	VVN	write
and	CC	and
was	VBD	be
was	VBD	be
very	RB	very
well	RB	well
delivered	VVN	deliver
also	RB	also
he	PP	he
uh	UH	uh
delivered	VVN	deliver
it	PP	it
with	IN	with
emotions	NNS	emotion
with	IN	with
uh	UH	uh
appealing	VVG	appeal
to	TO	to
the	DT	the
uh	UH	uh
delegates	NNS	delegate
to	TO	to
vote	VV	vote
for	IN	for
peace	NN	peace
and	CC	and
to	TO	to
vote	VV	vote
for	IN	for
the	DT	the
should	MD	should
just	RB	just
explain	VV	explain
we're	NN	we're
talking	VVG	talk
about	IN	about
the	DT	the
Palestinian	NN	Palestinian
the	DT	the
Palestinian	JJ	Palestinian
that's	NN	that's
the	DT	the
first	JJ	first
speech	NN	speech
I	PP	I
think	VVP	think
it	PP	it
it	PP	it
touched	VVD	touch
the	DT	the
hearts	NNS	heart
of	IN	of
many	JJ	many
people	NNS	people
and	CC	and
that	WDT	that
was	VBD	be
reflected	VVN	reflect
in	IN	in
the	DT	the
long	JJ	long
Applause	NN	applause
he	PP	he
received	VVD	receive
a	DT	a
few	JJ	few
times	NNS	time
in	IN	in
the	DT	the
middle	NN	middle
and	CC	and
at	IN	at
the	DT	the
end	NN	end
they	PP	they
gave	VVD	give
him	PP	him
long	JJ	long
Applause	NN	applause
now	RB	now
we	PP	we
come	VVP	come
to	TO	to
the	DT	the
Israeli	JJ	Israeli
speech	NN	speech
very	RB	very
strange	JJ	strange
speech	NN	speech
honestly	RB	honestly
he	PP	he
as	RB	as
if	IN	if
history	NN	history
started	VVN	start
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
and	CC	and
ended	VVN	end
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
no	DT	no
one	CD	one
supposed	VVN	suppose
to	TO	to
think	VV	think
outside	IN	outside
this	DT	this
Frame	NP	Frame
work	NN	work
he	PP	he
put	VVD	put
a	DT	a
frame	NN	frame
for	IN	for
the	DT	the
people	NNS	people
think	VVP	think
only	RB	only
what	WP	what
happened	VVD	happen
these	DT	these
atrocities	NNS	atrocity
what	WP	what
happened	VVD	happen
to	TO	to
the	DT	the
children	NNS	child
what	WP	what
happened	VVD	happen
this	DT	this
what	WP	what
but	CC	but
what	WP	what
happened	VVD	happen
before	RB	before
7th	JJ	7th
of	IN	of
October	NP	October
to	TO	to
put	VV	put
it	PP	it
in	IN	in
context	NN	context
or	CC	or
what	WP	what
happened	VVD	happen
what	WP	what
what	WP	what
Israeli	NP	Israeli
did	VVD	do
after	IN	after
the	DT	the
sth	NN	sth
of	IN	of
October	NP	October
it	PP	it
was	VBD	be
completely	RB	completely
missing	VVG	miss
and	CC	and
the	DT	the
most	JJS	most
U	NP	U
unacceptable	JJ	unacceptable
statement	NN	statement
he	PP	he
made	VVD	make
that	IN/that	that
it's	NNS	it's
not	RB	not
a	DT	a
war	NN	war
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
it's	NNS	it's
a	DT	a
war	NN	war
against	IN	against
Hamas	NP	Hamas
and	CC	and
those	DT	those
who	WP	who
are	VBP	be
killed	VVN	kill
7,000	CD	@card@
probably	RB	probably
none	NN	none
of	IN	of
them	PP	them
Hamas	JJ	Hamas
it's	NNS	it's
mostly	RB	mostly
at	IN	at
least	JJS	least
70	CD	@card@
over	IN	over
70%	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
not	RB	not
counting	VVG	count
the	DT	the
UN	NP	UN
staff	NN	staff
not	RB	not
counting	VVG	count
the	DT	the
elderly	JJ	elderly
not	RB	not
counting	VVG	count
the	DT	the
Ona	NP	Ona
student	NN	student
and	CC	and
Ona	NP	Ona
also	RB	also
