<video_id>kxqyZhoRP1c</video_id>	JJ	<video_id>kxqyZhoRP1c</video_id>
<video_title>UNRWA	NN	<video_title>UNRWA
spokeswoman	NN	spokeswoman
says	VVZ	say
aid	NN	aid
operation	NN	operation
ongoing	JJ	ongoing
at	IN	at
targeted	JJ	targeted
Rafah	NP	Rafah
aid	NN	aid
centre</video_title>	NN	centre</video_title>
<thumbnail_path>data/en_AJ\UNRWA	NN	<thumbnail_path>data/en_AJ\UNRWA
spokeswoman	NN	spokeswoman
says	VVZ	say
aid	NN	aid
operation	NN	operation
ongoing	JJ	ongoing
at	IN	at
targeted	JJ	targeted
Rafah	NP	Rafah
aid	NN	aid
centre.jpg</thumbnail_path>	NN	centre.jpg</thumbnail_path>
<publish_date>20240314</publish_date>	NN	<publish_date>20240314</publish_date>
<doc>	JJ	<doc>
Julet	NP	Julet
tumer	JJR	tum
is	VBZ	be
the	DT	the
head	NN	head
of	IN	of
communications	NNS	communication
for	IN	for
un	NNS	un
she	PP	she
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
Aman	NP	Aman
now	RB	now
thank	VVP	thank
you	PP	you
once	RB	once
again	RB	again
for	IN	for
being	VBG	be
here	RB	here
with	IN	with
us	PP	us
on	IN	on
elera	NN	elera
now	RB	now
this	DT	this
attack	NN	attack
on	IN	on
your	PP$	your
distribution	NN	distribution
center	NN	center
in	IN	in
rough	JJ	rough
what	WP	what
more	JJR	more
detail	NN	detail
have	VHP	have
you	PP	you
been	VBN	be
able	JJ	able
to	TO	to
gather	VV	gather
about	RB	about
what	WP	what
exactly	RB	exactly
happened	VVD	happen
and	CC	and
and	CC	and
why	WRB	why
it	PP	it
was	VBD	be
targeted	VVN	target
look	NN	look
it	PP	it
was	VBD	be
hit	VVN	hit
yesterday	NN	yesterday
around	IN	around
noon	NN	noon
time	VV	time
uh	UH	uh
local	JJ	local
time	NN	time
in	IN	in
Gaza	NP	Gaza
it's	JJ	it's
uh	UH	uh
one	CD	one
of	IN	of
our	PP$	our
distribution	NN	distribution
centers	NNS	center
and	CC	and
also	RB	also
a	DT	a
warehouse	NN	warehouse
in	IN	in
Southern	NP	Southern
Gaza	NP	Gaza
uh	UH	uh
east	RB	east
of	IN	of
of	IN	of
RA	NP	RA
City	NP	City
normally	RB	normally
between	IN	between
50	CD	@card@
to	TO	to
60	CD	@card@
people	NNS	people
uh	UH	uh
work	VV	work
there	RB	there
um	JJ	um
very	RB	very
sadly	RB	sadly
one	CD	one
of	IN	of
our	PP$	our
colleagues	NNS	colleague
uh	UH	uh
was	VBD	be
killed	VVN	kill
um	RB	um
in	IN	in
in	IN	in
in	IN	in
that	DT	that
hit	NN	hit
and	CC	and
22	CD	@card@
uh	UH	uh
were	VBD	be
were	VBD	be
injured	VVN	injure
what	WDT	what
effect	NN	effect
will	MD	will
this	RB	this
have	VH	have
on	IN	on
your	PP$	your
ability	NN	ability
to	TO	to
distribute	VV	distribute
Aid	NN	aid
it	PP	it
is	VBZ	be
I	PP	I
believe	VVP	believe
one	PP	one
of	IN	of
the	DT	the
last	JJ	last
remaining	VVG	remain
distribution	NN	distribution
centers	NNS	center
that	IN/that	that
you	PP	you
have	VH	have
operating	VVG	operate
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
well	RB	well
fortunately	RB	fortunately
the	DT	the
um	JJ	um
impact	NN	impact
on	IN	on
the	DT	the
supplies	NNS	supply
that	IN/that	that
we	PP	we
had	VHN	have
uh	UH	uh
in	IN	in
the	DT	the
warehouse	NN	warehouse
is	VBZ	be
very	RB	very
