<video_id>DtqG-4SHckQ</video_id>	NP	<video_id>DtqG-4SHckQ</video_id>
<video_title>UNRWA’s	NP	<video_title>UNRWA’s
Lazzarini	NP	Lazzarini
says	VVZ	say
Rafah	NP	Rafah
invasion	NN	invasion
could	MD	could
hinge	VV	hinge
on	IN	on
ceasefire	NN	ceasefire
talks	NNS	talk
this	DT	this
week</video_title>	NN	week</video_title>
<thumbnail_path>data/en_AJ\UNRWA’s	NN	<thumbnail_path>data/en_AJ\UNRWA’s
Lazzarini	NP	Lazzarini
says	VVZ	say
Rafah	NP	Rafah
invasion	NN	invasion
could	MD	could
hinge	VV	hinge
on	IN	on
ceasefire	NN	ceasefire
talks	NNS	talk
this	DT	this
week.jpg</thumbnail_path>	NN	week.jpg</thumbnail_path>
<publish_date>20240430</publish_date>	NN	<publish_date>20240430</publish_date>
<doc>	NN	<doc>
we	PP	we
want	VVP	want
to	TO	to
take	VV	take
you	PP	you
now	RB	now
live	VVP	live
to	TO	to
Geneva	NP	Geneva
where	WRB	where
Philip	NP	Philip
lazarini	NP	Lazarini
the	DT	the
commissioner	NN	commissioner
general	NN	general
of	IN	of
the	DT	the
UN	NP	UN
Agency	NP	Agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
unra	NN	unra
is	VBZ	be
speaking	VVG	speak
and	CC	and
updating	VVG	update
uh	UH	uh
the	DT	the
Press	NP	Press
there	RB	there
about	IN	about
the	DT	the
latest	JJS	late
developments	NNS	development
on	IN	on
the	DT	the
ground	NN	ground
sh	NN	sh
with	IN	with
the	DT	the
m	NN	m
States	NNS	state
and	CC	and
also	RB	also
to	TO	to
comment	VV	comment
on	IN	on
the	DT	the
review	NN	review
the	DT	the
Kine	NP	Kine
Kon	NP	Kon
report	NN	report
and	CC	and
maybe	RB	maybe
also	RB	also
a	DT	a
little	JJ	little
update	NN	update
on	IN	on
the	DT	the
o	NN	o
us	PP	us
report	VVP	report
um	NNS	um
when	WRB	when
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
um	NN	um
I	PP	I
mean	VVP	mean
basically	RB	basically
our	PP$	our
colleagues	NNS	colleague
are	VBP	be
telling	VVG	tell
us	PP	us
that	DT	that
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
extraordinary	JJ	extraordinary
deep	JJ	deep
anxiety	NN	anxiety
prevailing	VVG	prevail
right	RB	right
now	RB	now
in	IN	in
Gaza	NP	Gaza
because	IN	because
the	DT	the
question	VV	question
uh	UH	uh
everybody	NN	everybody
ask	VV	ask
is	VBZ	be
whether	IN	whether
yes	NN	yes
or	CC	or
not	RB	not
there	EX	there
will	MD	will
be	VB	be
a	DT	a
military	JJ	military
offensive	NN	offensive
and	CC	and
the	DT	the
likelihood	NN	likelihood
of	IN	of
a	DT	a
military	JJ	military
offensive	NN	offensive
will	MD	will
all	RB	all
depend	VV	depend
uh	UH	uh
whether	IN	whether
or	CC	or
not	RB	not
a	DT	a
cire	NN	cire
deal	NN	deal
will	MD	will
be	VB	be
reached	VVN	reach
uh	UH	uh
this	DT	this
week	NN	week
um	NN	um
just	RB	just
to	TO	to
let	VV	let
you	PP	you
know	VV	know
that	IN/that	that
people	NNS	people
have	VHP	have
not	RB	not
yet	RB	yet
been	VBN	be
asked	VVN	ask
to	TO	to
evacuate	VV	evacuate
from	IN	from
Rafa	NP	Rafa
but	CC	but
there	EX	there
is	VBZ	be
a	DT	a
sense	NN	sense
that	IN/that	that
if	IN	if
there	EX	there
is	VBZ	be
no	DT	no
deal	NN	deal
this	DT	this
week	NN	week
that	IN/that	that
this	DT	this
can	MD	can
happen	VV	happen
at	IN	at
any	DT	any
time	NN	time
my	PP$	my
colleague	NN	colleague
on	IN	on
the	DT	the
ground	NN	ground
are	VBP	be
also	RB	also
uh	UH	uh
describing	VVG	describe
uh	UH	uh
basically	RB	basically
a	DT	a
a	DT	a
constant	JJ	constant
I	PP	I
would	MD	would
say	VV	say
a	DT	a
constant	JJ	constant
state	NN	state
of	IN	of
trauma	NN	trauma
among	IN	among
the	DT	the
people	NNS	people
and	CC	and
basically	RB	basically
they	PP	they
came	VVD	come
with	IN	with
a	DT	a
new	JJ	new
acronym	NN	acronym
we	PP	we
are	VBP	be
not	RB	not
talking	VVG	talk
anymore	RB	anymore
about	IN	about
uh	UH	uh
PTSD	NN	PTSD
but	CC	but
we	PP	we
are	VBP	be
more	RBR	more
talking	VVG	talk
about	IN	about
the	DT	the
ctsd	NN	ctsd
which	WDT	which
would	MD	would
mean	VV	mean
constant	JJ	constant
traumatic	JJ	traumatic
stress	NN	stress
disorder	NN	disorder
prevailing	VVG	prevail
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
obviously	RB	obviously
this	DT	this
is	VBZ	be
not	RB	not
uh	UH	uh
too	RB	too
surprising	VVG	surprise
uh	UH	uh
this	DT	this
morning	NN	morning
I	PP	I
commented	VVD	comment
also	RB	also
on	IN	on
the	DT	the
latest	JJS	late
development	NN	development
in	IN	in
the	DT	the
north	NN	north
where	WRB	where
we	PP	we
are	VBP	be
engage	VV	engage
in	IN	in
race	NN	race
against	IN	against
the	DT	the
clock	NN	clock
to	TO	to
reverse	VV	reverse
in	IN	in
