<video_id>bgrHYzPCYKQ</video_id>	JJ	<video_id>bgrHYzPCYKQ</video_id>
<video_title>US	NN	<video_title>US
administration’s	NNS	administration’s
Gaza	NP	Gaza
mediation	NN	mediation
is	VBZ	be
a	DT	a
facade</video_title>	JJ	facade</video_title>
<thumbnail_path>data/en_AJ\US	NN	<thumbnail_path>data/en_AJ\US
administration’s	NNS	administration’s
Gaza	NP	Gaza
mediation	NN	mediation
is	VBZ	be
a	DT	a
facade.jpg</thumbnail_path>	JJ	facade.jpg</thumbnail_path>
<publish_date>20240823</publish_date>	NN	<publish_date>20240823</publish_date>
<doc>	NN	<doc>
this	DT	this
we	PP	we
are	VBP	be
joined	VVN	join
by	IN	by
Thad	NP	Thad
kou	NP	Kou
associate	NN	associate
professor	NN	professor
of	IN	of
public	JJ	public
policy	NN	policy
at	IN	at
Doha	NP	Doha
Institute	NP	Institute
for	IN	for
Graduate	NP	Graduate
Studies	NPS	Studies
always	RB	always
good	JJ	good
to	TO	to
speak	VV	speak
with	IN	with
you	PP	you
thed	JJ	thed
so	RB	so
does	VVZ	do
the	DT	the
issue	NN	issue
of	IN	of
a	DT	a
resolution	NN	resolution
for	IN	for
Gaza	NP	Gaza
whether	IN	whether
it's	NNS	it's
a	DT	a
ceasefire	NN	ceasefire
need	VVP	need
to	TO	to
come	VV	come
back	RB	back
to	TO	to
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
or	CC	or
do	VV	do
the	DT	the
US	NP	US
representatives	NNS	representative
comments	VVZ	comment
that	IN/that	that
we	PP	we
just	RB	just
heard	VVD	hear
in	IN	in
that	DT	that
report	NN	report
give	VV	give
us	PP	us
an	DT	an
idea	NN	idea
of	IN	of
any	DT	any
prospects	NNS	prospect
for	IN	for
Progress	NN	progress
even	RB	even
if	IN	if
this	DT	this
comes	VVZ	come
back	RB	back
to	TO	to
the	DT	the
security	NN	security
Council	NN	council
so	IN	so
Elizabeth	NP	Elizabeth
if	IN	if
it	PP	it
comes	VVZ	come
back	RB	back
to	TO	to
the	DT	the
security	NN	security
Council	NN	council
and	CC	and
there	EX	there
is	VBZ	be
an	DT	an
overwhelming	JJ	overwhelming
majority	NN	majority
vote	NN	vote
that	WDT	that
calls	VVZ	call
for	IN	for
ceasefire	NN	ceasefire
saw	VVD	see
exactly	RB	exactly
earlier	RBR	earlier
in	IN	in
previous	JJ	previous
attempts	NNS	attempt
just	RB	just
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
ago	RB	ago
and	CC	and
then	RB	then
the	DT	the
US	NP	US
again	RB	again
V	CD	@card@
it	PP	it
I	PP	I
mean	VVP	mean
it's	NNS	it's
a	DT	a
symbolic	JJ	symbolic
victory	NN	victory
for	IN	for
the	DT	the
Palestinians	NNS	Palestinian
more	RBR	more
or	CC	or
less	RBR	less
I	PP	I
mean	VVP	mean
that	IN/that	that
yes	RB	yes
there	EX	there
is	VBZ	be
an	DT	an
overwhelming	JJ	overwhelming
majority	NN	majority
International	NP	International
majority	NN	majority
that	WDT	that
is	VBZ	be
behind	RB	behind
ending	VVG	end
this	DT	this
war	NN	war
and	CC	and
it	PP	it
will	MD	will
make	VV	make
the	DT	the
US	NP	US
look	NN	look
isolated	VVD	isolate
but	CC	but
the	DT	the
question	NN	question
is	VBZ	be
does	VVZ	do
the	DT	the
US	NP	US
Administration	NP	Administration
really	RB	really
cares	VVZ	care
at	IN	at
this	DT	this
stage	NN	stage
I	PP	I
mean	VVP	mean
to	TO	to
be	VB	be
embarrassed	VVN	embarrass
or	CC	or
not	RB	not
embarrassed	VVN	embarrass
obviously	RB	obviously
not	RB	not
I	PP	I
mean	VV	mean
uh	UH	uh
sadly	RB	sadly
I	PP	I
mean	VVP	mean
from	IN	from
the	DT	the
onset	NN	onset
of	IN	of
this	DT	this
war	NN	war
till	IN	till
now	RB	now
The	DT	the
Diplomatic	JJ	diplomatic
behavior	NN	behavior
of	IN	of
the	DT	the
Americans	NPS	Americans
uh	UH	uh
was	VBD	be
not	RB	not
uh	UH	uh
what	WP	what
would	MD	would
you	PP	you
expect	VV	expect
from	IN	from
a	DT	a
mediator	NN	mediator
or	CC	or
a	DT	a
broker	NN	broker
of	IN	of
peace	NN	peace
I	PP	I
mean	VVP	mean
