<video_id>A0Ej_49hLos</video_id>	JJ	<video_id>A0Ej_49hLos</video_id>
<video_title>US	NN	<video_title>US
deputy	JJ	deputy
ambassador	NN	ambassador
to	TO	to
UN	NP	UN
insists	VVZ	insist
Israel	NP	Israel
accepted	VVD	accept
US	PP	us
ceasefire	NN	ceasefire
proposal</video_title>	NN	proposal</video_title>
<thumbnail_path>data/en_AJ\US	NN	<thumbnail_path>data/en_AJ\US
deputy	JJ	deputy
ambassador	NN	ambassador
to	TO	to
UN	NP	UN
insists	VVZ	insist
Israel	NP	Israel
accepted	VVD	accept
US	PP	us
ceasefire	NN	ceasefire
proposal.jpg</thumbnail_path>	NN	proposal.jpg</thumbnail_path>
<publish_date>20240610</publish_date>	NN	<publish_date>20240610</publish_date>
<doc>	NN	<doc>
well	RB	well
the	DT	the
US	NP	US
is	VBZ	be
trying	VVG	try
to	TO	to
shore	VV	shore
up	RP	up
support	NN	support
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
proposed	VVD	propose
by	IN	by
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
last	JJ	last
month	NN	month
it	PP	it
is	VBZ	be
putting	VVG	put
this	DT	this
latest	JJS	late
draft	NN	draft
to	TO	to
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
let	NN	let
go	VV	go
now	RB	now
to	TO	to
Gabrielle	NP	Gabrielle
alzando	NN	alzando
who	WP	who
is	VBZ	be
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
Headquarters	NN	headquarters
in	IN	in
New	NP	New
York	NP	York
and	CC	and
Gabe	NP	Gabe
do	VVP	do
we	PP	we
have	VHP	have
any	DT	any
idea	NN	idea
of	IN	of
what	WP	what
is	VBZ	be
actually	RB	actually
in	IN	in
this	DT	this
draft	NN	draft
resolution	NN	resolution
yeah	RB	yeah
we've	NN	we've
seen	VVN	see
the	DT	the
draft	NN	draft
and	CC	and
uh	UH	uh
we	PP	we
know	VVP	know
exactly	RB	exactly
what's	JJ	what's
in	IN	in
it	PP	it
this	DT	this
draft	NN	draft
resolution	NN	resolution
we	PP	we
are	VBP	be
being	VBG	be
told	VVN	tell
now	RB	now
uh	UH	uh
is	VBZ	be
going	VVG	go
to	TO	to
go	VV	go
up	RP	up
for	IN	for
a	DT	a
vote	NN	vote
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
around	IN	around
19	CD	@card@
or	CC	or
20	CD	@card@
GMT	NP	GMT
that's	NNS	that's
3	CD	@card@
or	CC	or
4:00	CD	@card@
New	NP	New
York	NP	York
time	NN	time
around	IN	around
that	DT	that
time	NN	time
for	IN	for
him	PP	him
when	WRB	when
the	DT	the
security	NN	security
Council	NN	council
convenes	VVZ	convene
in	IN	in
the	DT	the
afternoon	NN	afternoon
now	RB	now
this	DT	this
us	PP	us
draft	VVP	draft
resolution	NN	resolution
is	VBZ	be
just	RB	just
a	DT	a
little	RB	little
longer	RBR	longer
than	IN	than
a	DT	a
page	NN	page
long	RB	long
and	CC	and
it	PP	it
really	RB	really
is	VBZ	be
comes	VVZ	come
in	IN	in
three	CD	three
parts	NNS	part
if	IN	if
you	PP	you
will	MD	will
part	VV	part
one	CD	one
of	IN	of
this	DT	this
uh	UH	uh
resolution	NN	resolution
calls	NNS	call
for	IN	for
a	DT	a
