okay	VV	okay
we	PP	we
'	POS	'
ve	NN	ve
got	VVD	get
some	DT	some
breaking	VVG	break
news	NN	news
to	TO	to
bring	VV	bring
you	PP	you
and	CC	and
masub	NN	masub
zy	NN	zy
has	VHZ	have
joined	VVN	join
me	PP	me
for	IN	for
that	IN/that	that
the	DT	the
director	NN	director
of	IN	of
the	DT	the
gulf	NN	gulf
studies	VVZ	study
Center	NP	Center
here	RB	here
at	IN	at
Qatar	NP	Qatar
University	NP	University
Maru	NP	Maru
here	RB	here
is	VBZ	be
what	WP	what
we	PP	we
'	POS	'
re	NN	re
learning	VVG	learn
at	IN	at
the	DT	the
moment	NN	moment
there	IN	here
uh	UH	uh
according	VVG	accord
to	TO	to
us	PP	us
officials	NNS	official
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
essentially	RB	essentially
agreed	VVN	agree
to	TO	to
a	DT	a
six	CD	six
-	NN	-
week	NN	week
ceasefire	NN	ceasefire
all	RB	all
of	IN	of
this	DT	this
of	IN	of
course	NN	course
in	IN	in
the	DT	the
context	NN	context
of	IN	of
the	DT	the
last	JJ	last
few	JJ	few
weeks	NNS	week
where	WRB	where
there	EX	there
have	VHP	have
been	VBN	be
talks	NNS	talk
active	JJ	active
talks	NNS	talk
between	IN	between
indirect	JJ	indirect
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
mediated	VVD	mediate
by	IN	by
the	DT	the
US	NP	US
Qatar	NP	Qatar
and	CC	and
Egypt	NP	Egypt
talks	NNS	talk
about	IN	about
getting	VVG	get
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
we	PP	we
know	VVP	know
the	DT	the
positions	NNS	position
were	VBD	be
very	RB	very
far	RB	far
apart	RB	apart
in	IN	in
the	DT	the
beginning	NN	beginning
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
'	''	'
s	RB	s
been	VBN	be
well	RB	well
we	PP	we
figured	VVD	figure
that	IN/that	that
there	EX	there
was	VBD	be
some	DT	some
kind	NN	kind
of	IN	of
improvement	NN	improvement
but	CC	but
we	PP	we
didn	NP	didn
'	POS	'
t	NN	t
exactly	RB	exactly
know	VV	know
where	WRB	where
we	PP	we
were	VBD	be
the	DT	the
latest	JJS	late
is	VBZ	be
this	DT	this
the	DT	the
US	NP	US
officials	NNS	official
saying	VVG	say
Israel	NP	Israel
has	VHZ	have
essentially	RB	essentially
signed	VVN	sign
on	IN	on
to	TO	to
a	DT	a
deal	NN	deal
that	WDT	that
would	MD	would
have	VH	have
provide	VV	provide
for	IN	for
a	DT	a
six	CD	six
we	PP	we
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
what	WP	what
do	VVP	do
you	PP	you
know	VVP	know
what	WP	what
I	PP	I
know	VVP	know
is	VBZ	be
that	IN/that	that
until	IN	until
this	DT	this
afternoon	NN	afternoon
there	EX	there
was	VBD	be
a	DT	a
serious	JJ	serious
um	JJ	um
discussion	NN	discussion
about	IN	about
this	DT	this
but	CC	but
there	EX	there
was	VBD	be
a	DT	a
a	DT	a
um	JJ	um
two	CD	two
main	JJ	main
issue	NN	issue
which	WDT	which
is	VBZ	be
Hamas	NP	Hamas
wanted	VVD	want
to	TO	to
be	VB	be
accepted	VVN	accept
one	PP	one
is	VBZ	be
the	DT	the
withdraw	VV	withdraw
from	IN	from
northern	JJ	northern
Gaza	NP	Gaza
Israeli	NP	Israeli
withdraw	VV	withdraw
the	DT	the
Trove	NN	trove
from	IN	from
Gaza	NP	Gaza
and	CC	and
secondly	RB	secondly
allowing	VVG	allow
the	DT	the
gazan	JJ	gazan
people	NNS	people
to	TO	to
go	VV	go
back	RB	back
to	TO	to
the	DT	the
north	NN	north
which	WDT	which
basically	RB	basically
around	IN	around
you	PP	you
talk	VVP	talk
about	IN	about
700	CD	@card@
,	,	,
000	CD	@card@
plus	IN	plus
something	NN	something
to	TO	to
go	VV	go
back	RB	back
so	IN	so
those	DT	those
two	CD	two
points	VVZ	point
uh	UH	uh
they	PP	they
were	VBD	be
the	DT	the
major	JJ	major
issue	NN	issue
in	IN	in
addition	NN	addition
to	TO	to
that	WDT	that
the	DT	the
equivalency	NN	equivalency
stop	NN	stop
stop	VV	stop
there	RB	there
for	IN	for
a	DT	a
second	NN	second
I	PP	I
want	VVP	want
to	TO	to
make	VV	make
sure	JJ	sure
because	IN	because
this	DT	this
is	VBZ	be
all	RB	all
developing	VVG	develop
and	CC	and
this	DT	this
is	VBZ	be
all	RB	all
new	JJ	new
I	PP	I
want	VVP	want
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
that	WDT	that
we	PP	we
we	PP	we
'	''	'
re	IN	re
all	DT	all
um	NN	um
in	IN	in
agreement	NN	agreement
with	IN	with
this	DT	this
Hamas	NP	Hamas
Hamas	NP	Hamas
wants	VVZ	want
