<video_id>1jeNCFH1JxI</video_id>	JJ	<video_id>1jeNCFH1JxI</video_id>
<video_title>US	NN	<video_title>US
policy	NN	policy
in	IN	in
Gaza	NP	Gaza
war	NN	war
‘totally	RB	‘totally
contradicting’</video_title>	JJ	contradicting’</video_title>
<thumbnail_path>data/en_AJ\US	NN	<thumbnail_path>data/en_AJ\US
policy	NN	policy
in	IN	in
Gaza	NP	Gaza
war	NN	war
‘totally	RB	‘totally
contradicting’.jpg</thumbnail_path>	JJ	contradicting’.jpg</thumbnail_path>
<publish_date>20231230</publish_date>	NN	<publish_date>20231230</publish_date>
<doc>	NN	<doc>
okay	JJ	okay
well	NN	well
let's	NNS	let's
bring	VVP	bring
in	IN	in
Luciano	NP	Luciano
zakara	NP	zakara
he's	NNS	he's
an	DT	an
associate	NN	associate
professor	NN	professor
of	IN	of
golf	NN	golf
politics	NNS	politics
at	IN	at
katar	NP	katar
University	NP	University
thanks	NNS	thanks
again	RB	again
for	IN	for
joining	VVG	join
us	PP	us
here	RB	here
in	IN	in
the	DT	the
studio	NN	studio
first	JJ	first
of	IN	of
all	DT	all
if	IN	if
we	PP	we
can	MD	can
start	VV	start
with	IN	with
uh	UH	uh
what	WP	what
Patty	NP	Patty
was	VBD	be
talking	VVG	talk
about	RB	about
that	IN/that	that
there	RB	there
despite	IN	despite
what	WP	what
the	DT	the
US	NP	US
says	VVZ	say
I	PP	I
mean	VV	mean
they've	NN	they've
really	RB	really
given	VVN	give
a	DT	a
strong	JJ	strong
indication	NN	indication
that	IN/that	that
they	PP	they
actually	RB	actually
invested	VVD	invest
in	IN	in
this	DT	this
war	NN	war
continuing	VVG	continue
uh	UH	uh
rather	RB	rather
than	IN	than
trying	VVG	try
to	TO	to
bring	VV	bring
it	PP	it
to	TO	to
a	DT	a
close	NN	close
well	RB	well
actually	RB	actually
what	WP	what
is	VBZ	be
showing	VVG	show
is	VBZ	be
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
facing	VVG	face
a	DT	a
lot	NN	lot
of	IN	of
uh	UH	uh
um	NN	um
contradictions	NNS	contradiction
on	IN	on
one	CD	one
hand	NN	hand
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
there	RB	there
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
that	WDT	that
is	VBZ	be
not	RB	not
happy	JJ	happy
with	IN	with
how	WRB	how
us	PP	us
is	VBZ	be
behaving	VVG	behave
in	IN	in
this	DT	this
in	IN	in
this	DT	this
particular	JJ	particular
context	NN	context
it's	NNS	it's
the	DT	the
second	JJ	second
time	NN	time
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
approve	VVP	approve
emergency	NN	emergency
aid	NN	aid
military	JJ	military
aid	NN	aid
to	TO	to
