let	NN	let
'	POS	'
s	NNS	s
take	VVP	take
this	DT	this
on	IN	on
Jord	NP	Jord
Sonet	NP	Sonet
is	VBZ	be
Muhammad	NP	Muhammad
elmy	NN	elmy
a	DT	a
political	JJ	political
analyst	NN	analyst
and	CC	and
professor	NN	professor
of	IN	of
media	NNS	medium
studies	NNS	study
at	IN	at
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
for	IN	for
Graduate	NP	Graduate
Studies	NPS	Studies
welcome	VVP	welcome
Muhammad	NP	Muhammad
uh	UH	uh
no	DT	no
detail	NN	detail
yet	RB	yet
of	IN	of
what	WP	what
went	VVD	go
on	IN	on
between	IN	between
David	NP	David
Cameron	NP	Cameron
uh	UH	uh
and	CC	and
Benny	NP	Benny
Gans	NP	Gans
but	CC	but
along	IN	along
the	DT	the
lines	NNS	line
presumably	RB	presumably
what	WP	what
Cameron	NP	Cameron
was	VBD	be
saying	VVG	say
on	IN	on
Tuesday	NP	Tuesday
that	IN/that	that
patients	NNS	patient
needs	VVZ	need
to	TO	to
run	VV	run
very	RB	very
thin	JJ	thin
but	CC	but
what	WP	what
does	VVZ	do
that	IN/that	that
even	RB	even
mean	JJ	mean
because	IN	because
Israel	NP	Israel
has	VHZ	have
proven	VVN	prove
Adept	JJ	adept
to	TO	to
ignoring	VVG	ignore
World	NP	World
opinion	NN	opinion
right	NN	right
I	PP	I
mean	VVP	mean
in	IN	in
many	JJ	many
ways	NNS	way
patience	NN	patience
has	VHZ	have
has	VHZ	have
been	VBN	be
running	VVG	run
thin	JJ	thin
or	CC	or
or	CC	or
should	MD	should
have	VH	have
R	NN	R
thin	JJ	thin
um	NN	um
a	DT	a
long	JJ	long
time	NN	time
ago	IN	ago
uh	UH	uh
more	JJR	more
than	IN	than
30	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NPS	Palestinians
uh	UH	uh
have	VHP	have
been	VBN	be
killed	VVN	kill
many	JJ	many
thousands	NNS	thousand
other	JJ	other
uh	UH	uh
thousands	NNS	thousand
of	IN	of
others	NNS	other
missing	VVG	miss
and	CC	and
under	IN	under
the	DT	the
rubble	NN	rubble
uh	UH	uh
Aid	NN	aid
is	VBZ	be
not	RB	not
getting	VVG	get
in	IN	in
in	IN	in
sufficient	JJ	sufficient
quantity	NN	quantity
and	CC	and
and	CC	and
uh	UH	uh
Aid	NN	aid
organizations	NNS	organization
are	VBP	be
warning	VVG	warn
of	IN	of
imminent	JJ	imminent
uh	UH	uh
famine	NN	famine
so	RB	so
in	IN	in
if	IN	if
anything	NN	anything
David	NP	David
Cameron	NP	Cameron
'	POS	'
s	NN	S
remarks	NNS	remark
are	VBP	be
are	VBP	be
sort	NN	sort
of	IN	of
an	DT	an
understatement	NN	understatement
um	NNS	um
but	CC	but
uh	UH	uh
as	IN	as
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
uh	UH	uh
Israel	NP	Israel
is	VBZ	be
adamant	JJ	adamant
about	IN	about
um	NNS	um
continuing	VVG	continue
the	DT	the
War	NP	War
uh	UH	uh
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN/that	that
its	PP$	its
closest	JJS	close
allies	NNS	ally
like	IN	like
the	DT	the
United	NP	United
States	NPS	States
have	VHP	have
said	VVN	say
that	IN/that	that
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
unwinable	NN	unwinable
given	VVN	give
Israel	NP	Israel
'	POS	'
s	VVZ	s
uh	UH	uh
endgame	NN	endgame
given	VVN	give
their	PP$	their
their	PP$	their
primary	JJ	primary
objective	NN	objective
as	RB	as
stated	VVD	state
uh	UH	uh
nonetheless	RB	nonetheless
they	PP	they
want	VVP	want
to	TO	to
continue	VV	continue
uh	UH	uh
they	PP	they
want	VVP	want
to	TO	to
continue	VV	continue
to	TO	to
fight	VV	fight
on	RP	on
and	CC	and
they	PP	they
seem	VV	seem
uh	UH	uh
adamant	JJ	adamant
about	RB	about
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
certainly	RB	certainly
been	VBN	be
a	DT	a
big	JJ	big
change	NN	change
in	IN	in
tune	NN	tune
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
UK	NP	UK
there	RB	there
has	VHZ	have
been	VBN	be
um	JJ	um
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	RB	s
been	VBN	be
interesting	JJ	interesting
to	TO	to
follow	VV	follow
um	NNS	um
you	PP	you
know	VVP	know
us	PP	us
uh	UH	uh
discourse	VV	discourse
uh	UH	uh
I	PP	I
think	VVP	think
this	DT	this
week	NN	week
we	PP	we
saw	VVD	see
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
um	JJ	um
critical	JJ	critical
discourse	NN	discourse
coming	VVG	come
out	RP	out
of	IN	of
the	DT	the
US	NP	US
Administration	NP	Administration
that	IN/that	that
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
about	IN	about
Israel	NP	Israel
I	NP	I
'	POS	'
m	NN	m
hesitant	JJ	hesitant
to	TO	to
say	VV	say
that	IN/that	that
things	NNS	thing
have	VHP	have
changed	VVN	change
uh	UH	uh
meaningfully	RB	meaningfully
I	NP	I
'	POS	'
m	NN	m
always	RB	always
more	RBR	more
interested	JJ	interested
in	IN	in
what	WP	what
the	DT	the
US	NP	US
is	VBZ	be
doing	VVG	do
than	IN	than
what	WP	what
the	DT	the
the	DT	the
US	NP	US
is	VBZ	be
saying	VVG	say
because	IN	because
often	RB	often
times	NNS	time
there	RB	there
'	''	'
s	NN	S
you	PP	you
know	VVP	know
there	EX	there
can	MD	can
be	VB	be
this	DT	this
kind	NN	kind
of	IN	of
empty	JJ	empty
empty	JJ	empty
rhetoric	NN	rhetoric
but	CC	but
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
there	EX	there
'	''	'
s	VVG	s
any	DT	any
question	NN	question
that	IN/that	that
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
is	VBZ	be
very	RB	very
concerned	VVN	concern
uh	UH	uh
they	PP	they
'	POS	'
re	NN	re
dragged	VVD	drag
into	IN	into
this	DT	this
now	RB	now
uh	UH	uh
for	IN	for
five	CD	five
months	NNS	month
um	VVG	um
they	PP	they
'	POS	'
re	NN	re
seen	VVN	see
as	IN	as
complicit	JJ	complicit
in	IN	in
genocide	NN	genocide
some	DT	some
of	IN	of
the	DT	the
recent	JJ	recent
polling	NN	polling
data	NNS	datum
out	RP	out
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
to	TO	to
be	VB	be
of	IN	of
concern	VV	concern
uh	UH	uh
to	TO	to
Joe	NP	Joe
Biden	NP	Biden
right	RB	right
the	DT	the
court	NN	court
of	IN	of
public	JJ	public
opinion	NN	opinion
is	VBZ	be
what	WP	what
you	PP	you
'	POS	'
re	NN	re
referring	VVG	refer
to	TO	to
an	DT	an
election	NN	election
year	NN	year
absolutely	RB	absolutely
and	CC	and
you	PP	you
know	VVP	know
half	NN	half
of	IN	of
Democrats	NNS	democrat
now	RB	now
believe	VVP	believe
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
carrying	VVG	carry
out	RP	out
genocide	NN	genocide
so	IN	so
it	PP	it
depends	VVZ	depend
on	IN	on
how	WRB	how
you	PP	you
want	VVP	want
to	TO	to
read	VV	read
the	DT	the
data	NNS	datum
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
Biden	NP	Biden
can	MD	can
point	VV	point
to	TO	to
the	DT	the
fact	NN	fact
that	IN/that	that
his	PP$	his
approval	NN	approval
rating	NN	rating
has	VHZ	have
not	RB	not
actually	RB	actually
gone	VVN	go
down	RP	down
since	IN	since
October	NP	October
since	IN	since
this	DT	this
all	RB	all
started	VVN	start
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
if	IN	if
half	NN	half
of	IN	of
his	PP$	his
party	JJ	party
uh	UH	uh
believes	VVZ	believe
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
genocide	NN	genocide
and	CC	and
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
supporting	VVG	support
the	DT	the
the	DT	the
genocide	NN	genocide
um	NN	um
and	CC	and
if	IN	if
young	JJ	young
people	NNS	people
increasingly	RB	increasingly
are	VBP	be
moving	VVG	move
away	RB	away
from	IN	from
Israel	NP	Israel
and	CC	and
closer	JJR	close
to	TO	to
the	DT	the
the	DT	the
the	DT	the
Palestinian	JJ	Palestinian
position	NN	position
which	WDT	which
the	DT	the
public	JJ	public
opinion	NN	opinion
data	NNS	datum
uh	UH	uh
suggests	VVZ	suggest
then	RB	then
um	JJ	um
then	RB	then
that	IN/that	that
those	DT	those
could	MD	could
be	VB	be
troubling	VVG	trouble
signs	NNS	sign
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
to	TO	to
that	WDT	that
'	POS	'
s	NN	S
to	TO	to
say	VV	say
nothing	NN	nothing
of	IN	of
the	DT	the
Arab	JJ	Arab
and	CC	and
and	CC	and
Muslim	JJ	Muslim
votes	NNS	vote
which	WDT	which
will	MD	will
will	MD	will
figure	VV	figure
prominently	RB	prominently
into	IN	into
certain	JJ	certain
States	NPS	States
like	IN	like
Michigan	NP	Michigan
and	CC	and
New	NP	New
Jersey	NP	Jersey
and	CC	and
in	IN	in
the	DT	the
background	NN	background
of	IN	of
cause	NN	cause
these	DT	these
negotiations	NNS	negotiation
for	IN	for
a	DT	a
potential	JJ	potential
ceasefire	NN	ceasefire
uh	UH	uh
bubbling	VVG	bubble
away	RP	away
taking	VVG	take
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
get	VV	get
anywhere	RB	anywhere
what	WP	what
what	WP	what
are	VBP	be
the	DT	the
obstacles	NNS	obstacle
why	WRB	why
is	VBZ	be
it	PP	it
so	RB	so
difficult	JJ	difficult
to	TO	to
get	VV	get
anywhere	RB	anywhere
with	IN	with
this	DT	this
I	PP	I
thought	VVD	think
it	PP	it
was	VBD	be
interesting	JJ	interesting
what	WP	what
Daniel	NP	Daniel
Levy	NP	Levy
said	VVD	say
he	PP	he
'	POS	'
s	JJ	s
somebody	NN	somebody
that	IN/that	that
you	PP	you
you	PP	you
all	RB	all
have	VHP	have
had	VHN	have
on	IN	on
an	DT	an
El	NP	El
jazer	NN	jazer
former	JJ	former
Israeli	JJ	Israeli
negotiator	NN	negotiator
and	CC	and
yesterday	NN	yesterday
he	PP	he
said	VVD	say
that	IN/that	that
hamas	NNS	hamas
'	POS	'
s	NN	S
position	NN	position
is	VBZ	be
quote	NN	quote
reasonable	JJ	reasonable
the	DT	the
offer	NN	offer
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
bringing	VVG	bring
to	TO	to
the	DT	the
table	NN	table
they	PP	they
basically	RB	basically
want	VVP	want
a	DT	a
complete	JJ	complete
end	NN	end
to	TO	to
to	TO	to
all	PDT	all
the	DT	the
cessation	NN	cessation
of	IN	of
violence	NN	violence
and	CC	and
they	PP	they
'	POS	'
re	NN	re
willing	JJ	willing
to	TO	to
give	VV	give
up	RP	up
all	DT	all
of	IN	of
the	DT	the
uh	UH	uh
the	DT	the
captives	NNS	captive
that	IN/that	that
they	PP	they
have	VHP	have
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
that	IN/that	that
they	PP	they
have	VHP	have
um	NNS	um
that	WDT	that
'	POS	'
s	JJ	s
kind	NN	kind
of	IN	of
what	WP	what
the	DT	the
the	DT	the
broader	JJR	broad
World	NP	World
Community	NP	Community
has	VHZ	have
been	VBN	be
asking	VVG	ask
for	IN	for
now	RB	now
for	IN	for
for	IN	for
months	NNS	month
give	VVP	give
up	RP	up
the	DT	the
hostages	NNS	hostage
let	VVD	let
'	''	'
s	NNS	s
stop	VVP	stop
the	DT	the
fighting	VVG	fight
Israel	NP	Israel
however	RB	however
as	IN	as
I	PP	I
mentioned	VVD	mention
at	IN	at
the	DT	the
beginning	NN	beginning
they	PP	they
remain	VVP	remain
adamant	JJ	adamant
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
temporary	JJ	temporary
pause	NN	pause
only	RB	only
to	TO	to
resume	VV	resume
the	DT	the
bombing	VVG	bomb
uh	UH	uh
and	CC	and
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
at	IN	at
the	DT	the
conclusion	NN	conclusion
of	IN	of
that	DT	that
truce	NN	truce
and	CC	and
From	IN	from
hamas	NNS	hamas
'	POS	'
s	NN	S
perspective	NN	perspective
there	RB	there
just	RB	just
doesn	NP	doesn
'	POS	'
t	NN	t
seem	VVP	seem
to	TO	to
be	VB	be
a	DT	a
lot	NN	lot
of	IN	of
incentive	NN	incentive
to	TO	to
give	VV	give
up	RP	up
their	PP$	their
bargaining	NN	bargaining
ships	NNS	ship
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
and	CC	and
then	RB	then
uh	UH	uh
have	VH	have
Israel	NP	Israel
resume	VV	resume
the	DT	the
bombing	VVG	bomb
uh	UH	uh
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
Muhammad	NP	Muhammad
we	PP	we
'	POS	'
ll	NNS	ll
leave	VVP	leave
it	PP	it
there	RB	there
thanks	VVZ	thank
for	IN	for
that	DT	that
Muhammad	NP	Muhammad
Elm	NP	Elm
professor	NN	professor
of	IN	of
media	NNS	medium
studies	NNS	study
at	IN	at
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
of	IN	of
Graduate	NP	Graduate
Studies	NPS	Studies
thank	VVP	thank
you	PP	you
thanks	NNS	thanks
