<video_id>ecOOx5EX38Q</video_id>	NP	<video_id>ecOOx5EX38Q</video_id>
<video_title>US	NP	<video_title>US
Senate	NP	Senate
leader	NN	leader
Chuck	NP	Chuck
Schumer	NP	Schumer
calls	VVZ	call
for	IN	for
new	JJ	new
Israel	NP	Israel
elections	NNS	election
amid	IN	amid
Gaza	NP	Gaza
war</video_title>	NP	war</video_title>
<thumbnail_path>data/en_AJ\US	NP	<thumbnail_path>data/en_AJ\US
Senate	NP	Senate
leader	NN	leader
Chuck	NP	Chuck
Schumer	NP	Schumer
calls	VVZ	call
for	IN	for
new	JJ	new
Israel	NP	Israel
elections	NNS	election
amid	IN	amid
Gaza	NP	Gaza
war.jpg</thumbnail_path>	JJ	war.jpg</thumbnail_path>
<publish_date>20240315</publish_date>	NN	<publish_date>20240315</publish_date>
<doc>	NN	<doc>
and	CC	and
we're	NN	we're
joined	VVD	join
Now	RB	now
by	IN	by
Maron	NP	Maron
Jones	NP	Jones
associate	NN	associate
professor	NN	professor
of	IN	of
Middle	NP	Middle
East	NP	East
studies	NNS	study
at	IN	at
hammad	NN	hammad
bin	NN	bin
Khalifa	NP	Khalifa
University	NP	University
very	RB	very
good	JJ	good
to	TO	to
see	VV	see
you	PP	you
firstly	RB	firstly
how	WRB	how
significant	JJ	significant
would	MD	would
you	PP	you
say	VV	say
these	DT	these
comments	NNS	comment
by	IN	by
Chuck	NP	Chuck
Schumer	NP	Schumer
are	VBP	be
I've	NP	I've
heard	VVD	hear
one	CD	one
former	JJ	former
Middle	NP	Middle
East	NP	East
peace	NN	peace
Envoy	NP	Envoy
us	PP	us
Middle	NP	Middle
East	NP	East
peace	NN	peace
Envoy	NP	Envoy
call	VVP	call
them	PP	them
a	DT	a
political	JJ	political
earthquake	NN	earthquake
they	PP	they
are	VBP	be
and	CC	and
I	PP	I
think	VVP	think
we	PP	we
need	VVP	need
to	TO	to
look	VV	look
in	IN	in
the	DT	the
context	NN	context
of	IN	of
American	JJ	American
politics	NNS	politics
some	DT	some
people	NNS	people
might	MD	might
say	VV	say
it's	NNS	it's
soft	JJ	soft
but	CC	but
