we	PP	we
'	POS	'
ll	NNS	ll
bring	VVP	bring
in	IN	in
our	PP$	our
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
mwan	NP	mwan
Bashar	NP	Bashar
joining	VVG	join
us	PP	us
here	RB	here
in	IN	in
the	DT	the
studio	NN	studio
so	RB	so
obviously	RB	obviously
I	PP	I
mean	VVP	mean
Algeria	NP	Algeria
will	MD	will
be	VB	be
hugely	RB	hugely
disappointed	VVN	disappoint
being	VBG	be
the	DT	the
ones	NNS	one
that	WDT	that
put	VVP	put
forward	RB	forward
this	DT	this
draft	NN	draft
resolution	NN	resolution
mwan	NN	mwan
but	CC	but
on	IN	on
the	DT	the
point	NN	point
um	NN	um
about	IN	about
the	DT	the
US	NP	US
this	DT	this
resolution	NN	resolution
was	VBD	be
really	RB	really
widely	RB	widely
supported	VVN	support
by	IN	by
all	DT	all
UN	NP	UN
members	NNS	member
so	RB	so
does	VVZ	do
this	DT	this
move	NN	move
the	DT	the
US	NP	US
vetoing	VVG	veto
the	DT	the
resolution	NN	resolution
isolated	VVD	isolate
even	RB	even
more	JJR	more
at	IN	at
the	DT	the
UN	NP	UN
oh	UH	oh
yes	UH	yes
absolutely	RB	absolutely
I	PP	I
think	VVP	think
generally	RB	generally
speaking	VVG	speak
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
grown	VVN	grow
more	RBR	more
isolated	JJ	isolated
around	IN	around
the	DT	the
world	NN	world
including	VVG	include
after	IN	after
Ukraine	NP	Ukraine
but	CC	but
nowhere	RB	nowhere
is	VBZ	be
it	PP	it
as	RB	as
isolated	VVD	isolate
as	IN	as
it	PP	it
is	VBZ	be
on	IN	on
the	DT	the
question	NN	question
of	IN	of
Palestine	NP	Palestine
because	IN	because
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
still	RB	still
a	DT	a
prosperous	JJ	prosperous
leader	NN	leader
in	IN	in
the	DT	the
world	NN	world
it	PP	it
'	POS	'
s	NN	S
a	DT	a
mighty	JJ	mighty
country	NN	country
it	PP	it
'	POS	'
s	NN	S
a	DT	a
rich	JJ	rich
country	NN	country
and	CC	and
uh	UH	uh
you	PP	you
know	VVP	know
with	IN	with
with	IN	with
tens	NNS	ten
of	IN	of
bases	NNS	base
all	RB	all
over	IN	over
the	DT	the
world	NN	world
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
just	RB	just
it	PP	it
'	POS	'
s	NN	S
present	NN	present
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
popular	JJ	popular
in	IN	in
many	JJ	many
countries	NNS	country
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
Palestine	NP	Palestine
it	PP	it
has	VHZ	have
brought	VVN	bring
on	IN	on
itself	PP	itself
isolation	NN	isolation
in	IN	in
order	NN	order
to	TO	to
be	VB	be
at	IN	at
the	DT	the
service	NN	service
of	IN	of
Israel	NP	Israel
and	CC	and
in	IN	in
this	DT	this
case	NN	case
at	IN	at
the	DT	the
service	NN	service
of	IN	of
an	DT	an
Israeli	JJ	Israeli
government	NN	government
that	WDT	that
is	VBZ	be
basically	RB	basically
genocidal	JJ	genocidal
that	IN/that	that
'	POS	'
s	NN	S
fanatic	NN	fanatic
that	RB	that
'	POS	'
s	JJ	s
Neo	NP	Neo
fascist	NN	fascist
that	IN/that	that
Biden	NP	Biden
himself	PP	himself
is	VBZ	be
demanding	VVG	demand
that	IN/that	that
this	DT	this
government	NN	government
changes	NNS	change
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
he	PP	he
goes	VVZ	go
on	IN	on
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
defends	VVZ	defend
this	DT	this
government	NN	government
and	CC	and
shoots	VVZ	shoot
down	RP	down
a	DT	a
very	RB	very
simple	JJ	simple
and	CC	and
Noble	JJ	noble
idea	NN	idea
which	WDT	which
is	VBZ	be
the	DT	the
right	NN	right
of	IN	of
self	JJ	self
-	NN	-
determination	NN	determination
the	DT	the
inable	JJ	inable
right	NN	right
of	IN	of
s	NNS	s
of	IN	of
a	DT	a
people	NNS	people
now	RB	now
it	PP	it
was	VBD	be
what	WP	what
it	PP	it
has	VHZ	have
has	VHZ	have
become	VVN	become
Petty	NP	Petty
when	WRB	when
the	DT	the
United	NP	United
States	NP	States
you	PP	you
look	VVP	look
at	IN	at
at	IN	at
the	DT	the
193	CD	@card@
countries	NNS	country
around	IN	around
the	DT	the
world	NN	world
and	CC	and
you	PP	you
say	VVP	say
the	DT	the
Palestinians	NNS	Palestinian
that	WDT	that
helped	VVD	help
establish	VV	establish
different	JJ	different
countries	NNS	country
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
itself	PP	itself
the	DT	the
Palestinians	NPS	Palestinians
who	WP	who
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
educated	JJ	educated
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
with	IN	with
the	DT	the
highest	JJS	high
literacy	NN	literacy
the	DT	the
Palestinians	NPS	Palestinians
who	WP	who
were	VBD	be
able	JJ	able
to	TO	to
build	VV	build
a	DT	a
society	NN	society
and	CC	and
an	DT	an
authority	NN	authority
under	IN	under
occupation	NN	occupation
those	DT	those
Palestinians	NPS	Palestinians
are	VBP	be
not	RB	not
ready	JJ	ready
to	TO	to
have	VH	have
a	DT	a
state	NN	state
really	RB	really
so	RB	so
the	DT	the
justification	NN	justification
for	IN	for
the	DT	the
American	JJ	American
decision	NN	decision
is	VBZ	be
just	RB	just
false	JJ	false
and	CC	and
transparently	RB	transparently
so	RB	so
now	RB	now
there	EX	there
is	VBZ	be
this	DT	this
understanding	NN	understanding
that	IN/that	that
the	DT	the
Americans	NPS	Americans
tried	VVD	try
to	TO	to
push	VV	push
quite	RB	quite
strongly	RB	strongly
that	IN/that	that
they	PP	they
support	VVP	support
the	DT	the
idea	NN	idea
the	DT	the
principle	NN	principle
the	DT	the
vision	NN	vision
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
but	CC	but
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
time	NN	time
but	CC	but
as	IN	as
the	DT	the
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
saying	VVG	say
again	RB	again
and	CC	and
again	RB	again
when	WRB	when
is	VBZ	be
the	DT	the
time	NN	time
I	PP	I
mean	VVP	mean
since	IN	since
1993	CD	@card@
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
making	VVG	make
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
Arabs	NPS	Arabs
promises	VVZ	promise
that	IN/that	that
they	PP	they
never	RB	never
fulfill	VVP	fulfill
for	IN	for
three	CD	three
decades	NNS	decade
the	DT	the
United	NP	United
States	NPS	States
supervised	VVD	supervise
sponsored	VVN	sponsor
a	DT	a
peace	NN	peace
process	NN	process
between	IN	between
Palestinians	NPS	Palestinians
isans	NNS	isans
and	CC	and
it	PP	it
always	RB	always
took	VVD	take
the	DT	the
Israel	NP	Israel
'	POS	'
s	JJ	s
line	NN	line
it	PP	it
was	VBD	be
the	DT	the
Israeli	JJ	Israeli
lawyer	NN	lawyer
the	DT	the
Israel	NP	Israel
advocate	NN	advocate
in	IN	in
the	DT	the
negotiations	NNS	negotiation
and	CC	and
now	RB	now
once	RB	once
again	RB	again
it	PP	it
insists	VVZ	insist
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
only	RB	only
the	DT	the
United	NP	United
States	NP	States
that	WDT	that
can	MD	can
bring	VV	bring
about	IN	about
a	DT	a
two	CD	two
solution	NN	solution
and	CC	and
peace	NN	peace
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
except	IN	except
this	DT	this
time	NN	time
they	PP	they
want	VVP	want
to	TO	to
