United	NP	United
States	NPS	States
has	VHZ	have
submitted	VVN	submit
a	DT	a
draft	NN	draft
resolution	NN	resolution
to	TO	to
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
which	WDT	which
appears	VVZ	appear
to	TO	to
call	VV	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
says	VVZ	say
the	DT	the
resolution	NN	resolution
is	VBZ	be
linked	VVN	link
to	TO	to
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
he	PP	he
made	VVD	make
the	DT	the
comments	NNS	comment
following	VVG	follow
a	DT	a
visit	NN	visit
to	TO	to
Saudi	NP	Saudi
Arabia	NP	Arabia
it	PP	it
'	POS	'
s	JJ	s
part	NN	part
of	IN	of
a	DT	a
wider	JJR	wide
trip	NN	trip
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
where	WRB	where
blinkin	NN	blinkin
is	VBZ	be
holding	VVG	hold
talks	NNS	talk
on	IN	on
ending	VVG	end
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
the	DT	the
US	NP	US
has	VHZ	have
previously	RB	previously
vetoed	VVN	veto
attempts	NNS	attempt
at	IN	at
the	DT	the
security	NN	security
Council	NN	council
to	TO	to
achieve	VV	achieve
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
James	NP	James
spay	VVP	spay
tell	VV	tell
us	PP	us
more	RBR	more
first	JJ	first
James	NP	James
about	IN	about
what	WP	what
'	POS	'
s	NN	S
in	IN	in
this	DT	this
draft	NN	draft
us	PP	us
resolution	NN	resolution
that	RB	that
'	POS	'
s	NNS	s
circulating	VVG	circulate
at	IN	at
the	DT	the
UN	NP	UN
well	NN	well
comments	NNS	comment
have	VHP	have
come	VVN	come
from	IN	from
secretary	NN	secretary
of	IN	of
state	NN	state
blinkin	NN	blinkin
who	WP	who
'	POS	'
s	NN	S
in	IN	in
the	DT	the
region	NN	region
and	CC	and
we	PP	we
have	VHP	have
the	DT	the
resolution	NN	resolution
that	WDT	that
is	VBZ	be
in	IN	in
New	NP	New
York	NP	York
let	VVD	let
me	PP	me
first	RB	first
tell	VV	tell
you	PP	you
what	WP	what
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
said	VVD	say
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
an	DT	an
Arabic	JJ	Arabic
TV	NN	TV
channel	NN	channel
before	IN	before
he	PP	he
left	VVD	leave
Saudi	NP	Saudi
Arabia	NP	Arabia
he	PP	he
'	POS	'
s	NN	S
just	RB	just
now	RB	now
arriving	VVG	arrive
in	IN	in
uh	UH	uh
Egypt	NP	Egypt
we	PP	we
'	POS	'
re	NN	re
pressing	VVG	press
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
tied	VVN	tie
to	TO	to
the	DT	the
release	NN	release
of	IN	of
the	DT	the
hostages	NNS	hostage
in	IN	in
fact	NN	fact
we	PP	we
'	POS	'
ve	NN	ve
actually	RB	actually
put	VVD	put
forward	RB	forward
a	DT	a
resolution	NN	resolution
right	RB	right
now	RB	now
before	IN	before
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
that	WDT	that
does	VVZ	do
call	NN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
Ceasar	NP	Ceasar
tied	VVD	tie
to	TO	to
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
well	RB	well
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
ago	RB	ago
Al	NP	Al
jazer	NN	jazer
obtained	VVN	obtain
this	DT	this
which	WDT	which
is	VBZ	be
a	DT	a
copy	NN	copy
We	PP	we
Believe	VVP	believe
of	IN	of
the	DT	the
latest	JJS	late
us	PP	us
resolution	NN	resolution
I	PP	I
think	VVP	think
the	DT	the
language	NN	language
is	VBZ	be
important	JJ	important
so	RB	so
let	VV	let
me	PP	me
read	VV	read
you	PP	you
the	DT	the
key	JJ	key
point	NN	point
of	IN	of
the	DT	the
resolution	NN	resolution
it	PP	it
says	VVZ	say
the	DT	the
security	NN	security
Council	NN	council
determines	VVZ	determine
the	DT	the
imperative	NN	imperative
of	IN	of
an	DT	an
immediate	JJ	immediate
and	CC	and
sustained	JJ	sustained
ceasefire	NN	ceasefire
to	TO	to
protect	VV	protect
civilians	NNS	civilian
on	IN	on
all	DT	all
sides	NNS	side
allow	VVP	allow
for	IN	for
the	DT	the
delivery	NN	delivery
of	IN	of
essential	JJ	essential
humanitarian	JJ	humanitarian
assistance	NN	assistance
and	CC	and
alleviate	VV	alleviate
humanitarian	JJ	humanitarian
suffering	NN	suffering
and	CC	and
towards	IN	towards
that	DT	that
end	NN	end
unequivocally	RB	unequivocally
supports	VVZ	support
ongoing	JJ	ongoing
International	NP	International
diplomatic	JJ	diplomatic
efforts	NNS	effort
to	TO	to
secure	VV	secure
such	PDT	such
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
connection	NN	connection
with	IN	with
the	DT	the
release	NN	release
of	IN	of
all	PDT	all
the	DT	the
remaining	VVG	remain
hostages	NNS	hostage
I	PP	I
think	VVP	think
that	DT	that
'	''	'
s	NNS	s
important	JJ	important
because	IN	because
normally	RB	normally
when	WRB	when
you	PP	you
get	VVP	get
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
the	DT	the
other	JJ	other
ceasefire	NN	ceasefire
resolutions	NNS	resolution
that	WDT	that
have	VHP	have
come	VVN	come
from	IN	from
other	JJ	other
parties	NNS	party
other	JJ	other
than	IN	than
the	DT	the
US	NP	US
they	PP	they
demand	VVP	demand
a	DT	a
Ceasar	NP	Ceasar
this	DT	this
one	CD	one
the	DT	the
security	NN	security
Council	NN	council
deter	VVP	deter
determines	VVZ	determine
the	DT	the
imperative	NN	imperative
I	PP	I
.	SENT	.
E	SYM	e
it	PP	it
says	VVZ	say
it	PP	it
'	''	'
s	NN	S
important	JJ	important
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
Ceasar	NP	Ceasar
it	PP	it
doesn	NP	doesn
'	POS	'
t	NN	t
seem	VVP	seem
to	TO	to
be	VB	be
demanding	VVG	demand
one	PP	one
and	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
linking	VVG	link
this	DT	this
Ceasar	NP	Ceasar
directly	RB	directly
