<video_id>uBrxB1j8YR4</video_id>	JJ	<video_id>uBrxB1j8YR4</video_id>
<video_title>US	NN	<video_title>US
to	TO	to
restrict	VV	restrict
visas	NNS	visa
of	IN	of
Israeli	JJ	Israeli
settlers	NNS	settler
over	IN	over
attacks	NNS	attack
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank</video_title>	NP	Bank</video_title>
<thumbnail_path>data/en_AJ\US	NN	<thumbnail_path>data/en_AJ\US
to	TO	to
restrict	VV	restrict
visas	NNS	visa
of	IN	of
Israeli	JJ	Israeli
settlers	NNS	settler
over	IN	over
attacks	NNS	attack
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank.jpg</thumbnail_path>	NP	Bank.jpg</thumbnail_path>
<publish_date>20231205</publish_date>	NN	<publish_date>20231205</publish_date>
<doc>	NN	<doc>
the	DT	the
US	NP	US
has	VHZ	have
announced	VVN	announce
sanctions	NNS	sanction
on	IN	on
several	JJ	several
dozen	NN	dozen
Israeli	JJ	Israeli
settlers	NNS	settler
involved	VVN	involve
in	IN	in
attacks	NNS	attack
against	IN	against
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
it's	NN	it's
been	VBN	be
a	DT	a
surge	NN	surge
in	IN	in
violence	NN	violence
since	IN	since
Israel	NP	Israel
began	VVD	begin
its	PP$	its
war	NN	war
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
in	IN	in
recent	JJ	recent
days	NNS	day
Israeli	JJ	Israeli
settlers	NNS	settler
raided	VVD	raid
a	DT	a
restaurant	NN	restaurant
and	CC	and
launched	VVD	launch
an	DT	an
attack	NN	attack
on	IN	on
a	DT	a
Palestinian	JJ	Palestinian
father	NN	father
of	IN	of
six	CD	six
the	DT	the
US	NP	US
state	NN	state
department	NN	department
is	VBZ	be
announcing	VVG	announce
sanctions	NNS	sanction
on	IN	on
several	JJ	several
dozen	NN	dozen
Israeli	JJ	Israeli
settlers	NNS	settler
involved	VVN	involve
in	IN	in
attacks	NNS	attack
against	IN	against
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
let's	NNS	let's
get	VVP	get
more	JJR	more
from	IN	from
our	PP$	our
White	NP	White
House	NP	House
correspondent	NN	correspondent
kimbery	NN	kimbery
hit	NN	hit
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
Washington	NP	Washington
DC	NP	DC
so	IN	so
kimbery	NN	kimbery
according	VVG	accord
to	TO	to
un	NN	un
experts	NNS	expert
Human	NP	Human
Rights	NPS	Rights
group	NN	group
all	DT	all
settlements	NNS	settlement
are	VBP	be
illegal	JJ	illegal
under	IN	under
international	JJ	international
law	NN	law
is	VBZ	be
the	DT	the
US	NP	US
targeting	VVG	target
settlers	NNS	settler
and	CC	and
settler	NN	settler
groups	NNS	group
in	IN	in
general	JJ	general
or	CC	or
specific	JJ	specific
individuals	NNS	individual
yeah	RB	yeah
this	DT	this
uh	UH	uh
according	VVG	accord
to	TO	to
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
in	IN	in
his	PP$	his
statement	NN	statement
that	WDT	that
has	VHZ	have
just	RB	just
come	VVN	come
down	RP	down
would	MD	would
be	VB	be
targeting	VVG	target
individuals	NNS	individual
under	IN	under
the	DT	the
authorities	NNS	authority
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
those	DT	those
who	WP	who
are	VBP	be
not	RB	not
of	IN	of
US	NP	US
citizenship	NN	citizenship
and	CC	and
wish	VVP	wish
to	TO	to
travel	VV	travel
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
if	IN	if
they	PP	they
are	VBP	be
affected	VVN	affect
by	IN	by
these	DT	these
visa	NN	visa
restrictions	NNS	restriction
would	MD	would
in	IN	in
fact	NN	fact
be	VB	be
prevented	VVN	prevent
from	IN	from
traveling	VVG	travel
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
now	RB	now
uh	UH	uh
this	DT	this
according	VVG	accord
to	TO	to
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
is	VBZ	be
after	IN	after
many	JJ	many
warnings	NNS	warning
uh	UH	uh
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
decided	VVN	decide
to	TO	to
use	VV	use
its	PP$	its
authorities	NNS	authority
because	IN	because
it	PP	it
is	VBZ	be
the	DT	the
view	NN	view
of	IN	of
the	DT	the
blinket	NN	blinket
administration	NN	administration
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
simply	RB	simply
not	RB	not
doing	VVG	do
enough	RB	enough
enough	JJ	enough
to	TO	to
prevent	VV	prevent
uh	UH	uh
the	DT	the
violent	JJ	violent
acts	NNS	act
committed	VVN	commit
by	IN	by
Israeli	JJ	Israeli
settlers	NNS	settler
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
against	IN	against
Palestinians	NPS	Palestinians
and	CC	and
so	RB	so
in	IN	in
order	NN	order
to	TO	to
prevent	VV	prevent
that	IN/that	that
violence	NN	violence
uh	UH	uh
and	CC	and
