<video_id>VOf7rtWRz6g</video_id>	JJ	<video_id>VOf7rtWRz6g</video_id>
<video_title>US	NN	<video_title>US
vetoes	NNS	veto
UN	NP	UN
security	NN	security
council	NN	council
resolution	NN	resolution
calling	VVG	call
for	IN	for
an	DT	an
immediate	JJ	immediate
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\US	NN	<thumbnail_path>data/en_AJ\US
vetoes	VVZ	veto
UN	NP	UN
security	NN	security
council	NN	council
resolution	NN	resolution
calling	VVG	call
for	IN	for
an	DT	an
immediate	JJ	immediate
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240220</publish_date>	NN	<publish_date>20240220</publish_date>
<doc>	NN	<doc>
cross	VVP	cross
over	RP	over
to	TO	to
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
James	NP	James
Bay	NP	Bay
who's	NNS	who's
at	IN	at
un	JJ	un
headquarters	NN	headquarters
in	IN	in
New	NP	New
York	NP	York
the	DT	the
UN	NP	UN
Ambassador	NP	Ambassador
there	RB	there
explaining	VVG	explain
uh	UH	uh
her	PP$	her
position	NN	position
and	CC	and
her	PP$	her
government's	NN	government's
position	NN	position
but	CC	but
even	RB	even
if	IN	if
they	PP	they
do	VVP	do
present	VV	present
an	DT	an
alternative	JJ	alternative
resolution	NN	resolution
James	NP	James
that	WDT	that
might	MD	might
not	RB	not
be	VB	be
accepted	VVN	accept
by	IN	by
the	DT	the
security	NN	security
Council	NP	Council
oh	UH	oh
yes	UH	yes
there's	RB	there's
all	DT	all
sorts	NNS	sort
of	IN	of
problems	NNS	problem
ahead	RB	ahead
and	CC	and
all	DT	all
sorts	NNS	sort
of	IN	of
negotiations	NNS	negotiation
ahead	RB	ahead
on	IN	on
the	DT	the
US	NP	US
draft	NN	draft
this	DT	this
is	VBZ	be
the	DT	the
US	NP	US
draft	NN	draft
that	IN/that	that
they	PP	they
haven't	VVD	haven't
even	RB	even
formally	RB	formally
presented	VVN	present
to	TO	to
the	DT	the
security	NN	security
Council	NP	Council
and	CC	and
my	PP$	my
understanding	NN	understanding
from	IN	from
the	DT	the
US	NP	US
is	VBZ	be
they're	JJ	they're
not	RB	not
in	IN	in
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
a	DT	a
rush	NN	rush
they	PP	they
would	MD	would
actually	RB	actually
like	VV	like
to	TO	to
give	VV	give
everyone	NN	everyone
an	DT	an
opportunity	NN	opportunity
to	TO	to
comment	VV	comment
on	IN	on
this	DT	this
um	NNS	um
and	CC	and
uh	UH	uh
that	DT	that
uh	UH	uh
they	PP	they
would	MD	would
take	VV	take
in	IN	in
representations	NNS	representation
from	IN	from
other	JJ	other
delegations	NNS	delegation
on	IN	on
it	PP	it
but	CC	but
of	IN	of
course	NN	course
that	WDT	that
means	VVZ	mean
more	JJR	more
delay	NN	delay
and	CC	and
delay	NN	delay
is	VBZ	be
also	RB	also
the	DT	the
result	NN	result
of	IN	of
the	DT	the
veto	NN	veto
today	NN	today
it	PP	it
means	VVZ	mean
there	EX	there
is	VBZ	be
no	DT	no
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
place	NN	place
it	PP	it
means	VVZ	mean
more	JJR	more
people	NNS	people
will	MD	will
die	VV	die
in	IN	in
Gaza	NP	Gaza
now	RB	now
the	DT	the
US	NP	US
position	NN	position
was	VBD	be
uh	UH	uh
that	WDT	that
uh	UH	uh
this	DT	this
is	VBZ	be
to	TO	to
give	VV	give
space	NN	space
to	TO	to
negot	NN	negot
negotiations	NNS	negotiation
that	WDT	that
have	VHP	have
been	VBN	be
taking	VVG	take
place	NN	place
in	IN	in
the	DT	the
region	NN	region
um	NN	um
but	CC	but
of	IN	of
course	NN	course
the	DT	the
those	DT	those
negotiations	NNS	negotiation
involve	VVP	involve
the	DT	the
US	NP	US
and	CC	and
Israel	NP	Israel
but	CC	but
also	RB	also
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
both	CC	both
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
had	VHD	have
no	DT	no
problem	NN	problem
with	IN	with
the	DT	the
Algerian	NN	Algerian
draft	VV	draft
uh	UH	uh
that	IN/that	that
the	DT	the
US	NP	US
vetoed	VVD	veto
uh	UH	uh
the	DT	the
US	NP	US
said	VVD	say
if	IN	if
that	DT	that
draft	NN	draft
came	VVD	come
into	IN	into
force	NN	force
and	CC	and
Hamas	NN	Hamas
was	VBD	be
given	VVN	give
a	DT	a
ceasefire	NN	ceasefire
that's	NNS	that's
the	DT	the
way	NN	way
she	PP	she
put	VVP	put
it	PP	it
uh	UH	uh
then	RB	then
they	PP	they
um	VVD	um
there	RB	there
wouldn't	NN	wouldn't
be	VB	be
the	DT	the
incentive	NN	incentive
for	IN	for
Hamas	NP	Hamas
to	TO	to
release	VV	release
those	DT	those
being	NN	being
held	VVD	hold
prisoner	NN	prisoner
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
that's	NNS	that's
certainly	RB	certainly
the	DT	the
the	DT	the
line	NN	line
that	IN/that	that
the	DT	the
US	NP	US
are	VBP	be
